cik10,covers_first_eligible_decision,first_eligible_decision,first_price_date,issuer_name_match,issuer_name_score,last_eligible_decision,last_price_date,price_file,price_rows,provider_end_date,provider_exchange,provider_name,provider_start_date,sec_company_name,status,terminal,tiingo_symbol,cache_source,strict_issuer_name_score,strict_issuer_name_match,covers_last_eligible_decision,audit_status
0000351834,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2026-04-01 00:00:00+00:00,2026-04-10,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/STKL/prices.csv.gz,820,2026-05-01,NASDAQ,Sunopta Inc,1990-03-26,SUNOPTA INC.,identity_and_start_validated,True,STKL,broad_v2,1.0,True,True,validated_history_through_last_decision
0000355019,True,2025-01-01 00:00:00+00:00,2025-01-02,True,1.0,2026-04-01 00:00:00+00:00,2026-04-10,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/FONR/prices.csv.gz,318,2026-06-05,NASDAQ,Fonar Corp,1993-10-27,FONAR CORP,identity_and_start_validated,True,FONR,broad_v2,1.0,True,True,validated_history_through_last_decision
0000701288,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2024-07-01 00:00:00+00:00,2024-07-11,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/ATRI/prices.csv.gz,382,2024-08-21,NASDAQ,Atrion Corp,1984-09-07,ATRION CORP,identity_and_start_validated,True,ATRI,broad_v2,1.0,True,True,validated_history_through_last_decision
0000701374,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2024-07-01 00:00:00+00:00,2024-07-01,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/SIX/prices.csv.gz,375,2024-07-01,NYSE,Six Flags Entertainment Corp,2010-05-11,SIX FLAGS ENTERTAINMENT CORP,identity_and_start_validated,True,SIX,broad_v2,1.0,True,True,validated_history_through_last_decision
0000704562,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2025-01-01 00:00:00+00:00,2025-01-10,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/CDMO/prices.csv.gz,508,2025-02-05,NASDAQ,Avid Bioservices Inc,2018-01-08,"AVID BIOSERVICES, INC.",identity_and_start_validated,True,CDMO,broad_v2,1.0,True,True,validated_history_through_last_decision
0000708818,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2025-01-01 00:00:00+00:00,2023-11-09,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/NXGN/prices.csv.gz,2922,2023-11-09,NASDAQ,NextGen Healthcare Inc,2001-01-02,"NEXTGEN HEALTHCARE, INC.",identity_and_start_validated,True,NXGN,legacy_authenticated_v1,1.0,True,False,validated_sec_confirmed_early_delisting
0000711772,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2024-07-01 00:00:00+00:00,2024-07-11,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/CATC/prices.csv.gz,382,2024-07-15,NASDAQ,Cambridge Bancorp,2017-02-01,CAMBRIDGE BANCORP,identity_and_start_validated,True,CATC,broad_v2,1.0,True,True,validated_history_through_last_decision
0000713425,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2026-04-01 00:00:00+00:00,2025-04-04,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/LGTY/prices.csv.gz,3272,2025-04-04,NASDAQ,Logility Supply Chain Solutions Inc,1984-09-07,"LOGILITY SUPPLY CHAIN SOLUTIONS, INC",validated_candidate,True,LGTY,legacy_authenticated_v1,1.0,True,False,validated_sec_confirmed_early_delisting
0000718877,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2024-10-01 00:00:00+00:00,2023-10-13,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/ATVI/prices.csv.gz,2903,2023-10-13,NASDAQ,Activision Blizzard Inc,1993-10-25,"ACTIVISION BLIZZARD, INC.",identity_and_start_validated,True,ATVI,legacy_authenticated_v1,1.0,True,False,validated_sec_confirmed_early_delisting
0000740663,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2026-04-01 00:00:00+00:00,2026-04-10,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/FLIC/prices.csv.gz,645,2026-08-21,NASDAQ,First Of Long Island Corp,1995-08-18,FIRST OF LONG ISLAND CORP,identity_and_start_validated,True,FLIC,broad_v2,1.0,True,True,validated_history_through_last_decision
