cik10,company_name,sec_terminal_date,completion_accession,completion_items,nearby_25_nse,notice_accessions,later_periodic_filing,terminal_reason
0001652133,OASIS MIDSTREAM PARTNERS LP,2022-02-04,0001193125-22-028468,1.01|1.02|2.01|2.03|3.01|3.03|5.01|5.02|5.03|7.01|9.01,True,0001354457-22-000090,False,completion_8k
0000743988,XILINX INC,2022-02-14,0001104659-22-021762,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000131,False,completion_8k
0001720821,PAE INC,2022-02-15,0001193125-22-042941,1.01|1.02|2.01|2.03|3.01|3.03|5.01|5.02|5.03,True,0001354457-22-000137,False,completion_8k
0000701869,INDEPENDENCE HOLDING CO,2022-02-16,0000876661-22-000180,,True,0000876661-22-000180,False,form25_plus_form15_no_later_periodic
0000702325,FIRST MIDWEST BANCORP INC,2022-02-16,0001140361-22-005786,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000143|0001354457-22-000142|0001354457-22-000141,False,completion_8k
0001433714,"CASTLIGHT HEALTH, INC.",2022-02-17,0001433714-22-000012,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-22-000184,False,completion_8k
0001129260,"VOCERA COMMUNICATIONS, INC.",2022-02-23,0001193125-22-050048,2.01|2.04|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-22-000191,False,completion_8k
0000067625,MONMOUTH REAL ESTATE INVESTMENT CORP,2022-02-28,0000876661-22-000205,,True,0000876661-22-000205,False,form25_plus_form15_no_later_periodic
0001598014,IHS MARKIT LTD.,2022-02-28,0001193125-22-056012,1.02|2.01|3.01|3.03|5.01|5.02|5.03|5.05|8.01|9.01,True,0000876661-22-000196,False,completion_8k
0000029669,RR DONNELLEY & SONS CO,2022-03-01,0000876661-22-000207,,True,0000876661-22-000207,False,form25_plus_form15_no_later_periodic
0000874977,STATE AUTO FINANCIAL CORP,2022-03-01,0001140361-22-007187,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000158,False,completion_8k
0001783317,MCAFEE CORP.,2022-03-01,0001193125-22-060146,1.01|1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000159,False,completion_8k
0001707178,COREPOINT LODGING INC.,2022-03-03,0001193125-22-063995,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-22-000253,False,completion_8k
0001002517,"NUANCE COMMUNICATIONS, INC.",2022-03-04,0001193125-22-066065,1.01|1.02|2.01|2.04|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000166,False,completion_8k
0001461755,"ATLANTIC CAPITAL BANCSHARES, INC.",2022-03-04,0001104659-22-030511,1.01|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000157,False,completion_8k
0001375151,"ZOGENIX, INC.",2022-03-07,0001193125-22-067384,1.01|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000167,False,completion_8k
0001585583,"DEL TACO RESTAURANTS, INC.",2022-03-08,0001585583-22-000012,2.01|3.01|3.03|5.01|5.02|8.01|9.01,True,0001354457-22-000171,False,completion_8k
0001572910,PHILLIPS 66 PARTNERS LP,2022-03-09,0001193125-22-070602,2.01|3.01|5.02|9.01,True,0000876661-22-000266,False,completion_8k
0001080709,ARENA PHARMACEUTICALS INC,2022-03-11,0001140361-22-009021,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000179,False,completion_8k
0001321646,KRATON CORP,2022-03-15,0001193125-22-075477,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-22-000277,False,completion_8k
0000048039,HOLLYFRONTIER CORP,2022-03-16,0001193125-22-077293,1.01|2.01|3.01|3.03|5.02|5.03|7.01|8.01|9.01,True,0000876661-22-000283,False,completion_8k
0001678463,"FORTERRA, INC.",2022-03-21,0001193125-22-079690,1.02|2.01|2.04|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000191,False,completion_8k
0001103021,BIODELIVERY SCIENCES INTERNATIONAL INC,2022-03-22,0001104659-22-036625,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000194,False,completion_8k
0001553023,CYRUSONE INC.,2022-03-25,0001104659-22-038090,1.01|1.02|2.01|2.03|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000200,False,completion_8k
0001712923,"GREENSKY, INC.",2022-03-29,0001193125-22-088200,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000204,False,completion_8k
0001412707,LEVEL ONE BANCORP INC,2022-03-31,0001354457-22-000212,,True,0001354457-22-000212,False,form25_plus_form15_no_later_periodic
0001421182,VERSO CORP,2022-03-31,0001140361-22-012098,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-22-000328,False,completion_8k
