candidate,scenario,cost_bps,window,weeks,start,end,cagr,sharpe_zero_rf,sortino_zero_target,max_drawdown,annual_one_way_turnover,total_return,annual_volatility,win_rate,best_week,worst_week,full_cagr,full_sharpe,full_drawdown,recent_above_control,full_above_control
free_cash_flow_yield__top30__floor0m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.49216551300858224,1.714792188481188,3.120212380060399,-0.15489625399163265,0.6531468903688814,0.5036945751078452,0.2522445740853463,0.5849056603773585,0.11030095558543707,-0.06384014139697991,0.3404543983174526,1.2227530949607666,-0.28464335119924156,False,False
sales_yield__top20__floor250m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.4888575258172123,1.735541543755752,2.906625917983212,-0.10164961715080345,1.0226884364361712,0.5002969949206222,0.24745855567784492,0.660377358490566,0.08479333236159703,-0.08093889938423338,0.31818262617886606,1.1041003076786668,-0.3104554715242517,False,False
free_cash_flow_yield__top20__floor25m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.48773100417422843,1.6953565245381532,3.064210607533045,-0.13955846827115337,0.8088252855590274,0.4991399958654661,0.2535912654677268,0.660377358490566,0.10428532317440276,-0.06277858026407312,0.26402820069930977,0.991052488506533,-0.30100731323932073,False,False
free_cash_flow_yield__top20__floor0m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.48691885120696377,1.67672654466155,3.0496044354263656,-0.14616791058537804,0.8622535835397923,0.4983058810051959,0.2564682606696539,0.6226415094339622,0.11567645441795471,-0.0696693092474101,0.35004973041406906,1.1876151278062053,-0.2778467702554309,False,False
sales_yield__top20__floor100m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.4765417584325753,1.2769675627018042,2.433848125622364,-0.20440533651799275,0.954331408419582,0.4876489481109054,0.3525289298188156,0.6037735849056604,0.1639771895505373,-0.07685917398194608,0.2720019972601009,0.9092416972404619,-0.3679528961040105,False,False
composite_value__top30__floor250m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.4736446853116987,1.779885944066508,2.872356412567155,-0.11183141470111313,1.3675392934196642,0.4846740060660233,0.23375134321772809,0.6415094339622641,0.08515187423239512,-0.07262920393110317,0.23792614663411182,1.0447173616896404,-0.27105892134773024,False,False
sales_yield__top30__floor0m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.4733246283110586,1.3568077480950875,2.694301675782213,-0.15501857328747215,0.9416505329811906,0.4843453533144373,0.32325663468464494,0.5471698113207547,0.15504375045554553,-0.06876603177343155,0.5697034801867709,1.448147468224258,-0.3475334089955988,False,True
quality_at_reasonable_price__top10__floor500m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.46736646685855443,2.042863910487648,3.697771511095987,-0.0993009910231143,1.342227936098643,0.47822742488849856,0.1977362894665648,0.6226415094339622,0.07448103774422532,-0.0655987620255799,0.21274023360086836,0.9759049342676497,-0.27086599494722674,False,False
quality_at_reasonable_price__top30__floor250m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.4670086842702872,2.1863886758474265,4.141635078487541,-0.052467504928861874,1.0899557851158936,0.4778600636129051,0.18340258943852283,0.6415094339622641,0.07501065756119796,-0.052467504928861874,0.30336936997975505,1.3864220866331622,-0.24566666419193783,False,False
quality_at_reasonable_price__top30__floor100m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.4670086842702872,2.18638867584743,4.1416350784875515,-0.05246750492886176,1.0899557851158936,0.47786006361290534,0.1834025894385226,0.6415094339622641,0.07501065756119818,-0.05246750492886176,0.2831560362376453,1.3183385899068834,-0.24591367171209,False,False
composite_value__top10__floor250m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.4596432558108292,1.6634864632766888,2.9098845822070465,-0.09181135656218609,1.6790501429184197,0.47029782861472014,0.24581682462371365,0.6226415094339622,0.11014025913131742,-0.06953894159968699,0.21709889275385286,0.8980237585679441,-0.3254882744119314,False,False
quality_at_reasonable_price__top30__floor25m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.4591353364282855,2.1396791515962335,4.048297060550954,-0.05248016291185709,1.1121541082871564,0.4697763644730395,0.1850076412574454,0.6415094339622641,0.07501065756119818,-0.05248016291185709,0.28270426998404075,1.3283372258031254,-0.2459136717120899,False,False
quality_at_reasonable_price__top30__floor50m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.4591353364282855,2.1396791515962335,4.048297060550954,-0.05248016291185709,1.1121541082871564,0.4697763644730395,0.1850076412574454,0.6415094339622641,0.07501065756119818,-0.05248016291185709,0.28270426998404075,1.3283372258031254,-0.2459136717120899,False,False
composite_value__top30__floor100m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.4582048906164362,1.7099427988069327,2.72213242201215,-0.09126820282180348,1.3042552560516811,0.4688211153843216,0.23764914799654233,0.6226415094339622,0.0871336419421267,-0.07426145428705078,0.20891692046369603,0.9472920062998029,-0.2677589901717158,False,False
quality_at_reasonable_price__top30__floor500m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.45601137108049383,2.1141114782429145,4.192784470373529,-0.06825847590142853,1.0477212167503556,0.4665691686980591,0.186310508775511,0.6226415094339622,0.06512513436097711,-0.051780757407879574,0.2802158637955765,1.2693149378727484,-0.25487633848749747,False,False
sales_yield__top30__floor50m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.4511278785292143,1.3726833533205387,2.606825057854798,-0.17455833462706816,1.015919945360499,0.4615558326364617,0.3044785922785405,0.6226415094339622,0.13126885645648323,-0.06418096887791991,0.3803178657735291,1.2347977618313684,-0.3119496505202093,False,False
free_cash_flow_yield__top30__floor50m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.4488546324723106,1.6916874080595667,2.9641001847695168,-0.14581299985983964,0.7052610800262948,0.45922225554866114,0.23597184774816934,0.5849056603773585,0.08832704120199453,-0.06162598964554977,0.24662311587897712,0.9893799495809942,-0.2971704309658644,False,False
quality_at_reasonable_price__top30__floor0m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.44800745115035334,2.0994248834656197,3.894667450733423,-0.05668577175791123,1.112233690575866,0.4583526083807783,0.18487843578484364,0.6226415094339622,0.07501065756119818,-0.05668577175791123,0.2758067415526875,1.2885748086426587,-0.24335567168757943,False,False
free_cash_flow_yield__top20__floor50m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.44378250274424613,1.6323872403598547,2.878579041146169,-0.1395584682711527,0.8346639563993984,0.4540157675236831,0.2434185317246473,0.6415094339622641,0.093391129989703,-0.05876615400047658,0.19688947807797708,0.8097656553759234,-0.3010073132393206,False,False
sales_yield__top10__floor500m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.4418377459538054,1.62593215429772,2.7675084568699644,-0.15039128781160382,0.8595115886795308,0.45201958827324007,0.24367615807824983,0.5849056603773585,0.07975203651825202,-0.0690286344595542,0.3000515072807841,1.06635619073494,-0.33208702093643305,False,False
composite_value__top20__floor100m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.4381765335954577,1.613329871871689,2.579409952848612,-0.0932351625374983,1.1849635742067273,0.4482617081897402,0.24419806109921355,0.6415094339622641,0.08417659279690115,-0.08074487919887019,0.19795583994311827,0.8827333399215791,-0.2800187975288104,False,False
free_cash_flow_yield__top20__floor100m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.43413577839354955,1.5412224105977281,2.692980028169786,-0.14547675225394785,0.6984105826660403,0.44411447769846113,0.25530883589444076,0.6037735849056604,0.09154680177385455,-0.06480595090739338,0.22692257168202778,0.8782913638695453,-0.30262508130435717,False,False
quality_at_reasonable_price__top10__floor250m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.42591697768475534,1.9312043678723916,3.278197859596777,-0.08702830078911228,1.255586574471928,0.4356798027628175,0.19387762807903544,0.6792452830188679,0.062319467842947285,-0.06879414182297994,0.24095101691091925,1.0787171911324775,-0.27086599494722663,False,False
quality_at_reasonable_price__top10__floor25m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.425916977684754,1.931204367872389,3.2781978595967707,-0.08702830078911239,1.2555865744719281,0.4356798027628159,0.1938776280790353,0.6792452830188679,0.062319467842947285,-0.06879414182297972,0.22140101265211354,1.0364989217826446,-0.2746473731053056,False,False
quality_at_reasonable_price__top10__floor50m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.425916977684754,1.931204367872389,3.2781978595967707,-0.08702830078911239,1.2555865744719281,0.4356798027628159,0.1938776280790353,0.6792452830188679,0.062319467842947285,-0.06879414182297972,0.22140101265211354,1.0364989217826446,-0.2746473731053056,False,False
quality_at_reasonable_price__top10__floor100m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.42591697768475356,1.9312043678723847,3.2781978595967627,-0.08702830078911239,1.2555865744719277,0.4356798027628155,0.19387762807903539,0.6792452830188679,0.062319467842947285,-0.06879414182297983,0.2132482611331703,0.9818840441498224,-0.27464737310530574,False,False
earnings_yield__top20__floor0m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.41314003517313935,1.7502408774844112,3.154202387772132,-0.08127080918848029,1.762571839456731,0.4225691206483251,0.21053119042230134,0.6226415094339622,0.09291471073685509,-0.05874663762972987,0.2365878013096241,1.05291234068224,-0.24608503726589992,False,False
composite_value__top30__floor0m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.40910904413090976,1.55493424722844,2.5237123597827917,-0.10203045526173293,1.15115300805432,0.4184333103255411,0.2393579184060573,0.6037735849056604,0.08774235922489404,-0.07071021775284014,0.20946282664045968,0.9447518073374084,-0.26801262905979684,False,False
composite_value__top30__floor50m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.4006020336342817,1.5278824947316556,2.437238180254717,-0.09855457592012273,1.264292543830976,0.4097058365469697,0.23969358267038832,0.5849056603773585,0.0840580061807914,-0.07364320689534332,0.21031238670500763,0.9544727948224674,-0.2677589901717161,False,False
composite_value__top30__floor25m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.4006020336342815,1.5278824947316552,2.4372381802547163,-0.09855457592012296,1.264292543830976,0.40970583654696946,0.2396935826703884,0.5849056603773585,0.08405800618079162,-0.07364320689534332,0.21460363130622162,0.9724111424967684,-0.2677589901717158,False,False
composite_value__top20__floor25m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.3963371928992159,1.4807309054108593,2.354649628410491,-0.10025138636421749,1.1527065416484823,0.40533085364253796,0.24632178858303025,0.6037735849056604,0.07846974562875886,-0.07254228126748408,0.22467002990844032,0.9845220237483588,-0.2800187975288104,False,False
composite_value__top20__floor50m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.396337192899215,1.4807309054108568,2.3546496284104865,-0.10025138636421749,1.1527065416484823,0.40533085364253707,0.24632178858303022,0.6037735849056604,0.07846974562875886,-0.07254228126748408,0.219917838498916,0.9679110144029432,-0.2800187975288104,False,False
earnings_yield__top10__floor100m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.39630661433218184,1.586590864793405,2.8689150461451978,-0.12173736308380967,1.6870375709496879,0.4052994862918504,0.22679129616408947,0.5471698113207547,0.10067426704179216,-0.06592921979079669,0.2114106176184669,0.9130487274025783,-0.32739225416198936,False,False
earnings_yield__top10__floor250m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.387450595915775,1.5621786524512984,2.8860871150502616,-0.11110249737959565,1.6750459047226112,0.3962155812069774,0.22614271457264715,0.5283018867924528,0.10067426704179216,-0.059311302302004876,0.2339919286763188,0.9578532812054107,-0.32572634693624414,False,False
free_cash_flow_yield__top10__floor500m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.37681077369956606,1.5963916838996506,2.7067755067786927,-0.08967365497812252,0.7724822817018363,0.3853034458489617,0.215089498466449,0.5660377358490566,0.06752804998942086,-0.06088599437248943,0.2575830404687882,1.0022439162273606,-0.30402016860927594,False,False
free_cash_flow_yield__top20__floor250m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.36779802353655056,1.3906419906652852,2.2638786130658675,-0.1518257124449619,0.8524606266305175,0.37606129353324724,0.2474668751791314,0.6415094339622641,0.07110726750766405,-0.0720382913226677,0.20161142979513458,0.8026698971879045,-0.3373708701579541,False,False
free_cash_flow_yield__top10__floor250m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.3636015535875454,1.2974273260345541,2.1041533392694207,-0.18416587280589047,0.9850570455352148,0.37175840965810525,0.26657526561018813,0.5849056603773585,0.07376580755315887,-0.07973888466708434,0.20428794918561377,0.758880286911775,-0.34480227252702433,False,False
free_cash_flow_yield__top10__floor100m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.36100284439383,1.2500165275977222,2.2006146524344543,-0.1328329127501967,0.8387199593781153,0.3690939301196592,0.27701212761897326,0.5849056603773585,0.10832557878975124,-0.06284206557760941,0.16974357409905538,0.6744397560719773,-0.28762237289813586,False,False
composite_value__top20__floor500m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.36032804997361945,1.481024786157933,2.284970107644719,-0.13497363500550197,1.101675294050698,0.36840207342106557,0.22530932242804036,0.6037735849056604,0.07020874961874912,-0.08117848508615622,0.20234901591283871,0.9171685130733179,-0.27576055240425956,False,False
composite_value__top30__floor500m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.3527306034562785,1.504447235836912,2.376797085450212,-0.11440859669008474,1.3495617539119535,0.3606129805524856,0.2167525967833858,0.6226415094339622,0.0781866377329341,-0.06969814790960915,0.22501240790495625,1.044706256230228,-0.25222507722702414,False,False
composite_value__top20__floor0m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.34411653207711224,1.2799963832132246,2.031506812483676,-0.15589314988960334,1.1972358654942403,0.351782636228436,0.2570364940706796,0.5849056603773585,0.08465839984220569,-0.07210255224191564,0.21989486338660447,0.9624813437716221,-0.250447990370556,False,False
quality_at_reasonable_price__top10__floor0m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.3374603369490832,1.6093189540495538,2.631563034710002,-0.0934573005849364,1.2350063066056172,0.3449600694033763,0.19247320081053007,0.6226415094339622,0.062319467842947285,-0.06912040180618584,0.19227499458823583,0.9108881477367345,-0.25809060921662663,False,False
composite_value__top10__floor100m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.3353506703368656,1.1981711835363964,2.0077158741721366,-0.10695939255366949,1.5795997484955968,0.3427978077599543,0.2720929091101288,0.5094339622641509,0.12478777654926332,-0.08984757516727371,0.2207321664071411,0.9281460619659528,-0.26648698745209753,False,False
free_cash_flow_yield__top30__floor100m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.3340902434810604,1.311085447473432,2.1703469019273682,-0.1285599473709318,0.7401670945769373,0.3415059891818868,0.24233903232918705,0.5471698113207547,0.08306083521611529,-0.07021670249830703,0.18784053949621238,0.7893648308610447,-0.3164052223004543,False,False
free_cash_flow_yield__top10__floor50m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.3315913999850679,1.1800136368118161,2.101371816906082,-0.15175850292305249,1.042887396656672,0.3389449798318349,0.2741511992175248,0.5660377358490566,0.10302387090610599,-0.06432528544181193,0.19670209750422862,0.7596020668227852,-0.2792655816996864,False,False
free_cash_flow_yield__top30__floor250m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.32634942826834656,1.3189434827335822,2.154448086266506,-0.15125389859753613,0.8336279006509858,0.3335728996213383,0.23524916073606986,0.5849056603773585,0.06932320636911293,-0.06972590750479812,0.2035974678001029,0.8562901218048754,-0.3303151613713471,False,False
sales_yield__top10__floor250m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.3163631366830677,1.156901628482691,1.8894977462863334,-0.1771082109953337,0.8270484503063865,0.323339874139996,0.26862857952134567,0.6226415094339622,0.09832553708581027,-0.08392218402794305,0.2112132210876898,0.7686009916333093,-0.33560090708672197,False,False
free_cash_flow_yield__top20__floor500m,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.2924896657121516,1.3076381396727785,2.224888744132803,-0.11081605526590099,0.7974130078214948,0.29888262628816653,0.21373770445275822,0.5471698113207547,0.062438798385141325,-0.0617791348440363,0.1970804421446315,0.875800105814596,-0.31780718177852607,False,False
