portfolio,state,n_weeks,label,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,worst_4w,worst_13w,avg_BIL,avg_SPY,avg_QQQ
improved_phase3_breadth_credit_risk_on_offense,calm_trend,295,improved_phase3_breadth_credit_risk_on_offense,0.037534,0.080081,0.468695,-0.139322,0.269401,-0.027965,-0.074488,-0.074407,0.1274,0.0831,0.0232
improved_phase3_breadth_credit_risk_on_offense,stressed_panic,229,improved_phase3_breadth_credit_risk_on_offense,0.034271,0.07952,0.430975,-0.134989,0.253881,-0.024574,-0.128137,-0.116056,0.53,0.0247,0.0121
improved_phase3_breadth_credit_risk_on_offense,recovery_fragile,49,improved_phase3_breadth_credit_risk_on_offense,0.067686,0.05868,1.153477,-0.032194,2.102428,-0.017229,-0.028262,-0.020562,0.1696,0.0519,0.0419
improved_phase3_breadth_credit_risk_on_offense,recovery_confirmed,44,improved_phase3_breadth_credit_risk_on_offense,0.023138,0.075449,0.306673,-0.054835,0.421964,-0.022314,-0.034798,-0.050239,0.1094,0.0557,0.0533
improved_phase3_balanced_breadth_aggressive,neutral_mixed,493,improved_phase3_balanced_breadth_aggressive,0.111099,0.07664,1.449616,-0.103658,1.071783,-0.023974,-0.056841,-0.060413,0.2674,0.074,0.0386
improved_phase3_balanced_breadth_aggressive,calm_trend,295,improved_phase3_balanced_breadth_aggressive,0.041454,0.07757,0.534408,-0.128883,0.321641,-0.026485,-0.066756,-0.077484,0.1504,0.0978,0.0398
improved_phase3_balanced_breadth_aggressive,stressed_panic,229,improved_phase3_balanced_breadth_aggressive,0.034218,0.086317,0.396421,-0.151424,0.225973,-0.026585,-0.144706,-0.132388,0.5214,0.0266,0.0131
improved_phase3_balanced_breadth_aggressive,recovery_fragile,49,improved_phase3_balanced_breadth_aggressive,0.077207,0.059778,1.291559,-0.031379,2.460469,-0.01665,-0.027115,-0.0162,0.1545,0.0545,0.0455
improved_phase3_balanced_breadth_aggressive,recovery_confirmed,44,improved_phase3_balanced_breadth_aggressive,0.024939,0.081251,0.306936,-0.055923,0.445951,-0.024466,-0.037562,-0.050641,0.0926,0.0559,0.0598
improved_phase3_stretch_breadth_aggressive,neutral_mixed,493,improved_phase3_stretch_breadth_aggressive,0.114024,0.077642,1.468579,-0.102315,1.114438,-0.024111,-0.056206,-0.060716,0.2632,0.0762,0.0394
improved_phase3_stretch_breadth_aggressive,calm_trend,295,improved_phase3_stretch_breadth_aggressive,0.042206,0.077391,0.545364,-0.127064,0.332165,-0.026556,-0.068099,-0.079547,0.1628,0.1029,0.0426
improved_phase3_stretch_breadth_aggressive,stressed_panic,229,improved_phase3_stretch_breadth_aggressive,0.034762,0.087921,0.395376,-0.155118,0.2241,-0.027017,-0.148334,-0.135856,0.5192,0.0269,0.0133
improved_phase3_stretch_breadth_aggressive,recovery_fragile,49,improved_phase3_stretch_breadth_aggressive,0.079791,0.060052,1.328707,-0.031389,2.542053,-0.016618,-0.027296,-0.015472,0.1513,0.0551,0.0457
improved_phase3_stretch_breadth_aggressive,recovery_confirmed,44,improved_phase3_stretch_breadth_aggressive,0.023663,0.081293,0.291084,-0.059355,0.398675,-0.024197,-0.039375,-0.054006,0.0954,0.0591,0.0791
ggg1,neutral_mixed,493,ggg1,0.112112,0.076707,1.461561,-0.091217,1.229073,-0.024706,-0.070536,-0.068173,,,
ggg1,calm_trend,295,ggg1,0.040851,0.079534,0.513625,-0.139322,0.293209,-0.027026,-0.067186,-0.074407,,,
ggg1,stressed_panic,229,ggg1,0.035803,0.074483,0.480687,-0.121622,0.294378,-0.02312,-0.111421,-0.101854,,,
ggg1,recovery_fragile,49,ggg1,0.066671,0.058374,1.142121,-0.032194,2.070886,-0.017135,-0.027489,-0.020448,,,
ggg1,recovery_confirmed,44,ggg1,0.025705,0.074664,0.344267,-0.053798,0.477794,-0.022096,-0.033817,-0.04817,,,
phase2_best,neutral_mixed,493,phase2_best,0.117435,0.079954,1.468792,-0.097213,1.208013,-0.025602,-0.073128,-0.071446,,,
phase2_best,calm_trend,295,phase2_best,0.041268,0.079806,0.517105,-0.139793,0.29521,-0.027137,-0.067186,-0.074348,,,
phase2_best,stressed_panic,229,phase2_best,0.035563,0.077812,0.457031,-0.130394,0.272732,-0.024113,-0.119506,-0.109933,,,
phase2_best,recovery_fragile,49,phase2_best,0.069606,0.060179,1.156644,-0.032387,2.149203,-0.017249,-0.027489,-0.019219,,,
phase2_best,recovery_confirmed,44,phase2_best,0.026741,0.077157,0.346583,-0.05393,0.495847,-0.022877,-0.035128,-0.048619,,,
