portfolio,window,label,n_weeks,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,worst_4w,worst_13w,avg_BIL,avg_SPY,avg_QQQ,avg_turnover,upside_capture_spy,downside_capture_spy,beta_spy,corr_spy,beta_qqq,corr_qqq,active_return_vs_ggg1,active_return_vs_phase2_best,active_return_vs_spy
improved_phase3_qqq_us_growth_leadership,bear_2022,improved_phase3_qqq_us_growth_leadership,52,-0.005305,0.063053,-0.084132,-0.063652,-0.083341,-0.016071,-0.024992,-0.049233,0.5481,0.0326,0.0018,0.0424,0.0524,0.0449,0.0152,0.0555,0.0147,0.0665,0.0077,0.006,0.1549
improved_phase3_qqq_us_growth_leadership,recovery_2023,improved_phase3_qqq_us_growth_leadership,171,0.139823,0.070877,1.972768,-0.052775,2.649444,-0.017734,-0.053679,-0.025069,0.2073,0.0634,0.0233,0.0833,0.1447,-0.2043,-0.0543,-0.1095,-0.0428,-0.1142,-0.0046,-0.0091,-0.0789
improved_phase3_breadth_credit_risk_on_offense,full,improved_phase3_breadth_credit_risk_on_offense,1110,0.069535,0.076586,0.907924,-0.14668,0.474057,-0.025388,-0.152559,-0.110789,0.2768,0.0608,0.026,0.0653,0.0434,-0.1239,-0.0313,-0.0718,-0.0238,-0.0621,-0.0018,-0.0045,-0.0532
improved_phase3_breadth_credit_risk_on_offense,holdout_2016,improved_phase3_breadth_credit_risk_on_offense,537,0.077439,0.08045,0.962572,-0.14668,0.527943,-0.025355,-0.152559,-0.110789,0.2488,0.0601,0.0243,0.069,0.0571,-0.1357,-0.0585,-0.1235,-0.0387,-0.0977,-0.0038,-0.0059,-0.0803
improved_phase3_breadth_credit_risk_on_offense,holdout_2020,improved_phase3_breadth_credit_risk_on_offense,328,0.089815,0.090346,0.994118,-0.14668,0.612317,-0.027375,-0.152559,-0.053083,0.2604,0.0603,0.0298,0.0734,0.0611,-0.1304,-0.0657,-0.1405,-0.044,-0.1106,-0.0055,-0.0073,-0.0731
improved_phase3_breadth_credit_risk_on_offense,holdout_2021,improved_phase3_breadth_credit_risk_on_offense,276,0.101421,0.073107,1.38731,-0.067689,1.498351,-0.019274,-0.057094,-0.049525,0.2534,0.0643,0.0206,0.0742,0.0905,-0.1392,-0.0334,-0.0731,-0.0241,-0.0687,-0.001,-0.004,-0.0503
improved_phase3_breadth_credit_risk_on_offense,bear_2022,improved_phase3_breadth_credit_risk_on_offense,52,-0.012701,0.0613,-0.20719,-0.067689,-0.187636,-0.015741,-0.024943,-0.049525,0.5445,0.0306,0.0019,0.0428,0.0359,0.042,0.0109,0.0412,0.0113,0.0525,0.0002,-0.0015,0.1475
improved_phase3_breadth_credit_risk_on_offense,recovery_2023,improved_phase3_breadth_credit_risk_on_offense,171,0.143924,0.076055,1.892372,-0.056056,2.567499,-0.018876,-0.057094,-0.02652,0.1577,0.0629,0.0194,0.0811,0.1385,-0.2277,-0.066,-0.124,-0.0523,-0.1301,-0.0001,-0.0046,-0.0748
improved_phase3_balanced_breadth_aggressive,full,improved_phase3_balanced_breadth_aggressive,1110,0.071207,0.078518,0.906886,-0.153192,0.464823,-0.025556,-0.15927,-0.118676,0.2768,0.0689,0.0348,0.0726,0.0462,-0.1245,-0.0318,-0.0712,-0.0235,-0.0597,0.0,-0.0027,-0.0516
improved_phase3_balanced_breadth_aggressive,holdout_2016,improved_phase3_balanced_breadth_aggressive,537,0.076813,0.082661,0.929252,-0.153192,0.501418,-0.025369,-0.15927,-0.118676,0.2564,0.0654,0.0379,0.0786,0.0571,-0.1346,-0.0613,-0.126,-0.0394,-0.0966,-0.0042,-0.0064,-0.0809
improved_phase3_balanced_breadth_aggressive,holdout_2020,improved_phase3_balanced_breadth_aggressive,328,0.090928,0.094134,0.965939,-0.153192,0.593555,-0.028021,-0.15927,-0.052838,0.2682,0.0644,0.0433,0.0807,0.0617,-0.1328,-0.0694,-0.1423,-0.0446,-0.1078,-0.004,-0.0058,-0.072
improved_phase3_balanced_breadth_aggressive,holdout_2021,improved_phase3_balanced_breadth_aggressive,276,0.10104,0.073534,1.374044,-0.064414,1.568591,-0.019499,-0.05783,-0.049164,0.2617,0.0689,0.0308,0.0811,0.0935,-0.1341,-0.0304,-0.0663,-0.0204,-0.0578,-0.0014,-0.0044,-0.0507
improved_phase3_balanced_breadth_aggressive,bear_2022,improved_phase3_balanced_breadth_aggressive,52,-0.005776,0.065536,-0.088134,-0.064414,-0.089669,-0.016946,-0.024889,-0.049164,0.5347,0.0345,0.002,0.0448,0.054,0.0466,0.0153,0.054,0.0152,0.066,0.0074,0.0057,0.1544
improved_phase3_balanced_breadth_aggressive,recovery_2023,improved_phase3_balanced_breadth_aggressive,171,0.142799,0.074387,1.919675,-0.056786,2.514685,-0.01884,-0.05783,-0.02974,0.1837,0.0678,0.0271,0.0881,0.1449,-0.2135,-0.0578,-0.111,-0.0452,-0.1148,-0.0013,-0.0059,-0.0759
improved_phase3_stretch_breadth_aggressive,full,improved_phase3_stretch_breadth_aggressive,1110,0.072841,0.07929,0.918669,-0.15763,0.462103,-0.025697,-0.164178,-0.12419,0.2777,0.0715,0.0367,0.073,0.0489,-0.1251,-0.0315,-0.0697,-0.0233,-0.0586,0.0017,-0.001,-0.0499
improved_phase3_stretch_breadth_aggressive,holdout_2016,improved_phase3_stretch_breadth_aggressive,537,0.078036,0.083564,0.933849,-0.15763,0.495057,-0.025579,-0.164178,-0.12419,0.2606,0.0673,0.0411,0.0781,0.0621,-0.131,-0.0595,-0.121,-0.0382,-0.0927,-0.0029,-0.005,-0.0797
improved_phase3_stretch_breadth_aggressive,holdout_2020,improved_phase3_stretch_breadth_aggressive,328,0.092597,0.095277,0.971869,-0.15763,0.587434,-0.028369,-0.164178,-0.054623,0.2744,0.0666,0.0476,0.0782,0.0681,-0.1279,-0.0672,-0.1363,-0.0431,-0.1028,-0.0022,-0.004,-0.0703
improved_phase3_stretch_breadth_aggressive,holdout_2021,improved_phase3_stretch_breadth_aggressive,276,0.104536,0.073997,1.412704,-0.062555,1.671108,-0.01945,-0.058673,-0.04912,0.2686,0.0713,0.0329,0.08,0.1027,-0.13,-0.0278,-0.0603,-0.0191,-0.0539,0.0022,-0.0008,-0.0472
improved_phase3_stretch_breadth_aggressive,bear_2022,improved_phase3_stretch_breadth_aggressive,52,0.000881,0.067908,0.012981,-0.062555,0.014091,-0.017236,-0.024842,-0.04912,0.5304,0.0366,0.0021,0.0446,0.0645,0.0458,0.0178,0.0603,0.0173,0.0728,0.0143,0.0125,0.161
improved_phase3_stretch_breadth_aggressive,recovery_2023,improved_phase3_stretch_breadth_aggressive,171,0.143926,0.075327,1.910695,-0.057602,2.498638,-0.01905,-0.058673,-0.031795,0.1831,0.0697,0.0279,0.0888,0.1461,-0.2149,-0.0579,-0.1099,-0.0454,-0.1138,-0.0001,-0.0046,-0.0748
ggg1,full,ggg1,1110,0.071381,0.076248,0.936168,-0.117739,0.606267,-0.025377,-0.12083,-0.079145,,,,,0.0451,-0.1262,-0.0308,-0.071,-0.024,-0.0627,0.0,-0.0027,-0.0514
ggg1,holdout_2016,ggg1,537,0.081287,0.079775,1.018956,-0.117739,0.690402,-0.025366,-0.12083,-0.077378,,,,,0.0605,-0.1406,-0.0575,-0.1224,-0.0391,-0.0993,0.0,-0.0021,-0.0765
ggg1,holdout_2020,ggg1,328,0.095497,0.088243,1.082205,-0.117739,0.811093,-0.026575,-0.12083,-0.049791,,,,,0.0655,-0.1362,-0.0653,-0.1429,-0.0449,-0.1156,0.0,-0.0019,-0.0674
ggg1,holdout_2021,ggg1,276,0.102228,0.075817,1.348356,-0.072541,1.409258,-0.020791,-0.074317,-0.049791,,,,,0.0914,-0.1404,-0.0343,-0.0726,-0.0257,-0.0706,0.0,-0.003,-0.0495
ggg1,bear_2022,ggg1,52,-0.012933,0.061225,-0.211239,-0.068418,-0.18903,-0.015626,-0.025113,-0.049791,,,,,0.0362,0.0425,0.012,0.0452,0.0121,0.0563,0.0,-0.0017,0.1472
ggg1,recovery_2023,ggg1,171,0.143643,0.079954,1.796574,-0.072541,1.980178,-0.021295,-0.074317,-0.026489,,,,,0.136,-0.2322,-0.0703,-0.1257,-0.0553,-0.1307,0.0,-0.0045,-0.075
phase2_best,full,phase2_best,1110,0.073892,0.078627,0.93978,-0.125043,0.590929,-0.026048,-0.12861,-0.082666,,,,,0.0464,-0.1308,-0.0321,-0.0716,-0.025,-0.0635,0.0027,0.0,-0.0489
phase2_best,holdout_2016,phase2_best,537,0.083163,0.08253,1.007678,-0.125043,0.665074,-0.026232,-0.12861,-0.082251,,,,,0.0612,-0.1451,-0.0595,-0.1225,-0.0406,-0.0998,0.0021,0.0,-0.0746
phase2_best,holdout_2020,phase2_best,328,0.097023,0.091467,1.060738,-0.125043,0.775912,-0.027628,-0.12861,-0.049786,,,,,0.0658,-0.1397,-0.0674,-0.1422,-0.0464,-0.1153,0.0019,0.0,-0.0659
phase2_best,holdout_2021,phase2_best,276,0.105012,0.078323,1.340756,-0.076287,1.376535,-0.021518,-0.078258,-0.049786,,,,,0.0932,-0.1452,-0.0363,-0.0743,-0.027,-0.072,0.003,0.0,-0.0467
phase2_best,bear_2022,phase2_best,52,-0.01141,0.064408,-0.177155,-0.069271,-0.16472,-0.01643,-0.025111,-0.049786,,,,,0.0421,0.0449,0.0135,0.0482,0.0137,0.0607,0.0017,0.0,0.1488
phase2_best,recovery_2023,phase2_best,171,0.147858,0.083019,1.781016,-0.076287,1.938185,-0.022202,-0.078258,-0.027227,,,,,0.1369,-0.2437,-0.0755,-0.13,-0.0592,-0.1349,0.0045,0.0,-0.0708
prod_pin,full,prod_pin,1110,0.068923,0.077931,0.884416,-0.139754,0.493176,-0.026181,-0.144929,-0.104984,,,,,0.0433,-0.1227,-0.0249,-0.0561,-0.0201,-0.0514,-0.0023,-0.005,-0.0539
prod_pin,holdout_2016,prod_pin,537,0.073745,0.078468,0.939803,-0.139754,0.527673,-0.025768,-0.144929,-0.104984,,,,,0.0621,-0.1187,-0.0419,-0.0908,-0.0277,-0.0716,-0.0077,-0.0098,-0.084
prod_pin,holdout_2020,prod_pin,328,0.080675,0.086175,0.936171,-0.139754,0.577261,-0.027298,-0.144929,-0.073693,,,,,0.0617,-0.1086,-0.0464,-0.104,-0.0313,-0.0824,-0.0151,-0.0169,-0.0822
prod_pin,holdout_2021,prod_pin,276,0.094659,0.076181,1.242558,-0.062642,1.511116,-0.021866,-0.05775,-0.060119,,,,,0.0854,-0.1303,-0.0304,-0.0639,-0.0222,-0.0608,-0.0076,-0.0106,-0.0571
prod_pin,bear_2022,prod_pin,52,0.005106,0.05855,0.087207,-0.045659,0.111827,-0.015643,-0.020259,-0.036893,,,,,0.067,0.043,0.0179,0.0705,0.015,0.0733,0.0179,0.0162,0.1653
prod_pin,recovery_2023,prod_pin,171,0.123625,0.075773,1.631516,-0.062642,1.973518,-0.020601,-0.05775,-0.060119,,,,,0.1197,-0.1992,-0.0653,-0.1233,-0.0502,-0.1253,-0.0204,-0.025,-0.0951
shadow,full,shadow,1110,0.068584,0.077616,0.883625,-0.136741,0.501559,-0.026085,-0.141647,-0.101701,,,,,0.0427,-0.1225,-0.0249,-0.0563,-0.0201,-0.0517,-0.0027,-0.0054,-0.0542
shadow,holdout_2016,shadow,537,0.07375,0.078135,0.94387,-0.136741,0.539337,-0.025723,-0.141647,-0.101701,,,,,0.062,-0.1187,-0.0416,-0.0903,-0.0275,-0.0715,-0.0077,-0.0098,-0.084
shadow,holdout_2020,shadow,328,0.080401,0.085398,0.941486,-0.136741,0.587977,-0.02715,-0.141647,-0.072301,,,,,0.0614,-0.1082,-0.0459,-0.1039,-0.031,-0.0825,-0.0154,-0.0173,-0.0825
shadow,holdout_2021,shadow,276,0.09379,0.07579,1.237495,-0.062395,1.503155,-0.021881,-0.056361,-0.059878,,,,,0.0843,-0.1297,-0.0302,-0.0639,-0.0221,-0.0609,-0.0085,-0.0115,-0.0579
shadow,bear_2022,shadow,52,0.002971,0.057218,0.051919,-0.045576,0.065183,-0.015568,-0.020259,-0.036888,,,,,0.0632,0.0429,0.0167,0.0674,0.0138,0.0687,0.0157,0.014,0.1631
shadow,recovery_2023,shadow,171,0.122928,0.075216,1.634326,-0.062395,1.970144,-0.020498,-0.056361,-0.059878,,,,,0.1191,-0.198,-0.0642,-0.1221,-0.0494,-0.124,-0.0212,-0.0257,-0.0958
equal_weight,full,equal_weight,1110,0.05071,0.066576,0.761677,-0.143288,0.3539,-0.022942,-0.148422,-0.111505,,,,,0.0266,-0.0979,-0.0211,-0.0556,-0.0151,-0.0452,-0.0215,-0.0242,-0.0721
equal_weight,holdout_2016,equal_weight,537,0.059601,0.068509,0.869979,-0.143288,0.415954,-0.023158,-0.148422,-0.111505,,,,,0.0516,-0.0947,-0.03,-0.0744,-0.0164,-0.0484,-0.0226,-0.0248,-0.0982
equal_weight,holdout_2020,equal_weight,328,0.0708,0.0767,0.923081,-0.143288,0.494112,-0.02479,-0.148422,-0.083317,,,,,0.0555,-0.0936,-0.0339,-0.0853,-0.0208,-0.0615,-0.0258,-0.0276,-0.0921
equal_weight,holdout_2021,equal_weight,276,0.089071,0.066058,1.348378,-0.057633,1.545485,-0.018681,-0.045782,-0.055265,,,,,0.0805,-0.1216,-0.0204,-0.0496,-0.0127,-0.04,-0.0139,-0.0169,-0.0627
equal_weight,bear_2022,equal_weight,52,0.008614,0.051685,0.166662,-0.038985,0.220957,-0.011996,-0.018181,-0.032438,,,,,0.0638,0.0365,0.022,0.0981,0.019,0.1048,0.021,0.0193,0.1688
equal_weight,recovery_2023,equal_weight,171,0.111339,0.064106,1.73681,-0.057633,1.931865,-0.017509,-0.045782,-0.055265,,,,,0.1106,-0.1749,-0.05,-0.1115,-0.0345,-0.1018,-0.0337,-0.0382,-0.1073
spy,full,spy,1109,0.105431,0.175737,0.599935,-0.54613,0.193051,-0.058004,-0.347619,-0.438587,,,,,1.0,1.0,1.0,1.0,0.8059,0.9148,0.0482,0.0455,-0.0174
spy,holdout_2016,spy,537,0.141105,0.169869,0.830668,-0.31829,0.443322,-0.05569,-0.347619,-0.307377,,,,,1.0,1.0,1.0,1.0,0.7766,0.9273,0.073,0.0709,-0.0167
spy,holdout_2020,spy,328,0.141386,0.193058,0.732351,-0.31829,0.444205,-0.060628,-0.347619,-0.225657,,,,,1.0,1.0,1.0,1.0,0.7895,0.9292,0.0632,0.0613,-0.0215
spy,holdout_2021,spy,276,0.137128,0.160234,0.855797,-0.239272,0.573105,-0.045772,-0.123089,-0.183121,,,,,1.0,1.0,1.0,1.0,0.7236,0.9422,0.0463,0.0433,-0.0146
spy,bear_2022,spy,52,-0.181754,0.23075,-0.787666,-0.224795,-0.808532,-0.05514,-0.107089,-0.183121,,,,,1.0,1.0,1.0,1.0,0.7797,0.9647,-0.149,-0.1508,-0.0216
spy,recovery_2023,spy,171,0.206376,0.142987,1.443324,-0.168772,1.222815,-0.038331,-0.123089,-0.148958,,,,,1.0,1.0,1.0,1.0,0.7104,0.9391,0.0714,0.0669,-0.0123
qqq,full,qqq,1110,0.119069,0.199486,0.596877,-0.559352,0.212869,-0.063622,-0.332334,-0.58462,,,,,1.1215,1.1088,1.0385,0.9148,1.0,1.0,0.0671,0.0644,-0.0037
qqq,holdout_2016,qqq,537,0.157341,0.202821,0.77576,-0.379089,0.415049,-0.06314,-0.312275,-0.252721,,,,,1.1957,1.2191,1.1071,0.9273,1.0,1.0,0.0967,0.0945,-0.0004
qqq,holdout_2020,qqq,328,0.151569,0.227222,0.667052,-0.379089,0.399823,-0.0668,-0.312275,-0.252721,,,,,1.1993,1.2328,1.0937,0.9292,1.0,1.0,0.0819,0.08,-0.0113
qqq,holdout_2021,qqq,276,0.115248,0.208628,0.552409,-0.379089,0.304013,-0.057205,-0.149902,-0.252721,,,,,1.2298,1.3442,1.2267,0.9422,1.0,1.0,0.0342,0.0312,-0.0365
qqq,bear_2022,qqq,52,-0.359831,0.285515,-1.26029,-0.338113,-1.064234,-0.06494,-0.146494,-0.252721,,,,,1.1475,1.4137,1.1937,0.9647,1.0,1.0,-0.3226,-0.3243,-0.1997
qqq,recovery_2023,qqq,171,0.269991,0.189014,1.428418,-0.219558,1.229705,-0.047607,-0.149902,-0.203768,,,,,1.2892,1.283,1.2414,0.9391,1.0,1.0,0.1454,0.1408,0.0513
bench_60_40,full,bench_60_40,1109,0.080947,0.103123,0.784955,-0.313836,0.257929,-0.032731,-0.199869,-0.24065,,,,,0.5835,0.5435,0.569,0.9697,0.4595,0.8888,0.0122,0.0094,-0.0418
bench_60_40,holdout_2016,bench_60_40,537,0.092093,0.103937,0.886047,-0.207573,0.443667,-0.033312,-0.190862,-0.151939,,,,,0.6029,0.5887,0.5933,0.9696,0.4664,0.9101,0.0133,0.0112,-0.0657
bench_60_40,holdout_2020,bench_60_40,328,0.088059,0.120133,0.733014,-0.207573,0.424233,-0.037053,-0.190862,-0.141819,,,,,0.6185,0.6228,0.6048,0.9719,0.4826,0.9128,-0.0038,-0.0057,-0.0749
bench_60_40,holdout_2021,bench_60_40,276,0.076474,0.103849,0.736396,-0.207573,0.36842,-0.029295,-0.081708,-0.141819,,,,,0.6253,0.6501,0.6234,0.9618,0.4524,0.9089,-0.0231,-0.0261,-0.0753
bench_60_40,bear_2022,bench_60_40,52,-0.16478,0.152193,-1.082708,-0.192171,-0.857468,-0.036305,-0.081708,-0.141819,,,,,0.6029,0.6854,0.6401,0.9705,0.4985,0.9352,-0.1441,-0.1458,-0.0046
bench_60_40,recovery_2023,bench_60_40,171,0.137113,0.092218,1.48683,-0.090244,1.519355,-0.02282,-0.063409,-0.081278,,,,,0.6478,0.6328,0.6145,0.9527,0.4343,0.8901,-0.0054,-0.0099,-0.0816
