factor,status,valid_cells,valid_dates_minimum_5_assets,nonfinite_valid_cells,error
old_070,pass,81319,6259,0,
old_071,pass,81716,6267,0,
old_072,pass,81760,6272,0,
old_073,pass,80373,6233,0,
old_074,pass,81267,6236,0,
old_075,pass,81797,6272,0,
old_076,pass,81754,6269,0,
original_001,pass,81769,6271,0,
original_002,pass,81795,6273,0,
original_003,pass,81795,6273,0,
original_004,pass,71720,6104,0,
original_005,pass,71720,6104,0,
original_006,pass,81782,6272,0,
original_007,pass,77522,6184,0,
original_008,pass,77522,6184,0,
original_009,pass,81792,6272,0,
original_010,pass,81797,6272,0,
original_011,pass,79517,6211,0,
original_012,pass,79517,6211,0,
original_013,pass,80634,6239,0,
original_014,pass,80634,6239,0,
original_015,pass,81779,6271,0,
original_016,pass,81771,6271,0,
original_017,pass,81805,6273,0,
original_018,pass,81805,6273,0,
original_019,pass,81810,6273,0,
original_020,pass,81810,6273,0,
original_021,pass,81438,6257,0,
original_022,pass,81508,6262,0,
original_023,pass,81536,6264,0,
original_024,pass,81564,6266,0,
original_025,pass,81438,6257,0,
original_026,pass,81508,6262,0,
original_027,pass,81564,6266,0,
original_028,pass,81298,6247,0,
stock_001,pass,81751,6271,0,
stock_002,pass,81780,6271,0,
stock_003,pass,81267,6257,0,
stock_004,pass,81767,6270,0,
stock_005,pass,81494,6261,0,
stock_006,pass,81803,6273,0,
stock_007,pass,71601,6102,0,
stock_008,pass,79050,6206,0,
stock_009,pass,81791,6273,0,
stock_010,pass,81796,6272,0,
stock_011,pass,81803,6273,0,
stock_012,pass,81337,6260,0,
stock_013,pass,81337,6260,0,
stock_014,pass,81410,6255,0,
stock_015,pass,77508,6183,0,
stock_016,pass,76787,6175,0,
stock_017,pass,81319,6260,0,
stock_018,pass,81068,6242,0,
stock_019,pass,81578,6267,0,
stock_020,pass,81564,6266,0,
stock_021,pass,81578,6267,0,
stock_022,pass,81781,6272,0,
