factor,direction,variant,period,observations,mean_ic,median_ic,ic_std,positive_rate
add_015,-1,return_permutation,retrospective_test,1404,0.01510337145816468,0.017582417582417582,0.2801494849342386,0.5178062678062678
old_042,1,primary,development,2769,0.02716022493386085,0.027472527472527472,0.3674591742719186,0.5276273022751896
old_042,1,primary,validation,1259,0.00478089236427173,0.006622581101349103,0.3417861480870521,0.5099285146942018
old_042,1,primary,retrospective_test,1404,0.018397285766652727,0.020038478561055707,0.3458806082704066,0.5227920227920227
old_042,1,stale_1,development,2769,0.004018638059992514,0.013986013986013986,0.3627493194886787,0.5135427952329361
old_042,1,stale_1,validation,1259,-0.01617802124708571,-0.0198019921806251,0.3414397092263127,0.48212867355043687
old_042,1,stale_1,retrospective_test,1404,0.015877573136246086,0.018690995303721043,0.3450830625014224,0.5192307692307693
old_042,1,stale_5,development,2769,0.011637716978856212,0.016506205436421884,0.3565898697962782,0.5167930660888408
old_042,1,stale_5,validation,1259,-0.0031868210697644857,-0.01098901098901099,0.33880997498759124,0.4924543288324067
old_042,1,stale_5,retrospective_test,1404,0.0071470163059947755,0.016493193105918846,0.3510368708074217,0.5128205128205128
old_042,1,inverted,development,2769,-0.02716022493386085,-0.027472527472527472,0.3674591742719186,0.4658721560130011
old_042,1,inverted,validation,1259,-0.00478089236427173,-0.006622581101349103,0.3417861480870521,0.49007148530579825
old_042,1,inverted,retrospective_test,1404,-0.018397285766652727,-0.020038478561055707,0.3458806082704066,0.4757834757834758
old_042,1,asset_permutation,development,2754,-0.003862638432717029,-0.01473473584434768,0.3264976872004402,0.4807552650689906
old_042,1,asset_permutation,validation,1259,-0.011152216238319383,-0.011001106767013944,0.2682125032927632,0.48768864177918986
old_042,1,asset_permutation,retrospective_test,1404,-0.017112245451145584,-0.01320860960532267,0.2758625945178765,0.4772079772079772
old_042,1,return_permutation,development,2755,0.0053310620971830655,0.0,0.3468223774109351,0.49727767695099817
old_042,1,return_permutation,validation,1259,-0.013264818063681693,-0.021015794050150385,0.34119322291671,0.4749801429706116
old_042,1,return_permutation,retrospective_test,1404,-0.014698057725718305,-0.02417582417582418,0.32254164809868224,0.4700854700854701
