signal_name,manifest_file,category,used_by_layer2_manifest,used_by_signal_subset_tests,usage_instrumentation_quality
quality_proxy,signal_quality.csv,quality_proxy,composite_equal_weight|composite_selective_concentrated|composite_selective_signals|composite_selective_strength_weighted|composite_selective_trend_ensemble|sector_factor_rotation,base_core|base_plus_one|current_full|drop_from_current_full,EXPLICIT_MANIFEST_MATCH
quality_proxy_asset_class_neutral,signal_quality.csv,quality_proxy,composite_equal_weight|composite_selective_concentrated|composite_selective_signals|composite_selective_strength_weighted|composite_selective_trend_ensemble|sector_factor_rotation,,EXPLICIT_MANIFEST_MATCH
residual_momentum,signal_residual_momentum.csv,price_momentum,composite_equal_weight,base_plus_one|current_full|drop_from_current_full,EXPLICIT_MANIFEST_MATCH
reversal_1w_asset_class_neutral,signal_reversal.csv,price_reversal,cross_sectional_reversal_combo_ls,,EXPLICIT_MANIFEST_MATCH
reversal_1w_global,signal_reversal.csv,price_reversal,cross_sectional_reversal_combo_ls,,EXPLICIT_MANIFEST_MATCH
reversal_4w_asset_class_neutral,signal_reversal.csv,price_reversal,cross_sectional_reversal_combo_ls,,EXPLICIT_MANIFEST_MATCH
reversal_4w_global,signal_reversal.csv,price_reversal,cross_sectional_reversal_combo_ls,base_plus_one|current_full|drop_from_current_full,EXPLICIT_MANIFEST_MATCH
trend_clarity_momentum,signal_trend_quality.csv,trend_quality,composite_trend_quality_module|composite_trend_quality_refined,,EXPLICIT_MANIFEST_MATCH
tsmom_vol_scaled,signal_tsmom.csv,price_momentum,composite_selective_trend_ensemble|composite_trend_quality_module|composite_trend_quality_refined,,EXPLICIT_MANIFEST_MATCH
value_proxy,signal_value.csv,value_proxy,composite_equal_weight|composite_selective_concentrated|composite_selective_signals|composite_selective_strength_weighted|composite_selective_trend_ensemble|sector_factor_rotation,base_core|base_plus_one|current_full|drop_from_current_full,EXPLICIT_MANIFEST_MATCH
value_proxy_asset_class_neutral,signal_value.csv,value_proxy,composite_equal_weight|composite_selective_concentrated|composite_selective_signals|composite_selective_strength_weighted|composite_selective_trend_ensemble|sector_factor_rotation,,EXPLICIT_MANIFEST_MATCH
vix_term_structure_regime,regime_features.csv,conditioning_feature,composite_regime_conditioned,,EXPLICIT_MANIFEST_MATCH
xsmom_asset_class_neutral,signal_xsmom.csv,price_momentum,composite_breadth_filtered|composite_confirmation_aware_momentum|composite_equal_weight|composite_ic_weighted|composite_regime_conditioned|composite_selective_concentrated|composite_selective_signals|composite_selective_strength_weighted|composite_selective_trend_ensemble|composite_trend_quality_module|composite_trend_quality_refined|dual_momentum_single_best|dual_momentum_topn|sector_factor_rotation|sector_rotation_with_sma_filter,,EXPLICIT_MANIFEST_MATCH
xsmom_global,signal_xsmom.csv,price_momentum,composite_breadth_filtered|composite_confirmation_aware_momentum|composite_equal_weight|composite_ic_weighted|composite_regime_conditioned|composite_selective_concentrated|composite_selective_signals|composite_selective_strength_weighted|composite_selective_trend_ensemble|composite_trend_quality_module|composite_trend_quality_refined|dual_momentum_single_best|dual_momentum_topn|sector_factor_rotation|sector_rotation_with_sma_filter,base_core|base_plus_one|current_full|drop_from_current_full,EXPLICIT_MANIFEST_MATCH
