decision_time,cik10,income_tax,inventory
2023-01-01 00:00:00+00:00,0000009092,6014000.0,113608000.0
2023-04-01 00:00:00+00:00,0000009092,6014000.0,119856000.0
2023-07-01 00:00:00+00:00,0000009092,6221000.0,132344000.0
2023-10-01 00:00:00+00:00,0000009092,7803000.0,144749000.0
2024-01-01 00:00:00+00:00,0000009092,6621000.0,147788000.0
2024-04-01 00:00:00+00:00,0000009092,6621000.0,153674000.0
2024-07-01 00:00:00+00:00,0000009092,8961000.0,160444000.0
2024-10-01 00:00:00+00:00,0000009092,10306000.0,161266000.0
2025-01-01 00:00:00+00:00,0000009092,10873000.0,158517000.0
2025-04-01 00:00:00+00:00,0000009092,10873000.0,143408000.0
2025-07-01 00:00:00+00:00,0000009092,12389000.0,149405000.0
2025-10-01 00:00:00+00:00,0000009092,11202000.0,147261000.0
2026-01-01 00:00:00+00:00,0000009092,12365000.0,152627000.0
2026-04-01 00:00:00+00:00,0000009092,12365000.0,151935000.0
2026-07-01 00:00:00+00:00,0000009092,9002000.0,175193000.0
2023-01-01 00:00:00+00:00,0000010254,60518000.0,
2023-04-01 00:00:00+00:00,0000010254,60518000.0,
2023-07-01 00:00:00+00:00,0000010254,18601000.0,
2023-10-01 00:00:00+00:00,0000010254,18053000.0,
2024-01-01 00:00:00+00:00,0000010254,18930000.0,
2024-04-01 00:00:00+00:00,0000010254,18930000.0,
2024-07-01 00:00:00+00:00,0000010254,18930000.0,
2024-10-01 00:00:00+00:00,0000010254,18930000.0,
2025-01-01 00:00:00+00:00,0000010254,18930000.0,
2025-04-01 00:00:00+00:00,0000010254,18930000.0,
2025-07-01 00:00:00+00:00,0000010254,18930000.0,
2025-10-01 00:00:00+00:00,0000010254,18930000.0,
2026-01-01 00:00:00+00:00,0000010254,18930000.0,
2026-04-01 00:00:00+00:00,0000010254,18930000.0,
2026-07-01 00:00:00+00:00,0000010254,18930000.0,
2023-01-01 00:00:00+00:00,0000016058,27485000.0,110202000.0
2023-04-01 00:00:00+00:00,0000016058,23824000.0,113769000.0
2023-07-01 00:00:00+00:00,0000016058,30722000.0,124381000.0
2023-10-01 00:00:00+00:00,0000016058,30722000.0,130591000.0
2024-01-01 00:00:00+00:00,0000016058,25731000.0,140880000.0
2024-04-01 00:00:00+00:00,0000016058,21916000.0,138553000.0
2024-07-01 00:00:00+00:00,0000016058,38286000.0,132685000.0
2024-10-01 00:00:00+00:00,0000016058,38286000.0,118439000.0
2025-01-01 00:00:00+00:00,0000016058,35694000.0,127314000.0
2025-04-01 00:00:00+00:00,0000016058,27294000.0,138338000.0
2025-07-01 00:00:00+00:00,0000016058,39392000.0,135609000.0
2025-10-01 00:00:00+00:00,0000016058,39392000.0,129129000.0
2026-01-01 00:00:00+00:00,0000016058,41292000.0,140219000.0
2026-04-01 00:00:00+00:00,0000016058,37664000.0,152586000.0
2026-07-01 00:00:00+00:00,0000016058,46217000.0,182126000.0
2023-01-01 00:00:00+00:00,0000021535,10193000.0,165244000.0
2023-04-01 00:00:00+00:00,0000021535,10193000.0,170141000.0
2023-07-01 00:00:00+00:00,0000021535,4973000.0,176189000.0
2023-10-01 00:00:00+00:00,0000021535,6435000.0,173753000.0
2024-01-01 00:00:00+00:00,0000021535,4721000.0,166673000.0
2024-04-01 00:00:00+00:00,0000021535,4721000.0,155793000.0
2024-07-01 00:00:00+00:00,0000021535,-1700000.0,151587000.0
2024-10-01 00:00:00+00:00,0000021535,1286000.0,146074000.0
2025-01-01 00:00:00+00:00,0000021535,3231000.0,144125000.0
2025-04-01 00:00:00+00:00,0000021535,3231000.0,141861000.0
2025-07-01 00:00:00+00:00,0000021535,4838000.0,139365000.0
2025-10-01 00:00:00+00:00,0000021535,2049000.0,137831000.0
2026-01-01 00:00:00+00:00,0000021535,-3714000.0,134246000.0
2026-04-01 00:00:00+00:00,0000021535,-3714000.0,129006000.0
2026-07-01 00:00:00+00:00,0000021535,3055000.0,130805000.0
2023-01-01 00:00:00+00:00,0000023111,759000.0,
2023-04-01 00:00:00+00:00,0000023111,759000.0,
2023-07-01 00:00:00+00:00,0000023111,162000.0,
2023-10-01 00:00:00+00:00,0000023111,51000.0,
2024-01-01 00:00:00+00:00,0000023111,-228000.0,
2024-04-01 00:00:00+00:00,0000023111,-228000.0,
2024-07-01 00:00:00+00:00,0000023111,-228000.0,
2024-10-01 00:00:00+00:00,0000023111,-228000.0,
2025-01-01 00:00:00+00:00,0000023111,-228000.0,
2025-04-01 00:00:00+00:00,0000023111,-228000.0,
2025-07-01 00:00:00+00:00,0000023111,-228000.0,
2025-10-01 00:00:00+00:00,0000023111,-228000.0,
2026-01-01 00:00:00+00:00,0000023111,-228000.0,
2026-04-01 00:00:00+00:00,0000023111,-228000.0,
2026-07-01 00:00:00+00:00,0000023111,-228000.0,
2023-01-01 00:00:00+00:00,0000023194,102810000.0,
2023-04-01 00:00:00+00:00,0000023194,102810000.0,
2023-07-01 00:00:00+00:00,0000023194,39716000.0,
2023-10-01 00:00:00+00:00,0000023194,-14446000.0,
2024-01-01 00:00:00+00:00,0000023194,3608000.0,
2024-04-01 00:00:00+00:00,0000023194,3608000.0,
2024-07-01 00:00:00+00:00,0000023194,-8292000.0,
2024-10-01 00:00:00+00:00,0000023194,-46106000.0,
2025-01-01 00:00:00+00:00,0000023194,-14696000.0,
2025-04-01 00:00:00+00:00,0000023194,-14696000.0,
2025-07-01 00:00:00+00:00,0000023194,-143276000.0,
2025-10-01 00:00:00+00:00,0000023194,141487000.0,
2026-01-01 00:00:00+00:00,0000023194,18623000.0,
2026-04-01 00:00:00+00:00,0000023194,18623000.0,
2026-07-01 00:00:00+00:00,0000023194,11990000.0,
2023-01-01 00:00:00+00:00,0000023197,-608000.0,99748000.0
2023-04-01 00:00:00+00:00,0000023197,-222000.0,100130000.0
2023-07-01 00:00:00+00:00,0000023197,-2932000.0,107311000.0
2023-10-01 00:00:00+00:00,0000023197,-2932000.0,107311000.0
2024-01-01 00:00:00+00:00,0000023197,-1344000.0,85440000.0
2024-04-01 00:00:00+00:00,0000023197,7364000.0,85788000.0
2024-07-01 00:00:00+00:00,0000023197,-5381000.0,96120000.0
2024-10-01 00:00:00+00:00,0000023197,-5381000.0,96120000.0
2025-01-01 00:00:00+00:00,0000023197,-5381000.0,93136000.0
2025-04-01 00:00:00+00:00,0000023197,-968000.0,81401000.0
2025-07-01 00:00:00+00:00,0000023197,-1801000.0,77691000.0
2025-10-01 00:00:00+00:00,0000023197,-1801000.0,77691000.0
2026-01-01 00:00:00+00:00,0000023197,442000.0,67845000.0
2026-04-01 00:00:00+00:00,0000023197,17000.0,66005000.0
2026-07-01 00:00:00+00:00,0000023197,1268000.0,61828000.0
2023-01-01 00:00:00+00:00,0000026058,5500000.0,63465000.0
2023-04-01 00:00:00+00:00,0000026058,5500000.0,62260000.0
2023-07-01 00:00:00+00:00,0000026058,4365000.0,63470000.0
2023-10-01 00:00:00+00:00,0000026058,3183000.0,62556000.0
2024-01-01 00:00:00+00:00,0000026058,4766000.0,65384000.0
2024-04-01 00:00:00+00:00,0000026058,4766000.0,60031000.0
2024-07-01 00:00:00+00:00,0000026058,2539000.0,57784000.0
2024-10-01 00:00:00+00:00,0000026058,3062000.0,51670000.0
2025-01-01 00:00:00+00:00,0000026058,3764000.0,57288000.0
2025-04-01 00:00:00+00:00,0000026058,3764000.0,53578000.0
2025-07-01 00:00:00+00:00,0000026058,2755000.0,53883000.0
2025-10-01 00:00:00+00:00,0000026058,4455000.0,57103000.0
2026-01-01 00:00:00+00:00,0000026058,6033000.0,54246000.0
2026-04-01 00:00:00+00:00,0000026058,6033000.0,52854000.0
2026-07-01 00:00:00+00:00,0000026058,4476000.0,57270000.0
2023-01-01 00:00:00+00:00,0000028823,3900000.0,666200000.0
2023-04-01 00:00:00+00:00,0000028823,3900000.0,588100000.0
2023-07-01 00:00:00+00:00,0000028823,21100000.0,639500000.0
2023-10-01 00:00:00+00:00,0000028823,-24800000.0,648300000.0
2024-01-01 00:00:00+00:00,0000028823,-24800000.0,666200000.0
2024-04-01 00:00:00+00:00,0000028823,-24800000.0,589800000.0
2024-07-01 00:00:00+00:00,0000028823,-3100000.0,636100000.0
2024-10-01 00:00:00+00:00,0000028823,32000000.0,632700000.0
2025-01-01 00:00:00+00:00,0000028823,29900000.0,641100000.0
2025-04-01 00:00:00+00:00,0000028823,29900000.0,528100000.0
2025-07-01 00:00:00+00:00,0000028823,-2200000.0,553000000.0
2025-10-01 00:00:00+00:00,0000028823,4800000.0,574000000.0
2026-01-01 00:00:00+00:00,0000028823,9600000.0,599700000.0
2026-04-01 00:00:00+00:00,0000028823,9600000.0,521000000.0
2026-07-01 00:00:00+00:00,0000028823,5700000.0,553100000.0
2023-01-01 00:00:00+00:00,0000029002,20172000.0,374811000.0
2023-04-01 00:00:00+00:00,0000029002,20172000.0,360281000.0
2023-07-01 00:00:00+00:00,0000029002,16616000.0,341941000.0
2023-10-01 00:00:00+00:00,0000029002,17224000.0,325733000.0
2024-01-01 00:00:00+00:00,0000029002,10674000.0,343694000.0
2024-04-01 00:00:00+00:00,0000029002,10674000.0,389774000.0
2024-07-01 00:00:00+00:00,0000029002,3537000.0,429363000.0
2024-10-01 00:00:00+00:00,0000029002,2643000.0,461539000.0
2025-01-01 00:00:00+00:00,0000029002,3619000.0,482038000.0
2025-04-01 00:00:00+00:00,0000029002,3619000.0,474948000.0
2025-07-01 00:00:00+00:00,0000029002,20000.0,471036000.0
2025-10-01 00:00:00+00:00,0000029002,9063000.0,482701000.0
2026-01-01 00:00:00+00:00,0000029002,3555000.0,470912000.0
2026-04-01 00:00:00+00:00,0000029002,3555000.0,471546000.0
2026-07-01 00:00:00+00:00,0000029002,4000000.0,492761000.0
2023-01-01 00:00:00+00:00,0000031235,1000000.0,273000000.0
2023-04-01 00:00:00+00:00,0000031235,1000000.0,237000000.0
2023-07-01 00:00:00+00:00,0000031235,8000000.0,251000000.0
2023-10-01 00:00:00+00:00,0000031235,2000000.0,252000000.0
2024-01-01 00:00:00+00:00,0000031235,-2000000.0,239000000.0
2024-04-01 00:00:00+00:00,0000031235,-2000000.0,217000000.0
2024-07-01 00:00:00+00:00,0000031235,3000000.0,230000000.0
2024-10-01 00:00:00+00:00,0000031235,1000000.0,232000000.0
2025-01-01 00:00:00+00:00,0000031235,3000000.0,241000000.0
2025-04-01 00:00:00+00:00,0000031235,3000000.0,219000000.0
2025-07-01 00:00:00+00:00,0000031235,2000000.0,236000000.0
2025-10-01 00:00:00+00:00,0000031235,2000000.0,238000000.0
2026-01-01 00:00:00+00:00,0000031235,3000000.0,236000000.0
2026-04-01 00:00:00+00:00,0000031235,3000000.0,218000000.0
2026-07-01 00:00:00+00:00,0000031235,3000000.0,255000000.0
2023-01-01 00:00:00+00:00,0000031791,12634000.0,378256000.0
2023-04-01 00:00:00+00:00,0000031791,12634000.0,405462000.0
2023-07-01 00:00:00+00:00,0000031791,4595000.0,429423000.0
2023-10-01 00:00:00+00:00,0000031791,12932000.0,436822000.0
2024-01-01 00:00:00+00:00,0000031791,18134000.0,435696000.0
2024-04-01 00:00:00+00:00,0000031791,18134000.0,428062000.0
2024-07-01 00:00:00+00:00,0000031791,5853000.0,414029000.0
2024-10-01 00:00:00+00:00,0000031791,14056000.0,401432000.0
2025-01-01 00:00:00+00:00,0000031791,6971000.0,404570000.0
2025-04-01 00:00:00+00:00,0000031791,6971000.0,367587000.0
2025-07-01 00:00:00+00:00,0000031791,10713000.0,381308000.0
2025-10-01 00:00:00+00:00,0000031791,13428000.0,388467000.0
2026-01-01 00:00:00+00:00,0000031791,8464000.0,379917000.0
2026-04-01 00:00:00+00:00,0000031791,8464000.0,379497000.0
2026-07-01 00:00:00+00:00,0000031791,9099000.0,387505000.0
2023-01-01 00:00:00+00:00,0000033213,152206000.0,
2023-04-01 00:00:00+00:00,0000033213,152206000.0,
2023-07-01 00:00:00+00:00,0000033213,356646000.0,
2023-10-01 00:00:00+00:00,0000033213,-11818000.0,
2024-01-01 00:00:00+00:00,0000033213,-126853000.0,
2024-04-01 00:00:00+00:00,0000033213,-126853000.0,
2024-07-01 00:00:00+00:00,0000033213,24302000.0,
2024-10-01 00:00:00+00:00,0000033213,-44222000.0,
2025-01-01 00:00:00+00:00,0000033213,-104870000.0,
2025-04-01 00:00:00+00:00,0000033213,-104870000.0,
2025-07-01 00:00:00+00:00,0000033213,78668000.0,
2025-10-01 00:00:00+00:00,0000033213,235615000.0,
2026-01-01 00:00:00+00:00,0000033213,129266000.0,
2026-04-01 00:00:00+00:00,0000033213,129266000.0,
2026-07-01 00:00:00+00:00,0000033213,433352000.0,
2023-01-01 00:00:00+00:00,0000045012,156000000.0,2842000000.0
2023-04-01 00:00:00+00:00,0000045012,156000000.0,2923000000.0
