ACCESSION_NUMBER,FILING_DATE,DOCUMENT_TYPE,ISSUERCIK,ISSUERNAME,AFF10B5ONE,cik10,purchase_dollars,transaction_count,earliest_transaction_date,owner_count,is_ceo,is_cfo,is_director,is_officer,is_ten_percent,owner_ciks,filing_date,aff10b5one,decision_at,company_name_as_filed,sector,tradable_member,market_cap,cap_date,purchase_to_market_cap,role_score
0001127602-23-003117,02-FEB-2023,4,0000050863,INTEL CORP,,0000050863,251389.5,2,30-JAN-2023,1,False,True,False,True,False,0001330891,2023-02-02 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,INTEL CORP,technology,True,109076611259.46043,2023-01-01 00:00:00+00:00,2.3047058127064476e-06,2.25
0001534701-23-000032,02-FEB-2023,4,0001534701,Phillips 66,,0001534701,1001937.5,1,02-FEB-2023,1,False,False,True,False,False,0001225946,2023-02-02 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,PHILLIPS 66,energy,True,49191561594.45542,2023-01-01 00:00:00+00:00,2.036807670917551e-05,1.0
0001784973-23-000002,06-FEB-2023,4,0000866291,"ALLEGRO MICROSYSTEMS, INC.",,0000866291,9967.2,1,03-FEB-2023,1,False,False,True,False,False,0001784973,2023-02-06 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,"ALLEGRO MICROSYSTEMS, INC.",technology,True,5743070480.393917,2023-01-01 00:00:00+00:00,1.7355176179757333e-06,1.0
0000796505-23-000004,07-FEB-2023,4,0000796505,"Clearfield, Inc.",,0000796505,198400.0,1,07-FEB-2023,1,False,False,True,False,True,0001257956,2023-02-07 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,"CLEARFIELD, INC.",technology,True,1300869062.8458862,2023-01-01 00:00:00+00:00,0.0001525134278817917,1.0
0001176334-23-000023,07-FEB-2023,4,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,,0001176334,2303.2867,1,03-FEB-2023,1,True,False,True,True,False,0001235924,2023-02-07 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,MARTIN MIDSTREAM PARTNERS L.P.,energy,True,116552250.0,2023-01-01 00:00:00+00:00,1.9761838145552747e-05,3.5
0001176334-23-000024,07-FEB-2023,4,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,,0001176334,1415.4660000000001,1,03-FEB-2023,1,False,False,True,False,True,0001201198,2023-02-07 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,MARTIN MIDSTREAM PARTNERS L.P.,energy,True,116552250.0,2023-01-01 00:00:00+00:00,1.2144475975367272e-05,1.0
0001176334-23-000025,07-FEB-2023,4,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,,0001176334,664.4079,1,03-FEB-2023,1,False,True,False,True,False,0001832386,2023-02-07 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,MARTIN MIDSTREAM PARTNERS L.P.,energy,True,116552250.0,2023-01-01 00:00:00+00:00,5.70051543406498e-06,2.25
0000899243-23-004336,08-FEB-2023,4,0001441683,APPIAN CORP,,0001441683,5371719.46,16,06-FEB-2023,6,False,False,False,False,True,0001362771|0001508239|0001578684|0001659179|0001659198|0001963356,2023-02-08 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,APPIAN CORP,technology,True,2360697779.5677185,2023-01-01 00:00:00+00:00,0.002275479524102254,0.0
0001019056-23-000106,08-FEB-2023,4,0001468666,SecureWorks Corp,,0001468666,145145.78,2,06-FEB-2023,1,False,False,False,False,True,0001070170,2023-02-08 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,SECUREWORKS CORP,technology,True,540491760.0,2023-01-01 00:00:00+00:00,0.00026854392747819136,0.0
0001019056-23-000118,10-FEB-2023,4,0001468666,SecureWorks Corp,,0001468666,75376.34000000001,1,08-FEB-2023,1,False,False,False,False,True,0001070170,2023-02-10 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,SECUREWORKS CORP,technology,True,540491760.0,2023-01-01 00:00:00+00:00,0.00013945881432123964,0.0
0001415889-23-002300,10-FEB-2023,4,0001535527,"CrowdStrike Holdings, Inc.",,0001535527,458.22,1,18-APR-2022,1,False,False,False,True,False,0001808553,2023-02-10 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,"CROWDSTRIKE HOLDINGS, INC.",technology,True,6153805716.009141,2023-01-01 00:00:00+00:00,7.446123929586199e-08,0.5
0000028823-23-000038,13-FEB-2023,4,0000028823,"DIEBOLD NIXDORF, Inc",,0000028823,68300.0,2,13-FEB-2023,1,True,False,True,True,False,0001917170,2023-02-13 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,"DIEBOLD NIXDORF, INC",technology,True,,2023-01-01 00:00:00+00:00,,3.5
0000899243-23-004804,13-FEB-2023,4,0001441683,APPIAN CORP,,0001441683,22461.480000000003,2,09-FEB-2023,6,False,False,False,False,True,0001362771|0001508239|0001578684|0001659179|0001659198|0001963356,2023-02-13 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,APPIAN CORP,technology,True,2360697779.5677185,2023-01-01 00:00:00+00:00,9.514763047776942e-06,0.0
0000028823-23-000043,14-FEB-2023,4,0000028823,"DIEBOLD NIXDORF, Inc",,0000028823,50400.0,1,14-FEB-2023,1,False,False,True,False,False,0001233415,2023-02-14 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,"DIEBOLD NIXDORF, INC",technology,True,,2023-01-01 00:00:00+00:00,,1.0
0000028823-23-000044,14-FEB-2023,4,0000028823,"DIEBOLD NIXDORF, Inc",,0000028823,20440.0,1,14-FEB-2023,1,True,False,True,True,False,0001917170,2023-02-14 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,"DIEBOLD NIXDORF, INC",technology,True,,2023-01-01 00:00:00+00:00,,3.5
0000796505-23-000005,14-FEB-2023,4,0000796505,"Clearfield, Inc.",,0000796505,181500.0,1,13-FEB-2023,1,False,False,True,False,False,0001285734,2023-02-14 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,"CLEARFIELD, INC.",technology,True,1300869062.8458862,2023-01-01 00:00:00+00:00,0.00013952211270436084,1.0
0001627436-23-000001,14-FEB-2023,4,0001114995,IMPINJ INC,,0001114995,13976391.18,3,10-FEB-2023,2,False,False,True,False,True,0001627436|0001745725,2023-02-14 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,IMPINJ INC,technology,True,2829399489.5486298,2023-01-01 00:00:00+00:00,0.004939702304897791,1.0
0001415889-23-002556,14-FEB-2023,4,0001535527,"CrowdStrike Holdings, Inc.",,0001535527,1534500.0,1,05-JAN-2023,1,False,False,True,False,False,0001061632,2023-02-14 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,"CROWDSTRIKE HOLDINGS, INC.",technology,True,6153805716.009141,2023-01-01 00:00:00+00:00,0.00024935788856771904,1.0
0001493152-23-005095,14-FEB-2023,4,0001784535,"Porch Group, Inc.",,0001784535,5358320.140000001,4,20-JAN-2023,1,False,False,False,False,True,0001386928,2023-02-14 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,"PORCH GROUP, INC.",technology,True,189042540.36051857,2023-01-01 00:00:00+00:00,0.028344520390919812,0.0
0001209191-23-009737,15-FEB-2023,4,0000882835,ROPER TECHNOLOGIES INC,,0000882835,424950.0,1,14-FEB-2023,1,False,False,True,False,False,0001198092,2023-02-15 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,ROPER TECHNOLOGIES INC,technology,True,45824031624.48578,2023-01-01 00:00:00+00:00,9.273518390575889e-06,1.0
0001209191-23-010049,16-FEB-2023,4,0001736946,"Arlo Technologies, Inc.",,0001736946,14932.189999999999,1,15-FEB-2023,1,False,False,True,False,False,0001663976,2023-02-16 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,"ARLO TECHNOLOGIES, INC.",technology,True,310536213.71626663,2023-01-01 00:00:00+00:00,4.80851808595933e-05,1.0
0001127602-23-006049,21-FEB-2023,4,0001090012,DEVON ENERGY CORP/DE,,0001090012,532800.0,1,17-FEB-2023,1,True,False,True,True,False,0001413122,2023-02-21 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,DEVON ENERGY CORP/DE,energy,True,40209085902.786255,2023-01-01 00:00:00+00:00,1.3250736445194346e-05,3.5
0001127602-23-006051,21-FEB-2023,4,0001090012,DEVON ENERGY CORP/DE,,0001090012,249662.72,2,17-FEB-2023,1,False,False,True,False,False,0001244969,2023-02-21 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,DEVON ENERGY CORP/DE,energy,True,40209085902.786255,2023-01-01 00:00:00+00:00,6.20911205501192e-06,1.0
0001209191-23-011018,21-FEB-2023,4,0001163165,CONOCOPHILLIPS,,0001163165,627000.0,2,17-FEB-2023,1,False,False,True,False,False,0001018198,2023-02-21 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,CONOCOPHILLIPS,energy,True,147036385788.0,2023-01-01 00:00:00+00:00,4.264250625039309e-06,1.0
0001176334-23-000043,21-FEB-2023,4,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,,0001176334,128.3958,1,17-FEB-2023,1,False,False,False,True,False,0001694879,2023-02-21 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,MARTIN MIDSTREAM PARTNERS L.P.,energy,True,116552250.0,2023-01-01 00:00:00+00:00,1.1016157989228008e-06,0.5
0001176334-23-000044,21-FEB-2023,4,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,,0001176334,317.16720000000004,1,17-FEB-2023,1,True,False,True,True,False,0001235924,2023-02-21 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,MARTIN MIDSTREAM PARTNERS L.P.,energy,True,116552250.0,2023-01-01 00:00:00+00:00,2.721244763614602e-06,3.5
0001176334-23-000045,21-FEB-2023,4,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,,0001176334,31.6107,1,17-FEB-2023,1,False,False,True,False,True,0001201198,2023-02-21 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,MARTIN MIDSTREAM PARTNERS L.P.,energy,True,116552250.0,2023-01-01 00:00:00+00:00,2.7121484141232795e-07,1.0
0001176334-23-000046,21-FEB-2023,4,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,,0001176334,67.3506,1,17-FEB-2023,1,False,False,False,True,False,0001416077,2023-02-21 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,MARTIN MIDSTREAM PARTNERS L.P.,energy,True,116552250.0,2023-01-01 00:00:00+00:00,5.778575703171753e-07,0.5
0001176334-23-000047,21-FEB-2023,4,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,,0001176334,1.3113,1,17-FEB-2023,1,False,False,False,True,False,0001345127,2023-02-21 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,MARTIN MIDSTREAM PARTNERS L.P.,energy,True,116552250.0,2023-01-01 00:00:00+00:00,1.1250748055056852e-08,0.5
0001176334-23-000048,21-FEB-2023,4,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,,0001176334,52.08930000000001,1,17-FEB-2023,1,False,True,False,True,False,0001832386,2023-02-21 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,MARTIN MIDSTREAM PARTNERS L.P.,energy,True,116552250.0,2023-01-01 00:00:00+00:00,4.469180131657691e-07,2.25
0000899243-23-005709,21-FEB-2023,4,0001441683,APPIAN CORP,,0001441683,4520795.359999999,6,16-FEB-2023,6,False,False,False,False,True,0001362771|0001508239|0001578684|0001659179|0001659198|0001963356,2023-02-21 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,APPIAN CORP,technology,True,2360697779.5677185,2023-01-01 00:00:00+00:00,0.001915025040108196,0.0
0001062993-23-004220,21-FEB-2023,4,0001487952,"Vishay Precision Group, Inc.",,0001487952,1056575.0,2,17-FEB-2023,1,False,False,True,False,False,0001391935,2023-02-21 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,"VISHAY PRECISION GROUP, INC.",technology,True,487114472.2309876,2023-01-01 00:00:00+00:00,0.002169048673838162,1.0
0001062993-23-004416,22-FEB-2023,4,0001487952,"Vishay Precision Group, Inc.",,0001487952,1062273.15,2,21-FEB-2023,1,False,False,True,False,False,0001391935,2023-02-22 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,"VISHAY PRECISION GROUP, INC.",technology,True,487114472.2309876,2023-01-01 00:00:00+00:00,0.002180746437556621,1.0
0001127602-23-006776,23-FEB-2023,4,0001090012,DEVON ENERGY CORP/DE,,0001090012,265000.0,1,22-FEB-2023,1,True,False,True,True,False,0001413122,2023-02-23 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,DEVON ENERGY CORP/DE,energy,True,40209085902.786255,2023-01-01 00:00:00+00:00,6.590550221427368e-06,3.5
0001209191-23-012185,23-FEB-2023,4,0001101680,DZS INC.,,0001101680,219600.0,1,22-FEB-2023,1,True,False,True,True,False,0001283689,2023-02-23 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,DZS INC.,technology,True,,2023-01-01 00:00:00+00:00,,3.5
0001209191-23-012187,23-FEB-2023,4,0001101680,DZS INC.,,0001101680,106950.0,3,22-FEB-2023,1,False,True,False,True,False,0001876155,2023-02-23 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,DZS INC.,technology,True,,2023-01-01 00:00:00+00:00,,2.25
0001209191-23-012262,23-FEB-2023,4,0001114995,IMPINJ INC,,0001114995,1998990.0,1,23-FEB-2023,1,False,False,True,False,False,0001181928,2023-02-23 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,IMPINJ INC,technology,True,2829399489.5486298,2023-01-01 00:00:00+00:00,0.0007065068073221771,1.0
0001209191-23-012122,23-FEB-2023,4,0001163165,CONOCOPHILLIPS,,0001163165,618000.0,2,22-FEB-2023,1,False,False,True,False,False,0001018198,2023-02-23 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,CONOCOPHILLIPS,energy,True,147036385788.0,2023-01-01 00:00:00+00:00,4.203041285923912e-06,1.0
0001176334-23-000050,23-FEB-2023,4,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,,0001176334,12600.0,1,21-FEB-2023,1,False,False,False,True,False,0001416077,2023-02-23 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,MARTIN MIDSTREAM PARTNERS L.P.,energy,True,116552250.0,2023-01-01 00:00:00+00:00,0.00010810602111928342,0.5
0001127602-23-007069,24-FEB-2023,4,0000050863,INTEL CORP,,0000050863,249096.0,1,23-FEB-2023,1,True,False,True,True,False,0001316331,2023-02-24 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,INTEL CORP,technology,True,109076611259.46043,2023-01-01 00:00:00+00:00,2.283679306899951e-06,3.5
0001062993-23-004800,24-FEB-2023,4,0001487952,"Vishay Precision Group, Inc.",,0001487952,666750.0,2,22-FEB-2023,1,False,False,True,False,False,0001391935,2023-02-24 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,"VISHAY PRECISION GROUP, INC.",technology,True,487114472.2309876,2023-01-01 00:00:00+00:00,0.001368774770633031,1.0
0001062993-23-004993,27-FEB-2023,4,0001313275,BRIGHTCOVE INC,,0001313275,600039.6799999999,6,24-FEB-2023,2,False,False,False,False,True,0001666682|0001712127,2023-02-27 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,BRIGHTCOVE INC,technology,True,219513.56000000003,2023-01-01 00:00:00+00:00,2.7334971015002436,0.0
0001447669-23-000051,27-FEB-2023,4,0001447669,TWILIO INC,,0001447669,10000112.26,3,24-FEB-2023,1,True,False,True,True,True,0001665930,2023-02-27 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,TWILIO INC,technology,True,8835717961.81652,2023-01-01 00:00:00+00:00,0.0011317826466638477,3.5
0001447669-23-000053,27-FEB-2023,4,0001447669,TWILIO INC,,0001447669,250566.4,1,24-FEB-2023,1,False,False,True,False,False,0001759316,2023-02-27 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,TWILIO INC,technology,True,8835717961.81652,2023-01-01 00:00:00+00:00,2.835835198484385e-05,1.0
0001209191-23-013350,27-FEB-2023,4,0001621434,"Black Stone Minerals, L.P.",,0001621434,965300.0,2,24-FEB-2023,1,True,False,True,True,False,0001319960,2023-02-27 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,"BLACK STONE MINERALS, L.P.",energy,True,,2023-01-01 00:00:00+00:00,,3.5
0000928022-23-000019,28-FEB-2023,4,0000928022,Callon Petroleum Co,,0000928022,9795.0,1,27-FEB-2023,1,False,False,True,False,False,0001662529,2023-02-28 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,CALLON PETROLEUM CO,energy,True,2285060043.8900003,2023-01-01 00:00:00+00:00,4.2865394396049916e-06,1.0
0001567619-23-003996,28-FEB-2023,4,0001327318,"TrueCar, Inc.",,0001327318,25480.000000000004,1,27-FEB-2023,1,False,False,True,False,False,0001952246,2023-02-28 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,"TRUECAR, INC.",technology,True,221164031.6,2023-01-01 00:00:00+00:00,0.00011520860700388863,1.0
0001062993-23-005105,28-FEB-2023,4,0001487952,"Vishay Precision Group, Inc.",,0001487952,370175.0,1,24-FEB-2023,1,False,False,True,False,False,0001391935,2023-02-28 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,"VISHAY PRECISION GROUP, INC.",technology,True,487114472.2309876,2023-01-01 00:00:00+00:00,0.0007599343092899621,1.0
0001104659-23-026724,28-FEB-2023,4,0001680247,ProPetro Holding Corp.,,0001680247,21100.0,1,24-FEB-2023,1,False,True,False,True,False,0001694614,2023-02-28 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,PROPETRO HOLDING CORP.,energy,True,1187925848.3403254,2023-01-01 00:00:00+00:00,1.776205141884843e-05,2.25
0001127602-23-007713,01-MAR-2023,4,0001000697,WATERS CORP /DE/,,0001000697,997924.2,1,28-FEB-2023,1,False,False,True,False,False,0001474107,2023-03-01 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,WATERS CORP /DE/,technology,True,20351846245.790863,2023-01-01 00:00:00+00:00,4.9033595672254506e-05,1.0
0001209191-23-014081,01-MAR-2023,4,0001517228,"CommScope Holding Company, Inc.",,0001517228,78600.0,1,27-FEB-2023,1,False,False,True,False,False,0001354697,2023-03-01 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,"COMMSCOPE HOLDING COMPANY, INC.",technology,True,1530.2699801445006,2023-01-01 00:00:00+00:00,51.363485541667586,1.0
0001912196-23-000001,02-MAR-2023,4,0000751978,VICOR CORP,,0000751978,22811.45,1,28-FEB-2023,1,False,False,False,True,False,0001912196,2023-03-02 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,VICOR CORP,technology,True,2366666250.0,2023-01-01 00:00:00+00:00,9.638642542014532e-06,0.5
0001062993-23-005562,02-MAR-2023,4,0001313275,BRIGHTCOVE INC,,0001313275,87068.0,2,01-MAR-2023,2,False,False,False,False,True,0001666682|0001712127,2023-03-02 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,BRIGHTCOVE INC,technology,True,219513.56000000003,2023-01-01 00:00:00+00:00,0.3966406448877235,0.0
0001104659-23-028028,02-MAR-2023,4,0001680247,ProPetro Holding Corp.,,0001680247,13440.000000000002,1,01-MAR-2023,1,False,True,False,True,False,0001694614,2023-03-02 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,PROPETRO HOLDING CORP.,energy,True,1187925848.3403254,2023-01-01 00:00:00+00:00,1.1313837491437106e-05,2.25
0001085869-23-000038,03-MAR-2023,4,0001085869,PERFICIENT INC,,0001085869,48591.549999999996,1,02-MAR-2023,1,False,False,True,False,False,0001599266,2023-03-03 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,PERFICIENT INC,technology,True,2418104244.52,2023-01-01 00:00:00+00:00,2.0094894630833232e-05,1.0
0001104659-23-028522,03-MAR-2023,4,0001273441,GRAN TIERRA ENERGY INC.,,0001273441,129000.0,1,03-MAR-2023,1,True,False,True,True,False,0001642424,2023-03-03 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,GRAN TIERRA ENERGY INC.,energy,True,3652096187.376344,2023-01-01 00:00:00+00:00,3.532218029905539e-05,3.5
