portfolio,state,n_weeks,label,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,worst_4w,worst_13w,avg_sector_sleeve,avg_defense,avg_bil_sleeve,avg_BIL,avg_QQQ
improved_phase6_recovery_quality_rerisk,neutral_mixed,493,improved_phase6_recovery_quality_rerisk,0.120606,0.08209,1.469184,-0.106257,1.135031,-0.025771,-0.081291,-0.080576,0.0983,0.1946,0.1904,0.2219,0.0274
improved_phase6_recovery_quality_rerisk,calm_trend,295,improved_phase6_recovery_quality_rerisk,0.044071,0.085904,0.51303,-0.135399,0.325492,-0.028942,-0.072619,-0.084316,0.1864,0.2254,0.0283,0.075,0.02
improved_phase6_recovery_quality_rerisk,stressed_panic,229,improved_phase6_recovery_quality_rerisk,0.038134,0.076426,0.498966,-0.124197,0.307046,-0.023641,-0.113711,-0.103486,0.0173,0.1573,0.4988,0.5245,0.0121
improved_phase6_recovery_quality_rerisk,recovery_fragile,49,improved_phase6_recovery_quality_rerisk,0.077469,0.060483,1.280845,-0.029976,2.584336,-0.016992,-0.027974,-0.019287,0.0208,0.2471,0.1062,0.148,0.0437
improved_phase6_recovery_quality_rerisk,recovery_confirmed,44,improved_phase6_recovery_quality_rerisk,0.041614,0.079019,0.526628,-0.053831,0.773039,-0.024054,-0.035318,-0.04355,0.1253,0.1873,0.048,0.0707,0.0523
improved_phase6_continuous_aggression_score,neutral_mixed,493,improved_phase6_continuous_aggression_score,0.121445,0.082578,1.47068,-0.10739,1.130879,-0.025823,-0.082563,-0.081842,0.1075,0.188,0.1904,0.2208,0.0273
improved_phase6_continuous_aggression_score,calm_trend,295,improved_phase6_continuous_aggression_score,0.043556,0.087908,0.495474,-0.137252,0.317345,-0.029792,-0.076957,-0.087841,0.2111,0.207,0.0284,0.0698,0.0201
improved_phase6_continuous_aggression_score,stressed_panic,229,improved_phase6_continuous_aggression_score,0.038192,0.076685,0.498033,-0.124802,0.306017,-0.023708,-0.114381,-0.104161,0.0195,0.1558,0.4988,0.5248,0.012
improved_phase6_continuous_aggression_score,recovery_fragile,49,improved_phase6_continuous_aggression_score,0.080195,0.060375,1.328279,-0.029613,2.708088,-0.016819,-0.028009,-0.018879,0.0252,0.245,0.1061,0.1478,0.0434
improved_phase6_continuous_aggression_score,recovery_confirmed,44,improved_phase6_continuous_aggression_score,0.04586,0.07891,0.581166,-0.053588,0.855786,-0.023954,-0.034837,-0.042781,0.1252,0.1883,0.0474,0.0687,0.0514
improved_phase6_balanced_classifier_rebuild,neutral_mixed,493,improved_phase6_balanced_classifier_rebuild,0.120638,0.081863,1.473668,-0.105833,1.139897,-0.025722,-0.08086,-0.080173,0.0959,0.196,0.1903,0.2217,0.0273
improved_phase6_balanced_classifier_rebuild,calm_trend,295,improved_phase6_balanced_classifier_rebuild,0.042902,0.086644,0.495153,-0.135529,0.316552,-0.029428,-0.078364,-0.084034,0.1908,0.2211,0.0283,0.0738,0.0201
improved_phase6_balanced_classifier_rebuild,stressed_panic,229,improved_phase6_balanced_classifier_rebuild,0.037806,0.07652,0.494065,-0.124928,0.30262,-0.023705,-0.114488,-0.104268,0.0172,0.1572,0.4988,0.5244,0.012
improved_phase6_balanced_classifier_rebuild,recovery_fragile,49,improved_phase6_balanced_classifier_rebuild,0.077063,0.060402,1.275825,-0.030143,2.556603,-0.016993,-0.028009,-0.019341,0.0209,0.2478,0.1061,0.1478,0.0434
improved_phase6_balanced_classifier_rebuild,recovery_confirmed,44,improved_phase6_balanced_classifier_rebuild,0.041704,0.078248,0.53297,-0.053364,0.781499,-0.023678,-0.034733,-0.044051,0.1159,0.1948,0.0467,0.0682,0.0515
ggg1,neutral_mixed,493,ggg1,0.112112,0.076707,1.461561,-0.091217,1.229073,-0.024706,-0.070536,-0.068173,,,,,
ggg1,calm_trend,295,ggg1,0.040851,0.079534,0.513625,-0.139322,0.293209,-0.027026,-0.067186,-0.074407,,,,,
ggg1,stressed_panic,229,ggg1,0.035803,0.074483,0.480687,-0.121622,0.294378,-0.02312,-0.111421,-0.101854,,,,,
ggg1,recovery_fragile,49,ggg1,0.066671,0.058374,1.142121,-0.032194,2.070886,-0.017135,-0.027489,-0.020448,,,,,
ggg1,recovery_confirmed,44,ggg1,0.025705,0.074664,0.344267,-0.053798,0.477794,-0.022096,-0.033817,-0.04817,,,,,
phase4b_best,neutral_mixed,493,phase4b_best,0.120736,0.081899,1.474212,-0.106241,1.136439,-0.025706,-0.081306,-0.08061,,,,,
phase4b_best,calm_trend,295,phase4b_best,0.04387,0.086009,0.510065,-0.135916,0.322774,-0.029041,-0.073099,-0.084469,,,,,
phase4b_best,stressed_panic,229,phase4b_best,0.038174,0.076433,0.499436,-0.124206,0.30734,-0.02364,-0.113739,-0.103519,,,,,
phase4b_best,recovery_fragile,49,phase4b_best,0.077134,0.060382,1.277422,-0.030084,2.563986,-0.016976,-0.028009,-0.019344,,,,,
phase4b_best,recovery_confirmed,44,phase4b_best,0.04366,0.077552,0.562973,-0.052874,0.825735,-0.023322,-0.0342,-0.043602,,,,,
