model,label,feature,coef_or_importance
tree_d3,all,deterioration_z,0.8819074752371219
tree_d3,all,deterioration_rank_neutral_mixed,0.015509299474032375
tree_d3,all,defensive_overlay_hint,0.0
tree_d3,all,hyg_lqd_credit_spread_proxy,0.0
tree_d3,all,uup_dollar_strength_4w,0.0
tree_d3,all,tlt_rate_sensitive_4w,0.0
tree_d3,all,gld_defensive_4w,0.008374501056933454
tree_d3,all,spy_realized_vol_4w,0.016130906641324744
tree_d3,all,spy_drawdown_from_52w_high,0.0
tree_d3,all,spy_minus_iei_3m,0.0
tree_d3,all,xlf_minus_xlu_3m,0.0
tree_d3,all,ig_credit_4w,0.0
tree_d3,all,hy_credit_4w,0.0
rf_shallow,all,market_drawdown,0.008453032220394268
rf_shallow,all,market_trend_positive,0.03997863908732856
rf_shallow,all,breadth_sma_43,0.04354175082647232
rf_shallow,all,breadth_26w_mom,0.022291907909741063
rf_shallow,all,breadth_13w_mom,0.026353419239661457
rf_shallow,all,breadth_change_4w,0.0008248072662541229
rf_shallow,all,canary_breadth_default,0.003003119001115963
rf_shallow,all,recent_stress_26w,0.01175777024427935
rf_shallow,all,transition_persistence_prob,0.010845405830046242
rf_shallow,all,transition_good_state_prob,0.0741627318122896
rf_shallow,all,transition_non_stress_prob,0.1571008202479938
rf_shallow,all,avg_corr_risk_off_z,0.0033619536912471476
rf_shallow,all,p_regime_confidence,0.016644970000772183
rf_shallow,all,p_transition_quality,0.0010914486043580329
rf_shallow,all,p_tail_risk,0.03196862853781402
rf_shallow,all,refined_state_is_calm_trend,0.0003936467136069884
rf_shallow,all,refined_state_is_neutral_healthy,0.0004614290549866607
rf_shallow,all,refined_state_is_neutral_mixed,0.003585380596821075
rf_shallow,all,refined_state_is_neutral_deteriorating,0.0029188637462121752
rf_shallow,all,refined_state_is_recovery_confirmed,0.0
rf_shallow,all,refined_state_is_recovery_fragile,0.0
rf_shallow,all,refined_state_is_stressed_panic,0.18892345197407068
rf_shallow,all,deterioration_z,0.16408219536167354
rf_shallow,all,deterioration_rank_neutral_mixed,0.024494396024935354
rf_shallow,all,defensive_overlay_hint,0.04960191076856453
rf_shallow,all,hyg_lqd_credit_spread_proxy,0.003339907532668299
rf_shallow,all,uup_dollar_strength_4w,0.0006137875094848641
rf_shallow,all,tlt_rate_sensitive_4w,0.0007264053042454675
rf_shallow,all,gld_defensive_4w,0.0012166214441614177
rf_shallow,all,spy_realized_vol_4w,0.021407725103160483
rf_shallow,all,spy_drawdown_from_52w_high,0.03134263973146944
rf_shallow,all,spy_minus_iei_3m,0.04360813983875007
rf_shallow,all,xlf_minus_xlu_3m,0.0019132684790340267
rf_shallow,all,ig_credit_4w,0.0011450177798983051
rf_shallow,all,hy_credit_4w,0.008844808516488471
