name,kind,cost_multiplier,cost_bps_per_one_way_turnover,ann_return,ann_vol,sharpe,max_drawdown,cvar_5,calmar,annualized_cost,avg_weekly_turnover
track_b_aggressive_cash_cap_10_good_18_neutral,candidate,1.0,10.0,0.07452793345330355,0.08213737344168286,0.9073571546114514,-0.11611247212959219,-0.02724743021425937,0.6418598457719815,0.003811226293245957,0.07335890243294396
track_b_aggressive_cash_cap_10_good_18_neutral,candidate,2.0,20.0,0.07044117752121659,0.08218683028724497,0.8570859500849828,-0.11622508029206613,-0.02736451787032252,0.6060755333031602,0.007622452586491914,0.07335890243294396
track_b_aggressive_cash_cap_10_good_18_neutral,candidate,3.0,30.0,0.06636889125358114,0.08224507627229063,0.8069649182870492,-0.1163781634249006,-0.02748160552638567,0.5702864635461387,0.011433678879737872,0.07335890243294396
track_b_aggressive_offense_boost_10,candidate,1.0,10.0,0.0726482113867104,0.0777112868121463,0.9348476182401275,-0.11801563064438025,-0.025939935622900954,0.6155812665664878,0.003563365521179894,0.068588051059681
track_b_aggressive_offense_boost_10,candidate,2.0,20.0,0.06883787324204649,0.07770613800789938,0.8858743338273821,-0.11858940824116626,-0.026028187228198486,0.5804723563680843,0.007126731042359788,0.068588051059681
track_b_aggressive_offense_boost_10,candidate,3.0,30.0,0.06504011945455024,0.07770937000131124,0.8369662429827031,-0.1191631434013326,-0.026117130630324576,0.5458073494713038,0.010690096563539685,0.068588051059681
track_b_aggressive_offense_boost_20,candidate,1.0,10.0,0.07363331165205822,0.07943943131415185,0.9269113642174414,-0.12016053356672007,-0.02658664690207358,0.6127911508579708,0.003606813259995479,0.06942433791001912
track_b_aggressive_offense_boost_20,candidate,2.0,20.0,0.06977320300738277,0.07943317870582528,0.8783886550201208,-0.1207221150755885,-0.02667535963812791,0.577965379116289,0.007213626519990958,0.06942433791001912
track_b_aggressive_offense_boost_20,candidate,3.0,30.0,0.06592601574879686,0.07943511251435915,0.8299354487208624,-0.12128365614890335,-0.026764072374182237,0.5435688355886769,0.010820439779986436,0.06942433791001912
track_b_aggressive_cash10_offense10,candidate,1.0,10.0,0.07594667886971451,0.08524697778382723,0.8909017169183782,-0.11835663769864624,-0.028457924058900463,0.6416765493379945,0.0039510006564840005,0.07604929473359993
track_b_aggressive_cash10_offense10,candidate,2.0,20.0,0.07170454125680914,0.0852992470841611,0.8406233783759117,-0.11896515846213718,-0.02858064257239293,0.6027356428027658,0.007902001312968001,0.07604929473359993
track_b_aggressive_cash10_offense10,candidate,3.0,30.0,0.06747798377056924,0.08536050741643043,0.790505888646825,-0.11957352477094696,-0.028703361085885396,0.5643221097632518,0.011853001969452,0.07604929473359993
track_b_aggressive_cash10_offense20,candidate,1.0,10.0,0.07669464185324948,0.08723117138402801,0.8792114176205162,-0.12053167272080367,-0.029231116264444277,0.6363028083987757,0.004022716022177449,0.0774296799718556
track_b_aggressive_cash10_offense20,candidate,2.0,20.0,0.07237247241793177,0.08728537910667701,0.8291477124648879,-0.12114430530495224,-0.029355575499398413,0.5974071355294095,0.008045432044354898,0.0774296799718556
track_b_aggressive_cash10_offense20,candidate,3.0,30.0,0.06806646200754085,0.08734872312932494,0.7792496509280901,-0.12175676757274012,-0.029480775447397318,0.5590363752624796,0.012068148066532348,0.0774296799718556
track_b_aggressive_rerisk_4w,candidate,1.0,10.0,0.06490017463101694,0.07793901625273825,0.8327045650738091,-0.11634181135983024,-0.026582310179606754,0.5578405035339278,0.004119997013237989,0.07930215517607977
track_b_aggressive_rerisk_4w,candidate,2.0,20.0,0.06052209216705973,0.07799108041441562,0.77601299847967,-0.12259718822323029,-0.02671785158480481,0.4936662336566681,0.008239994026475978,0.07930215517607977
track_b_aggressive_rerisk_4w,candidate,3.0,30.0,0.056160704618249735,0.07805468736953604,0.719504574432114,-0.12881054824306537,-0.02685339299000286,0.43599460901505166,0.012359991039713969,0.07930215517607977
