cik10,accession,filing_date,report_date,primary_document,form,prior_accession,prior_filing_date,has_year_over_year_pair,archive_url
0000002488,0001628280-21-001185,2021-01-29,2020-12-26,amd-20201226.htm,10-K,0000002488-20-000008,2020-02-04,True,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/amd-20201226.htm
0000002488,0000002488-22-000016,2022-02-03,2021-12-25,amd-20211225.htm,10-K,0001628280-21-001185,2021-01-29,True,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/amd-20211225.htm
0000002488,0000002488-23-000047,2023-02-27,2022-12-31,amd-20221231.htm,10-K,0000002488-22-000016,2022-02-03,True,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm
0000002488,0000002488-24-000012,2024-01-31,2023-12-30,amd-20231230.htm,10-K,0000002488-23-000047,2023-02-27,True,https://www.sec.gov/Archives/edgar/data/2488/000000248824000012/amd-20231230.htm
0000002488,0000002488-25-000012,2025-02-05,2024-12-28,amd-20241228.htm,10-K,0000002488-24-000012,2024-01-31,True,https://www.sec.gov/Archives/edgar/data/2488/000000248825000012/amd-20241228.htm
0000002488,0000002488-26-000018,2026-02-04,2025-12-27,amd-20251227.htm,10-K,0000002488-25-000012,2025-02-05,True,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/amd-20251227.htm
0000004127,0000004127-18-000046,2018-11-15,2018-09-28,fy1810k92818.htm,10-K,,,False,https://www.sec.gov/Archives/edgar/data/4127/000000412718000046/fy1810k92818.htm
0000004127,0000004127-19-000049,2019-11-14,2019-09-27,fy1910k92719.htm,10-K,0000004127-18-000046,2018-11-15,True,https://www.sec.gov/Archives/edgar/data/4127/000000412719000049/fy1910k92719.htm
0000004127,0000004127-20-000058,2020-11-17,2020-10-02,swks-20201002.htm,10-K,0000004127-19-000049,2019-11-14,True,https://www.sec.gov/Archives/edgar/data/4127/000000412720000058/swks-20201002.htm
0000004127,0000004127-21-000058,2021-11-24,2021-10-01,swks-20211001.htm,10-K,0000004127-20-000058,2020-11-17,True,https://www.sec.gov/Archives/edgar/data/4127/000000412721000058/swks-20211001.htm
0000004127,0000004127-22-000038,2022-11-23,2022-09-30,swks-20220930.htm,10-K,0000004127-21-000058,2021-11-24,True,https://www.sec.gov/Archives/edgar/data/4127/000000412722000038/swks-20220930.htm
0000004127,0000004127-23-000030,2023-11-17,2023-09-29,swks-20230929.htm,10-K,0000004127-22-000038,2022-11-23,True,https://www.sec.gov/Archives/edgar/data/4127/000000412723000030/swks-20230929.htm
0000004127,0000004127-24-000131,2024-11-15,2024-09-27,swks-20240927.htm,10-K,0000004127-23-000030,2023-11-17,True,https://www.sec.gov/Archives/edgar/data/4127/000000412724000131/swks-20240927.htm
0000004127,0000004127-25-000085,2025-11-07,2025-10-03,swks-20251003.htm,10-K,0000004127-24-000131,2024-11-15,True,https://www.sec.gov/Archives/edgar/data/4127/000000412725000085/swks-20251003.htm
0000004447,0001564590-18-002698,2018-02-21,2017-12-31,hes-10k_20171231.htm,10-K,,,False,https://www.sec.gov/Archives/edgar/data/4447/000156459018002698/hes-10k_20171231.htm
0000004447,0001564590-19-003671,2019-02-21,2018-12-31,hes-10k_20181231.htm,10-K,0001564590-18-002698,2018-02-21,True,https://www.sec.gov/Archives/edgar/data/4447/000156459019003671/hes-10k_20181231.htm
0000004447,0001564590-20-005545,2020-02-20,2019-12-31,hes-10k_20191231.htm,10-K,0001564590-19-003671,2019-02-21,True,https://www.sec.gov/Archives/edgar/data/4447/000156459020005545/hes-10k_20191231.htm
0000004447,0001628280-21-003531,2021-03-01,2020-12-31,hes-20201231.htm,10-K,0001564590-20-005545,2020-02-20,True,https://www.sec.gov/Archives/edgar/data/4447/000162828021003531/hes-20201231.htm
0000004447,0001628280-22-004524,2022-03-01,2021-12-31,hes-20211231.htm,10-K,0001628280-21-003531,2021-03-01,True,https://www.sec.gov/Archives/edgar/data/4447/000162828022004524/hes-20211231.htm
0000004447,0001628280-23-005059,2023-02-24,2022-12-31,hes-20221231.htm,10-K,0001628280-22-004524,2022-03-01,True,https://www.sec.gov/Archives/edgar/data/4447/000162828023005059/hes-20221231.htm
0000004447,0001628280-24-006845,2024-02-26,2023-12-31,hes-20231231.htm,10-K,0001628280-23-005059,2023-02-24,True,https://www.sec.gov/Archives/edgar/data/4447/000162828024006845/hes-20231231.htm
0000004447,0001628280-25-008716,2025-02-27,2024-12-31,hes-20241231.htm,10-K,0001628280-24-006845,2024-02-26,True,https://www.sec.gov/Archives/edgar/data/4447/000162828025008716/hes-20241231.htm
0000004457,0000004457-18-000016,2018-05-30,2018-03-31,March201810K.htm,10-K,,,False,https://www.sec.gov/Archives/edgar/data/4457/000000445718000016/March201810K.htm
0000004457,0000004457-19-000024,2019-05-29,2019-03-31,march201910k.htm,10-K,0000004457-18-000016,2018-05-30,True,https://www.sec.gov/Archives/edgar/data/4457/000000445719000024/march201910k.htm
0000004457,0000004457-20-000053,2020-05-27,2020-03-31,uhal-20200331.htm,10-K,0000004457-19-000024,2019-05-29,True,https://www.sec.gov/Archives/edgar/data/4457/000000445720000053/uhal-20200331.htm
0000004457,0000004457-21-000040,2021-05-26,2021-03-31,uhal-20210331.htm,10-K,0000004457-20-000053,2020-05-27,True,https://www.sec.gov/Archives/edgar/data/4457/000000445721000040/uhal-20210331.htm
0000004457,0000004457-22-000041,2022-05-25,2022-03-31,uhal-20220331.htm,10-K,0000004457-21-000040,2021-05-26,True,https://www.sec.gov/Archives/edgar/data/4457/000000445722000041/uhal-20220331.htm
0000004457,0000004457-23-000052,2023-06-02,2023-03-31,uhal-20230331.htm,10-K,0000004457-22-000041,2022-05-25,True,https://www.sec.gov/Archives/edgar/data/4457/000000445723000052/uhal-20230331.htm
0000004457,0000950170-24-066736,2024-05-30,2024-03-31,uhal-20240331.htm,10-K,0000004457-23-000052,2023-06-02,True,https://www.sec.gov/Archives/edgar/data/4457/000095017024066736/uhal-20240331.htm
0000004457,0000950170-25-078451,2025-05-29,2025-03-31,uhal-20250331.htm,10-K,0000950170-24-066736,2024-05-30,True,https://www.sec.gov/Archives/edgar/data/4457/000095017025078451/uhal-20250331.htm
0000005513,0000005513-18-000016,2018-02-21,2017-12-31,unm12312017-10xk.htm,10-K,,,False,https://www.sec.gov/Archives/edgar/data/5513/000000551318000016/unm12312017-10xk.htm
0000005513,0000005513-19-000004,2019-02-19,2018-12-31,unm12312018-10xk.htm,10-K,0000005513-18-000016,2018-02-21,True,https://www.sec.gov/Archives/edgar/data/5513/000000551319000004/unm12312018-10xk.htm
0000005513,0000005513-20-000027,2020-02-18,2019-12-31,unm-20191231.htm,10-K,0000005513-19-000004,2019-02-19,True,https://www.sec.gov/Archives/edgar/data/5513/000000551320000027/unm-20191231.htm
0000005513,0000005513-21-000015,2021-02-17,2020-12-31,unm-20201231.htm,10-K,0000005513-20-000027,2020-02-18,True,https://www.sec.gov/Archives/edgar/data/5513/000000551321000015/unm-20201231.htm
0000005513,0000005513-22-000030,2022-02-25,2021-12-31,unm-20211231.htm,10-K,0000005513-21-000015,2021-02-17,True,https://www.sec.gov/Archives/edgar/data/5513/000000551322000030/unm-20211231.htm
0000005513,0000005513-23-000034,2023-02-23,2022-12-31,unm-20221231.htm,10-K,0000005513-22-000030,2022-02-25,True,https://www.sec.gov/Archives/edgar/data/5513/000000551323000034/unm-20221231.htm
0000005513,0000005513-24-000015,2024-02-20,2023-12-31,unm-20231231.htm,10-K,0000005513-23-000034,2023-02-23,True,https://www.sec.gov/Archives/edgar/data/5513/000000551324000015/unm-20231231.htm
0000005513,0000005513-25-000015,2025-02-27,2024-12-31,unm-20241231.htm,10-K,0000005513-24-000015,2024-02-20,True,https://www.sec.gov/Archives/edgar/data/5513/000000551325000015/unm-20241231.htm
0000005513,0000005513-26-000008,2026-02-17,2025-12-31,unm-20251231.htm,10-K,0000005513-25-000015,2025-02-27,True,https://www.sec.gov/Archives/edgar/data/5513/000000551326000008/unm-20251231.htm
0000006281,0000006281-18-000126,2018-11-27,2018-11-03,adi-1132018x10k.htm,10-K,,,False,https://www.sec.gov/Archives/edgar/data/6281/000000628118000126/adi-1132018x10k.htm
0000006281,0000006281-19-000144,2019-11-26,2019-11-02,adi-20191102.htm,10-K,0000006281-18-000126,2018-11-27,True,https://www.sec.gov/Archives/edgar/data/6281/000000628119000144/adi-20191102.htm
0000006281,0000006281-20-000156,2020-11-24,2020-10-31,adi-20201031.htm,10-K,0000006281-19-000144,2019-11-26,True,https://www.sec.gov/Archives/edgar/data/6281/000000628120000156/adi-20201031.htm
0000006281,0000006281-21-000294,2021-12-03,2021-10-30,adi-20211030.htm,10-K,0000006281-20-000156,2020-11-24,True,https://www.sec.gov/Archives/edgar/data/6281/000000628121000294/adi-20211030.htm
0000006281,0000006281-22-000250,2022-11-22,2022-10-29,adi-20221029.htm,10-K,0000006281-21-000294,2021-12-03,True,https://www.sec.gov/Archives/edgar/data/6281/000000628122000250/adi-20221029.htm
0000006281,0000006281-23-000203,2023-11-21,2023-10-28,adi-20231028.htm,10-K,0000006281-22-000250,2022-11-22,True,https://www.sec.gov/Archives/edgar/data/6281/000000628123000203/adi-20231028.htm
0000006281,0000006281-24-000204,2024-11-26,2024-11-02,adi-20241102.htm,10-K,0000006281-23-000203,2023-11-21,True,https://www.sec.gov/Archives/edgar/data/6281/000000628124000204/adi-20241102.htm
0000006281,0000006281-25-000153,2025-11-25,2025-11-01,adi-20251101.htm,10-K,0000006281-24-000204,2024-11-26,True,https://www.sec.gov/Archives/edgar/data/6281/000000628125000153/adi-20251101.htm
0000006769,0001673379-18-000008,2018-02-23,2017-12-31,apa10-k2017.htm,10-K,,,False,https://www.sec.gov/Archives/edgar/data/6769/000167337918000008/apa10-k2017.htm
0000006769,0001733037-19-000004,2019-03-01,2018-12-31,apa10-k2018.htm,10-K,0001673379-18-000008,2018-02-23,True,https://www.sec.gov/Archives/edgar/data/6769/000173303719000004/apa10-k2018.htm
0000006769,0001733037-20-000004,2020-02-28,2019-12-31,apa10-k2019.htm,10-K,0001733037-19-000004,2019-03-01,True,https://www.sec.gov/Archives/edgar/data/6769/000173303720000004/apa10-k2019.htm
0000006769,0001673379-21-000007,2021-02-26,2020-12-31,apa-20201231.htm,10-K,0001733037-20-000004,2020-02-28,True,https://www.sec.gov/Archives/edgar/data/6769/000167337921000007/apa-20201231.htm
0000006769,0001784031-22-000010,2022-02-22,2021-12-31,apa-20211231.htm,10-K,0001673379-21-000007,2021-02-26,True,https://www.sec.gov/Archives/edgar/data/6769/000178403122000010/apa-20211231.htm
0000006769,0001784031-23-000008,2023-02-23,2022-12-31,apa-20221231.htm,10-K,0001784031-22-000010,2022-02-22,True,https://www.sec.gov/Archives/edgar/data/6769/000178403123000008/apa-20221231.htm
0000006769,0001784031-24-000004,2024-02-22,2023-12-31,apa-20231231.htm,10-K,0001784031-23-000008,2023-02-23,True,https://www.sec.gov/Archives/edgar/data/6769/000178403124000004/apa-20231231.htm
0000006951,0000006951-18-000041,2018-12-13,2018-10-28,amat1028201810-kq42018.htm,10-K,,,False,https://www.sec.gov/Archives/edgar/data/6951/000000695118000041/amat1028201810-kq42018.htm
0000006951,0000006951-19-000046,2019-12-13,2019-10-27,amat-20191027.htm,10-K,0000006951-18-000041,2018-12-13,True,https://www.sec.gov/Archives/edgar/data/6951/000000695119000046/amat-20191027.htm
0000006951,0000006951-20-000048,2020-12-11,2020-10-25,amat-20201025.htm,10-K,0000006951-19-000046,2019-12-13,True,https://www.sec.gov/Archives/edgar/data/6951/000000695120000048/amat-20201025.htm
0000006951,0000006951-21-000043,2021-12-17,2021-10-31,amat-20211031.htm,10-K,0000006951-20-000048,2020-12-11,True,https://www.sec.gov/Archives/edgar/data/6951/000000695121000043/amat-20211031.htm
0000006951,0000006951-22-000043,2022-12-16,2022-10-30,amat-20221030.htm,10-K,0000006951-21-000043,2021-12-17,True,https://www.sec.gov/Archives/edgar/data/6951/000000695122000043/amat-20221030.htm
0000006951,0000006951-23-000041,2023-12-15,2023-10-29,amat-20231029.htm,10-K,0000006951-22-000043,2022-12-16,True,https://www.sec.gov/Archives/edgar/data/6951/000000695123000041/amat-20231029.htm
0000006951,0000006951-24-000044,2024-12-13,2024-10-27,amat-20241027.htm,10-K,0000006951-23-000041,2023-12-15,True,https://www.sec.gov/Archives/edgar/data/6951/000000695124000044/amat-20241027.htm
0000006951,0001628280-25-056742,2025-12-12,2025-10-26,amat-20251026.htm,10-K,0000006951-24-000044,2024-12-13,True,https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/amat-20251026.htm
0000007332,0000007332-18-000016,2018-03-01,2018-03-01,swn20171231x10k.htm,10-K,,,False,https://www.sec.gov/Archives/edgar/data/7332/000000733218000016/swn20171231x10k.htm
0000007332,0000007332-19-000010,2019-02-28,2018-12-31,swn-20181231x10k.htm,10-K,0000007332-18-000016,2018-03-01,True,https://www.sec.gov/Archives/edgar/data/7332/000000733219000010/swn-20181231x10k.htm
0000007332,0000007332-20-000017,2020-02-27,2019-12-31,swn-20191231.htm,10-K,0000007332-19-000010,2019-02-28,True,https://www.sec.gov/Archives/edgar/data/7332/000000733220000017/swn-20191231.htm
0000007332,0000007332-21-000016,2021-03-01,2020-12-31,swn-20201231.htm,10-K,0000007332-20-000017,2020-02-27,True,https://www.sec.gov/Archives/edgar/data/7332/000000733221000016/swn-20201231.htm
0000007332,0000007332-22-000009,2022-03-01,2021-12-31,swn-20211231.htm,10-K,0000007332-21-000016,2021-03-01,True,https://www.sec.gov/Archives/edgar/data/7332/000000733222000009/swn-20211231.htm
0000007332,0000007332-23-000005,2023-02-23,2022-12-31,swn-20221231.htm,10-K,0000007332-22-000009,2022-03-01,True,https://www.sec.gov/Archives/edgar/data/7332/000000733223000005/swn-20221231.htm
0000007332,0000007332-24-000009,2024-02-22,2023-12-31,swn-20231231.htm,10-K,0000007332-23-000005,2023-02-23,True,https://www.sec.gov/Archives/edgar/data/7332/000000733224000009/swn-20231231.htm
0000007789,0000007789-23-000013,2023-02-13,2022-12-31,asb-20221231.htm,10-K,,,False,https://www.sec.gov/Archives/edgar/data/7789/000000778923000013/asb-20221231.htm
0000007789,0000007789-24-000009,2024-02-08,2023-12-31,asb-20231231.htm,10-K,0000007789-23-000013,2023-02-13,True,https://www.sec.gov/Archives/edgar/data/7789/000000778924000009/asb-20231231.htm
0000007789,0000007789-25-000013,2025-02-12,2024-12-31,asb-20241231.htm,10-K,0000007789-24-000009,2024-02-08,True,https://www.sec.gov/Archives/edgar/data/7789/000000778925000013/asb-20241231.htm
0000007789,0000007789-26-000071,2026-02-12,2025-12-31,asb-20251231.htm,10-K,0000007789-25-000013,2025-02-12,True,https://www.sec.gov/Archives/edgar/data/7789/000000778926000071/asb-20251231.htm
0000008063,0000008063-18-000006,2018-03-01,2017-12-31,atro-20171231x10k.htm,10-K,,,False,https://www.sec.gov/Archives/edgar/data/8063/000000806318000006/atro-20171231x10k.htm
0000008063,0000008063-19-000009,2019-03-01,2018-12-31,atro-20181231.htm,10-K,0000008063-18-000006,2018-03-01,True,https://www.sec.gov/Archives/edgar/data/8063/000000806319000009/atro-20181231.htm
0000008063,0000008063-20-000013,2020-03-02,2019-12-31,atro-20191231.htm,10-K,0000008063-19-000009,2019-03-01,True,https://www.sec.gov/Archives/edgar/data/8063/000000806320000013/atro-20191231.htm
0000008063,0000008063-21-000007,2021-03-01,2020-12-31,atro-20201231.htm,10-K,0000008063-20-000013,2020-03-02,True,https://www.sec.gov/Archives/edgar/data/8063/000000806321000007/atro-20201231.htm
0000008063,0000008063-22-000011,2022-03-04,2021-12-31,atro-20211231.htm,10-K,0000008063-21-000007,2021-03-01,True,https://www.sec.gov/Archives/edgar/data/8063/000000806322000011/atro-20211231.htm
0000008063,0000008063-23-000015,2023-03-10,2022-12-31,atro-20221231.htm,10-K,0000008063-22-000011,2022-03-04,True,https://www.sec.gov/Archives/edgar/data/8063/000000806323000015/atro-20221231.htm
0000008063,0000008063-24-000014,2024-03-05,2023-12-31,atro-20231231.htm,10-K,0000008063-23-000015,2023-03-10,True,https://www.sec.gov/Archives/edgar/data/8063/000000806324000014/atro-20231231.htm
0000008063,0000008063-25-000017,2025-03-05,2024-12-31,atro-20241231.htm,10-K,0000008063-24-000014,2024-03-05,True,https://www.sec.gov/Archives/edgar/data/8063/000000806325000017/atro-20241231.htm
0000008063,0000008063-26-000021,2026-02-26,2025-12-31,atro-20251231.htm,10-K,0000008063-25-000017,2025-03-05,True,https://www.sec.gov/Archives/edgar/data/8063/000000806326000021/atro-20251231.htm
0000008146,0001193125-18-113108,2018-04-10,2018-01-31,d518979d10k.htm,10-K,,,False,https://www.sec.gov/Archives/edgar/data/8146/000119312518113108/d518979d10k.htm
0000008146,0001193125-19-102788,2019-04-10,2019-01-31,d662203d10k.htm,10-K,0001193125-18-113108,2018-04-10,True,https://www.sec.gov/Archives/edgar/data/8146/000119312519102788/d662203d10k.htm
0000008146,0001193125-20-103834,2020-04-10,2020-01-31,d816550d10k.htm,10-K,0001193125-19-102788,2019-04-10,True,https://www.sec.gov/Archives/edgar/data/8146/000119312520103834/d816550d10k.htm
0000008146,0001193125-21-114283,2021-04-13,2021-01-31,d56468d10k.htm,10-K,0001193125-20-103834,2020-04-10,True,https://www.sec.gov/Archives/edgar/data/8146/000119312521114283/d56468d10k.htm
0000008146,0001193125-22-108120,2022-04-18,2022-01-31,d234033d10k.htm,10-K,0001193125-21-114283,2021-04-13,True,https://www.sec.gov/Archives/edgar/data/8146/000119312522108120/d234033d10k.htm
0000008146,0001193125-23-103662,2023-04-17,2023-01-31,d415415d10k.htm,10-K,0001193125-22-108120,2022-04-18,True,https://www.sec.gov/Archives/edgar/data/8146/000119312523103662/d415415d10k.htm
0000008146,0000950170-24-043875,2024-04-12,2024-01-31,alot-20240131.htm,10-K,0001193125-23-103662,2023-04-17,True,https://www.sec.gov/Archives/edgar/data/8146/000095017024043875/alot-20240131.htm
0000008146,0000950170-25-054163,2025-04-15,2025-01-31,alot-20250131.htm,10-K,0000950170-24-043875,2024-04-12,True,https://www.sec.gov/Archives/edgar/data/8146/000095017025054163/alot-20250131.htm
0000008670,0000008670-18-000011,2018-08-03,2018-06-30,q4fy1810k.htm,10-K,,,False,https://www.sec.gov/Archives/edgar/data/8670/000000867018000011/q4fy1810k.htm
0000008670,0000008670-19-000021,2019-08-09,2019-06-30,q4fy1910k.htm,10-K,0000008670-18-000011,2018-08-03,True,https://www.sec.gov/Archives/edgar/data/8670/000000867019000021/q4fy1910k.htm
0000008670,0000008670-20-000032,2020-08-05,2020-06-30,adp-20200630.htm,10-K,0000008670-19-000021,2019-08-09,True,https://www.sec.gov/Archives/edgar/data/8670/000000867020000032/adp-20200630.htm
0000008670,0000008670-21-000027,2021-08-04,2021-06-30,adp-20210630.htm,10-K,0000008670-20-000032,2020-08-05,True,https://www.sec.gov/Archives/edgar/data/8670/000000867021000027/adp-20210630.htm
0000008670,0000008670-22-000038,2022-08-03,2022-06-30,adp-20220630.htm,10-K,0000008670-21-000027,2021-08-04,True,https://www.sec.gov/Archives/edgar/data/8670/000000867022000038/adp-20220630.htm
0000008670,0000008670-23-000030,2023-08-03,2023-06-30,adp-20230630.htm,10-K,0000008670-22-000038,2022-08-03,True,https://www.sec.gov/Archives/edgar/data/8670/000000867023000030/adp-20230630.htm
0000008670,0000008670-24-000024,2024-08-07,2024-06-30,adp-20240630.htm,10-K,0000008670-23-000030,2023-08-03,True,https://www.sec.gov/Archives/edgar/data/8670/000000867024000024/adp-20240630.htm
0000008670,0000008670-25-000037,2025-08-06,2025-06-30,adp-20250630.htm,10-K,0000008670-24-000024,2024-08-07,True,https://www.sec.gov/Archives/edgar/data/8670/000000867025000037/adp-20250630.htm
0000009092,0000009092-18-000002,2018-03-01,2017-12-31,bmi-20171231x10k.htm,10-K,,,False,https://www.sec.gov/Archives/edgar/data/9092/000000909218000002/bmi-20171231x10k.htm
0000009092,0001564590-19-004479,2019-02-26,2018-12-31,bmi-10k_20181231.htm,10-K,0000009092-18-000002,2018-03-01,True,https://www.sec.gov/Archives/edgar/data/9092/000156459019004479/bmi-10k_20181231.htm
0000009092,0001564590-20-005707,2020-02-21,2019-12-31,bmi-10k_20191231.htm,10-K,0001564590-19-004479,2019-02-26,True,https://www.sec.gov/Archives/edgar/data/9092/000156459020005707/bmi-10k_20191231.htm
0000009092,0001564590-21-008150,2021-02-24,2020-12-31,bmi-10k_20201231.htm,10-K,0001564590-20-005707,2020-02-21,True,https://www.sec.gov/Archives/edgar/data/9092/000156459021008150/bmi-10k_20201231.htm
0000009092,0001564590-22-006284,2022-02-23,2021-12-31,bmi-10k_20211231.htm,10-K,0001564590-21-008150,2021-02-24,True,https://www.sec.gov/Archives/edgar/data/9092/000156459022006284/bmi-10k_20211231.htm
0000009092,0000950170-23-003676,2023-02-22,2022-12-31,bmi-20221231.htm,10-K,0001564590-22-006284,2022-02-23,True,https://www.sec.gov/Archives/edgar/data/9092/000095017023003676/bmi-20221231.htm
0000009092,0000950170-24-016245,2024-02-16,2023-12-31,bmi-20231231.htm,10-K,0000950170-23-003676,2023-02-22,True,https://www.sec.gov/Archives/edgar/data/9092/000095017024016245/bmi-20231231.htm
0000009092,0000950170-25-020889,2025-02-14,2024-12-31,bmi-20241231.htm,10-K,0000950170-24-016245,2024-02-16,True,https://www.sec.gov/Archives/edgar/data/9092/000095017025020889/bmi-20241231.htm
0000009092,0001193125-26-054739,2026-02-17,2025-12-31,bmi-20251231.htm,10-K,0000950170-25-020889,2025-02-14,True,https://www.sec.gov/Archives/edgar/data/9092/000119312526054739/bmi-20251231.htm
0000009984,0000009984-18-000024,2018-02-20,2017-12-31,b201710k.htm,10-K,,,False,https://www.sec.gov/Archives/edgar/data/9984/000000998418000024/b201710k.htm
0000009984,0000009984-19-000036,2019-02-26,2018-12-31,b201810k.htm,10-K,0000009984-18-000024,2018-02-20,True,https://www.sec.gov/Archives/edgar/data/9984/000000998419000036/b201810k.htm
0000009984,0000009984-20-000029,2020-02-25,2019-12-31,b201910k.htm,10-K,0000009984-19-000036,2019-02-26,True,https://www.sec.gov/Archives/edgar/data/9984/000000998420000029/b201910k.htm
0000009984,0000009984-21-000063,2021-02-22,2020-12-31,b-20201231.htm,10-K,0000009984-20-000029,2020-02-25,True,https://www.sec.gov/Archives/edgar/data/9984/000000998421000063/b-20201231.htm
0000009984,0000009984-22-000047,2022-02-22,2021-12-31,b-20211231.htm,10-K,0000009984-21-000063,2021-02-22,True,https://www.sec.gov/Archives/edgar/data/9984/000000998422000047/b-20211231.htm
0000009984,0000009984-23-000060,2023-02-21,2022-12-31,b-20221231.htm,10-K,0000009984-22-000047,2022-02-22,True,https://www.sec.gov/Archives/edgar/data/9984/000000998423000060/b-20221231.htm
0000009984,0000009984-24-000051,2024-02-26,2023-12-31,b-20231231.htm,10-K,0000009984-23-000060,2023-02-21,True,https://www.sec.gov/Archives/edgar/data/9984/000000998424000051/b-20231231.htm
0000010254,0001564590-18-005824,2018-03-15,2017-12-31,este-10k_20171231.htm,10-K,,,False,https://www.sec.gov/Archives/edgar/data/10254/000156459018005824/este-10k_20171231.htm
0000010254,0000010254-19-000038,2019-03-12,2018-12-31,este-12312018x10kv2.htm,10-K,0001564590-18-005824,2018-03-15,True,https://www.sec.gov/Archives/edgar/data/10254/000001025419000038/este-12312018x10kv2.htm
0000010254,0000010254-20-000038,2020-03-11,2019-12-31,este-12312019x10k.htm,10-K,0000010254-19-000038,2019-03-12,True,https://www.sec.gov/Archives/edgar/data/10254/000001025420000038/este-12312019x10k.htm
0000010254,0000010254-21-000045,2021-03-10,2020-12-31,este-20201231.htm,10-K,0000010254-20-000038,2020-03-11,True,https://www.sec.gov/Archives/edgar/data/10254/000001025421000045/este-20201231.htm
0000010254,0000010254-22-000047,2022-03-09,2021-12-31,este-20211231.htm,10-K,0000010254-21-000045,2021-03-10,True,https://www.sec.gov/Archives/edgar/data/10254/000001025422000047/este-20211231.htm
0000010254,0000010254-23-000058,2023-03-08,2022-12-31,este-20221231.htm,10-K,0000010254-22-000047,2022-03-09,True,https://www.sec.gov/Archives/edgar/data/10254/000001025423000058/este-20221231.htm
0000011544,0000011544-18-000012,2018-02-23,2017-12-31,wrb1231201710k.htm,10-K,,,False,https://www.sec.gov/Archives/edgar/data/11544/000001154418000012/wrb1231201710k.htm
0000011544,0000011544-19-000016,2019-02-22,2018-12-31,wrb1231201810-k.htm,10-K,0000011544-18-000012,2018-02-23,True,https://www.sec.gov/Archives/edgar/data/11544/000001154419000016/wrb1231201810-k.htm
0000011544,0000011544-20-000016,2020-02-20,2019-12-31,wrb1231201910-k.htm,10-K,0000011544-19-000016,2019-02-22,True,https://www.sec.gov/Archives/edgar/data/11544/000001154420000016/wrb1231201910-k.htm
0000011544,0000011544-21-000013,2021-02-18,2020-12-31,wrb-20201231.htm,10-K,0000011544-20-000016,2020-02-20,True,https://www.sec.gov/Archives/edgar/data/11544/000001154421000013/wrb-20201231.htm
0000011544,0000011544-22-000007,2022-02-24,2021-12-31,wrb-20211231.htm,10-K,0000011544-21-000013,2021-02-18,True,https://www.sec.gov/Archives/edgar/data/11544/000001154422000007/wrb-20211231.htm
0000011544,0000011544-23-000004,2023-02-24,2022-12-31,wrb-20221231.htm,10-K,0000011544-22-000007,2022-02-24,True,https://www.sec.gov/Archives/edgar/data/11544/000001154423000004/wrb-20221231.htm
0000011544,0000011544-24-000005,2024-02-23,2023-12-31,wrb-20231231.htm,10-K,0000011544-23-000004,2023-02-24,True,https://www.sec.gov/Archives/edgar/data/11544/000001154424000005/wrb-20231231.htm
