bytes,cache_key,content_encoding,content_type,http_status,retrieved_at_utc,sha256,url
313111,submissions_0000821189_CIK0000821189-submissions-001,gzip,application/json,200,2026-08-13T06:47:28.066321+00:00,49d9c1e2265947c86faa58d45461e2aec0037f9b8b47720e78c65d092880a0b6,https://data.sec.gov/submissions/CIK0000821189-submissions-001.json
92080,submissions_0000821189_CIK0000821189-submissions-002,gzip,application/json,200,2026-08-13T06:47:28.503464+00:00,24a82631cfa220bc9c463c29625d53a5a4952ad218759c9962f0320f6e5919b4,https://data.sec.gov/submissions/CIK0000821189-submissions-002.json
157707,submissions_0000821189,gzip,application/json,200,2026-08-13T06:47:27.568538+00:00,5e342c4de77ddce92d12ad71f415b0ada82b3a9bf07f06456b7dd3ac1b13197d,https://data.sec.gov/submissions/CIK0000821189.json
3514634,companyfacts_0000821189,gzip,application/json,200,2026-08-13T06:47:29.458643+00:00,79f3107794b95507caaecb0a0817c98eca48a6cf6986fa1e01879c164c7b3da3,https://data.sec.gov/api/xbrl/companyfacts/CIK0000821189.json
88422,submissions_0001506307_CIK0001506307-submissions-001,gzip,application/json,200,2026-08-13T06:47:30.763219+00:00,44f211702f5b302fed24d9f26ae90fb6fe37c06ddeea3f52682127ef3b6b39a7,https://data.sec.gov/submissions/CIK0001506307-submissions-001.json
164185,submissions_0001506307,gzip,application/json,200,2026-08-13T06:47:30.279350+00:00,3c5529fa74abd10bf7ac693038197db88d7509fc03a296080cea104f71fc37ec,https://data.sec.gov/submissions/CIK0001506307.json
3840097,companyfacts_0001506307,gzip,application/json,200,2026-08-13T06:47:31.195238+00:00,1a60fc0f9776bfc713f1569c0d588be4a28901044e47de75c24e1a6a9b4369c7,https://data.sec.gov/api/xbrl/companyfacts/CIK0001506307.json
273373,submissions_0000797468_CIK0000797468-submissions-001,gzip,application/json,200,2026-08-13T06:47:32.753139+00:00,531f8e2ae6b686fc63f9469ebb0f80137264ef09e4a3dc13df67f2488aa5dfeb,https://data.sec.gov/submissions/CIK0000797468-submissions-001.json
156643,submissions_0000797468,gzip,application/json,200,2026-08-13T06:47:32.187851+00:00,64826d530963d1179e9a492ee455e21e1d319c2296ce6bf9ff986c3826c8adc3,https://data.sec.gov/submissions/CIK0000797468.json
3830831,companyfacts_0000797468,gzip,application/json,200,2026-08-13T06:47:33.641744+00:00,4b911cbb64fe1b78f022a147470bd4376ebf25ec71897240d6ed85654d8bd410,https://data.sec.gov/api/xbrl/companyfacts/CIK0000797468.json
315432,submissions_0000002488_CIK0000002488-submissions-001,gzip,application/json,200,2026-08-13T06:47:34.911313+00:00,0adb5b293e2b4662971f2152ecf2ee9ecec2c12af430508b7ef2d71165ee5c73,https://data.sec.gov/submissions/CIK0000002488-submissions-001.json
44005,submissions_0000002488_CIK0000002488-submissions-002,gzip,application/json,200,2026-08-13T06:47:35.324177+00:00,6b47cd5bd00428f5eeb1936530ca17bd20e799d269634b630719848e50f5c2fd,https://data.sec.gov/submissions/CIK0000002488-submissions-002.json
163497,submissions_0000002488,gzip,application/json,200,2026-08-13T06:47:34.531091+00:00,ef5ae124ed4927d4279a343fd90740bf2f642ea7aa83aff2bf24ea97dabeb076,https://data.sec.gov/submissions/CIK0000002488.json
3670885,companyfacts_0000002488,gzip,application/json,200,2026-08-13T06:47:40.216920+00:00,c9d1c506d334271b84818fe694b792fa122ce125e5a1a0f0631b15c0e21cad9b,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
309986,submissions_0001108524_CIK0001108524-submissions-001,gzip,application/json,200,2026-08-13T06:47:46.526091+00:00,fbdd411df9b8ce169fab98a9c65114bca1eb42f337b8e0f989cbf089b845ee55,https://data.sec.gov/submissions/CIK0001108524-submissions-001.json
307007,submissions_0001108524_CIK0001108524-submissions-002,gzip,application/json,200,2026-08-13T06:47:47.128848+00:00,57a305d464ff8cb36adcdbdd9365af46a81bde13c6e33ae6c09b3c342de00921,https://data.sec.gov/submissions/CIK0001108524-submissions-002.json
307471,submissions_0001108524_CIK0001108524-submissions-003,gzip,application/json,200,2026-08-13T06:47:47.869304+00:00,5d11603c191c0cb1ab76b15a1cb7258be521ce0269a00e419200d78aeb1f1b1a,https://data.sec.gov/submissions/CIK0001108524-submissions-003.json
311969,submissions_0001108524_CIK0001108524-submissions-004,gzip,application/json,200,2026-08-13T06:47:48.438679+00:00,8b4dab9c66ca5c4563f414ab1f596619aa276f224f95412e19182c2a74ed55b8,https://data.sec.gov/submissions/CIK0001108524-submissions-004.json
105248,submissions_0001108524_CIK0001108524-submissions-005,gzip,application/json,200,2026-08-13T06:47:49.070467+00:00,9f7b406f4a9ba9427f20ba66c790d69a25898543f719032f0b8f225a476ea6b7,https://data.sec.gov/submissions/CIK0001108524-submissions-005.json
156365,submissions_0001108524,gzip,application/json,200,2026-08-13T06:47:45.841612+00:00,fec572bf941ad9aa543f5aa82c563227a0409486a12f0e1fad9a6e7fde59a911,https://data.sec.gov/submissions/CIK0001108524.json
4664726,companyfacts_0001108524,gzip,application/json,200,2026-08-13T06:48:03.140754+00:00,07c432de58f0536b73226c24d4baed3edf4ad8718c3f736d3d8d1bd657c55d82,https://data.sec.gov/api/xbrl/companyfacts/CIK0001108524.json
5989,submissions_0002115436,gzip,application/json,200,2026-08-13T06:48:10.005801+00:00,6c4b7c84ae3cf7501768f4e2301bbf7009ee5163fe3c57f11400ca9dfe4db49b,https://data.sec.gov/submissions/CIK0002115436.json
77964,companyfacts_0002115436,gzip,application/json,200,2026-08-13T06:48:10.456638+00:00,2719a5e960fbd38d2759a183008267387324a5d705cca2c8c72a6980b3ed199b,https://data.sec.gov/api/xbrl/companyfacts/CIK0002115436.json
