portfolio,window,beta_spy,corr_spy,beta_qqq,corr_qqq
phase4_best,recovery_2023,-0.07731731510912447,-0.12720281373320258,-0.05750035697391977,-0.12523274077410315
phase4b_best,full,-0.03274203754759601,-0.07104537276423711,-0.02602241376544635,-0.063831447922681
phase4b_best,holdout_2016,-0.06078285796287626,-0.12191600991009655,-0.043168593708485394,-0.10274825614798103
phase4b_best,holdout_2020,-0.06890918880399259,-0.14072215054553108,-0.048654001856680944,-0.11617084319758716
phase4b_best,holdout_2021,-0.04031828099038131,-0.0785733424528901,-0.030403613726938533,-0.07711916645976646
phase4b_best,bear_2022,0.013256640252189967,0.04756305037855382,0.012055556051676365,0.0536257605823768
phase4b_best,recovery_2023,-0.0745338769016042,-0.12427594596067468,-0.05558729402589615,-0.1226976627486677
prod_pin,full,-0.02490799584957499,-0.05614344901717657,-0.02024499259805253,-0.05158636767756301
prod_pin,holdout_2016,-0.04192833300718099,-0.09076735322479826,-0.02798687093905803,-0.07189577263386374
prod_pin,holdout_2020,-0.04643104120260173,-0.10401923187431777,-0.031917220741017334,-0.08360332210298749
prod_pin,holdout_2021,-0.030388878488560492,-0.06391796635019428,-0.021884481778717355,-0.059911258564323555
prod_pin,bear_2022,0.017894921687628122,0.07052512860155719,0.014980418558932078,0.07319611353181296
prod_pin,recovery_2023,-0.06532777562115827,-0.12327604950113226,-0.049335861598322206,-0.12324546441991098
official_shadow,full,-0.024890010116535147,-0.05633020869102831,-0.020282575219187627,-0.051891521545727085
official_shadow,holdout_2016,-0.04155570016673052,-0.09034366146657814,-0.02780707550727211,-0.07173801151606563
official_shadow,holdout_2020,-0.04594577152981764,-0.10386906237249138,-0.03165386424832327,-0.08366824245923524
official_shadow,holdout_2021,-0.030231971969344427,-0.06391593198657568,-0.021817014289611573,-0.060034633756327414
official_shadow,bear_2022,0.016702875398021573,0.06735913997063868,0.013726322870646093,0.06862928778803194
official_shadow,recovery_2023,-0.06420726295454651,-0.12205882112516403,-0.04848198886337364,-0.12200927106369289
SPY,full,1.0,1.0,0.8088397411286165,0.9143648115356346
SPY,holdout_2016,1.0,0.9999999999999999,0.7796089839041616,0.9251321414213366
SPY,holdout_2020,1.0,1.0,0.7924444330067429,0.9265355066322079
SPY,holdout_2021,1.0,1.0,0.7239367998814851,0.9422465445063606
SPY,bear_2022,1.0,1.0,0.7776181634653833,0.9640873530524172
SPY,recovery_2023,1.0,0.9999999999999998,0.7090459315115863,0.9386458413570249
QQQ,full,1.0336571833228596,0.9143648115356346,1.0,1.0
QQQ,holdout_2016,1.0978189025025928,0.9251321414213366,1.0,1.0
QQQ,holdout_2020,1.0833163932932788,0.9265355066322077,1.0,0.9999999999999998
QQQ,holdout_2021,1.2263895837033318,0.9422465445063605,1.0,1.0
QQQ,bear_2022,1.1952709800058476,0.9640873530524172,1.0,1.0
QQQ,recovery_2023,1.2425937112685348,0.9386458413570249,1.0,0.9999999999999999
bench_60_40,full,-0.04697730894893653,-0.08005552377444566,-0.02564265145107535,-0.0493995645062653
bench_60_40,holdout_2016,-0.05868716445626156,-0.09594505949119538,-0.031656543116970574,-0.06141435751486637
bench_60_40,holdout_2020,-0.059678725459041126,-0.09590385278767126,-0.030242409142312517,-0.056823260255506054
bench_60_40,holdout_2021,-0.05333589456289561,-0.08232794720927328,-0.02668732058180298,-0.05361626728451225
bench_60_40,bear_2022,-0.03045251100353787,-0.0459213924660151,-0.01928871195961955,-0.03606161373193593
bench_60_40,recovery_2023,-0.08071669383773698,-0.1258123637647372,-0.04403174136070387,-0.09085591558788544
