Date,source_return,exposure,exposure_turnover,turnover,financing_cost,exposure_cost,net_return,wealth,drawdown
2023-11-08,0.004783867165155886,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.005920310146921048,1.27532531309465,-0.05573722529665193
2023-11-09,-0.005473215268132048,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.0069010428946888695,1.2665242384043014,-0.06225362320873762
2023-11-10,0.024886121655177673,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.031048128259448284,1.3058474454019784,-0.033138353427289435
2023-11-13,-0.004767318662936004,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.006018672138193815,1.2979879777656058,-0.03895757668100486
2023-11-14,0.020684661350002242,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.025796302877978995,1.331471268772023,-0.014166235250481107
2023-11-15,-0.0006428326603931112,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.0008630646350151985,1.330322123007407,-0.015017073508840406
2023-11-16,0.002661146131126557,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.003266908854384387,1.3346681641302434,-0.011799224064868885
2023-11-17,0.0009575497234148855,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.0011374133447447975,1.3361862335109311,-0.010675231315033118
2023-11-20,0.014188138878928225,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.017675649789136473,1.3598041934275356,0.0
2023-11-21,-0.008034601616164538,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.010102775829729483,1.346066396489011,-0.010102775829729516
2023-11-22,0.0028320799790775286,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.003480576164323101,1.3507514831042269,-0.00665736314615295
2023-11-24,-0.0009530572805990234,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.0012508454102725887,1.3490619018111671,-0.007899881224289529
2023-11-27,-0.0008520045162827561,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.0011245294548772545,1.3475448419661278,-0.00901552703004005
2023-11-28,0.0016235906659085586,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.0019699645228618886,1.3501994574977667,-0.007063322775582193
