candidate,cost_bps,window,weeks,start,end,cagr,arithmetic_ann_return,ann_vol,sharpe_zero_rf,max_drawdown
trend_reversal_8w_standalone,100,full,1110,2005-01-07,2026-04-10,-0.0015715316631567111,0.0066581484178978075,0.12792065848909973,0.052049047405936834,-0.5294618017989869
trend_reversal_8w_standalone,100,recent_3y,157,2023-04-14,2026-04-10,0.0191842810696361,0.024244149251178963,0.10262437324654711,0.23624163036722545,-0.1082541467450403
trend_reversal_8w_standalone,100,post_2024,119,2024-01-05,2026-04-10,0.060917944754732334,0.0647300935755721,0.10585880416544792,0.6114757679900172,-0.10825414674503975
ggg_plus_reversal_4w_05,10,full,1110,2005-01-07,2026-04-10,0.07059215135458241,0.07122985421330408,0.07706446513170712,0.9242892180146661,-0.12224781592782308
ggg_plus_reversal_4w_05,10,recent_3y,157,2023-04-14,2026-04-10,0.1412374370503544,0.13546750525648402,0.08009885015430465,1.6912540566501972,-0.07194514467207802
ggg_plus_reversal_4w_05,10,post_2024,119,2024-01-05,2026-04-10,0.16838184741834294,0.15903635337255928,0.08012942212504547,1.9847435455652744,-0.07194514467207802
ggg_plus_reversal_4w_05,50,full,1110,2005-01-07,2026-04-10,0.056921953531192004,0.05837016802219659,0.07713588186804964,0.7567187488962128,-0.12438744965882731
ggg_plus_reversal_4w_05,50,recent_3y,157,2023-04-14,2026-04-10,0.12506998855890905,0.12118165768045269,0.08029105270527549,1.5092797216805018,-0.07293522595375268
ggg_plus_reversal_4w_05,50,post_2024,119,2024-01-05,2026-04-10,0.15117981863243002,0.14419831200770022,0.08057550530643927,1.7896048117761723,-0.07293522595375279
ggg_plus_reversal_4w_05,100,full,1110,2005-01-07,2026-04-10,0.04005978428391521,0.04229556028331224,0.07741124478376765,0.5463748890933889,-0.1291551183516101
ggg_plus_reversal_4w_05,100,recent_3y,157,2023-04-14,2026-04-10,0.1051590913553464,0.10332434821041347,0.08072518228872949,1.2799518722776446,-0.07417242080407538
ggg_plus_reversal_4w_05,100,post_2024,119,2024-01-05,2026-04-10,0.1300079384981192,0.12565076030162647,0.08133066338346104,1.5449371131919,-0.07417242080407549
ggg_plus_reversal_4w_10,10,full,1110,2005-01-07,2026-04-10,0.0702932572312076,0.07103558501434755,0.0781620431151963,0.9088245673114548,-0.12805088360112005
ggg_plus_reversal_4w_10,10,recent_3y,157,2023-04-14,2026-04-10,0.13732590506756548,0.1320025856117908,0.07980786559556632,1.6540047102716164,-0.07124751182242506
ggg_plus_reversal_4w_10,10,post_2024,119,2024-01-05,2026-04-10,0.1656842493092039,0.1566897330647418,0.07977376634661833,1.9641761977731167,-0.07124751182242495
ggg_plus_reversal_4w_10,50,full,1110,2005-01-07,2026-04-10,0.05632387385637516,0.05788805773750286,0.0782215481013198,0.7400525704569395,-0.13019105231061312
ggg_plus_reversal_4w_10,50,recent_3y,157,2023-04-14,2026-04-10,0.12088230040226566,0.11742043354525342,0.07999032563778995,1.4679329357521744,-0.07223614495787589
