version,state,n_weeks,avg_SPY,avg_BIL,avg_QQQ,avg_IWM,avg_GLD,avg_TLT,avg_HYG,avg_LQD
improved_phasezz_recovery_neutral_offense_rebudget,recovery_fragile,49,0.05596079646583139,0.17065332096981994,0.04197348924045201,0.008351198754850863,0.12086693405011117,0.11896261041255343,0.13185803822888215,0.12177871159064538
improved_phasezz_recovery_neutral_offense_rebudget,stressed_panic,229,0.025171976279545538,0.5314407345081292,0.011855381672538646,0.0034636336106025115,0.07960305900386362,0.08359217045387488,0.08184053454202556,0.06950423313631324
improved_phaseaaa_confirmed_offense_escalation,calm_trend,295,0.08030515819520258,0.11068382087393754,0.020311049608906194,0.012206135057366233,0.11523051006902406,0.06108809811129118,0.15670398262025786,0.10515408093512513
improved_phaseaaa_confirmed_offense_escalation,neutral_mixed,493,0.06670206719604153,0.26036484009129746,0.02862692567565993,0.015162584661617165,0.1093403486940537,0.08364493774853154,0.10517799180453666,0.08947082153926061
improved_phaseaaa_confirmed_offense_escalation,recovery_confirmed,44,0.06143084080279988,0.11912090153946192,0.046732677790052975,0.004262771174620961,0.15102703168423573,0.1233015885869242,0.07879262751789581,0.10621767446089934
improved_phaseaaa_confirmed_offense_escalation,recovery_fragile,49,0.05602508965210973,0.17065213022555278,0.04236559309653727,0.008512832394204866,0.12086662994263529,0.11766229718167523,0.13139797268445652,0.12042018138610454
improved_phaseaaa_confirmed_offense_escalation,stressed_panic,229,0.025183823402041776,0.5314250199915808,0.011863572524769217,0.0034772257949539894,0.07960267536907857,0.08357310422705272,0.08179863429806486,0.06948790837989158
improved_phaseaaa_confirmed_offense_mix_tilt,calm_trend,295,0.08008186902353778,0.11048412796751064,0.020289834919775724,0.012223924029852694,0.11543227081940094,0.061125424440972465,0.15716131991087487,0.10556707031535835
improved_phaseaaa_confirmed_offense_mix_tilt,neutral_mixed,493,0.06679999296590235,0.2588905795778731,0.02819858388691749,0.01523625318850183,0.11018000000135442,0.08477982414128624,0.10592719704312308,0.0901369108889248
improved_phaseaaa_confirmed_offense_mix_tilt,recovery_confirmed,44,0.06168055248577327,0.10048012628890114,0.044397369560906466,0.004532050486205864,0.16035335255580718,0.13156292283330384,0.08518546138852756,0.10881801441111304
improved_phaseaaa_confirmed_offense_mix_tilt,recovery_fragile,49,0.055990438171481124,0.17064727153921608,0.042384109937957846,0.008581784331622213,0.12086680939752079,0.11853875086002448,0.13141432695883945,0.12133406130730105
improved_phaseaaa_confirmed_offense_mix_tilt,stressed_panic,229,0.025176149307686347,0.531440758870498,0.01186221899837361,0.0034715053802661347,0.07959859362028239,0.08357960813908705,0.0818261077897569,0.06949106238238564
improved_phaseaaa_confirmed_defense_composition_repair,calm_trend,295,0.08024094463264714,0.11040625353845666,0.020188058009761475,0.01218464024050096,0.11541257886266135,0.06136198263942549,0.15715465115502558,0.10527460685691181
improved_phaseaaa_confirmed_defense_composition_repair,neutral_mixed,493,0.06732298506154774,0.258635976916103,0.027182275705823277,0.014994270288969757,0.11010387623344733,0.08462439434451295,0.10685459599004846,0.08955696671764375
improved_phaseaaa_confirmed_defense_composition_repair,recovery_confirmed,44,0.06514493423130827,0.10036661344033444,0.039315819035220835,0.0038590369198016634,0.15858872197355053,0.13042342604996807,0.08857419167376171,0.1056884247747036
improved_phaseaaa_confirmed_defense_composition_repair,recovery_fragile,49,0.056393042535341706,0.17064017067907514,0.04197166771129218,0.008350332279083597,0.12086681434577726,0.11830840866495423,0.13229123098293138,0.12069222556288371
improved_phaseaaa_confirmed_defense_composition_repair,stressed_panic,229,0.025183513615739398,0.5314316417877233,0.01185531884975145,0.003463516274697967,0.0796063176556439,0.08359489976111412,0.08182138927144869,0.06949320238522382
