variant,decision_date,realization_date,gross_return,turnover,short_exposure,gross_exposure,active_pairs,selected_pairs
stale_5d,1995-03-10,1995-03-13,0,0,0,0,0,0
real,1995-03-13,1995-03-14,0,0,0,0,0,0
inverted,1995-03-13,1995-03-14,0,0,0,0,0,0
random_pairs,1995-03-13,1995-03-14,0,0,0,0,0,0
stale_5d,1995-03-13,1995-03-14,0,0,0,0,0,0
real,1995-03-14,1995-03-15,0,0,0,0,0,0
inverted,1995-03-14,1995-03-15,0,0,0,0,0,0
random_pairs,1995-03-14,1995-03-15,0,0,0,0,0,0
stale_5d,1995-03-14,1995-03-15,0,0,0,0,0,0
real,1995-03-15,1995-03-16,0,0,0,0,0,0
inverted,1995-03-15,1995-03-16,0,0,0,0,0,0
random_pairs,1995-03-15,1995-03-16,0,0,0,0,0,0
stale_5d,1995-03-15,1995-03-16,0,0,0,0,0,0
real,1995-03-16,1995-03-17,0,0,0,0,0,0
inverted,1995-03-16,1995-03-17,0,0,0,0,0,0
random_pairs,1995-03-16,1995-03-17,0,0,0,0,0,0
stale_5d,1995-03-16,1995-03-17,0,0,0,0,0,0
real,1995-03-17,1995-03-20,0,0,0,0,0,0
inverted,1995-03-17,1995-03-20,0,0,0,0,0,0
random_pairs,1995-03-17,1995-03-20,0,0,0,0,0,0
stale_5d,1995-03-17,1995-03-20,0,0,0,0,0,0
real,1995-03-20,1995-03-21,0,0,0,0,0,0
inverted,1995-03-20,1995-03-21,0,0,0,0,0,0
random_pairs,1995-03-20,1995-03-21,0,0,0,0,0,0
stale_5d,1995-03-20,1995-03-21,0,0,0,0,0,0
real,1995-03-21,1995-03-22,0,0,0,0,0,0
inverted,1995-03-21,1995-03-22,0,0,0,0,0,0
random_pairs,1995-03-21,1995-03-22,0,0,0,0,0,0
stale_5d,1995-03-21,1995-03-22,0,0,0,0,0,0
real,1995-03-22,1995-03-23,0,0,0,0,0,0
inverted,1995-03-22,1995-03-23,0,0,0,0,0,0
random_pairs,1995-03-22,1995-03-23,0,0,0,0,0,0
stale_5d,1995-03-22,1995-03-23,0,0,0,0,0,0
real,1995-03-23,1995-03-24,0,0,0,0,0,0
inverted,1995-03-23,1995-03-24,0,0,0,0,0,0
random_pairs,1995-03-23,1995-03-24,0,0,0,0,0,0
stale_5d,1995-03-23,1995-03-24,0,0,0,0,0,0
real,1995-03-24,1995-03-27,0,0,0,0,0,0
inverted,1995-03-24,1995-03-27,0,0,0,0,0,0
random_pairs,1995-03-24,1995-03-27,0,0,0,0,0,0
stale_5d,1995-03-24,1995-03-27,0,0,0,0,0,0
real,1995-03-27,1995-03-28,0,0,0,0,0,0
inverted,1995-03-27,1995-03-28,0,0,0,0,0,0
random_pairs,1995-03-27,1995-03-28,0,0,0,0,0,0
stale_5d,1995-03-27,1995-03-28,0,0,0,0,0,0
real,1995-03-28,1995-03-29,0,0,0,0,0,0
inverted,1995-03-28,1995-03-29,0,0,0,0,0,0
random_pairs,1995-03-28,1995-03-29,0,0,0,0,0,0
stale_5d,1995-03-28,1995-03-29,0,0,0,0,0,0
real,1995-03-29,1995-03-30,0,0,0,0,0,0
inverted,1995-03-29,1995-03-30,0,0,0,0,0,0
random_pairs,1995-03-29,1995-03-30,0,0,0,0,0,0
stale_5d,1995-03-29,1995-03-30,0,0,0,0,0,0
real,1995-03-30,1995-03-31,0,0,0,0,0,0
inverted,1995-03-30,1995-03-31,0,0,0,0,0,0
random_pairs,1995-03-30,1995-03-31,0,0,0,0,0,0
stale_5d,1995-03-30,1995-03-31,0,0,0,0,0,0
real,1995-03-31,1995-04-03,0,0,0,0,0,0
inverted,1995-03-31,1995-04-03,0,0,0,0,0,0
random_pairs,1995-03-31,1995-04-03,0,0,0,0,0,0
stale_5d,1995-03-31,1995-04-03,0,0,0,0,0,0
real,1995-04-03,1995-04-04,0,0,0,0,0,0
inverted,1995-04-03,1995-04-04,0,0,0,0,0,0
random_pairs,1995-04-03,1995-04-04,0,0,0,0,0,0
stale_5d,1995-04-03,1995-04-04,0,0,0,0,0,0
real,1995-04-04,1995-04-05,0,0,0,0,0,0
inverted,1995-04-04,1995-04-05,0,0,0,0,0,0
random_pairs,1995-04-04,1995-04-05,0,0,0,0,0,0
stale_5d,1995-04-04,1995-04-05,0,0,0,0,0,0
real,1995-04-05,1995-04-06,0,0,0,0,0,0
inverted,1995-04-05,1995-04-06,0,0,0,0,0,0
random_pairs,1995-04-05,1995-04-06,0,0,0,0,0,0
stale_5d,1995-04-05,1995-04-06,0,0,0,0,0,0
real,1995-04-06,1995-04-07,0,0,0,0,0,0
inverted,1995-04-06,1995-04-07,0,0,0,0,0,0
random_pairs,1995-04-06,1995-04-07,0,0,0,0,0,0
stale_5d,1995-04-06,1995-04-07,0,0,0,0,0,0
real,1995-04-07,1995-04-10,0,0,0,0,0,0
inverted,1995-04-07,1995-04-10,0,0,0,0,0,0
random_pairs,1995-04-07,1995-04-10,0,0,0,0,0,0
stale_5d,1995-04-07,1995-04-10,0,0,0,0,0,0
real,1995-04-10,1995-04-11,0,0,0,0,0,0
inverted,1995-04-10,1995-04-11,0,0,0,0,0,0
random_pairs,1995-04-10,1995-04-11,0,0,0,0,0,0
stale_5d,1995-04-10,1995-04-11,0,0,0,0,0,0
real,1995-04-11,1995-04-12,0,0,0,0,0,0
inverted,1995-04-11,1995-04-12,0,0,0,0,0,0
random_pairs,1995-04-11,1995-04-12,0,0,0,0,0,0
stale_5d,1995-04-11,1995-04-12,0,0,0,0,0,0
real,1995-04-12,1995-04-13,0,0,0,0,0,0
inverted,1995-04-12,1995-04-13,0,0,0,0,0,0
random_pairs,1995-04-12,1995-04-13,0,0,0,0,0,0
stale_5d,1995-04-12,1995-04-13,0,0,0,0,0,0
real,1995-04-13,1995-04-17,0,0,0,0,0,0
inverted,1995-04-13,1995-04-17,0,0,0,0,0,0
random_pairs,1995-04-13,1995-04-17,0,0,0,0,0,0
stale_5d,1995-04-13,1995-04-17,0,0,0,0,0,0
real,1995-04-17,1995-04-18,0,0,0,0,0,0
inverted,1995-04-17,1995-04-18,0,0,0,0,0,0
random_pairs,1995-04-17,1995-04-18,0,0,0,0,0,0
stale_5d,1995-04-17,1995-04-18,0,0,0,0,0,0
real,1995-04-18,1995-04-19,0,0,0,0,0,0
inverted,1995-04-18,1995-04-19,0,0,0,0,0,0
random_pairs,1995-04-18,1995-04-19,0,0,0,0,0,0
stale_5d,1995-04-18,1995-04-19,0,0,0,0,0,0
real,1995-04-19,1995-04-20,0,0,0,0,0,0
inverted,1995-04-19,1995-04-20,0,0,0,0,0,0
random_pairs,1995-04-19,1995-04-20,0,0,0,0,0,0
stale_5d,1995-04-19,1995-04-20,0,0,0,0,0,0
real,1995-04-20,1995-04-21,0,0,0,0,0,0
inverted,1995-04-20,1995-04-21,0,0,0,0,0,0
random_pairs,1995-04-20,1995-04-21,0,0,0,0,0,0
stale_5d,1995-04-20,1995-04-21,0,0,0,0,0,0
real,1995-04-21,1995-04-24,0,0,0,0,0,0
inverted,1995-04-21,1995-04-24,0,0,0,0,0,0
random_pairs,1995-04-21,1995-04-24,0,0,0,0,0,0
stale_5d,1995-04-21,1995-04-24,0,0,0,0,0,0
real,1995-04-24,1995-04-25,0,0,0,0,0,0
inverted,1995-04-24,1995-04-25,0,0,0,0,0,0
random_pairs,1995-04-24,1995-04-25,0,0,0,0,0,0
stale_5d,1995-04-24,1995-04-25,0,0,0,0,0,0
real,1995-04-25,1995-04-26,0,0,0,0,0,0
inverted,1995-04-25,1995-04-26,0,0,0,0,0,0
random_pairs,1995-04-25,1995-04-26,0,0,0,0,0,0
stale_5d,1995-04-25,1995-04-26,0,0,0,0,0,0
real,1995-04-26,1995-04-27,0,0,0,0,0,0
inverted,1995-04-26,1995-04-27,0,0,0,0,0,0
random_pairs,1995-04-26,1995-04-27,0,0,0,0,0,0
stale_5d,1995-04-26,1995-04-27,0,0,0,0,0,0
real,1995-04-27,1995-04-28,0,0,0,0,0,0
inverted,1995-04-27,1995-04-28,0,0,0,0,0,0
random_pairs,1995-04-27,1995-04-28,0,0,0,0,0,0
stale_5d,1995-04-27,1995-04-28,0,0,0,0,0,0
real,1995-04-28,1995-05-01,0,0,0,0,0,0
inverted,1995-04-28,1995-05-01,0,0,0,0,0,0
random_pairs,1995-04-28,1995-05-01,0,0,0,0,0,0
stale_5d,1995-04-28,1995-05-01,0,0,0,0,0,0
real,1995-05-01,1995-05-02,0,0,0,0,0,0
inverted,1995-05-01,1995-05-02,0,0,0,0,0,0
random_pairs,1995-05-01,1995-05-02,0,0,0,0,0,0
stale_5d,1995-05-01,1995-05-02,0,0,0,0,0,0
real,1995-05-02,1995-05-03,0,0,0,0,0,0
inverted,1995-05-02,1995-05-03,0,0,0,0,0,0
random_pairs,1995-05-02,1995-05-03,0,0,0,0,0,0
stale_5d,1995-05-02,1995-05-03,0,0,0,0,0,0
real,1995-05-03,1995-05-04,0,0,0,0,0,0
inverted,1995-05-03,1995-05-04,0,0,0,0,0,0
random_pairs,1995-05-03,1995-05-04,0,0,0,0,0,0
stale_5d,1995-05-03,1995-05-04,0,0,0,0,0,0
real,1995-05-04,1995-05-05,0,0,0,0,0,0
inverted,1995-05-04,1995-05-05,0,0,0,0,0,0
random_pairs,1995-05-04,1995-05-05,0,0,0,0,0,0
stale_5d,1995-05-04,1995-05-05,0,0,0,0,0,0
real,1995-05-05,1995-05-08,0,0,0,0,0,0
inverted,1995-05-05,1995-05-08,0,0,0,0,0,0
random_pairs,1995-05-05,1995-05-08,0,0,0,0,0,0
stale_5d,1995-05-05,1995-05-08,0,0,0,0,0,0
real,1995-05-08,1995-05-09,0,0,0,0,0,0
inverted,1995-05-08,1995-05-09,0,0,0,0,0,0
random_pairs,1995-05-08,1995-05-09,0,0,0,0,0,0
stale_5d,1995-05-08,1995-05-09,0,0,0,0,0,0
real,1995-05-09,1995-05-10,0,0,0,0,0,0
inverted,1995-05-09,1995-05-10,0,0,0,0,0,0
random_pairs,1995-05-09,1995-05-10,0,0,0,0,0,0
stale_5d,1995-05-09,1995-05-10,0,0,0,0,0,0
real,1995-05-10,1995-05-11,0,0,0,0,0,0
inverted,1995-05-10,1995-05-11,0,0,0,0,0,0
random_pairs,1995-05-10,1995-05-11,0,0,0,0,0,0
stale_5d,1995-05-10,1995-05-11,0,0,0,0,0,0
real,1995-05-11,1995-05-12,0,0,0,0,0,0
inverted,1995-05-11,1995-05-12,0,0,0,0,0,0
random_pairs,1995-05-11,1995-05-12,0,0,0,0,0,0
stale_5d,1995-05-11,1995-05-12,0,0,0,0,0,0
real,1995-05-12,1995-05-15,0,0,0,0,0,0
inverted,1995-05-12,1995-05-15,0,0,0,0,0,0
random_pairs,1995-05-12,1995-05-15,0,0,0,0,0,0
stale_5d,1995-05-12,1995-05-15,0,0,0,0,0,0
real,1995-05-15,1995-05-16,0,0,0,0,0,0
inverted,1995-05-15,1995-05-16,0,0,0,0,0,0
random_pairs,1995-05-15,1995-05-16,0,0,0,0,0,0
stale_5d,1995-05-15,1995-05-16,0,0,0,0,0,0
real,1995-05-16,1995-05-17,0,0,0,0,0,0
inverted,1995-05-16,1995-05-17,0,0,0,0,0,0
random_pairs,1995-05-16,1995-05-17,0,0,0,0,0,0
stale_5d,1995-05-16,1995-05-17,0,0,0,0,0,0
real,1995-05-17,1995-05-18,0,0,0,0,0,0
inverted,1995-05-17,1995-05-18,0,0,0,0,0,0
random_pairs,1995-05-17,1995-05-18,0,0,0,0,0,0
stale_5d,1995-05-17,1995-05-18,0,0,0,0,0,0
real,1995-05-18,1995-05-19,0,0,0,0,0,0
inverted,1995-05-18,1995-05-19,0,0,0,0,0,0
random_pairs,1995-05-18,1995-05-19,0,0,0,0,0,0
stale_5d,1995-05-18,1995-05-19,0,0,0,0,0,0
real,1995-05-19,1995-05-22,0,0,0,0,0,0
inverted,1995-05-19,1995-05-22,0,0,0,0,0,0
random_pairs,1995-05-19,1995-05-22,0,0,0,0,0,0
stale_5d,1995-05-19,1995-05-22,0,0,0,0,0,0
real,1995-05-22,1995-05-23,0,0,0,0,0,0
inverted,1995-05-22,1995-05-23,0,0,0,0,0,0
random_pairs,1995-05-22,1995-05-23,0,0,0,0,0,0
stale_5d,1995-05-22,1995-05-23,0,0,0,0,0,0
real,1995-05-23,1995-05-24,0,0,0,0,0,0
inverted,1995-05-23,1995-05-24,0,0,0,0,0,0
random_pairs,1995-05-23,1995-05-24,0,0,0,0,0,0
stale_5d,1995-05-23,1995-05-24,0,0,0,0,0,0
real,1995-05-24,1995-05-25,0,0,0,0,0,0
inverted,1995-05-24,1995-05-25,0,0,0,0,0,0
random_pairs,1995-05-24,1995-05-25,0,0,0,0,0,0
stale_5d,1995-05-24,1995-05-25,0,0,0,0,0,0
real,1995-05-25,1995-05-26,0,0,0,0,0,0
inverted,1995-05-25,1995-05-26,0,0,0,0,0,0
random_pairs,1995-05-25,1995-05-26,0,0,0,0,0,0
stale_5d,1995-05-25,1995-05-26,0,0,0,0,0,0
real,1995-05-26,1995-05-30,0,0,0,0,0,0
inverted,1995-05-26,1995-05-30,0,0,0,0,0,0
random_pairs,1995-05-26,1995-05-30,0,0,0,0,0,0
stale_5d,1995-05-26,1995-05-30,0,0,0,0,0,0
real,1995-05-30,1995-05-31,0,0,0,0,0,0
inverted,1995-05-30,1995-05-31,0,0,0,0,0,0
random_pairs,1995-05-30,1995-05-31,0,0,0,0,0,0
stale_5d,1995-05-30,1995-05-31,0,0,0,0,0,0
real,1995-05-31,1995-06-01,0,0,0,0,0,0
inverted,1995-05-31,1995-06-01,0,0,0,0,0,0
random_pairs,1995-05-31,1995-06-01,0,0,0,0,0,0
stale_5d,1995-05-31,1995-06-01,0,0,0,0,0,0
real,1995-06-01,1995-06-02,0,0,0,0,0,0
inverted,1995-06-01,1995-06-02,0,0,0,0,0,0
random_pairs,1995-06-01,1995-06-02,0,0,0,0,0,0
stale_5d,1995-06-01,1995-06-02,0,0,0,0,0,0
real,1995-06-02,1995-06-05,0,0,0,0,0,0
inverted,1995-06-02,1995-06-05,0,0,0,0,0,0
random_pairs,1995-06-02,1995-06-05,0,0,0,0,0,0
stale_5d,1995-06-02,1995-06-05,0,0,0,0,0,0
real,1995-06-05,1995-06-06,0,0,0,0,0,0
inverted,1995-06-05,1995-06-06,0,0,0,0,0,0
random_pairs,1995-06-05,1995-06-06,0,0,0,0,0,0
stale_5d,1995-06-05,1995-06-06,0,0,0,0,0,0
real,1995-06-06,1995-06-07,0,0,0,0,0,0
inverted,1995-06-06,1995-06-07,0,0,0,0,0,0
random_pairs,1995-06-06,1995-06-07,0,0,0,0,0,0
stale_5d,1995-06-06,1995-06-07,0,0,0,0,0,0
real,1995-06-07,1995-06-08,0,0,0,0,0,0
inverted,1995-06-07,1995-06-08,0,0,0,0,0,0
random_pairs,1995-06-07,1995-06-08,0,0,0,0,0,0
stale_5d,1995-06-07,1995-06-08,0,0,0,0,0,0
real,1995-06-08,1995-06-09,0,0,0,0,0,0
inverted,1995-06-08,1995-06-09,0,0,0,0,0,0
random_pairs,1995-06-08,1995-06-09,0,0,0,0,0,0
stale_5d,1995-06-08,1995-06-09,0,0,0,0,0,0
real,1995-06-09,1995-06-12,0,0,0,0,0,0
inverted,1995-06-09,1995-06-12,0,0,0,0,0,0
random_pairs,1995-06-09,1995-06-12,0,0,0,0,0,0
stale_5d,1995-06-09,1995-06-12,0,0,0,0,0,0
real,1995-06-12,1995-06-13,0,0,0,0,0,0
inverted,1995-06-12,1995-06-13,0,0,0,0,0,0
random_pairs,1995-06-12,1995-06-13,0,0,0,0,0,0
stale_5d,1995-06-12,1995-06-13,0,0,0,0,0,0
real,1995-06-13,1995-06-14,0,0,0,0,0,0
inverted,1995-06-13,1995-06-14,0,0,0,0,0,0
random_pairs,1995-06-13,1995-06-14,0,0,0,0,0,0
stale_5d,1995-06-13,1995-06-14,0,0,0,0,0,0
real,1995-06-14,1995-06-15,0,0,0,0,0,0
inverted,1995-06-14,1995-06-15,0,0,0,0,0,0
random_pairs,1995-06-14,1995-06-15,0,0,0,0,0,0
stale_5d,1995-06-14,1995-06-15,0,0,0,0,0,0
real,1995-06-15,1995-06-16,0,0,0,0,0,0
inverted,1995-06-15,1995-06-16,0,0,0,0,0,0
random_pairs,1995-06-15,1995-06-16,0,0,0,0,0,0
stale_5d,1995-06-15,1995-06-16,0,0,0,0,0,0
real,1995-06-16,1995-06-19,0,0,0,0,0,0
inverted,1995-06-16,1995-06-19,0,0,0,0,0,0
random_pairs,1995-06-16,1995-06-19,0,0,0,0,0,0
stale_5d,1995-06-16,1995-06-19,0,0,0,0,0,0
real,1995-06-19,1995-06-20,0,0,0,0,0,0
inverted,1995-06-19,1995-06-20,0,0,0,0,0,0
random_pairs,1995-06-19,1995-06-20,0,0,0,0,0,0
stale_5d,1995-06-19,1995-06-20,0,0,0,0,0,0
real,1995-06-20,1995-06-21,0,0,0,0,0,0
inverted,1995-06-20,1995-06-21,0,0,0,0,0,0
random_pairs,1995-06-20,1995-06-21,0,0,0,0,0,0
stale_5d,1995-06-20,1995-06-21,0,0,0,0,0,0
real,1995-06-21,1995-06-22,0,0,0,0,0,0
inverted,1995-06-21,1995-06-22,0,0,0,0,0,0
random_pairs,1995-06-21,1995-06-22,0,0,0,0,0,0
stale_5d,1995-06-21,1995-06-22,0,0,0,0,0,0
real,1995-06-22,1995-06-23,0,0,0,0,0,0
inverted,1995-06-22,1995-06-23,0,0,0,0,0,0
random_pairs,1995-06-22,1995-06-23,0,0,0,0,0,0
stale_5d,1995-06-22,1995-06-23,0,0,0,0,0,0
real,1995-06-23,1995-06-26,0,0,0,0,0,0
inverted,1995-06-23,1995-06-26,0,0,0,0,0,0
random_pairs,1995-06-23,1995-06-26,0,0,0,0,0,0
stale_5d,1995-06-23,1995-06-26,0,0,0,0,0,0
real,1995-06-26,1995-06-27,0,0,0,0,0,0
inverted,1995-06-26,1995-06-27,0,0,0,0,0,0
random_pairs,1995-06-26,1995-06-27,0,0,0,0,0,0
stale_5d,1995-06-26,1995-06-27,0,0,0,0,0,0
real,1995-06-27,1995-06-28,0,0,0,0,0,0
inverted,1995-06-27,1995-06-28,0,0,0,0,0,0
random_pairs,1995-06-27,1995-06-28,0,0,0,0,0,0
stale_5d,1995-06-27,1995-06-28,0,0,0,0,0,0
real,1995-06-28,1995-06-29,0,0,0,0,0,0
inverted,1995-06-28,1995-06-29,0,0,0,0,0,0
random_pairs,1995-06-28,1995-06-29,0,0,0,0,0,0
stale_5d,1995-06-28,1995-06-29,0,0,0,0,0,0
real,1995-06-29,1995-06-30,0,0,0,0,0,0
inverted,1995-06-29,1995-06-30,0,0,0,0,0,0
random_pairs,1995-06-29,1995-06-30,0,0,0,0,0,0
stale_5d,1995-06-29,1995-06-30,0,0,0,0,0,0
real,1995-06-30,1995-07-03,0,0,0,0,0,0
inverted,1995-06-30,1995-07-03,0,0,0,0,0,0
random_pairs,1995-06-30,1995-07-03,0,0,0,0,0,0
stale_5d,1995-06-30,1995-07-03,0,0,0,0,0,0
real,1995-07-03,1995-07-05,0,0,0,0,0,0
inverted,1995-07-03,1995-07-05,0,0,0,0,0,0
random_pairs,1995-07-03,1995-07-05,0,0,0,0,0,0
stale_5d,1995-07-03,1995-07-05,0,0,0,0,0,0
real,1995-07-05,1995-07-06,0,0,0,0,0,0
inverted,1995-07-05,1995-07-06,0,0,0,0,0,0
random_pairs,1995-07-05,1995-07-06,0,0,0,0,0,0
stale_5d,1995-07-05,1995-07-06,0,0,0,0,0,0
real,1995-07-06,1995-07-07,0,0,0,0,0,0
inverted,1995-07-06,1995-07-07,0,0,0,0,0,0
random_pairs,1995-07-06,1995-07-07,0,0,0,0,0,0
stale_5d,1995-07-06,1995-07-07,0,0,0,0,0,0
real,1995-07-07,1995-07-10,0,0,0,0,0,0
inverted,1995-07-07,1995-07-10,0,0,0,0,0,0
random_pairs,1995-07-07,1995-07-10,0,0,0,0,0,0
stale_5d,1995-07-07,1995-07-10,0,0,0,0,0,0
real,1995-07-10,1995-07-11,0,0,0,0,0,0
inverted,1995-07-10,1995-07-11,0,0,0,0,0,0
random_pairs,1995-07-10,1995-07-11,0,0,0,0,0,0
