candidate,recent_cagr,full_cagr,completed_rolling_windows,rolling_outperformance_share,neighborhood_joint_improvement_share,bootstrap_4w_probability_positive,bootstrap_13w_probability_positive,controller_one_week_delay_recent_cagr,controller_two_week_delay_recent_cagr,overlay_one_week_delay_recent_cagr,overlay_two_week_delay_recent_cagr,preliminary_robustness_gates
h13__cal52__q40__breadth_and_dispersion_high__w50_80,1.092288148969022,0.4197304655381704,163,0.3496932515337423,0.25,0.7874,0.7364,1.1091448612165293,1.1293348809519008,0.9806523404887497,1.0549730071155001,False
h13__cal52__q40__breadth_high__w50_80,1.0922881489690215,0.42061810718186776,163,0.3619631901840491,0.45,0.7874,0.7364,1.1091448612165289,1.1293348809518986,0.9806523404887524,1.0549730071155001,False
h13__cal52__q40__breadth_or_dispersion_high__w50_80,1.0922881489690215,0.4172299647636206,163,0.294478527607362,0.45,0.7874,0.7364,1.1091448612165293,1.129334880951899,0.9806523404887515,1.0549730071154997,False
h13__cal52__q40__dispersion_high__w50_80,1.0922881489690202,0.4163444401253942,163,0.2331288343558282,0.15,0.7874,0.7364,1.1091448612165298,1.129334880951899,0.980652340488751,1.054973007115502,False
h13__cal26__q60__breadth_high__w50_80,1.0922881489690197,0.4124230104022466,163,0.2331288343558282,0.45,0.7874,0.7364,1.1091448612165289,1.1293348809518982,0.9806523404887519,1.0549730071155015,False
h26__cal26__q40__breadth_high__w25_65,1.090027606283158,0.4123618015665409,163,0.38650306748466257,0.7,0.884,0.7966,1.090027606283157,1.090027606283157,0.9985629886688936,1.0591114495725718,False
h26__cal26__q40__breadth_high__w50_65,1.090027606283157,0.4147757002621173,163,0.1901840490797546,0.7,0.884,0.7966,1.0900276062831584,1.0900276062831584,0.9985629886688909,1.0591114495725726,False
h26__cal26__q40__breadth_or_dispersion_high__w50_65,1.0900276062831566,0.41327011056507645,163,0.09815950920245399,0.55,0.884,0.7966,1.090027606283157,1.0900276062831562,0.9985629886688927,1.0591114495725726,False
h26__cal26__q60__breadth_and_dispersion_high__w50_80,1.0868125306894316,0.4128593917196066,163,0.06748466257668712,0.2,0.6504,0.67,1.017158320270553,1.1154215070288314,0.9813038878434355,1.0271888492770955,False
h26__cal26__q60__dispersion_high__w50_80,1.0868125306894303,0.4114490694437216,163,0.08588957055214724,0.2,0.6504,0.67,1.0580755445329681,1.0922881489690206,0.9813038878434355,1.0271888492770964,False
h26__cal52__q60__breadth_and_dispersion_high__w50_80,1.0868125306894298,0.4148301926585727,163,0.06748466257668712,0.2,0.6504,0.67,1.0171583202705534,1.0791263212859277,0.9813038878434366,1.0271888492770977,False
h26__cal26__q40__breadth_high_dispersion_low__w50_65,1.083309644985373,0.41430466869417937,163,0.024539877300613498,0.55,0.7954,0.744,1.0663568914069486,1.057924203393874,1.0125075543593418,1.059111449572573,False
h13__cal26__q40__breadth_high__w50_65,1.0800787182279383,0.4114187564460905,163,0.2883435582822086,0.45,0.8416,0.7642,1.090027606283158,1.0900276062831575,0.9890494878013463,1.0493097276989336,False
h13__cal26__q40__breadth_or_dispersion_high__w50_65,1.0800787182279383,0.4103038560654575,163,0.2822085889570552,0.45,0.8416,0.7642,1.090027606283157,1.0900276062831558,0.9890494878013454,1.0493097276989327,False
h13__cal26__q60__breadth_high_dispersion_low__w50_80,1.0791263212859281,0.4114137180891604,163,0.03067484662576687,0.2,0.636,0.674,1.0617377430300627,1.0646898319586917,1.0084664025470191,1.0549730071155015,False
h26__cal52__q40__breadth_or_dispersion_high__w50_65,1.0787249590670012,0.41617906762413703,163,0.2392638036809816,0.55,0.8788,0.7912,1.0800787182279392,1.0900276062831566,0.9877549723861003,1.0479759936468676,False
h26__cal52__q40__breadth_high__w50_65,1.0787249590670007,0.41389592654369545,163,0.07975460122699386,0.7,0.8788,0.7912,1.0800787182279392,1.0900276062831589,0.9877549723860997,1.0479759936468689,False
h26__cal26__q60__breadth_high__w50_65,1.0787249590670007,0.41303011420912816,163,0.06748466257668712,0.7,0.8788,0.7912,1.0593808763490253,1.1015101147511257,0.9877549723860997,1.0479759936468702,False
h26__cal26__q60__breadth_or_dispersion_high__w50_65,1.0787249590669994,0.4123086510138021,163,0.08588957055214724,0.55,0.8788,0.7912,1.0800787182279397,1.0900276062831566,0.9877549723861008,1.0479759936468707,False
h26__cal52__q60__breadth_high__w50_65,1.0759028976961025,0.41346736208149193,163,0.06748466257668712,0.7,0.8812,0.7888,1.0343660018326042,1.065079876003439,0.9879848468988306,1.0340245324767685,False
h13__cal26__q40__breadth_high_dispersion_low__w50_65,1.0733927355723072,0.4103364156772018,163,0.018404907975460124,0.2,0.7236,0.7062,1.0663568914069494,1.0579242033938736,1.0029276749795635,1.0493097276989323,False
h26__cal52__q40__breadth_high_dispersion_low__w50_65,1.072043327790087,0.4133648883168457,163,0.024539877300613498,0.55,0.791,0.7384,1.05652067999379,1.057924203393874,1.001624127346994,1.0479759936468693,False
h13__cal52__q40__breadth_and_dispersion_high__w50_65,1.0717390525292223,0.41458958383986944,163,0.3496932515337423,0.25,0.7874,0.7364,1.0800787182279388,1.0900276062831575,0.9810747858628552,1.0410934242040844,False
h13__cal52__q40__breadth_or_dispersion_high__w50_65,1.0717390525292219,0.4133530829483376,163,0.3006134969325153,0.45,0.7874,0.7364,1.0800787182279374,1.090027606283158,0.9810747858628548,1.0410934242040835,False
h13__cal52__q40__dispersion_high__w50_65,1.0717390525292219,0.41290231861025517,163,0.2331288343558282,0.15,0.7874,0.7364,1.0800787182279383,1.0900276062831584,0.9810747858628552,1.0410934242040852,False
h13__cal26__q60__breadth_high__w50_65,1.0717390525292219,0.41096402191131154,163,0.2331288343558282,0.45,0.7874,0.7364,1.0800787182279388,1.0900276062831575,0.9810747858628548,1.041093424204084,False
h13__cal26__q60__breadth_or_dispersion_high__w50_65,1.0717390525292219,0.41061879360723785,163,0.2147239263803681,0.45,0.7874,0.7364,1.0800787182279397,1.0900276062831584,0.9810747858628548,1.041093424204084,False
h13__cal52__q40__breadth_high__w50_65,1.0717390525292214,0.41504088647347603,163,0.3619631901840491,0.45,0.7874,0.7364,1.0800787182279374,1.0900276062831562,0.9810747858628548,1.0410934242040848,False
h26__cal26__q40__breadth_high_dispersion_low__w25_65,1.0715576343969415,0.4109470778258202,163,0.36809815950920244,0.55,0.6692,0.7016,1.0261089730183754,1.004362121950932,1.0357860314215053,1.059111449572573,False
h26__cal26__q60__breadth_and_dispersion_high__w50_65,1.068926475172503,0.4111492057296904,163,0.06748466257668712,0.2,0.6504,0.67,1.0343660018326042,1.0831210845859145,0.9813038878434355,1.0271888492770982,False
h26__cal26__q60__dispersion_high__w50_65,1.0689264751725025,0.41042870288632605,163,0.08588957055214724,0.2,0.6504,0.67,1.0548124312975675,1.0717390525292205,0.9813038878434361,1.0271888492770973,False
h26__cal52__q60__breadth_and_dispersion_high__w50_65,1.068926475172502,0.4121265921273791,163,0.06748466257668712,0.2,0.6504,0.67,1.0343660018326042,1.065079876003439,0.9813038878434359,1.0271888492770977,False
h13__cal26__q60__breadth_high_dispersion_low__w50_65,1.0650798760034381,0.4104003836871515,163,0.03067484662576687,0.2,0.636,0.674,1.0565206799937918,1.057924203393874,0.9948973311845608,1.0410934242040844,False
h26__cal52__q60__breadth_high_dispersion_low__w50_80,1.0646898319586908,0.4119917242520179,163,0.006134969325153374,0.55,0.639,0.6744,1.0510082013109465,1.0510082013109465,0.9945205429387638,1.0407115885188558,False
