candidate,scenario,cost_bps,window,weeks,start,end,cagr,sharpe_zero_rf,sortino_zero_target,max_drawdown,annual_one_way_turnover,total_return,annual_volatility,win_rate,best_week,worst_week
h13__cal52__q40__breadth_or_dispersion_high__w25_80,base,50,trailing_2y,105,2024-08-09,2026-08-07,0.5989386981085536,1.9217972839178474,3.247456715032122,-0.21504019202393543,4.1102059704452145,1.579784741728668,0.2631554406547824,0.6666666666666666,0.11529536904474091,-0.12569620363330736
h13__cal52__q40__breadth_or_dispersion_high__w25_80,base,50,trailing_1y,53,2025-08-08,2026-08-07,1.061734479039293,2.7306752247401174,5.339832200747723,-0.09130115412557338,1.3565116125775507,1.090622745066109,0.2807978302061954,0.6792452830188679,0.11529536904474091,-0.0724939435810178
h13__cal52__q40__breadth_or_dispersion_high__w25_80,base,50,ytd,32,2026-01-02,2026-08-07,1.113219905410431,2.5779383838433994,5.076699241623663,-0.09130115412557327,2.2467223583315685,0.58476899105163,0.3101468282846288,0.65625,0.11529536904474091,-0.0724939435810178
h13__cal52__q40__breadth_or_dispersion_high__w25_80,base,100,full_recent,188,2023-01-06,2026-08-07,0.3610796415013764,1.4732362669141206,2.396184196229894,-0.22511181998425323,3.7418758922749427,2.048179118542435,0.22731197005385165,0.6170212765957447,0.11524988102393063,-0.1275485828049835
h13__cal52__q40__breadth_or_dispersion_high__w25_80,base,100,since_pilot_holdout_start,158,2023-08-04,2026-08-07,0.35091919720217524,1.3835766698874872,2.235259645429838,-0.2251118199842529,4.203905482336883,1.4940911793530116,0.23843891183647625,0.620253164556962,0.11524988102393063,-0.1275485828049835
h13__cal52__q40__breadth_or_dispersion_high__w25_80,base,100,trailing_3y,157,2023-08-11,2026-08-07,0.36266436839781413,1.418764933202384,2.2944812299798483,-0.22511181998425311,4.230153503174307,1.5453710581250242,0.23870934576509362,0.6242038216560509,0.11524988102393063,-0.1275485828049835
h13__cal52__q40__breadth_or_dispersion_high__w25_80,base,100,trailing_2y,105,2024-08-09,2026-08-07,0.5358237596089037,1.7636382241967121,2.9252638486421634,-0.22511181998425356,4.1109445641393405,1.3782978980043277,0.2638428510255016,0.6571428571428571,0.11524988102393063,-0.1275485828049835
h13__cal52__q40__breadth_or_dispersion_high__w25_80,base,100,trailing_1y,53,2025-08-08,2026-08-07,1.0122931615081763,2.6421095344497885,5.111840925032679,-0.09559691798925896,1.3567437924468662,1.03953643297314,0.28091355109942684,0.6792452830188679,0.11524988102393063,-0.07293461104915755
h13__cal52__q40__breadth_or_dispersion_high__w25_80,base,100,ytd,32,2026-01-02,2026-08-07,1.059140934829927,2.4933203630374385,4.862936657420239,-0.09559691798925884,2.2471069062401217,0.5596874690831866,0.3101301506694808,0.65625,0.11524988102393063,-0.07293461104915755
h13__cal52__q40__breadth_or_dispersion_high__w25_80,base,200,full_recent,188,2023-01-06,2026-08-07,0.263513008494793,1.1357456312457543,1.7785263257011978,-0.3048105330809675,3.7437173184692782,1.3294304493469067,0.2295049055605467,0.5957446808510638,0.1151589049823103,-0.13124847902741354
h13__cal52__q40__breadth_or_dispersion_high__w25_80,base,200,since_pilot_holdout_start,158,2023-08-04,2026-08-07,0.24675353355723084,1.0378704796247584,1.6143039447964542,-0.30481053308096717,4.206095471259508,0.9544550778528662,0.24073649457213397,0.6012658227848101,0.1151589049823103,-0.13124847902741354
h13__cal52__q40__breadth_or_dispersion_high__w25_80,base,200,trailing_3y,157,2023-08-11,2026-08-07,0.25696027897532847,1.0707326033006541,1.6671268906202503,-0.3048105330809662,4.2323569111014825,0.9946866973546202,0.2410732904093865,0.6050955414012739,0.1151589049823103,-0.13124847902741354
