episode,date,state,fired,active,grade,offense_share_base,offense_share_variant,variant_net,base_net,spy_next
2009-01,2009-01-16,stressed_panic,True,True,2of3,0.0693623844846328,0.4865384615384615,-0.021439909240004013,-0.010449373527903405,-0.02292490971802441
2009-01,2009-01-23,stressed_panic,False,False,,0.0701995079186621,0.0701995079186621,-0.0016994994296424637,-0.0016876581654770946,-0.003368504853072163
2009-01,2009-01-30,stressed_panic,False,False,,0.1072525877967466,0.1072525877967466,-0.003694109325845357,-0.003694109325845357,0.05010189925397324
2009-01,2009-02-06,stressed_panic,False,False,,0.10652875819996749,0.10652875819996749,0.0006281031882907916,0.0006281031882907916,-0.04851670663492236
2009-01,2009-02-13,stressed_panic,True,True,2of3,0.1070053366771318,0.4865384615384614,-0.019518144625379673,-0.0008663752491762186,-0.06452381054429324
2009-01,2009-02-20,stressed_panic,False,False,,0.1074206715997529,0.1074206715997529,-0.013122880788189323,-0.013110313332357276,-0.04507879440417906
2009-01,2009-02-27,stressed_panic,False,False,,0.10699963443334581,0.10699963443334581,-0.0033385876383360473,-0.0033385876383360473,-0.06776685383348602
2009-01,2009-03-06,stressed_panic,False,False,,0.1065611779976865,0.1065611779976865,0.0033398021662786096,0.0033398021662786096,0.10403352997336279
2009-01,2009-03-13,stressed_panic,False,False,,0.10552490628248451,0.10552490628248451,0.006906223272580896,0.006906223272580896,0.01536421235060148
2009-01,2009-03-20,stressed_panic,False,False,,0.1064870495791449,0.1064870495791449,0.003782157391088524,0.003782157391088524,0.06387679103311172
2009-01,2009-03-27,stressed_panic,False,False,,0.0594145237963895,0.0594145237963895,-0.004080156820386736,-0.004080156820386736,0.03247145238849258
2009-01,2009-04-03,stressed_panic,False,False,,0.0595972617217037,0.0595972617217037,0.00015879486272761797,0.00015879486272761797,0.01839542683993156
2009-01,2009-04-10,stressed_panic,True,True,2of3,0.0597625695469058,0.4865384615384615,0.019434807227818592,0.0018286979679249219,0.014800760891582554
2009-01,2009-04-17,stressed_panic,True,True,2of3,0.0598031399593039,0.4865384615384615,-0.0006498207043348529,0.004471173996020849,-0.0048240216735114805
2009-01,2009-04-24,stressed_panic,True,True,2of3,0.1366216411051359,0.4865384615384615,0.0022750549465423977,-0.009125304209443338,0.014194142341135585
2009-01,2009-05-01,stressed_panic,True,True,2of3,0.1421880619863853,0.4865384615384614,0.011059088735024621,0.005532185043579799,0.05791306069581137
2009-01,2009-05-08,neutral_mixed,False,False,,0.1374238599835625,0.1374238599835625,0.005537513584422493,0.005549176655112251,-0.04592425994711091
2009-01,2009-05-15,stressed_panic,True,True,2of3,0.14195132372255478,0.48653846153846153,0.019389491251315033,0.00247811674679961,0.0034948924126620984
2009-01,2009-05-22,neutral_mixed,False,False,,0.1464415341369006,0.1464415341369006,0.008944902674520836,0.008956021295187362,0.03942921547673128
2009-01,2009-05-29,neutral_mixed,False,False,,0.17228456437517708,0.17228456437517708,-0.008704231196284877,-0.008704231196284877,0.021830789217823776
2009-01,2009-06-05,recovery_fragile,False,False,,0.17664997010950562,0.1766499701095056,0.002252082261379191,0.002252082261379191,0.00560556625739661
2009-01,2009-06-12,recovery_fragile,False,False,,0.20202928217998217,0.2020292821799822,-0.005419513305367039,-0.005419513305367039,-0.026505088475401006
