candidate,gate,lookback_weeks,allocation,underlying_cost_bps,outer_cost_bps,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,full_sharpe,full_drawdown,active_share,average_sleeve_weight,beats_control_both
leader_negative_relative__lb13__w0.10__under50__outer50,leader_negative_relative,13,0.1,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.3994636232924351,1.5957636449863792,-0.2178116602266461,0.11170212765957446,0.011170212765957447,False
leader_negative_sleeve_positive__lb26__w0.50__under50__outer50,leader_negative_sleeve_positive,26,0.5,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.3992113539107143,1.5989101847373721,-0.2209442059368072,0.015957446808510637,0.007978723404255319,False
leader_negative_relative__lb26__w0.40__under50__outer50,leader_negative_relative,26,0.4,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.397649648805001,1.5903007778613658,-0.21954671538239257,0.02127659574468085,0.00851063829787234,False
leader_negative_relative__lb26__w0.50__under50__outer50,leader_negative_relative,26,0.5,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.39472674714610134,1.5813941334924464,-0.22094420593680753,0.02127659574468085,0.010638297872340425,False
leader_negative_sleeve_positive__lb13__w0.20__under50__outer50,leader_negative_sleeve_positive,13,0.2,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.3925957615930309,1.5721486129102746,-0.2216646465440908,0.0797872340425532,0.015957446808510637,False
leader_negative_relative__lb13__w0.20__under50__outer50,leader_negative_relative,13,0.2,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.38961604995131505,1.5660919376689555,-0.22166464654409057,0.11170212765957446,0.022340425531914895,False
leader_negative_sleeve_positive__lb13__w0.30__under50__outer50,leader_negative_sleeve_positive,13,0.3,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.38425982516660917,1.5451656850005309,-0.22550573022744813,0.0797872340425532,0.023936170212765957,False
leader_negative_relative__lb13__w0.30__under50__outer50,leader_negative_relative,13,0.3,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.3798050196467173,1.5356476378848027,-0.22686690210787186,0.11170212765957446,0.03351063829787233,False
leader_negative_sleeve_positive__lb13__w0.40__under50__outer50,leader_negative_sleeve_positive,13,0.4,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.375950584621795,1.5177220348976808,-0.23596203956225315,0.0797872340425532,0.031914893617021274,False
leader_negative_relative__lb13__w0.40__under50__outer50,leader_negative_relative,13,0.4,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.37003059315791353,1.504469399469676,-0.23926812675544717,0.11170212765957446,0.04468085106382979,False
leader_negative_sleeve_positive__lb13__w0.50__under50__outer50,leader_negative_sleeve_positive,13,0.5,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.36766805015651793,1.4898454318599959,-0.24740235306078873,0.0797872340425532,0.0398936170212766,False
leader_negative_relative__lb13__w0.50__under50__outer50,leader_negative_relative,13,0.5,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.360292829546355,1.4725990178671855,-0.25150335261879664,0.11170212765957446,0.05585106382978723,False
sleeve_positive__lb8__w0.10__under50__outer50,sleeve_positive,8,0.1,50,50,1.045959992205526,2.8045359758762523,-0.10731191618530023,0.4020188472200743,1.634050062325678,-0.21523918384674556,0.6063829787234043,0.060638297872340416,False
leader_negative_sleeve_positive__lb4__w0.10__under50__outer50,leader_negative_sleeve_positive,4,0.1,50,50,1.0413424745652242,2.6860616869426117,-0.10076752452473337,0.4033765027853491,1.6092960532530018,-0.2166086680306335,0.0797872340425532,0.00797872340425532,False
sleeve_positive__lb8__w0.20__under50__outer50,sleeve_positive,8,0.2,50,50,1.0394869821916872,2.903491634973047,-0.11382959739543663,0.3943046865782287,1.6339067221535186,-0.21658522337591246,0.6063829787234043,0.12127659574468083,False
leader_negative_relative__lb4__w0.10__under50__outer50,leader_negative_relative,4,0.1,50,50,1.0379500217464086,2.682475416036371,-0.10076752452473337,0.39554800527243694,1.5893672596906165,-0.21724226708735128,0.16489361702127658,0.01648936170212766,False
sleeve_positive__lb26__w0.10__under50__outer50,sleeve_positive,26,0.1,50,50,1.0361299991402975,2.7827568770073827,-0.10401955675024555,0.3993667962065519,1.6282678430638424,-0.21691198008678814,0.6648936170212766,0.06648936170212764,False
relative_positive__lb8__w0.10__under50__outer50,relative_positive,8,0.1,50,50,1.0355252682630063,2.7349034426683505,-0.10076752452473325,0.40043089785066477,1.615846705764719,-0.2142263042889836,0.31382978723404253,0.03138297872340426,False
relative__lb8__w0.10__under50__outer50,relative,8,0.1,50,50,1.0355252682630063,2.7349034426683505,-0.10076752452473325,0.3972982045207565,1.6083107100421967,-0.21501367841281926,0.3776595744680851,0.03776595744680851,False
leader_negative_sleeve_positive__lb4__w0.20__under50__outer50,leader_negative_sleeve_positive,4,0.2,50,50,1.031639714358183,2.6788369705100763,-0.10076752452473303,0.3973948568958432,1.5931118111687457,-0.21927180981965366,0.0797872340425532,0.01595744680851064,False
sleeve_positive__lb8__w0.30__under50__outer50,sleeve_positive,8,0.3,50,50,1.031596008906777,2.980537155193911,-0.12032059890182045,0.386210787436148,1.623146334920326,-0.21975512212507986,0.6063829787234043,0.18191489361702126,False
relative_positive__lb26__w0.10__under50__outer50,relative_positive,26,0.1,50,50,1.0309209884727388,2.712368656688699,-0.10581781662499135,0.3947825463709598,1.5957063738747364,-0.2128532451881029,0.2978723404255319,0.029787234042553193,False
relative__lb26__w0.10__under50__outer50,relative,26,0.1,50,50,1.0309209884727388,2.712368656688699,-0.10581781662499135,0.3942985928830067,1.594000834257332,-0.2128532451881029,0.30319148936170215,0.03031914893617022,False
relative_positive__lb13__w0.10__under50__outer50,relative_positive,13,0.1,50,50,1.0257484820936327,2.7132051623344804,-0.10123625166755901,0.38955296652454297,1.5785215220018958,-0.2241807306263074,0.32978723404255317,0.03297872340425532,False
relative__lb13__w0.10__under50__outer50,relative,13,0.1,50,50,1.0257484820936327,2.7132051623344804,-0.10123625166755901,0.3880703760063948,1.5756108386009176,-0.2241807306263075,0.3617021276595745,0.03617021276595745,False
leader_negative_relative__lb4__w0.20__under50__outer50,leader_negative_relative,4,0.2,50,50,1.0248892894360746,2.6715865194564867,-0.10076752452473303,0.3818075235108258,1.5520751830914579,-0.2205346973180382,0.16489361702127658,0.03297872340425532,False
sleeve_positive__lb8__w0.40__under50__outer50,sleeve_positive,8,0.4,50,50,1.0222962428770526,3.027473004793923,-0.12678495145112845,0.3777429250741777,1.6012525854558917,-0.22764104523945805,0.6063829787234043,0.24255319148936166,False
leader_negative_sleeve_positive__lb4__w0.30__under50__outer50,leader_negative_sleeve_positive,4,0.3,50,50,1.0219010216243243,2.6701769641718913,-0.10076752452473337,0.3914030024036126,1.5760886945787551,-0.22193617076176653,0.0797872340425532,0.023936170212765957,False
sleeve_positive__lb4__w0.10__under50__outer50,sleeve_positive,4,0.1,50,50,1.0212572116199965,2.7610979381305643,-0.102649000544354,0.4032424178879601,1.6407048612845199,-0.21595279211723528,0.5478723404255319,0.054787234042553194,False
sleeve_positive__lb26__w0.20__under50__outer50,sleeve_positive,26,0.2,50,50,1.0198805601656966,2.8563946559475912,-0.10764495929000417,0.3890010305495153,1.6214146708448067,-0.21992281274175585,0.6648936170212766,0.1329787234042553,False
relative_positive__lb8__w0.20__under50__outer50,relative_positive,8,0.2,50,50,1.0193428892655456,2.765467905848092,-0.10082112619110772,0.391332879863608,1.6011576569339678,-0.21454767351141157,0.31382978723404253,0.06276595744680852,False
relative__lb8__w0.20__under50__outer50,relative,8,0.2,50,50,1.0193428892655456,2.765467905848092,-0.10082112619110772,0.3850994324070651,1.5855481083735505,-0.21612178956257733,0.3776595744680851,0.07553191489361702,False
leader_negative_sleeve_positive__lb4__w0.40__under50__outer50,leader_negative_sleeve_positive,4,0.4,50,50,1.0121274883808535,2.660064364632347,-0.10076752452473325,0.38540120032132075,1.558244496766281,-0.22460174581242665,0.0797872340425532,0.03191489361702128,False
leader_negative_relative__lb4__w0.30__under50__outer50,leader_negative_relative,4,0.3,50,50,1.0118272524122949,2.6591804535458254,-0.10076752452473337,0.36812686848002896,1.5128122935739776,-0.2238240331529704,0.16489361702127658,0.049468085106382974,False
sleeve_positive__lb8__w0.50__under50__outer50,sleeve_positive,8,0.5,50,50,1.0115991668258237,3.037822757449203,-0.13346930124842227,0.36890705021101255,1.5683594925416027,-0.23547220777059252,0.6063829787234043,0.30319148936170215,False
relative_positive__lb26__w0.20__under50__outer50,relative_positive,26,0.2,50,50,1.0102068382800726,2.7183459329773236,-0.11122737277028438,0.3801386859973286,1.5606987855911478,-0.21179785546173047,0.2978723404255319,0.059574468085106386,False
relative__lb26__w0.20__under50__outer50,relative,26,0.2,50,50,1.0102068382800726,2.7183459329773236,-0.11122737277028438,0.37918047206466476,1.557253216973107,-0.21179785546173058,0.30319148936170215,0.06063829787234044,False
relative_positive__lb8__w0.30__under50__outer50,relative_positive,8,0.3,50,50,1.002471498041884,2.780983904421251,-0.10130637875237247,0.3820562619202139,1.5803503430399883,-0.21491058179662037,0.31382978723404253,0.09414893617021276,False
relative__lb8__w0.30__under50__outer50,relative,8,0.3,50,50,1.002471498041884,2.780983904421251,-0.10130637875237247,0.3727553468315963,1.5561424379788125,-0.2172706827090184,0.3776595744680851,0.11329787234042553,False
leader_negative_sleeve_positive__lb4__w0.50__under50__outer50,leader_negative_sleeve_positive,4,0.5,50,50,1.0023201977539062,2.6484883816467355,-0.10076752452473314,0.37938970978281783,1.5396007987163673,-0.22726852992708813,0.0797872340425532,0.0398936170212766,False
sleeve_positive__lb26__w0.30__under50__outer50,sleeve_positive,26,0.3,50,50,1.0022874326019857,2.904920823940883,-0.11361886819882583,0.3782585271687946,1.6029598311965616,-0.22485226277515402,0.6648936170212766,0.19946808510638298,False
relative_positive__lb13__w0.20__under50__outer50,relative_positive,13,0.2,50,50,1.0000680149473316,2.7221088369972564,-0.10170497881038487,0.3698110154654879,1.5261161260094864,-0.2343085400183872,0.32978723404255317,0.06595744680851064,False
relative__lb13__w0.20__under50__outer50,relative,13,0.2,50,50,1.0000680149473316,2.7221088369972564,-0.10170497881038487,0.36688005592769324,1.5199198651546504,-0.23430854001838708,0.3617021276595745,0.0723404255319149,False
leader_negative_relative__lb4__w0.40__under50__outer50,leader_negative_relative,4,0.4,50,50,0.9987651423006194,2.645236273583061,-0.10076752452473325,0.3545066628818405,1.471660106676423,-0.2271102666301985,0.16489361702127658,0.06595744680851064,False
sleeve_positive__lb4__w0.20__under50__outer50,sleeve_positive,4,0.2,50,50,0.9906904280308149,2.816733935123798,-0.10547304208741348,0.3967997264377796,1.649109743622913,-0.21796784398914304,0.5478723404255319,0.10957446808510639,False
relative_positive__lb26__w0.30__under50__outer50,relative_positive,26,0.3,50,50,0.9888778525654103,2.708065382257936,-0.11895723701420269,0.36541948611970554,1.519655516849386,-0.21078050390898295,0.2978723404255319,0.08936170212765956,False
relative__lb26__w0.30__under50__outer50,relative,26,0.3,50,50,0.9888778525654103,2.708065382257936,-0.11895723701420269,0.36399679713698885,1.514457727189178,-0.21078050390898273,0.30319148936170215,0.09095744680851064,False
leader_negative_relative__lb4__w0.50__under50__outer50,leader_negative_relative,4,0.5,50,50,0.9857041744317967,2.6297399910676895,-0.10076752452473314,0.34094751563090475,1.4287200978405212,-0.2303933898041658,0.16489361702127658,0.08244680851063829,False
relative_positive__lb8__w0.40__under50__outer50,relative_positive,8,0.4,50,50,0.9849218687658476,2.7793411324291206,-0.10179163131363722,0.3726036629796312,1.5534069052574442,-0.2155043106996969,0.31382978723404253,0.12553191489361704,False
relative__lb8__w0.40__under50__outer50,relative,8,0.4,50,50,0.9849218687658476,2.7793411324291206,-0.10179163131363722,0.3602698975630847,1.5201195741587816,-0.21864875584842247,0.3776595744680851,0.15106382978723404,False
sleeve_positive__lb26__w0.40__under50__outer50,sleeve_positive,26,0.4,50,50,0.9833803520096283,2.9211279747958745,-0.11961015661036845,0.3671476193287788,1.5724303051674102,-0.23562770291359647,0.6648936170212766,0.2659574468085106,False
relative_positive__lb4__w0.10__under50__outer50,relative_positive,4,0.1,50,50,0.9784322040608251,2.621262278506259,-0.10076752452473314,0.3938865661094004,1.5972848840091125,-0.21595279211723506,0.32978723404255317,0.032978723404255325,False
relative__lb4__w0.10__under50__outer50,relative,4,0.1,50,50,0.9770273774475045,2.6206468470638176,-0.10076752452473314,0.38686154511297444,1.579359662063564,-0.21581422367374925,0.4148936170212766,0.04148936170212766,False
relative_positive__lb13__w0.30__under50__outer50,relative_positive,13,0.3,50,50,0.9739797631263389,2.716596611078802,-0.10217370595321063,0.35012513502004516,1.467643327918825,-0.24433100052457668,0.32978723404255317,0.09893617021276596,False
relative__lb13__w0.30__under50__outer50,relative,13,0.3,50,50,0.9739797631263389,2.716596611078802,-0.10217370595321063,0.34578018128037535,1.4577805540295077,-0.24565908703617367,0.3617021276595745,0.10851063829787233,False
relative_positive__lb26__w0.40__under50__outer50,relative_positive,26,0.4,50,50,0.9669465508753938,2.6805234902832855,-0.1266809043770426,0.35062829542673923,1.4728229208778356,-0.21157240022060209,0.2978723404255319,0.11914893617021277,False
relative__lb26__w0.40__under50__outer50,relative,26,0.4,50,50,0.9669465508753938,2.6805234902832855,-0.1266809043770426,0.34875100468204945,1.4658845746106275,-0.21157240022060209,0.30319148936170215,0.12127659574468087,False
relative_positive__lb8__w0.50__under50__outer50,relative_positive,8,0.5,50,50,0.9667051054971956,2.759218598869792,-0.10227688387490164,0.3629776797133575,1.5205160393025374,-0.2186478143993139,0.31382978723404253,0.15691489361702127,False
relative__lb8__w0.50__under50__outer50,relative,8,0.5,50,50,0.9667051054971956,2.759218598869792,-0.10227688387490164,0.34764699572638924,1.4777457678824732,-0.22256265050975244,0.3776595744680851,0.18882978723404256,False
sleeve_positive__lb26__w0.50__under50__outer50,sleeve_positive,26,0.5,50,50,0.9631911634782253,2.900197379754859,-0.125866945449015,0.3556768163624646,1.5301226276372184,-0.2488926547673288,0.6648936170212766,0.3324468085106383,False
sleeve_positive__lb4__w0.30__under50__outer50,sleeve_positive,4,0.3,50,50,0.9593505229431698,2.852381352755349,-0.10832265806758112,0.39002312070139533,1.6486811717534575,-0.22187286095108572,0.5478723404255319,0.16436170212765958,False
relative_positive__lb13__w0.40__under50__outer50,relative_positive,13,0.4,50,50,0.9474968517062448,2.695148633980774,-0.10264243309603649,0.33049855095428216,1.4035366094184691,-0.2606617968805254,0.32978723404255317,0.13191489361702127,False
relative__lb13__w0.40__under50__outer50,relative,13,0.4,50,50,0.9474968517062448,2.695148633980774,-0.10264243309603649,0.32477411567848957,1.3896427601238945,-0.2638610051546427,0.3617021276595745,0.1446808510638298,False
relative_positive__lb26__w0.50__under50__outer50,relative_positive,26,0.5,50,50,0.9444258604918445,2.6356433171902247,-0.13464394699328797,0.33576841927099066,1.4206403859084376,-0.21301588559736928,0.2978723404255319,0.14893617021276595,False
relative__lb26__w0.50__under50__outer50,relative,26,0.5,50,50,0.9444258604918445,2.6356433171902247,-0.13464394699328797,0.3334464835525237,1.411997077682142,-0.21301588559736928,0.30319148936170215,0.15159574468085107,False
sleeve_positive__lb4__w0.40__under50__outer50,sleeve_positive,4,0.4,50,50,0.9272806606769681,2.8615152552748846,-0.1111977609458451,0.3829162408101445,1.638578249302794,-0.2296134526275604,0.5478723404255319,0.21914893617021278,False
relative_positive__lb13__w0.50__under50__outer50,relative_positive,13,0.5,50,50,0.9206325591842377,2.6569481388114427,-0.10336634302769332,0.31093440303151754,1.3344184549005964,-0.2806759611897143,0.32978723404255317,0.16489361702127658,False
relative__lb13__w0.50__under50__outer50,relative,13,0.5,50,50,0.9206325591842377,2.6569481388114427,-0.10336634302769332,0.3038651215441688,1.3161694224524638,-0.2845956486578094,0.3617021276595745,0.18085106382978725,False
relative_positive__lb4__w0.20__under50__outer50,relative_positive,4,0.2,50,50,0.9077882291058594,2.5361515876729803,-0.10082112619110795,0.3783817514176204,1.5641304350563987,-0.21796784398914304,0.32978723404255317,0.06595744680851065,False
relative__lb4__w0.20__under50__outer50,relative,4,0.2,50,50,0.9050794111783447,2.534870616255656,-0.10082112619110795,0.36448337556875554,1.5267564869447288,-0.2176921788112588,0.4148936170212766,0.08297872340425531,False
sleeve_positive__lb4__w0.50__under50__outer50,sleeve_positive,4,0.5,50,50,0.8945244156549059,2.8387052685958594,-0.11409826327436101,0.37548284416553845,1.6184107144976703,-0.2373064526158145,0.5478723404255319,0.27393617021276595,False
relative_positive__lb4__w0.30__under50__outer50,relative_positive,4,0.3,50,50,0.8390422841154055,2.435998881877936,-0.10130637875237236,0.36283614785052,1.5250690105914495,-0.2199918671092923,0.32978723404255317,0.09893617021276596,False
relative__lb4__w0.30__under50__outer50,relative,4,0.3,50,50,0.8351262140530133,2.433930447142701,-0.10130637875237236,0.34221708638866466,1.4667821213759202,-0.21958057592114721,0.4148936170212766,0.12446808510638299,False
relative_positive__lb4__w0.40__under50__outer50,relative_positive,4,0.4,50,50,0.7721604681099106,2.320844978297395,-0.10179163131363678,0.347252626093808,1.480177535679529,-0.22221275962021703,0.32978723404255317,0.1319148936170213,False
relative__lb4__w0.40__under50__outer50,relative,4,0.4,50,50,0.7671298879326083,2.317786812975446,-0.10179163131363678,0.3200664823212853,1.399659643014321,-0.22166744384636006,0.4148936170212766,0.16595744680851063,False
relative_positive__lb4__w0.50__under50__outer50,relative_positive,4,0.5,50,50,0.7071089898487521,2.191414269306355,-0.10432159207579628,0.3316340109497604,1.4297173935147747,-0.22620323044631674,0.32978723404255317,0.16489361702127658,False
relative__lb4__w0.50__under50__outer50,relative,4,0.5,50,50,0.7010527429181643,2.1870863667126796,-0.10432159207579628,0.29803525429118216,1.3258885864453684,-0.22552696234200542,0.4148936170212766,0.2074468085106383,False
