rebalance_at,cik10,intended_weight
2025-04-04,0001361113,0.025
2025-04-04,0001393052,0.05
2025-04-04,0001459417,0.025
2025-04-04,0001562088,0.05
2025-04-04,0001580808,0.05
2025-04-04,0001585521,0.05
2025-04-04,0001640147,0.05
2025-04-04,0001657788,0.05
2025-04-04,0001713683,0.05
2025-04-04,0001866633,0.025
2025-04-04,0000858470,0.025
2025-04-04,0001107843,0.025
2025-04-04,0001124804,0.025
2025-04-04,0001280452,0.025
2025-04-04,0001506293,0.025
2025-04-04,0001679268,0.025
2025-04-04,0001902733,0.025
2025-04-04,0001928446,0.025
2025-07-04,0000033213,0.05
2025-07-04,0000785786,0.05
2025-07-04,0000874499,0.05
2025-07-04,0000917273,0.05
2025-07-04,0001013462,0.05
2025-07-04,0001014473,0.025
2025-07-04,0001070412,0.025
2025-07-04,0001107843,0.05
2025-07-04,0001108524,0.05
2025-07-04,0001315098,0.025
2025-07-04,0001327567,0.025
2025-07-04,0001361113,0.05
2025-07-04,0001373715,0.025
2025-07-04,0001393052,0.05
2025-07-04,0001442145,0.025
2025-07-04,0001562088,0.05
2025-07-04,0001621434,0.05
2025-07-04,0001713683,0.05
2025-07-04,0001819974,0.025
2025-07-04,0001855747,0.05
2025-07-04,0001013857,0.025
2025-07-04,0001044777,0.025
2025-07-04,0001045810,0.025
2025-07-04,0001506293,0.025
2025-07-04,0001585521,0.025
2025-07-04,0001653482,0.025
2025-07-04,0001734722,0.025
2025-10-03,0000785786,0.025
2025-10-03,0000917273,0.05
2025-10-03,0001013857,0.05
2025-10-03,0001031308,0.025
2025-10-03,0001107843,0.05
2025-10-03,0001314727,0.05
2025-10-03,0001315098,0.025
2025-10-03,0001327567,0.05
2025-10-03,0001361113,0.05
2025-10-03,0001393052,0.05
2025-10-03,0001475115,0.025
2025-10-03,0001493761,0.025
2025-10-03,0001520006,0.025
2025-10-03,0001528129,0.025
2025-10-03,0001658566,0.05
2025-10-03,0001713683,0.05
2025-10-03,0001724965,0.025
2025-10-03,0001819974,0.025
2025-10-03,0001834494,0.025
2025-10-03,0001855747,0.05
2025-10-03,0000813672,0.025
2025-10-03,0001044777,0.025
2025-10-03,0001078075,0.025
2025-10-03,0001124804,0.025
2025-10-03,0001280452,0.025
2025-10-03,0001506293,0.025
2025-10-03,0001562088,0.025
2025-10-03,0001653482,0.025
2025-10-03,0001698990,0.025
2025-10-03,0001773383,0.025
2026-01-02,0000033213,0.05
2026-01-02,0000785786,0.025
2026-01-02,0000851310,0.05
2026-01-02,0000917273,0.05
2026-01-02,0001013857,0.05
2026-01-02,0001031308,0.025
2026-01-02,0001104485,0.025
2026-01-02,0001107843,0.05
2026-01-02,0001124804,0.05
2026-01-02,0001314727,0.05
2026-01-02,0001327567,0.025
2026-01-02,0001361113,0.025
2026-01-02,0001393052,0.05
2026-01-02,0001475115,0.025
2026-01-02,0001493761,0.025
2026-01-02,0001658566,0.05
2026-01-02,0001713683,0.05
2026-01-02,0001724965,0.025
2026-01-02,0001773383,0.05
2026-01-02,0001856314,0.025
2026-01-02,0000004127,0.025
2026-01-02,0000704532,0.025
2026-01-02,0000723125,0.025
2026-01-02,0001044777,0.025
2026-01-02,0001078075,0.025
2026-01-02,0001569345,0.025
2026-01-02,0001653482,0.025
2026-01-02,0001698990,0.025
2026-01-02,0001770787,0.025
2026-04-03,0000033213,0.05
2026-04-03,0000704532,0.05
2026-04-03,0000851310,0.05
2026-04-03,0000917273,0.05
2026-04-03,0001013857,0.05
2026-04-03,0001031308,0.025
2026-04-03,0001104485,0.025
2026-04-03,0001107843,0.05
2026-04-03,0001124804,0.05
2026-04-03,0001327567,0.05
2026-04-03,0001361113,0.025
2026-04-03,0001393052,0.05
2026-04-03,0001493761,0.025
2026-04-03,0001520006,0.05
2026-04-03,0001658566,0.05
2026-04-03,0001713683,0.025
2026-04-03,0001724965,0.025
2026-04-03,0001773383,0.05
2026-04-03,0001792849,0.025
2026-04-03,0001856314,0.025
2026-04-03,0000004127,0.025
2026-04-03,0000810136,0.025
2026-04-03,0001036262,0.025
2026-04-03,0001038074,0.025
2026-04-03,0001044777,0.025
2026-04-03,0001657788,0.025
2026-04-03,0001698990,0.025
2026-04-03,0001770787,0.025
