name,state,regime_binding_share,target_vol_binding_share,none_binding_share,avg_self_gated_overlay_cut_risky,avg_non_self_gated_overlay_cut_risky,avg_overlay_cash_weight,overlay_penalty_mode,inferred_overlay_cash_source
improved_phaseuu_tt1_overlay_preserved_recovery,calm_trend,0.0,0.003389830508474576,0.9966101694915255,6.185861881151356e-05,6.925063140954e-05,0.035106153527970474,none,other_or_none
improved_phaseuu_tt1_overlay_preserved_recovery,neutral_healthy_proxy,0.18771331058020477,0.0034129692832764505,0.8088737201365188,0.004774886535755528,0.004315395669168533,0.1566972865035985,none,lighter_both_regime_relief
improved_phaseuu_tt1_overlay_preserved_recovery,neutral_mixed,0.19,0.0,0.81,0.015116205681351469,0.01751162949293709,0.33289299552745005,none,lighter_both_regime_relief
improved_phaseuu_tt1_overlay_preserved_recovery,recovery_confirmed,0.2727272727272727,0.0,0.7272727272727273,0.008556695131775805,0.0056250801033079275,0.06370925777390728,none,lighter_both_regime_relief
improved_phaseuu_tt1_overlay_preserved_recovery,recovery_fragile,0.24489795918367346,0.02040816326530612,0.7346938775510204,0.003534119986916392,0.0028794389844962022,0.1271452980679507,none,lighter_both_regime_relief
improved_phaseuu_tt1_overlay_preserved_recovery,stressed_panic,0.2183406113537118,0.0,0.7816593886462883,0.0453598716527137,0.04870363236340396,0.5098185827356746,none,lighter_both_regime_relief
improved_phaseuu_recovery_overlay_cash_cap,calm_trend,0.0,0.003389830508474576,0.9966101694915255,6.185861881151356e-05,6.925063140954e-05,0.035139319145584325,none,other_or_none
improved_phaseuu_recovery_overlay_cash_cap,neutral_healthy_proxy,0.18771331058020477,0.0034129692832764505,0.8088737201365188,0.0047755467246979625,0.004314846177113489,0.15706276231287603,none,lighter_both_regime_relief
improved_phaseuu_recovery_overlay_cash_cap,neutral_mixed,0.19,0.0,0.81,0.01511661349696708,0.017511283241492034,0.3329260218043655,none,lighter_both_regime_relief
improved_phaseuu_recovery_overlay_cash_cap,recovery_confirmed,0.2727272727272727,0.0,0.7272727272727273,0.008531486498211522,0.0058143077232353105,0.065421057516013,none,lighter_both_regime_relief
improved_phaseuu_recovery_overlay_cash_cap,recovery_fragile,0.24489795918367346,0.02040816326530612,0.7346938775510204,0.0036703900916925064,0.002937412128419226,0.12749099435961536,none,lighter_both_regime_relief
improved_phaseuu_recovery_overlay_cash_cap,stressed_panic,0.2183406113537118,0.0,0.7816593886462883,0.045359393940307434,0.04870393913044326,0.5098276684082245,none,lighter_both_regime_relief
improved_phaseuu_tt1_budget_aware_lighter_both,calm_trend,0.0,0.003389830508474576,0.9966101694915255,6.185861881151356e-05,6.925063140954e-05,0.0350554449168702,none,other_or_none
improved_phaseuu_tt1_budget_aware_lighter_both,neutral_healthy_proxy,0.18771331058020477,0.0034129692832764505,0.8088737201365188,0.004775239502487004,0.004315099969448666,0.15649048764635093,none,lighter_both_regime_relief
improved_phaseuu_tt1_budget_aware_lighter_both,neutral_mixed,0.19,0.0,0.81,0.015116546717793646,0.01751134004071681,0.332862974855325,none,lighter_both_regime_relief
improved_phaseuu_tt1_budget_aware_lighter_both,recovery_confirmed,0.2727272727272727,0.0,0.7272727272727273,0.008250555902057838,0.005562912597998302,0.06232419613647186,none,lighter_both_regime_relief
improved_phaseuu_tt1_budget_aware_lighter_both,recovery_fragile,0.24489795918367346,0.02040816326530612,0.7346938775510204,0.0034432950454941266,0.0028214427819267737,0.12687902704897036,none,lighter_both_regime_relief
improved_phaseuu_tt1_budget_aware_lighter_both,stressed_panic,0.2183406113537118,0.0,0.7816593886462883,0.045359892307688846,0.04870361894933663,0.5098115958361112,none,lighter_both_regime_relief
