decision_date,point_in_time_members,eligible_names,breadth_names,breadth,breadth_state,stock_allocation,selected_names,status
2022-04-01,80,71,71,0.6197183098591549,broad,1.0,12,candidate
2022-05-09,80,0,0,0.0,insufficient_breadth,0.0,0,blocked_insufficient_evidence
2022-06-02,80,74,74,0.6351351351351351,broad,1.0,12,candidate
2022-07-01,80,74,74,0.4864864864864865,mixed,0.6,12,candidate
2022-08-01,80,75,75,0.5066666666666667,mixed,0.6,12,candidate
2022-09-01,80,75,75,0.52,mixed,0.6,12,candidate
2022-10-03,80,75,75,0.44,mixed,0.6,12,candidate
2022-11-01,80,75,75,0.49333333333333335,mixed,0.6,12,candidate
2022-12-01,80,76,76,0.4868421052631579,mixed,0.6,12,candidate
2023-01-02,80,77,77,0.35064935064935066,weak,0.25,12,candidate
2023-02-01,80,75,75,0.4266666666666667,mixed,0.6,12,candidate
2023-03-01,80,75,75,0.4,mixed,0.6,12,candidate
2023-04-03,80,72,72,0.375,weak,0.25,12,candidate
2023-05-02,80,72,72,0.4583333333333333,mixed,0.6,12,candidate
2023-06-05,80,72,72,0.375,weak,0.25,12,candidate
2023-07-03,80,71,71,0.49295774647887325,mixed,0.6,12,candidate
2023-08-01,80,75,75,0.52,mixed,0.6,12,candidate
2023-09-01,80,75,75,0.56,mixed,0.6,12,candidate
2023-10-02,80,75,75,0.5066666666666667,mixed,0.6,12,candidate
2023-11-01,80,75,75,0.3466666666666667,weak,0.25,12,candidate
2023-12-01,80,74,74,0.47297297297297297,mixed,0.6,12,candidate
2024-01-02,80,73,73,0.4520547945205479,mixed,0.6,12,candidate
2024-02-01,80,74,74,0.36486486486486486,weak,0.25,12,candidate
2024-03-01,80,75,75,0.38666666666666666,weak,0.25,12,candidate
2024-04-01,80,75,75,0.44,mixed,0.6,12,candidate
2024-05-02,80,78,78,0.41025641025641024,mixed,0.6,12,candidate
2024-06-03,80,78,78,0.4230769230769231,mixed,0.6,12,candidate
2024-07-01,80,78,78,0.3717948717948718,weak,0.25,12,candidate
2024-08-01,80,75,75,0.5866666666666667,mixed,0.6,12,candidate
2024-09-02,80,77,77,0.5974025974025974,mixed,0.6,12,candidate
2024-10-01,80,77,77,0.7012987012987013,broad,1.0,12,candidate
2024-11-01,80,78,78,0.5897435897435898,mixed,0.6,12,candidate
2024-12-02,80,77,77,0.38961038961038963,weak,0.25,12,candidate
2025-01-02,80,75,75,0.38666666666666666,weak,0.25,12,candidate
2025-02-03,80,76,76,0.34210526315789475,weak,0.25,12,candidate
2025-03-03,80,74,74,0.13513513513513514,weak,0.25,12,candidate
2025-04-08,80,0,0,0.0,insufficient_breadth,0.0,0,blocked_insufficient_evidence
2025-05-02,80,78,78,0.24358974358974358,weak,0.25,12,candidate
2025-06-02,80,78,78,0.48717948717948717,mixed,0.6,12,candidate
2025-07-01,80,78,78,0.38461538461538464,weak,0.25,12,candidate
2025-08-01,80,79,79,0.5822784810126582,mixed,0.6,12,candidate
2025-09-01,80,79,79,0.6455696202531646,broad,1.0,12,candidate
2025-10-01,80,77,77,0.6753246753246753,broad,1.0,12,candidate
2025-11-03,80,77,77,0.7012987012987013,broad,1.0,12,candidate
2025-12-01,80,77,77,0.6883116883116883,broad,1.0,12,candidate
2026-01-02,80,79,79,0.6455696202531646,broad,1.0,12,candidate
2026-02-02,80,80,80,0.625,broad,1.0,12,candidate
2026-03-02,80,80,80,0.5625,mixed,0.6,12,candidate
2026-04-01,80,80,80,0.35,weak,0.25,12,candidate
2026-05-04,80,80,80,0.3375,weak,0.25,12,candidate
2026-06-02,80,78,78,0.15384615384615385,weak,0.25,12,candidate
2026-07-01,80,79,79,0.0379746835443038,weak,0.25,12,candidate
2026-08-03,80,79,79,0.22784810126582278,weak,0.25,12,candidate
