Date,net_return,wealth,turnover,cost,drawdown
2023-02-13,0.004309971500460197,1.162751116150779,0.0,0.0,-0.011301235092046169
2023-02-14,0.006691855754100029,1.170532078897979,0.0,0.0,-0.004685005573025314
2023-02-15,0.009736713771099526,1.1819292147100986,0.0,0.0,0.0
2023-02-16,-0.020900932319302123,1.1572257921872369,0.0,0.0,-0.020900932319302123
2023-02-17,-0.013225017980050824,1.141921460278582,0.0,0.0,-0.03384953509363042
2023-02-21,-0.023769516980430283,1.1147785387381726,0.0,0.0,-0.05681446497487297
2023-02-22,0.015045772412262126,1.1315512429221013,0.0,0.0,-0.042623510072347215
2023-02-23,0.00938486643549652,1.1421707002018453,0.0,0.0,-0.03363865958589174
2023-02-24,-0.009512949548720617,1.1313052879547982,0.0,0.0,-0.04283160626308513
2023-02-27,0.007010374045286261,1.1392361611827717,0.0,0.0,-0.03612149779866347
2023-02-28,-0.0042578119713737594,1.1343855078174658,0.0,0.0,-0.04022551122428608
2023-03-01,-0.0009038318057961181,1.1333602141154662,0.0,0.0,-0.04109298593363342
2023-03-02,0.0038485928579656825,1.1377220561410133,0.0,0.0,-0.03740254324784442
2023-03-03,0.016761225663254553,1.1567916722660547,0.0,0.0,-0.02126823005234668
2023-03-06,-0.013327706855101984,1.1413742919656695,0.0,0.0,-0.03431248017198418
2023-03-07,-0.007038375333306313,1.1333408713030284,0.0,0.0,-0.0411093513912234
2023-03-08,0.0010719365544014092,1.1345557408115752,0.0,0.0,-0.040081481453306034
2023-03-09,-0.02754056904546409,1.1033094300958264,0.0,0.0,-0.06651818369136087
2023-03-10,-0.020692858418680182,1.0804788042668587,0.0,0.0,-0.08583459075264799
2023-03-13,-0.007753227926180828,1.0721016058279704,0.0,0.0,-0.09292232353277308
2023-03-14,0.026930324998813315,1.1009736505046672,0.0,0.0,-0.06849442690634222
2023-03-15,-0.017745485255322935,1.0814363388231376,0.0,0.0,-0.08502444531892694
2023-03-16,0.026883914865619696,1.1105095812886463,0.0,0.0,-0.06042632040275775
2023-03-17,-0.014766755753959027,1.0941109575393255,0.0,0.0,-0.0743007754422188
2023-03-20,0.009616569535236374,1.1046325516417665,0.0,0.0,-0.06539872448054451
2023-03-21,0.02391983528271302,1.1310551803249607,0.0,0.0,-0.043043215915105515
2023-03-22,-0.025814283499474233,1.1018578012465032,0.0,0.0,-0.06774636963621816
2023-03-23,0.00910401036239783,1.1118891260869403,0.0,0.0,-0.05925912292500324
2023-03-24,-0.0018035050412048559,1.1098838284427817,0.0,0.0,-0.06095575383927543
2023-03-27,0.006081135209228261,1.1166331820700781,0.0,0.0,-0.055245298810924326
2023-03-28,-0.006605867446524583,1.1092568512829322,0.0,0.0,-0.06148622313646035
2023-03-29,0.014083558589879752,1.124879135139201,0.0,0.0,-0.04826860937259325
2023-03-30,0.009673465259683045,1.1357606143743122,0.0,0.0,-0.03906206882880936
2023-03-31,0.022411288237005556,1.1612144728712934,0.0,0.0,-0.017526211875459996
2023-04-03,0.0030875507128313995,1.1647997814447573,0.0,0.0,-0.014492774230597916
2023-04-04,-0.005764454679407338,1.1580853458940354,0.0,0.0,-0.02017368596977398
2023-04-05,-0.013219898589692414,1.1427755750631075,0.0,0.0,-0.03312689047676576
2023-04-06,-0.002528979076541593,1.13988551954459,0.0,0.0,-0.03557209234042069
2023-04-10,0.0075565800709398445,1.1484991557447337,0.24492443997864477,0.0012353890404478048,-0.028284315633542056
2023-04-11,-0.005328298711739454,1.1423796091727452,0.0,0.0,-0.03346190706272889
2023-04-12,-0.009887101195646064,1.1310847863730116,0.0,0.0,-0.043018166997046525
2023-04-13,0.015087033151880869,1.1481495000426094,0.0,0.0,-0.028580150356783074
2023-04-14,-0.008921911286679185,1.1379058120593841,0.0,0.0,-0.037247072077419174
2023-04-17,-0.001511783362675767,1.1361855449844207,0.0,0.0,-0.03870254593621991
2023-04-18,0.0012518283604809888,1.1376078542724006,0.0,0.0,-0.03749916652036478
2023-04-19,-0.0073768790751539415,1.1292158586964878,0.0,0.0,-0.0445994187786789
2023-04-20,-0.014566425514229597,1.1127672200012986,0.0,0.0,-0.05851619018129095
2023-04-21,-0.002390135157529838,1.1101075559466267,0.0,0.0,-0.06076646373538386
2023-04-24,-0.003305142331486932,1.106438492470964,0.0,0.0,-0.06387076425524418
