execution_delay_sessions,cost_bps,window,days,start,end,cagr,sharpe_zero_rf,max_drawdown,total_return,annual_turnover,ending_value_10000
1,200,full_recent,901,2023-01-06,2026-08-11,0.21515947388545897,0.9254300634264783,-0.32200115075868274,1.0072319007012376,3.254154587957718,20072.319007012375
1,200,trailing_2y,501,2024-08-12,2026-08-11,0.3826505104965938,1.283998433758581,-0.27043254991034793,0.9043627977272692,2.8127350724776248,19043.627977272692
1,200,trailing_1y,252,2025-08-11,2026-08-11,0.8218464905042309,1.9901823813892892,-0.18369762587203786,0.8218464905042309,0.5349261493933626,18218.46490504231
1,200,ytd,152,2026-01-02,2026-08-11,0.9319782709893307,1.9040745698302395,-0.18369762587203797,0.4876791835630072,0.8868512476784696,14876.791835630072
2,50,full_recent,901,2023-01-06,2026-08-11,0.3681801100168045,1.4250867658004638,-0.2580110581887648,2.0673704153073795,3.2544734113819556,30673.704153073795
2,50,trailing_2y,501,2024-08-12,2026-08-11,0.5305169405259558,1.6444195526225729,-0.2580110581887657,1.3306433916481435,2.811154508055555,23306.433916481434
2,50,trailing_1y,252,2025-08-11,2026-08-11,0.9696462474502259,2.2270814140691075,-0.18189602002700533,0.9696462474502259,0.5216357000050575,19696.46247450226
2,50,ytd,152,2026-01-02,2026-08-11,1.0858792500871663,2.103456262284068,-0.18189602002700467,0.5580705353285607,0.8648170815873323,15580.705353285606
2,100,full_recent,901,2023-01-06,2026-08-11,0.3167620489293417,1.2626447761605517,-0.28680251489713404,1.6747674203846463,3.255387056163473,26747.67420384646
2,100,trailing_2y,501,2024-08-12,2026-08-11,0.47524702214482506,1.5128545485904996,-0.2682596673808494,1.1663029879618536,2.8113454223335568,21663.029879618534
2,100,trailing_1y,252,2025-08-11,2026-08-11,0.9271173991308717,2.1619719453915835,-0.18407706809953972,0.9271173991308717,0.5214981770384688,19271.173991308715
2,100,ytd,152,2026-01-02,2026-08-11,1.0421339020113844,2.0507833808097207,-0.1840770680995396,0.5382783348381122,0.8645890829848298,15382.783348381121
2,200,full_recent,901,2023-01-06,2026-08-11,0.2193298822886507,0.9365334747202662,-0.3426923865713729,1.031971099560307,3.2574022543783125,20319.71099560307
2,200,trailing_2y,501,2024-08-12,2026-08-11,0.370315869652736,1.2474550163924072,-0.2883909136722913,0.8707362290148843,2.812060312076346,18707.362290148845
2,200,trailing_1y,252,2025-08-11,2026-08-11,0.8445666791942723,2.029732259019724,-0.18844859305866402,0.8445666791942723,0.5212185154612724,18445.666791942724
2,200,ytd,152,2026-01-02,2026-08-11,0.9571885839745571,1.9438087169705465,-0.1884485930586638,0.4993582800987746,0.8641254335278991,14993.582800987746
