decision_date,realization_date,gross_return,net_return,turnover,cost,invested_weight
2014-10-03,2014-10-10,-0.015200216870921053,-0.016703724051316097,0.3007014360790089,0.0015035071803950445,1.0
2014-10-10,2014-10-17,0.008199985263720691,0.006781572408237314,0.28368257109667544,0.001418412855483377,1.0
2014-10-17,2014-10-24,0.022338037158173715,0.021062655741053187,0.2550762834241054,0.0012753814171205268,1.0
2014-10-24,2014-10-31,0.01611399863179061,0.014700185402557872,0.2827626458465478,0.0014138132292327392,1.0
2014-10-31,2014-11-07,-0.003371299925911634,-0.0035302763241210357,0.03179527964188028,0.00015897639820940142,0.9999999999999999
2014-11-07,2014-11-14,0.007483395295250555,0.007483395295250555,0.0,0.0,0.9999999999999999
2014-11-14,2014-11-21,0.008727831575708585,0.007589805965708612,0.22760512199999475,0.0011380256099999737,1.0
2014-11-21,2014-11-28,0.0024674727517701484,0.0015967083751760721,0.17415287531881524,0.0008707643765940762,1.0
2014-11-28,2014-12-05,0.004730827010675583,0.0032047436504929255,0.30521667203653147,0.0015260833601826573,0.9999999999999999
2014-12-05,2014-12-12,0.0,-0.004999999999999999,0.9999999999999999,0.004999999999999999,0.0
2014-12-12,2014-12-19,0.0,0.0,0.0,0.0,0.0
2014-12-19,2014-12-26,0.002160856822621342,-0.002839143177378658,1.0,0.005,1.0
2014-12-26,2015-01-02,-0.01799372753858473,-0.019301013357331028,0.2614571637492595,0.0013072858187462974,1.0
2015-01-02,2015-01-09,-0.005509474361609619,-0.005509474361609619,0.0,0.0,1.0
2015-01-09,2015-01-16,0.007298590224823832,0.0060637715519230775,0.24696373458015097,0.0012348186729007548,1.0
2015-01-16,2015-01-23,0.009558611014820874,0.008329972716112164,0.24572765974174204,0.00122863829870871,1.0
2015-01-23,2015-01-30,-0.012324596264082355,-0.013544753595227658,0.24403146622906063,0.0012201573311453032,1.0
2015-01-30,2015-02-06,0.006521277879608527,0.005371541659794302,0.22994724396284497,0.001149736219814225,1.0
2015-02-06,2015-02-13,0.014383017924861206,0.014383017924861206,0.0,0.0,1.0
2015-02-13,2015-02-20,0.0027254989800485864,0.0016320186268663427,0.2186960706364487,0.0010934803531822436,1.0
2015-02-20,2015-02-27,0.008730282005054327,0.007553372324680396,0.2353819360747861,0.0011769096803739307,1.0
2015-02-27,2015-03-06,-0.02874111970684033,-0.030134619031861643,0.27869986500426264,0.0013934993250213133,1.0
2015-03-06,2015-03-13,-0.02022358010529275,-0.02022358010529275,0.0,0.0,1.0
2015-03-13,2015-03-20,0.028799045839766824,0.027755860519690773,0.20863706401521032,0.0010431853200760517,1.0
2015-03-20,2015-03-27,-0.0030751540755590925,-0.00417981199989237,0.22093158486665543,0.0011046579243332772,0.9999999999999999
2015-03-27,2015-04-03,0.01457009175603747,0.013352257016102908,0.2435669479869126,0.0012178347399345632,0.9999999999999999
2015-04-03,2015-04-10,-0.0023784525898118917,-0.0023784525898118917,0.0,0.0,0.9999999999999999
2015-04-10,2015-04-17,0.0037760112703309895,0.0022656663389771566,0.3020689862707665,0.0015103449313538327,1.0
2015-04-17,2015-04-24,0.005635598952514335,0.005635598952514335,0.0,0.0,1.0
2015-04-24,2015-05-01,-0.01574625913714307,-0.01704029193349329,0.2588065592700441,0.0012940327963502204,0.9999999999999999
2015-05-01,2015-05-08,0.005189248040167618,0.004111743600911933,0.2155008878511369,0.0010775044392556845,1.0
2015-05-08,2015-05-15,0.014613347776134454,0.014613347776134454,0.0,0.0,1.0
2015-05-15,2015-05-22,-0.01037805173792843,-0.011474580477173042,0.21930574784892276,0.0010965287392446137,1.0
2015-05-22,2015-05-29,-0.007734869970788903,-0.008752114302833174,0.2034488664088541,0.0010172443320442704,1.0
2015-05-29,2015-06-05,-0.0024719546815351314,-0.002577545400806244,0.02111814385422256,0.00010559071927111279,1.0
2015-06-05,2015-06-12,0.004174390438442326,0.0027879880965702574,0.27728046837441367,0.0013864023418720685,1.0
2015-06-12,2015-06-19,0.005426074876153749,0.004075251095324738,0.27016475616580216,0.0013508237808290107,0.9999999999999999
2015-06-19,2015-06-26,0.003400959337069599,0.0021834239249828406,0.2435070824173516,0.0012175354120867582,1.0
2015-06-26,2015-07-03,-0.0021537398768790555,-0.0031277225906238535,0.19479654274895963,0.0009739827137447982,1.0
2015-07-03,2015-07-10,-0.0009276772468963038,-0.002143831727721193,0.24323089616497778,0.001216154480824889,1.0
2015-07-10,2015-07-17,-0.0007624690399488454,-0.0020763021525381327,0.26276662251785743,0.0013138331125892872,1.0
2015-07-17,2015-07-24,-0.020246770146810474,-0.020246770146810474,0.0,0.0,1.0
2015-07-24,2015-07-31,0.002881043101545325,0.0016297095854146822,0.25026670322612854,0.0012513335161306427,1.0
2015-07-31,2015-08-07,-0.011870582592040511,-0.011992069105828767,0.024297302757651185,0.00012148651378825593,1.0
2015-08-07,2015-08-14,0.0014256699952146347,-0.00077767442817794,0.44066888467851495,0.0022033444233925748,1.0
2015-08-14,2015-08-21,-0.04730808339503223,-0.04862196539626752,0.2627764002470586,0.001313882001235293,1.0
2015-08-21,2015-08-28,0.0003289473396854304,-0.0006895663601275501,0.20370273996259614,0.0010185136998129805,1.0
2015-08-28,2015-09-04,-0.04063801336650083,-0.04251076632820402,0.3745505923406375,0.0018727529617031872,1.0
2015-09-04,2015-09-11,0.02509970318139098,0.02509970318139098,0.0,0.0,1.0
2015-09-11,2015-09-18,0.0016093022460208946,5.2312005335882665e-05,0.3113980481370024,0.001556990240685012,0.9999999999999999
2015-09-18,2015-09-25,0.002631710319517856,0.0011107585525093153,0.30419035340170814,0.0015209517670085407,0.9999999999999999
2015-09-25,2015-10-02,0.014240799505344804,0.01271660438326221,0.3048390244165188,0.001524195122082594,1.0
2015-10-02,2015-10-09,0.022952788342990468,0.022952788342990468,0.0,0.0,1.0
2015-10-09,2015-10-16,0.012809374872797631,0.011385943018839887,0.2846863707915489,0.0014234318539577445,1.0
2015-10-16,2015-10-23,0.0030904646127397394,0.00204810364795287,0.20847219295737385,0.0010423609647868693,1.0
2015-10-23,2015-10-30,-0.012822255983263543,-0.01381640880414925,0.19883056417714112,0.0009941528208857056,1.0
2015-10-30,2015-11-06,-0.014981809545007087,-0.015894419898139278,0.18252207062643808,0.0009126103531321905,1.0
2015-11-06,2015-11-13,-0.02397784929058348,-0.025369582299949255,0.2783466018731551,0.0013917330093657753,0.9999999999999999
2015-11-13,2015-11-20,0.027582998823372486,0.026291767326145358,0.2582462994454257,0.0012912314972271285,1.0
2015-11-20,2015-11-27,-0.006780225849916501,-0.008276221849205737,0.2991991998578474,0.0014959959992892368,1.0
2015-11-27,2015-12-04,-0.0033190301795713237,-0.0035309984902387984,0.04239366213349491,0.00021196831066747453,1.0
2015-12-04,2015-12-11,-0.03458078737358669,-0.03576075259364421,0.23599304401150428,0.0011799652200575213,1.0
2015-12-11,2015-12-18,0.007889250552386519,0.006385742952763641,0.3007015199245755,0.0015035075996228775,1.0
2015-12-18,2015-12-25,0.009535704277935791,0.009535704277935791,0.0,0.0,1.0
2015-12-25,2016-01-01,-0.007871648136870652,-0.00892854456306552,0.21137928523897337,0.0010568964261948668,1.0
2016-01-01,2016-01-08,-0.041195896132734916,-0.041195896132734916,0.0,0.0,1.0
2016-01-08,2016-01-15,-0.020399823607348516,-0.02175705665802347,0.2714466101349907,0.0013572330506749536,0.9999999999999999
2016-01-15,2016-01-22,0.01845174169808971,0.01719311996976501,0.25172434566494045,0.0012586217283247021,0.9999999999999999
2016-01-22,2016-01-29,0.016938795561772056,0.01580392288856429,0.22697453464155287,0.0011348726732077644,1.0
2016-01-29,2016-02-05,-0.010712327891649977,-0.01221567930924948,0.30067028351990066,0.0015033514175995034,1.0
