factor,explained_variance_ratio,cumulative_explained_variance,model,n_factors,refit_date
f4,0.029366348468523932,0.7730632838705785,expanding_window_causal,5,2013-06-28
f5,0.02499569815219302,0.7980589820227716,expanding_window_causal,5,2013-06-28
f1,0.525382644941451,0.525382644941451,expanding_window_causal,5,2013-12-27
f2,0.11999750018459956,0.6453801451260506,expanding_window_causal,5,2013-12-27
f3,0.09690550860354927,0.7422856537295999,expanding_window_causal,5,2013-12-27
f4,0.02918056362178318,0.7714662173513831,expanding_window_causal,5,2013-12-27
f5,0.02521810766287927,0.7966843250142623,expanding_window_causal,5,2013-12-27
f1,0.5226890177785805,0.5226890177785805,expanding_window_causal,5,2014-06-27
f2,0.12020171478006798,0.6428907325586485,expanding_window_causal,5,2014-06-27
f3,0.09671218357218245,0.739602916130831,expanding_window_causal,5,2014-06-27
f4,0.029347690985024422,0.7689506071158554,expanding_window_causal,5,2014-06-27
f5,0.025486606451463358,0.7944372135673188,expanding_window_causal,5,2014-06-27
f1,0.5191874602375284,0.5191874602375284,expanding_window_causal,5,2014-12-26
f2,0.12113395778296665,0.640321418020495,expanding_window_causal,5,2014-12-26
f3,0.09689877044118721,0.7372201884616822,expanding_window_causal,5,2014-12-26
f4,0.029477847190658945,0.7666980356523412,expanding_window_causal,5,2014-12-26
f5,0.025749746978207335,0.7924477826305485,expanding_window_causal,5,2014-12-26
f1,0.5143853063177686,0.5143853063177686,expanding_window_causal,5,2015-06-26
f2,0.12423262921253211,0.6386179355303007,expanding_window_causal,5,2015-06-26
f3,0.09544318083539037,0.734061116365691,expanding_window_causal,5,2015-06-26
f4,0.02974400088973166,0.7638051172554227,expanding_window_causal,5,2015-06-26
f5,0.026097647470718546,0.7899027647261412,expanding_window_causal,5,2015-06-26
f1,0.5118127613415944,0.5118127613415944,expanding_window_causal,5,2015-12-25
f2,0.1249469963822535,0.6367597577238479,expanding_window_causal,5,2015-12-25
f3,0.09454755179906439,0.7313073095229122,expanding_window_causal,5,2015-12-25
f4,0.02970464147328303,0.7610119509961952,expanding_window_causal,5,2015-12-25
f5,0.02610029130092476,0.78711224229712,expanding_window_causal,5,2015-12-25
f1,0.5096116562024872,0.5096116562024872,expanding_window_causal,5,2016-06-24
f2,0.12545541652895803,0.6350670727314451,expanding_window_causal,5,2016-06-24
f3,0.09390302394122813,0.7289700966726733,expanding_window_causal,5,2016-06-24
f4,0.03002614301371677,0.7589962396863901,expanding_window_causal,5,2016-06-24
f5,0.026126280793248375,0.7851225204796385,expanding_window_causal,5,2016-06-24
f1,0.5047506331525344,0.5047506331525344,expanding_window_causal,5,2016-12-23
f2,0.12934072476807065,0.6340913579206051,expanding_window_causal,5,2016-12-23
f3,0.09185626221617599,0.7259476201367812,expanding_window_causal,5,2016-12-23
f4,0.030853984670562152,0.7568016048073433,expanding_window_causal,5,2016-12-23
f5,0.026068328363087576,0.7828699331704309,expanding_window_causal,5,2016-12-23
f1,0.5017212435426966,0.5017212435426966,expanding_window_causal,5,2017-06-23
f2,0.13064559685872315,0.6323668404014198,expanding_window_causal,5,2017-06-23
f3,0.09109229815120999,0.7234591385526298,expanding_window_causal,5,2017-06-23
f4,0.031035674097170275,0.7544948126498,expanding_window_causal,5,2017-06-23
f5,0.026056348225929504,0.7805511608757295,expanding_window_causal,5,2017-06-23
f1,0.4984257810013288,0.4984257810013288,expanding_window_causal,5,2017-12-22
f2,0.13148931994012567,0.6299151009414544,expanding_window_causal,5,2017-12-22
f3,0.09059922528332677,0.7205143262247812,expanding_window_causal,5,2017-12-22
f4,0.03163354235899752,0.7521478685837787,expanding_window_causal,5,2017-12-22
f5,0.026222786242164255,0.7783706548259429,expanding_window_causal,5,2017-12-22
f1,0.49685657127003224,0.49685657127003224,expanding_window_causal,5,2018-06-22
f2,0.1318345284258259,0.6286910996958581,expanding_window_causal,5,2018-06-22
f3,0.09088175099526612,0.7195728506911242,expanding_window_causal,5,2018-06-22
f4,0.031661164499288276,0.7512340151904124,expanding_window_causal,5,2018-06-22
f5,0.02617743306695913,0.7774114482573715,expanding_window_causal,5,2018-06-22
f1,0.4939554432151787,0.4939554432151787,expanding_window_causal,5,2018-12-21
f2,0.13175667162639093,0.6257121148415696,expanding_window_causal,5,2018-12-21
f3,0.09105427128355002,0.7167663861251197,expanding_window_causal,5,2018-12-21
f4,0.03198914759384514,0.7487555337189649,expanding_window_causal,5,2018-12-21
f5,0.026167754744078384,0.7749232884630433,expanding_window_causal,5,2018-12-21
f1,0.4933940544968146,0.4933940544968146,expanding_window_causal,5,2019-06-21
f2,0.1321449498182656,0.6255390043150802,expanding_window_causal,5,2019-06-21
f3,0.09025196672366591,0.7157909710387461,expanding_window_causal,5,2019-06-21
f4,0.03192240877266333,0.7477133798114094,expanding_window_causal,5,2019-06-21
f5,0.026327543136134876,0.7740409229475442,expanding_window_causal,5,2019-06-21
f1,0.49152824210613927,0.49152824210613927,expanding_window_causal,5,2019-12-20
f2,0.13362166896897343,0.6251499110751126,expanding_window_causal,5,2019-12-20
f3,0.0895162091244999,0.7146661201996125,expanding_window_causal,5,2019-12-20
f4,0.032204185448838483,0.746870305648451,expanding_window_causal,5,2019-12-20
f5,0.026333843492617623,0.7732041491410686,expanding_window_causal,5,2019-12-20
f1,0.5066043753191233,0.5066043753191233,expanding_window_causal,5,2020-06-19
f2,0.13620360016556318,0.6428079754846865,expanding_window_causal,5,2020-06-19
f3,0.08058209251308943,0.7233900679977759,expanding_window_causal,5,2020-06-19
f4,0.03109926607468489,0.7544893340724609,expanding_window_causal,5,2020-06-19
f5,0.026362221576512607,0.7808515556489735,expanding_window_causal,5,2020-06-19
f1,0.5047222053474086,0.5047222053474086,expanding_window_causal,5,2020-12-18
f2,0.13559860450752,0.6403208098549287,expanding_window_causal,5,2020-12-18
f3,0.07974858317761968,0.7200693930325484,expanding_window_causal,5,2020-12-18
f4,0.031650108408561806,0.7517195014411102,expanding_window_causal,5,2020-12-18
f5,0.02661798203782507,0.7783374834789353,expanding_window_causal,5,2020-12-18
f1,0.5015805263765767,0.5015805263765767,expanding_window_causal,5,2021-06-18
f2,0.13565360889382747,0.6372341352704042,expanding_window_causal,5,2021-06-18
f3,0.0792720469828853,0.7165061822532894,expanding_window_causal,5,2021-06-18
f4,0.03263570391842529,0.7491418861717147,expanding_window_causal,5,2021-06-18
f5,0.026708675401595612,0.7758505615733103,expanding_window_causal,5,2021-06-18
f1,0.49912565878702414,0.49912565878702414,expanding_window_causal,5,2021-12-17
f2,0.1352264029166117,0.6343520617036358,expanding_window_causal,5,2021-12-17
f3,0.07956986427741322,0.713921925981049,expanding_window_causal,5,2021-12-17
f4,0.03296455759443229,0.7468864835754813,expanding_window_causal,5,2021-12-17
f5,0.026628367810813534,0.7735148513862948,expanding_window_causal,5,2021-12-17
f1,0.4933788958943594,0.4933788958943594,expanding_window_causal,5,2022-06-17
f2,0.13524455072476793,0.6286234466191274,expanding_window_causal,5,2022-06-17
f3,0.08195656288093911,0.7105800095000665,expanding_window_causal,5,2022-06-17
f4,0.03375148696901746,0.7443314964690839,expanding_window_causal,5,2022-06-17
f5,0.027993952111516365,0.7723254485806003,expanding_window_causal,5,2022-06-17
f1,0.49160053396331066,0.49160053396331066,expanding_window_causal,5,2022-12-16
f2,0.13696957554715325,0.6285701095104639,expanding_window_causal,5,2022-12-16
f3,0.0828684858577895,0.7114385953682534,expanding_window_causal,5,2022-12-16
f4,0.034563775211159026,0.7460023705794124,expanding_window_causal,5,2022-12-16
f5,0.027746012028999158,0.7737483826084116,expanding_window_causal,5,2022-12-16
f1,0.48875758174116246,0.48875758174116246,expanding_window_causal,5,2023-06-16
f2,0.13806701044788852,0.626824592189051,expanding_window_causal,5,2023-06-16
f3,0.08276353777843859,0.7095881299674895,expanding_window_causal,5,2023-06-16
f4,0.03525118764414043,0.74483931761163,expanding_window_causal,5,2023-06-16
f5,0.027785570859653084,0.7726248884712831,expanding_window_causal,5,2023-06-16
f1,0.48748182692820197,0.48748182692820197,expanding_window_causal,5,2023-12-15
f2,0.13904731578633261,0.6265291427145345,expanding_window_causal,5,2023-12-15
f3,0.08287475075590735,0.7094038934704419,expanding_window_causal,5,2023-12-15
f4,0.035303102193715734,0.7447069956641575,expanding_window_causal,5,2023-12-15
f5,0.027875266794128002,0.7725822624582855,expanding_window_causal,5,2023-12-15
f1,0.4844754066691731,0.4844754066691731,expanding_window_causal,5,2024-06-14
f2,0.139420240661107,0.6238956473302801,expanding_window_causal,5,2024-06-14
f3,0.08387799248314722,0.7077736398134273,expanding_window_causal,5,2024-06-14
f4,0.03537955402593417,0.7431531938393615,expanding_window_causal,5,2024-06-14
f5,0.02829962580479156,0.771452819644153,expanding_window_causal,5,2024-06-14
f1,0.48166387464625643,0.48166387464625643,expanding_window_causal,5,2024-12-13
f2,0.1406932101698507,0.6223570848161071,expanding_window_causal,5,2024-12-13
f3,0.08340815306042366,0.7057652378765308,expanding_window_causal,5,2024-12-13
f4,0.03531843218901726,0.7410836700655481,expanding_window_causal,5,2024-12-13
f5,0.028580482902184484,0.7696641529677326,expanding_window_causal,5,2024-12-13
f1,0.48013114044436495,0.48013114044436495,expanding_window_causal,5,2025-06-13
f2,0.13982573941399998,0.6199568798583649,expanding_window_causal,5,2025-06-13
f3,0.08490985724985818,0.7048667371082231,expanding_window_causal,5,2025-06-13
f4,0.03582715972518515,0.7406938968334082,expanding_window_causal,5,2025-06-13
f5,0.028363457293014233,0.7690573541264225,expanding_window_causal,5,2025-06-13
f1,0.4782956246198884,0.4782956246198884,expanding_window_causal,5,2025-12-12
f2,0.13996144594476748,0.6182570705646558,expanding_window_causal,5,2025-12-12
f3,0.08455635702917187,0.7028134275938277,expanding_window_causal,5,2025-12-12
f4,0.03650359746714317,0.7393170250609709,expanding_window_causal,5,2025-12-12
f5,0.02871743249462756,0.7680344575555984,expanding_window_causal,5,2025-12-12
