feature_name,panel,source,feature_family,entity_scope,lag_rule,used_in_ipca,leakage_check,notes,missingness,non_missing_rows
rel_strength_HYG_13w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.12334620334620335,34058.0
rel_strength_HYG_26w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.12965250965250966,33813.0
rel_strength_LQD_13w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.04144144144144144,37240.0
rel_strength_LQD_26w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.047747747747747746,36995.0
ggg1_etf_weight,ppp_panel_characteristics,data/05_layer3_portfolio_construction/portfolio_version_weights_improved_phaseggg_confirmed_only_robust_offense.csv,ggg1_exposure_context,ETF,"contemporaneous saved GGG1 exposure used for exposure diagnostics, not IPCA prediction",False,excluded from predictive model features,,0.0,38850.0
l1_bab_bab_score_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_bab.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.0487001287001287,36958.0
l1_bab_bab_score_asset_class_neutral_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_bab.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.10226512226512227,34877.0
l1_breadth_confirmation_breadth_confirmed_momentum_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_breadth_confirmation.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.06036036036036036,36505.0
l1_breadth_confirmation_breadth_confirmed_momentum_score_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_breadth_confirmation.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.06036036036036036,36505.0
l1_carry_carry_yield_trailing_52w_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_carry.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.15006435006435007,33020.0
l1_carry_carry_score_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_carry.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.15006435006435007,33020.0
l1_carry_carry_score_asset_class_neutral_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_carry.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.2146203346203346,30512.0
l1_contained_recovery_contained_recovery_quality_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_contained_recovery.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.04864864864864865,36960.0
l1_contained_recovery_contained_recovery_quality_score_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_contained_recovery.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.04864864864864865,36960.0
l1_moving_average_distance_moving_average_distance_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_moving_average_distance.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.05945945945945946,36540.0
l1_moving_average_distance_moving_average_distance_score_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_moving_average_distance.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.05945945945945946,36540.0
l1_multi_horizon_mom_multi_mom_equal_score_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_multi_horizon_mom.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.08378378378378379,35595.0
l1_multi_horizon_mom_multi_mom_invvol_score_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_multi_horizon_mom.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.1063063063063063,34720.0
l1_quality_quality_score_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_quality.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.08198198198198198,35665.0
l1_quality_quality_score_asset_class_neutral_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_quality.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.13364221364221365,33658.0
l1_residual_momentum_residual_mom_score_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_residual_momentum.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.08558558558558559,35525.0
l1_reversal_reversal_1w_score_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_reversal.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.03783783783783784,37380.0
l1_reversal_reversal_1w_asset_class_neutral_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_reversal.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.09202059202059203,35275.0
l1_reversal_reversal_4w_score_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_reversal.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.04054054054054054,37275.0
l1_reversal_reversal_4w_asset_class_neutral_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_reversal.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.09456885456885457,35176.0
l1_trend_quality_trend_clarity_momentum_raw_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_trend_quality.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.08378378378378379,35595.0
l1_trend_quality_trend_clarity_momentum_score_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_trend_quality.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.08378378378378379,35595.0
l1_tsmom_tsmom_vol_scaled_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_tsmom.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.08378378378378379,35595.0
l1_tsmom_tsmom_score_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_tsmom.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.08378378378378379,35595.0
l1_value_value_score_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_value.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.12972972972972974,33810.0
l1_value_value_score_asset_class_neutral_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_value.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.17866151866151866,31909.0
l1_xsmom_xsmom_score_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_xsmom.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.08378378378378379,35595.0
l1_xsmom_xsmom_asset_class_neutral_tradable,ppp_panel_characteristics,data/02_layer1_signals/signal_xsmom.csv,existing_layer1_signal,ETF,source tradable signal shifted one additional week for PPP prediction safety,True,lagged; no forward returns,Layer 1 value available by Date/Ticker; nonnumeric values coerced to missing.,0.13534105534105534,33592.0
ooo2_leadlag_EFA_minus_SPY_13w_signal,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo2_cross_asset_signal_expansion/ooo2_candidate_signal_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.006306306306306306,38605.0
ooo2_leadlag_GLD_minus_SPY_13w_signal,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo2_cross_asset_signal_expansion/ooo2_candidate_signal_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.006306306306306306,38605.0
ooo2_leadlag_DBA_minus_SPY_13w_signal,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo2_cross_asset_signal_expansion/ooo2_candidate_signal_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.006306306306306306,38605.0
ooo2_leadlag_HYG_minus_LQD_13w_signal,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo2_cross_asset_signal_expansion/ooo2_candidate_signal_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.006306306306306306,38605.0
ooo2_breadth_ret13_positive_signal,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo2_cross_asset_signal_expansion/ooo2_candidate_signal_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.0018018018018018018,38780.0
ooo2_breadth_ret26_positive_signal,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo2_cross_asset_signal_expansion/ooo2_candidate_signal_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.0018018018018018018,38780.0
ooo2_canary_breadth_pair_signal,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo2_cross_asset_signal_expansion/ooo2_candidate_signal_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.0018018018018018018,38780.0
ooo2_recent_stress_26w_signal,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo2_cross_asset_signal_expansion/ooo2_candidate_signal_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.0018018018018018018,38780.0
ooo2_market_drawdown_signal,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo2_cross_asset_signal_expansion/ooo2_candidate_signal_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.0018018018018018018,38780.0
ooo2_market_trend_positive_signal,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo2_cross_asset_signal_expansion/ooo2_candidate_signal_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.0018018018018018018,38780.0
ooo2_breadth_ret13_positive_x_recovery_confirmed_signal,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo2_cross_asset_signal_expansion/ooo2_candidate_signal_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.0018018018018018018,38780.0
ooo2_breadth_ret13_positive_x_neutral_mixed_signal,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo2_cross_asset_signal_expansion/ooo2_candidate_signal_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.0018018018018018018,38780.0
ooo2_breadth_ret13_positive_x_stressed_panic_signal,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo2_cross_asset_signal_expansion/ooo2_candidate_signal_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.0018018018018018018,38780.0
ooo2_leadlag_HYG_minus_LQD_13w_x_calm_trend_signal,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo2_cross_asset_signal_expansion/ooo2_candidate_signal_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.006306306306306306,38605.0
ooo3_ggg1_trailing_vol_13w,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo3_vol_managed_signal_sizing/ooo3_signal_sizing_feature_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.008108108108108109,38535.0
ooo3_ggg1_trailing_vol_26w,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo3_vol_managed_signal_sizing/ooo3_signal_sizing_feature_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.012612612612612612,38360.0
ooo3_ggg1_vol_percentile,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo3_vol_managed_signal_sizing/ooo3_signal_sizing_feature_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.05405405405405406,36750.0
ooo3_ggg1_trailing_drawdown,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo3_vol_managed_signal_sizing/ooo3_signal_sizing_feature_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.0018018018018018018,38780.0
ooo3_BIL_weight,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo3_vol_managed_signal_sizing/ooo3_signal_sizing_feature_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.0009009009009009009,38815.0
ooo3_SPY_weight,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo3_vol_managed_signal_sizing/ooo3_signal_sizing_feature_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.0009009009009009009,38815.0
ooo3_market_drawdown_signal,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo3_vol_managed_signal_sizing/ooo3_signal_sizing_feature_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.0018018018018018018,38780.0
ooo3_recent_stress_26w_signal,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo3_vol_managed_signal_sizing/ooo3_signal_sizing_feature_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.0018018018018018018,38780.0
ooo3_market_trend_positive_signal,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo3_vol_managed_signal_sizing/ooo3_signal_sizing_feature_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.0018018018018018018,38780.0
ooo3_breadth_ret26_positive_signal,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo3_vol_managed_signal_sizing/ooo3_signal_sizing_feature_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.0018018018018018018,38780.0
ooo3_leadlag_EFA_minus_SPY_13w_signal__raw,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo3_vol_managed_signal_sizing/ooo3_signal_sizing_feature_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.006306306306306306,38605.0
ooo3_leadlag_EFA_minus_SPY_13w_signal__percentile,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo3_vol_managed_signal_sizing/ooo3_signal_sizing_feature_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.05225225225225225,36820.0
ooo3_leadlag_EFA_minus_SPY_13w_signal__zscore,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo3_vol_managed_signal_sizing/ooo3_signal_sizing_feature_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.05225225225225225,36820.0
ooo3_leadlag_EFA_minus_SPY_13w_signal__abs_strength,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo3_vol_managed_signal_sizing/ooo3_signal_sizing_feature_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.006306306306306306,38605.0
ooo3_leadlag_EFA_minus_SPY_13w_signal__direction_strength,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo3_vol_managed_signal_sizing/ooo3_signal_sizing_feature_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.05225225225225225,36820.0
ooo3_leadlag_EFA_minus_SPY_13w_signal__strength_scaled_score,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo3_vol_managed_signal_sizing/ooo3_signal_sizing_feature_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.05405405405405406,36750.0
ooo3_market_trend_positive_signal__raw,ppp_panel_characteristics,data/research/phase_ooo_signal_discovery/ooo3_vol_managed_signal_sizing/ooo3_signal_sizing_feature_panel.csv,ooo_discovered_signal,MARKET,market-level source shifted 1 week(s),False,"lagged; constant across ETF cross-section, excluded from IPCA-style cross-sectional loadings",,0.0018018018018018018,38780.0
