refit_date,factor,loading_corr_to_prior_refit,top6_abs_loading_overlap,refit_number
2014-06-27,pca_exp_f3,0.9999791244165132,1.0,10
2014-06-27,pca_exp_f4,0.9977118225361228,1.0,10
2014-06-27,pca_exp_f5,0.9968358122246125,0.8333333333333334,10
2014-12-26,pca_exp_f1,0.9999191125852097,1.0,11
2014-12-26,pca_exp_f2,0.9992661489218946,1.0,11
2014-12-26,pca_exp_f3,0.9996522301729797,1.0,11
2014-12-26,pca_exp_f4,0.9968917829909721,0.8333333333333334,11
2014-12-26,pca_exp_f5,0.9954595831085421,0.8333333333333334,11
2015-06-26,pca_exp_f1,0.9999583039010641,1.0,12
2015-06-26,pca_exp_f2,0.9993713247750382,1.0,12
2015-06-26,pca_exp_f3,0.9998218273275571,1.0,12
2015-06-26,pca_exp_f4,0.9713237903464871,0.6666666666666666,12
2015-06-26,pca_exp_f5,0.9724584104420194,0.8333333333333334,12
2015-12-25,pca_exp_f1,0.9999204708734031,1.0,13
2015-12-25,pca_exp_f2,0.9997962366986498,1.0,13
2015-12-25,pca_exp_f3,0.9998688874440881,1.0,13
2015-12-25,pca_exp_f4,0.992931424907834,1.0,13
2015-12-25,pca_exp_f5,0.9884548900742292,1.0,13
2016-06-24,pca_exp_f1,0.999881266705946,1.0,14
2016-06-24,pca_exp_f2,0.9994795019713232,1.0,14
2016-06-24,pca_exp_f3,0.9997036782034359,1.0,14
2016-06-24,pca_exp_f4,0.9965245020173081,1.0,14
2016-06-24,pca_exp_f5,0.9920532703804007,0.8333333333333334,14
2016-12-23,pca_exp_f1,0.9999543227781671,1.0,15
2016-12-23,pca_exp_f2,0.9992065880952941,1.0,15
2016-12-23,pca_exp_f3,0.9997248890916354,1.0,15
2016-12-23,pca_exp_f4,0.993664095535714,1.0,15
2016-12-23,pca_exp_f5,0.9947378224643846,0.6666666666666666,15
2017-06-23,pca_exp_f1,0.9999925345720159,1.0,16
2017-06-23,pca_exp_f2,0.9998311983187002,1.0,16
2017-06-23,pca_exp_f3,0.9999099057788435,1.0,16
2017-06-23,pca_exp_f4,0.9993493328595762,1.0,16
2017-06-23,pca_exp_f5,0.9994302084794517,0.8333333333333334,16
2017-12-22,pca_exp_f1,0.9999917989032743,1.0,17
2017-12-22,pca_exp_f2,0.9999193840267023,1.0,17
2017-12-22,pca_exp_f3,0.9999292323457918,1.0,17
2017-12-22,pca_exp_f4,0.9974796233751356,1.0,17
2017-12-22,pca_exp_f5,0.9971197775846099,1.0,17
2018-06-22,pca_exp_f1,0.9999483289937287,1.0,18
2018-06-22,pca_exp_f2,0.9998123067000915,1.0,18
2018-06-22,pca_exp_f3,0.9998344721805564,1.0,18
2018-06-22,pca_exp_f4,0.9994290772190999,1.0,18
2018-06-22,pca_exp_f5,0.9963271155305874,0.8333333333333334,18
2018-12-21,pca_exp_f1,0.9999788559979882,1.0,19
2018-12-21,pca_exp_f2,0.9998967465791293,1.0,19
2018-12-21,pca_exp_f3,0.9999313697494339,1.0,19
2018-12-21,pca_exp_f4,0.9992656161322099,0.8333333333333334,19
2018-12-21,pca_exp_f5,0.9965211777597888,1.0,19
2019-06-21,pca_exp_f1,0.9999476924984845,1.0,20
2019-06-21,pca_exp_f2,0.9999624971972744,1.0,20
2019-06-21,pca_exp_f3,0.9999464856618208,1.0,20
2019-06-21,pca_exp_f4,0.999510672795529,1.0,20
2019-06-21,pca_exp_f5,0.9944737720006189,0.8333333333333334,20
2019-12-20,pca_exp_f1,0.9999774193637316,1.0,21
2019-12-20,pca_exp_f2,0.9998153163197804,1.0,21
2019-12-20,pca_exp_f3,0.9999180636073512,1.0,21
2019-12-20,pca_exp_f4,0.9991609671904018,1.0,21
2019-12-20,pca_exp_f5,0.9973667173462492,0.8333333333333334,21
2020-06-19,pca_exp_f1,0.9959075248806243,1.0,22
2020-06-19,pca_exp_f2,0.9966036931842946,1.0,22
2020-06-19,pca_exp_f3,0.9983345736926379,0.8333333333333334,22
2020-06-19,pca_exp_f4,0.9827419015751072,1.0,22
2020-06-19,pca_exp_f5,0.20355858216761857,0.3333333333333333,22
2020-12-18,pca_exp_f1,0.9999316117982062,1.0,23
2020-12-18,pca_exp_f2,0.9999422393348443,1.0,23
2020-12-18,pca_exp_f3,0.9998944264286639,0.8333333333333334,23
2020-12-18,pca_exp_f4,0.9983693863921388,1.0,23
2020-12-18,pca_exp_f5,0.994268415013135,1.0,23
2021-06-18,pca_exp_f1,0.9999806768419879,1.0,24
2021-06-18,pca_exp_f2,0.9999278024335593,1.0,24
2021-06-18,pca_exp_f3,0.9999616825739991,1.0,24
2021-06-18,pca_exp_f4,0.9979387010289684,1.0,24
2021-06-18,pca_exp_f5,0.9912917600977454,1.0,24
2021-12-17,pca_exp_f1,0.9999766194418053,1.0,25
2021-12-17,pca_exp_f2,0.9999808288917735,1.0,25
2021-12-17,pca_exp_f3,0.9998114608774012,1.0,25
2021-12-17,pca_exp_f4,0.9987029295555112,1.0,25
2021-12-17,pca_exp_f5,0.9990529404513606,0.8333333333333334,25
2022-06-17,pca_exp_f1,0.9997889531703346,1.0,26
2022-06-17,pca_exp_f2,0.9991137146510458,1.0,26
2022-06-17,pca_exp_f3,0.9985443300122301,0.8333333333333334,26
2022-06-17,pca_exp_f4,0.9828412404693114,1.0,26
2022-06-17,pca_exp_f5,0.9648237098052712,0.8333333333333334,26
2022-12-16,pca_exp_f1,0.9992775460921433,1.0,27
2022-12-16,pca_exp_f2,0.9989956450666153,1.0,27
2022-12-16,pca_exp_f3,0.9993984225180413,0.8333333333333334,27
2022-12-16,pca_exp_f4,0.9981945483047715,1.0,27
2022-12-16,pca_exp_f5,0.9972632611349092,1.0,27
2023-06-16,pca_exp_f1,0.9999729501416009,1.0,28
2023-06-16,pca_exp_f2,0.9997825489086191,1.0,28
2023-06-16,pca_exp_f3,0.9997738306146727,0.8333333333333334,28
2023-06-16,pca_exp_f4,0.9950746239954467,1.0,28
2023-06-16,pca_exp_f5,0.9923330456063599,1.0,28
2023-12-15,pca_exp_f1,0.9998544974834652,1.0,29
2023-12-15,pca_exp_f2,0.9998825655667759,1.0,29
2023-12-15,pca_exp_f3,0.9998778046797996,1.0,29
2023-12-15,pca_exp_f4,0.9987574157573152,1.0,29
2023-12-15,pca_exp_f5,0.9866097204200209,1.0,29
2024-06-14,pca_exp_f1,0.9999322809142157,1.0,30
2024-06-14,pca_exp_f2,0.9996711500117662,1.0,30
2024-06-14,pca_exp_f3,0.9996592673944351,1.0,30
2024-06-14,pca_exp_f4,0.9991267443973937,1.0,30
2024-06-14,pca_exp_f5,0.9863580094037089,0.8333333333333334,30
2024-12-13,pca_exp_f1,0.9999846903859483,1.0,31
2024-12-13,pca_exp_f2,0.9997784607393961,1.0,31
2024-12-13,pca_exp_f3,0.9998233264986961,1.0,31
2024-12-13,pca_exp_f4,0.9995275040143645,1.0,31
2024-12-13,pca_exp_f5,0.9974043408240427,0.8333333333333334,31
2025-06-13,pca_exp_f1,0.999957111099741,1.0,32
2025-06-13,pca_exp_f2,0.9995318161586312,1.0,32
2025-06-13,pca_exp_f3,0.9994191275667145,1.0,32
2025-06-13,pca_exp_f4,0.9985749989751262,1.0,32
2025-06-13,pca_exp_f5,0.9958489233050718,0.8333333333333334,32
2025-12-12,pca_exp_f1,0.9999824574928013,1.0,33
2025-12-12,pca_exp_f2,0.9999779969434712,1.0,33
2025-12-12,pca_exp_f3,0.9999550638093422,1.0,33
2025-12-12,pca_exp_f4,0.9989859210001282,1.0,33
2025-12-12,pca_exp_f5,0.9988065376619443,0.8333333333333334,33
