series,feature,n,ic,p,p_bonf_run,p_bonf_cum
ETF Incumbent,uni_dd,192,-0.1343037907673349,0.050474762618690654,1.0,1.0
174.97% Fragile 1.35x,uni_vol_13w,180,0.13341152504706935,0.06696651674162919,1.0,1.0
174.97% Fragile 1.35x,uni_ret_13w,180,-0.1328374332541128,0.07196401799100449,1.0,1.0
174.97% Fragile 1.35x,uni_dd,187,-0.12597769418592628,0.0704647676161919,1.0,1.0
102% Daily-Audited,own_dd,180,-0.12484512108963697,0.09095452273863068,1.0,1.0
174.97% Fragile 1.35x,own_dd,187,-0.12327337304042423,0.079960019990005,1.0,1.0
ETF Incumbent,uni_breadth,192,-0.12256575696305556,0.05847076461769116,1.0,1.0
124% Sector Ensemble,uni_ret_13w,180,-0.11922178668065886,0.10044977511244378,1.0,1.0
equal_weight_universe,uni_vol_ratio,142,0.11520963304001963,0.1729135432283858,1.0,1.0
150.86% Residual 1.25x,uni_breadth,192,-0.11503915403277258,0.14292853573213393,1.0,1.0
102% Daily-Audited,own_ret_13w,168,-0.1130030724687565,0.09795102448775612,1.0,1.0
equal_weight_universe,uni_disp,142,0.1127703582003852,0.17541229385307347,1.0,1.0
142% Growth / Micron,own_vol_13w,175,0.11241603224361846,0.1344327836081959,1.0,1.0
124% Sector Ensemble,uni_disp,187,0.10835208233165357,0.11744127936031984,1.0,1.0
174.97% Fragile 1.35x,uni_disp,187,0.10828601734572908,0.12643678160919541,1.0,1.0
174.97% Fragile 1.35x,uni_vol_ratio,167,0.10702691003535099,0.15642178910544727,1.0,1.0
124% Sector Ensemble,own_vol_ratio,162,0.10291703889996767,0.1874062968515742,1.0,1.0
102% Daily-Audited,uni_vol_ratio,161,0.10080802852541984,0.16991504247876063,1.0,1.0
142% Growth / Micron,uni_vol_ratio,167,0.10076834283240749,0.17641179410294852,1.0,1.0
142% Growth / Micron,uni_disp,187,0.09856345358384198,0.16941529235382308,1.0,1.0
102% Daily-Audited,own_vol_ratio,155,0.0974090425703329,0.18490754622688654,1.0,1.0
174.97% Fragile 1.35x,own_vol_ratio,162,0.09637137804649142,0.2063968015992004,1.0,1.0
124% Sector Ensemble,uni_breadth,187,-0.09388626256530558,0.18640679660169915,1.0,1.0
142% Growth / Micron,uni_ret_13w,180,-0.09284648703149273,0.20839580209895053,1.0,1.0
102% Daily-Audited,own_ret_4w,177,-0.08834248022021779,0.2223888055972014,1.0,1.0
ETF Incumbent,uni_vol_ratio,167,0.08450740515526607,0.2703648175912044,1.0,1.0
102% Daily-Audited,uni_disp,180,0.08443676245151598,0.27886056971514245,1.0,1.0
124% Sector Ensemble,uni_dd,187,-0.0834402746231394,0.2383808095952024,1.0,1.0
150.86% Residual 1.25x,uni_vol_13w,180,0.07710937580377995,0.3543228385807096,1.0,1.0
142% Growth / Micron,own_ret_13w,175,-0.07465069413345275,0.3173413293353323,1.0,1.0
124% Sector Ensemble,own_ret_4w,184,-0.0722871838338695,0.3023488255872064,1.0,1.0
124% Sector Ensemble,uni_vol_ratio,167,0.07092613396271141,0.3523238380809595,1.0,1.0
150.86% Residual 1.25x,uni_disp,191,0.06983340767681835,0.34782608695652173,1.0,1.0
150.86% Residual 1.25x,own_dd,192,-0.0674201171854016,0.4147926036981509,1.0,1.0
174.97% Fragile 1.35x,own_ret_4w,184,-0.06601105738668105,0.3698150924537731,1.0,1.0
ETF Incumbent,uni_vol_13w,180,0.06527156187948188,0.36731634182908546,1.0,1.0
150.86% Residual 1.25x,own_vol_ratio,167,0.0648968843723912,0.45527236381809094,1.0,1.0
174.97% Fragile 1.35x,own_ret_13w,175,-0.06479175996417376,0.3793103448275862,1.0,1.0
ETF Incumbent,own_dd,1126,-0.06178531311088258,0.02348825587206397,1.0,1.0
142% Growth / Micron,uni_dd,187,-0.060176326117837645,0.39980009995002497,1.0,1.0
142% Growth / Micron,own_ret_4w,184,-0.054339157404018415,0.4702648675662169,1.0,1.0
ETF Incumbent,own_ret_13w,1114,-0.05243851969914424,0.059470264867566215,1.0,1.0
ETF Incumbent,own_vol_13w,1114,0.04908780014600405,0.059470264867566215,1.0,1.0
142% Growth / Micron,uni_breadth,187,-0.048349801081833906,0.4942528735632184,1.0,1.0
150.86% Residual 1.25x,own_ret_13w,180,-0.04400341574328426,0.6086956521739131,1.0,1.0
150.86% Residual 1.25x,uni_vol_ratio,167,0.04161985838993271,0.6196901549225388,1.0,1.0
124% Sector Ensemble,own_ret_13w,175,-0.041536050156739814,0.5847076461769115,1.0,1.0
150.86% Residual 1.25x,own_ret_4w,189,0.027719132813922645,0.7386306846576711,1.0,1.0
124% Sector Ensemble,uni_vol_13w,180,0.0238484726894863,0.719640179910045,1.0,1.0
142% Growth / Micron,uni_vol_13w,180,0.022412214368756234,0.7561219390304847,1.0,1.0
ETF Incumbent,uni_disp,191,0.020176012675668226,0.7726136931534233,1.0,1.0
ETF Incumbent,own_vol_ratio,1101,-0.013135870691565812,0.6496751624187906,1.0,1.0
ETF Incumbent,own_ret_4w,1123,-0.004703722729264753,0.8595702148925537,1.0,1.0
142% Growth / Micron,own_vol_ratio,162,-0.0005094833048954147,0.9970014992503748,1.0,1.0
