decision_at,price_source,covered_members
2018-01-01 00:00:00+00:00,tiingo_identity_validated,112
2018-01-01 00:00:00+00:00,yahoo_current_sec,277
2018-01-01 00:00:00+00:00,yahoo_recovered_former,28
2018-04-01 00:00:00+00:00,tiingo_identity_validated,111
2018-04-01 00:00:00+00:00,yahoo_current_sec,288
2018-04-01 00:00:00+00:00,yahoo_recovered_former,26
2018-07-01 00:00:00+00:00,tiingo_identity_validated,110
2018-07-01 00:00:00+00:00,yahoo_current_sec,293
2018-07-01 00:00:00+00:00,yahoo_recovered_former,21
2018-10-01 00:00:00+00:00,tiingo_identity_validated,110
2018-10-01 00:00:00+00:00,yahoo_current_sec,293
2018-10-01 00:00:00+00:00,yahoo_recovered_former,19
2019-01-01 00:00:00+00:00,tiingo_identity_validated,111
2019-01-01 00:00:00+00:00,yahoo_current_sec,297
2019-01-01 00:00:00+00:00,yahoo_recovered_former,11
2019-04-01 00:00:00+00:00,tiingo_identity_validated,122
2019-04-01 00:00:00+00:00,yahoo_current_sec,313
2019-04-01 00:00:00+00:00,yahoo_recovered_former,8
2019-07-01 00:00:00+00:00,tiingo_identity_validated,121
2019-07-01 00:00:00+00:00,yahoo_current_sec,315
2019-07-01 00:00:00+00:00,yahoo_recovered_former,6
2019-10-01 00:00:00+00:00,tiingo_identity_validated,116
2019-10-01 00:00:00+00:00,yahoo_current_sec,317
2019-10-01 00:00:00+00:00,yahoo_recovered_former,6
2020-01-01 00:00:00+00:00,tiingo_identity_validated,112
2020-01-01 00:00:00+00:00,yahoo_current_sec,321
2020-01-01 00:00:00+00:00,yahoo_recovered_former,6
2020-04-01 00:00:00+00:00,tiingo_identity_validated,118
2020-04-01 00:00:00+00:00,yahoo_current_sec,333
2020-04-01 00:00:00+00:00,yahoo_recovered_former,6
2020-07-01 00:00:00+00:00,tiingo_identity_validated,116
2020-07-01 00:00:00+00:00,yahoo_current_sec,338
2020-07-01 00:00:00+00:00,yahoo_recovered_former,6
2020-10-01 00:00:00+00:00,tiingo_identity_validated,113
2020-10-01 00:00:00+00:00,yahoo_current_sec,340
2020-10-01 00:00:00+00:00,yahoo_recovered_former,5
2021-01-01 00:00:00+00:00,tiingo_identity_validated,109
2021-01-01 00:00:00+00:00,yahoo_current_sec,343
2021-01-01 00:00:00+00:00,yahoo_recovered_former,4
2021-04-01 00:00:00+00:00,tiingo_identity_validated,104
2021-04-01 00:00:00+00:00,yahoo_current_sec,354
2021-04-01 00:00:00+00:00,yahoo_recovered_former,4
2021-07-01 00:00:00+00:00,tiingo_identity_validated,95
2021-07-01 00:00:00+00:00,yahoo_current_sec,353
2021-07-01 00:00:00+00:00,yahoo_recovered_former,5
2021-10-01 00:00:00+00:00,tiingo_identity_validated,90
2021-10-01 00:00:00+00:00,yahoo_current_sec,353
2021-10-01 00:00:00+00:00,yahoo_recovered_former,5
2022-01-01 00:00:00+00:00,tiingo_identity_validated,84
2022-01-01 00:00:00+00:00,yahoo_current_sec,352
2022-01-01 00:00:00+00:00,yahoo_recovered_former,5
2022-04-01 00:00:00+00:00,tiingo_identity_validated,78
2022-04-01 00:00:00+00:00,yahoo_current_sec,364
2022-04-01 00:00:00+00:00,yahoo_recovered_former,3
2022-07-01 00:00:00+00:00,tiingo_identity_validated,71
2022-07-01 00:00:00+00:00,yahoo_current_sec,372
2022-07-01 00:00:00+00:00,yahoo_recovered_former,3
2022-10-01 00:00:00+00:00,tiingo_identity_validated,68
2022-10-01 00:00:00+00:00,yahoo_current_sec,374
2022-10-01 00:00:00+00:00,yahoo_recovered_former,2
2023-01-01 00:00:00+00:00,tiingo_identity_validated,57
2023-01-01 00:00:00+00:00,yahoo_current_sec,376
2023-01-01 00:00:00+00:00,yahoo_recovered_former,3
2023-04-01 00:00:00+00:00,tiingo_identity_validated,76
2023-04-01 00:00:00+00:00,yahoo_current_sec,420
2023-04-01 00:00:00+00:00,yahoo_recovered_former,4
2023-07-01 00:00:00+00:00,tiingo_identity_validated,71
2023-07-01 00:00:00+00:00,yahoo_current_sec,431
2023-07-01 00:00:00+00:00,yahoo_recovered_former,4
2023-10-01 00:00:00+00:00,tiingo_identity_validated,70
2023-10-01 00:00:00+00:00,yahoo_current_sec,437
2023-10-01 00:00:00+00:00,yahoo_recovered_former,4
2024-01-01 00:00:00+00:00,tiingo_identity_validated,59
2024-01-01 00:00:00+00:00,yahoo_current_sec,436
2024-01-01 00:00:00+00:00,yahoo_recovered_former,4
2024-04-01 00:00:00+00:00,tiingo_identity_validated,55
2024-04-01 00:00:00+00:00,yahoo_current_sec,441
2024-04-01 00:00:00+00:00,yahoo_recovered_former,3
2024-07-01 00:00:00+00:00,tiingo_identity_validated,50
2024-07-01 00:00:00+00:00,yahoo_current_sec,442
2024-07-01 00:00:00+00:00,yahoo_recovered_former,3
2024-10-01 00:00:00+00:00,tiingo_identity_validated,49
2024-10-01 00:00:00+00:00,yahoo_current_sec,441
2024-10-01 00:00:00+00:00,yahoo_recovered_former,2
2025-01-01 00:00:00+00:00,tiingo_identity_validated,39
2025-01-01 00:00:00+00:00,yahoo_current_sec,438
2025-01-01 00:00:00+00:00,yahoo_recovered_former,2
2025-04-01 00:00:00+00:00,tiingo_identity_validated,28
2025-04-01 00:00:00+00:00,yahoo_current_sec,450
2025-04-01 00:00:00+00:00,yahoo_recovered_former,3
2025-07-01 00:00:00+00:00,tiingo_identity_validated,25
2025-07-01 00:00:00+00:00,yahoo_current_sec,451
2025-07-01 00:00:00+00:00,yahoo_recovered_former,3
2025-10-01 00:00:00+00:00,tiingo_identity_validated,19
2025-10-01 00:00:00+00:00,yahoo_current_sec,451
2025-10-01 00:00:00+00:00,yahoo_recovered_former,3
2026-01-01 00:00:00+00:00,tiingo_identity_validated,12
2026-01-01 00:00:00+00:00,yahoo_current_sec,451
2026-01-01 00:00:00+00:00,yahoo_recovered_former,2
2026-04-01 00:00:00+00:00,tiingo_identity_validated,6
2026-04-01 00:00:00+00:00,yahoo_current_sec,459
2026-04-01 00:00:00+00:00,yahoo_recovered_former,2
2026-07-01 00:00:00+00:00,yahoo_current_sec,463
2026-07-01 00:00:00+00:00,yahoo_recovered_former,3
