,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,cash::BIL
2021-09-03,0.1383360101175904,0.09279823460427958,0.11815840224190245,0.0667100397105444,0.35231879324236764,0.21823754408047719,0.013440976002838445
2021-09-10,0.1383360101175904,0.09279823460427958,0.11815840224190245,0.0667100397105444,0.35231879324236764,0.21823754408047719,0.013440976002838445
2021-09-17,0.1383360101175904,0.09279823460427958,0.11815840224190245,0.0667100397105444,0.35231879324236764,0.21823754408047719,0.013440976002838445
2021-09-24,0.134259369589524,0.09266060500918659,0.11796014534067903,0.06664002880071293,0.35409575667885446,0.22126757215593293,0.013116522425109967
2021-10-01,0.134259369589524,0.09266060500918659,0.11796014534067903,0.06664002880071293,0.35409575667885446,0.22126757215593293,0.013116522425109967
2021-10-08,0.134259369589524,0.09266060500918659,0.11796014534067903,0.06664002880071293,0.35409575667885446,0.22126757215593293,0.013116522425109967
2021-10-15,0.134259369589524,0.09266060500918659,0.11796014534067903,0.06664002880071293,0.35409575667885446,0.22126757215593293,0.013116522425109967
2021-10-22,0.134259369589524,0.09266060500918659,0.11796014534067903,0.06664002880071293,0.35409575667885446,0.22126757215593293,0.013116522425109967
2021-10-29,0.22485468387708346,0.09228845081028994,0.1172978735257352,0.06716687854974303,0.3537878929833037,0.1348527395302159,0.009751480723628747
2021-11-05,0.22485468387708346,0.09228845081028994,0.1172978735257352,0.06716687854974303,0.3537878929833037,0.1348527395302159,0.009751480723628747
2021-11-12,0.22485468387708346,0.09228845081028994,0.1172978735257352,0.06716687854974303,0.3537878929833037,0.1348527395302159,0.009751480723628747
2021-11-19,0.22485468387708346,0.09228845081028994,0.1172978735257352,0.06716687854974303,0.3537878929833037,0.1348527395302159,0.009751480723628747
2021-11-26,0.19084514603310446,0.09442236855780499,0.11786018735913438,0.06756799745351318,0.35627936672539234,0.171572628581492,0.001452305289558642
2021-12-03,0.19084514603310446,0.09442236855780499,0.11786018735913438,0.06756799745351318,0.35627936672539234,0.171572628581492,0.001452305289558642
2021-12-10,0.19084514603310446,0.09442236855780499,0.11786018735913438,0.06756799745351318,0.35627936672539234,0.171572628581492,0.001452305289558642
2021-12-17,0.19084514603310446,0.09442236855780499,0.11786018735913438,0.06756799745351318,0.35627936672539234,0.171572628581492,0.001452305289558642
2021-12-24,0.19084514603310446,0.09442236855780499,0.11786018735913438,0.06756799745351318,0.35627936672539234,0.171572628581492,0.001452305289558642
2021-12-31,0.20347917767443127,0.10287211260835623,0.11386553726538677,0.0994227823763381,0.30290170155187446,0.13357999290388056,0.043878695619732566
2022-01-07,0.20347917767443127,0.10287211260835623,0.11386553726538677,0.0994227823763381,0.30290170155187446,0.13357999290388056,0.043878695619732566
2022-01-14,0.20347917767443127,0.10287211260835623,0.11386553726538677,0.0994227823763381,0.30290170155187446,0.13357999290388056,0.043878695619732566
2022-01-21,0.20347917767443127,0.10287211260835623,0.11386553726538677,0.0994227823763381,0.30290170155187446,0.13357999290388056,0.043878695619732566
2022-01-28,0.18773680584276875,0.08373887726501028,0.09827191725998047,0.07467082699836303,0.2722316587915291,0.10935428900380764,0.1739956248385407
