,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,cash::BIL
2019-08-16,0.13260102556542755,0.13528063221231804,0.21588707124459164,0.16623127097766277,0.23774939167133988,0.11225060832866009,0.0
2019-08-23,0.13260102556542755,0.13528063221231804,0.21588707124459164,0.16623127097766277,0.23774939167133988,0.11225060832866009,0.0
2019-08-30,0.11005542468392218,0.11308516851778273,0.2683487286259945,0.15851067817230063,0.2712376579767354,0.07876234202326464,0.0
2019-09-06,0.11005542468392218,0.11308516851778273,0.2683487286259945,0.15851067817230063,0.2712376579767354,0.07876234202326464,0.0
2019-09-13,0.11005542468392218,0.11308516851778273,0.2683487286259945,0.15851067817230063,0.2712376579767354,0.07876234202326464,0.0
2019-09-20,0.11005542468392218,0.11308516851778273,0.2683487286259945,0.15851067817230063,0.2712376579767354,0.07876234202326464,0.0
2019-09-27,0.11011564311972925,0.11205647914209575,0.2074523963919985,0.22037548134617652,0.20711098382144486,0.14288901617855515,0.0
2019-10-04,0.11011564311972925,0.11205647914209575,0.2074523963919985,0.22037548134617652,0.20711098382144486,0.14288901617855515,0.0
2019-10-11,0.11011564311972925,0.11205647914209575,0.2074523963919985,0.22037548134617652,0.20711098382144486,0.14288901617855515,0.0
2019-10-18,0.11011564311972925,0.11205647914209575,0.2074523963919985,0.22037548134617652,0.20711098382144486,0.14288901617855515,0.0
2019-10-25,0.06889319966026752,0.07176743774286384,0.22411105898429806,0.14702090046190705,0.2856126095007475,0.20259479364991598,0.0
2019-11-01,0.06889319966026752,0.07176743774286384,0.22411105898429806,0.14702090046190705,0.2856126095007475,0.20259479364991598,0.0
2019-11-08,0.06889319966026752,0.07176743774286384,0.22411105898429806,0.14702090046190705,0.2856126095007475,0.20259479364991598,0.0
2019-11-15,0.06889319966026752,0.07176743774286384,0.22411105898429806,0.14702090046190705,0.2856126095007475,0.20259479364991598,0.0
2019-11-22,0.06889319966026752,0.07176743774286384,0.22411105898429806,0.14702090046190705,0.2856126095007475,0.20259479364991598,0.0
2019-11-29,0.0661570926018419,0.06698122181321746,0.17550181492808492,0.05775891806397361,0.4295460787968562,0.20405487379602588,0.0
2019-12-06,0.0661570926018419,0.06698122181321746,0.17550181492808492,0.05775891806397361,0.4295460787968562,0.20405487379602588,0.0
2019-12-13,0.0661570926018419,0.06698122181321746,0.17550181492808492,0.05775891806397361,0.4295460787968562,0.20405487379602588,0.0
2019-12-20,0.0661570926018419,0.06698122181321746,0.17550181492808492,0.05775891806397361,0.4295460787968562,0.20405487379602588,0.0
2019-12-27,0.06503847678339059,0.06629744738847027,0.17994615030348476,0.05922627155079839,0.42878488072008564,0.20070677325377034,0.0
2020-01-03,0.06503847678339059,0.06629744738847027,0.17994615030348476,0.05922627155079839,0.42878488072008564,0.20070677325377034,0.0
2020-01-10,0.06503847678339059,0.06629744738847027,0.17994615030348476,0.05922627155079839,0.42878488072008564,0.20070677325377034,0.0
2020-01-17,0.06503847678339059,0.06629744738847027,0.17994615030348476,0.05922627155079839,0.42878488072008564,0.20070677325377034,0.0
2020-01-24,0.06503847678339059,0.06629744738847027,0.17994615030348476,0.05922627155079839,0.42878488072008564,0.20070677325377034,0.0
2020-01-31,0.06363239626802751,0.06322199980357003,0.18616122119050216,0.060037761705459707,0.42925259491544265,0.19769402611699793,0.0
2020-02-07,0.06363239626802751,0.06322199980357003,0.18616122119050216,0.060037761705459707,0.42925259491544265,0.19769402611699793,0.0
2020-02-14,0.06363239626802751,0.06322199980357003,0.18616122119050216,0.060037761705459707,0.42925259491544265,0.19769402611699793,0.0
2020-02-21,0.06363239626802751,0.06322199980357003,0.18616122119050216,0.060037761705459707,0.42925259491544265,0.19769402611699793,0.0
2020-02-28,0.06070012958763764,0.05505648431672745,0.1987019127972533,0.07043639755953644,0.4264099451619849,0.18869513057686027,0.0
2020-03-06,0.06070012958763764,0.05505648431672745,0.1987019127972533,0.07043639755953644,0.4264099451619849,0.18869513057686027,0.0
2020-03-13,0.06070012958763764,0.05505648431672745,0.1987019127972533,0.07043639755953644,0.4264099451619849,0.18869513057686027,0.0
2020-03-20,0.06070012958763764,0.05505648431672745,0.1987019127972533,0.07043639755953644,0.4264099451619849,0.18869513057686027,0.0
2020-03-27,0.2003721952557445,0.07916118672150023,0.11751716866774883,0.06488949480673796,0.4188882510072206,0.11917170354104789,0.0
2020-04-03,0.2003721952557445,0.07916118672150023,0.11751716866774883,0.06488949480673796,0.4188882510072206,0.11917170354104789,0.0
2020-04-10,0.2003721952557445,0.07916118672150023,0.11751716866774883,0.06488949480673796,0.4188882510072206,0.11917170354104789,0.0
2020-04-17,0.2003721952557445,0.07916118672150023,0.11751716866774883,0.06488949480673796,0.4188882510072206,0.11917170354104789,0.0
2020-04-24,0.11018817653498476,0.08590654450978176,0.0979094683825768,0.0636117287102176,0.3921182404451113,0.25026584141732783,0.0
2020-05-01,0.11018817653498476,0.08590654450978176,0.0979094683825768,0.0636117287102176,0.3921182404451113,0.25026584141732783,0.0
2020-05-08,0.11018817653498476,0.08590654450978176,0.0979094683825768,0.0636117287102176,0.3921182404451113,0.25026584141732783,0.0
2020-05-15,0.11018817653498476,0.08590654450978176,0.0979094683825768,0.0636117287102176,0.3921182404451113,0.25026584141732783,0.0
2020-05-22,0.11018817653498476,0.08590654450978176,0.0979094683825768,0.0636117287102176,0.3921182404451113,0.25026584141732783,0.0
2020-05-29,0.11032123973888686,0.08670886069816862,0.09920613871499555,0.0646602692947758,0.3931870407923371,0.24591645076083618,0.0
2020-06-05,0.11032123973888686,0.08670886069816862,0.09920613871499555,0.0646602692947758,0.3931870407923371,0.24591645076083618,0.0
2020-06-12,0.11032123973888686,0.08670886069816862,0.09920613871499555,0.0646602692947758,0.3931870407923371,0.24591645076083618,0.0
2020-06-19,0.11032123973888686,0.08670886069816862,0.09920613871499555,0.0646602692947758,0.3931870407923371,0.24591645076083618,0.0
2020-06-26,0.11061684798647312,0.0870604266410362,0.10021476353352404,0.06399916573986794,0.39574631748165345,0.24236247861744536,0.0
2020-07-03,0.11061684798647312,0.0870604266410362,0.10021476353352404,0.06399916573986794,0.39574631748165345,0.24236247861744536,0.0
2020-07-10,0.11061684798647312,0.0870604266410362,0.10021476353352404,0.06399916573986794,0.39574631748165345,0.24236247861744536,0.0
2020-07-17,0.11061684798647312,0.0870604266410362,0.10021476353352404,0.06399916573986794,0.39574631748165345,0.24236247861744536,0.0
2020-07-24,0.11061684798647312,0.0870604266410362,0.10021476353352404,0.06399916573986794,0.39574631748165345,0.24236247861744536,0.0
2020-07-31,0.15376362373398425,0.1393700382727249,0.1197742606280395,0.18709207736525132,0.24635631703445707,0.15364368296554295,0.0
2020-08-07,0.15376362373398425,0.1393700382727249,0.1197742606280395,0.18709207736525132,0.24635631703445707,0.15364368296554295,0.0
2020-08-14,0.15376362373398425,0.1393700382727249,0.1197742606280395,0.18709207736525132,0.24635631703445707,0.15364368296554295,0.0
2020-08-21,0.15376362373398425,0.1393700382727249,0.1197742606280395,0.18709207736525132,0.24635631703445707,0.15364368296554295,0.0
2020-08-28,0.0204,0.22119990650191823,0.06869420759995858,0.36970588589812325,0.21348184313138355,0.10651815686861646,0.0
2020-09-04,0.0204,0.22119990650191823,0.06869420759995858,0.36970588589812325,0.21348184313138355,0.10651815686861646,0.0
2020-09-11,0.0204,0.22119990650191823,0.06869420759995858,0.36970588589812325,0.21348184313138355,0.10651815686861646,0.0
2020-09-18,0.0204,0.22119990650191823,0.06869420759995858,0.36970588589812325,0.21348184313138355,0.10651815686861646,0.0
2020-09-25,0.17403989718901652,0.14978105969417949,0.1480106619658992,0.1781683811509048,0.20929277609236804,0.14070722390763196,0.0
2020-10-02,0.17403989718901652,0.14978105969417949,0.1480106619658992,0.1781683811509048,0.20929277609236804,0.14070722390763196,0.0
2020-10-09,0.17403989718901652,0.14978105969417949,0.1480106619658992,0.1781683811509048,0.20929277609236804,0.14070722390763196,0.0
2020-10-16,0.17403989718901652,0.14978105969417949,0.1480106619658992,0.1781683811509048,0.20929277609236804,0.14070722390763196,0.0
2020-10-23,0.17403989718901652,0.14978105969417949,0.1480106619658992,0.1781683811509048,0.20929277609236804,0.14070722390763196,0.0
2020-10-30,0.17447775644418478,0.1484624322934344,0.15165311899207246,0.17540669227030842,0.21150746445893764,0.1384925355410623,0.0
2020-11-06,0.17447775644418478,0.1484624322934344,0.15165311899207246,0.17540669227030842,0.21150746445893764,0.1384925355410623,0.0
2020-11-13,0.17447775644418478,0.1484624322934344,0.15165311899207246,0.17540669227030842,0.21150746445893764,0.1384925355410623,0.0
2020-11-20,0.17447775644418478,0.1484624322934344,0.15165311899207246,0.17540669227030842,0.21150746445893764,0.1384925355410623,0.0
2020-11-27,0.0204,0.21967564376132478,0.07130551651250443,0.3686188397261708,0.21214309583562962,0.10785690416437038,0.0
2020-12-04,0.0204,0.21967564376132478,0.07130551651250443,0.3686188397261708,0.21214309583562962,0.10785690416437038,0.0
2020-12-11,0.0204,0.21967564376132478,0.07130551651250443,0.3686188397261708,0.21214309583562962,0.10785690416437038,0.0
2020-12-18,0.0204,0.21967564376132478,0.07130551651250443,0.3686188397261708,0.21214309583562962,0.10785690416437038,0.0
2020-12-25,0.0204,0.21973458685661426,0.0710482644055256,0.3688171487378602,0.21216416294925,0.10783583705074998,0.0
2021-01-01,0.0204,0.21973458685661426,0.0710482644055256,0.3688171487378602,0.21216416294925,0.10783583705074998,0.0
2021-01-08,0.0204,0.21973458685661426,0.0710482644055256,0.3688171487378602,0.21216416294925,0.10783583705074998,0.0
2021-01-15,0.0204,0.21973458685661426,0.0710482644055256,0.3688171487378602,0.21216416294925,0.10783583705074998,0.0
2021-01-22,0.0204,0.21973458685661426,0.0710482644055256,0.3688171487378602,0.21216416294925,0.10783583705074998,0.0
2021-01-29,0.17878913008212183,0.14363148670850018,0.15265766826233218,0.17492171494704586,0.20680647909226216,0.14319352090773782,0.0
2021-02-05,0.17878913008212183,0.14363148670850018,0.15265766826233218,0.17492171494704586,0.20680647909226216,0.14319352090773782,0.0
2021-02-12,0.17878913008212183,0.14363148670850018,0.15265766826233218,0.17492171494704586,0.20680647909226216,0.14319352090773782,0.0
2021-02-19,0.17878913008212183,0.14363148670850018,0.15265766826233218,0.17492171494704586,0.20680647909226216,0.14319352090773782,0.0
2021-02-26,0.18085214639776398,0.14418516315046942,0.15126331299247575,0.17369937745929093,0.2049670236533302,0.14503297634666978,0.0
2021-03-05,0.18085214639776398,0.14418516315046942,0.15126331299247575,0.17369937745929093,0.2049670236533302,0.14503297634666978,0.0
2021-03-12,0.18085214639776398,0.14418516315046942,0.15126331299247575,0.17369937745929093,0.2049670236533302,0.14503297634666978,0.0
2021-03-19,0.18085214639776398,0.14418516315046942,0.15126331299247575,0.17369937745929093,0.2049670236533302,0.14503297634666978,0.0
2021-03-26,0.26076239853844135,0.09448936960916209,0.1270087506613825,0.07228294755605266,0.3279848773190832,0.1174716563158781,1.1102230246251565e-16
2021-04-02,0.26076239853844135,0.09448936960916209,0.1270087506613825,0.07228294755605266,0.3279848773190832,0.1174716563158781,1.1102230246251565e-16
2021-04-09,0.26076239853844135,0.09448936960916209,0.1270087506613825,0.07228294755605266,0.3279848773190832,0.1174716563158781,1.1102230246251565e-16
2021-04-16,0.26076239853844135,0.09448936960916209,0.1270087506613825,0.07228294755605266,0.3279848773190832,0.1174716563158781,1.1102230246251565e-16
2021-04-23,0.26076239853844135,0.09448936960916209,0.1270087506613825,0.07228294755605266,0.3279848773190832,0.1174716563158781,1.1102230246251565e-16
2021-04-30,0.25979248794775855,0.09454462513174224,0.12639114145089522,0.07235082915133419,0.3292945356232501,0.11762638069501964,1.1102230246251565e-16
2021-05-07,0.25979248794775855,0.09454462513174224,0.12639114145089522,0.07235082915133419,0.3292945356232501,0.11762638069501964,1.1102230246251565e-16
2021-05-14,0.25979248794775855,0.09454462513174224,0.12639114145089522,0.07235082915133419,0.3292945356232501,0.11762638069501964,1.1102230246251565e-16
2021-05-21,0.25979248794775855,0.09454462513174224,0.12639114145089522,0.07235082915133419,0.3292945356232501,0.11762638069501964,1.1102230246251565e-16
2021-05-28,0.2566570513602804,0.09440552583692056,0.12655999042668717,0.07210052480381034,0.3326316976757217,0.11764520989657985,0.0
2021-06-04,0.2566570513602804,0.09440552583692056,0.12655999042668717,0.07210052480381034,0.3326316976757217,0.11764520989657985,0.0
2021-06-11,0.2566570513602804,0.09440552583692056,0.12655999042668717,0.07210052480381034,0.3326316976757217,0.11764520989657985,0.0
2021-06-18,0.2566570513602804,0.09440552583692056,0.12655999042668717,0.07210052480381034,0.3326316976757217,0.11764520989657985,0.0
2021-06-25,0.25554921210202797,0.09304803703835611,0.12670349899938535,0.07195178154306626,0.3358773795777978,0.11687009073936656,0.0
