sleeve,ann_return,ann_vol,sharpe,max_drawdown,cvar_5,corr_with_ggg1,corr_with_production,corr_with_SPY,corr_with_BIL,avg_weight_ggg1,max_weight_ggg1,sleeve_flag
composite_structural_defense_sleeve,0.022632064565094367,0.034746454067600956,0.6615338198267798,-0.11250072074746231,-0.010916281451589903,0.0012235674342529123,-0.00043546151504075597,0.25819215182944116,0.04235376759183396,0.0,0.0,LOW_WEIGHT_MONITOR
composite_trend_quality_module,0.08738283387563817,0.13896489538936865,0.6733772888260486,-0.2955978922278094,-0.046727249781753764,0.8360993143563756,0.8491118996940489,-0.06855950173691297,-0.02844980220836269,0.0,0.0,LOW_WEIGHT_MONITOR
composite_trend_quality_refined,0.10578139545184917,0.13770855395667708,0.8000696898400114,-0.2624925074753779,-0.045140173125836236,0.8233253411939009,0.8382174726765979,-0.07467316855588005,-0.036098603947263073,0.0,0.0,LOW_WEIGHT_MONITOR
cross_sectional_reversal_combo_ls,-0.03266670394133664,0.08795837649338037,-0.3334559701372025,-0.5403986897768436,-0.028401182325572687,0.0724684661665886,0.04893628566206531,-0.07207407632547373,0.07394289604058825,0.0,0.0,RETIRE_CANDIDATE
cta_trend_long_only,0.07923223265391632,0.12754880831619014,0.6624137922584312,-0.257054365007779,-0.042362840112646016,0.8685087904419541,0.8781788461957045,-0.02028372268838784,-0.03313173532603794,0.10267671110120329,0.4448699991541751,STATE_SPECIFIC_KEEP
cta_trend_long_short_research,0.014768466165651306,0.05217823030786483,0.3071224689109706,-0.11201100057240043,-0.017320141600740014,0.24097510779635828,0.26638389461677403,0.044567159935687044,-0.06330144775390102,0.0,0.0,LOW_WEIGHT_MONITOR
cta_trend_vol_managed,0.06715390077534722,0.10911530564399789,0.6509178019089843,-0.21561462182332292,-0.03751728408538527,0.8385010085545435,0.8528727229272931,-0.01103845241798681,-0.0315403004476125,0.0,0.0,LOW_WEIGHT_MONITOR
dual_momentum_single_best,0.06843555105367871,0.195121459582634,0.4372931933283692,-0.49113152305615415,-0.06114036206575223,0.6786856415957273,0.692813150547209,-0.00292172807863033,-0.011827383972357998,0.0,0.0,LOW_WEIGHT_MONITOR
dual_momentum_topn,0.08737133848897183,0.1261842661914393,0.7277424049600016,-0.18076637731704193,-0.042021375020712695,0.8481856950897937,0.8576087008729895,-0.06014062852035411,-0.029206079630387696,0.09028906284771644,0.2488009340567341,STATE_SPECIFIC_KEEP
pairs_stat_arb_research,-0.007583910393812343,0.02790680301167535,-0.2588324681777484,-0.23403433380588834,-0.009612018056886171,-0.06721601142927375,-0.04757929276388608,-0.03244693480702215,0.07612379413843838,0.0,0.0,RETIRE_CANDIDATE
sector_factor_rotation,0.08959406708929119,0.15982714438150927,0.6177311421640714,-0.4134727046852257,-0.05335798972033182,0.6574416270367741,0.6635183565203377,-0.08659210555665252,-0.022015160038607734,0.0,0.0,LOW_WEIGHT_MONITOR
sector_rotation_with_sma_filter,0.06869849458745358,0.10955241352093845,0.6619321056277336,-0.1941892803698536,-0.03715851689808642,0.6640263498320765,0.7063789305972586,-0.05998291653864861,-0.015246460133475682,0.0,0.0,LOW_WEIGHT_MONITOR
taa_10m_sma,0.06763883528393033,0.12490879912657775,0.5870283516030933,-0.3831163779257546,-0.04272815776680715,0.7703328021202941,0.7637347600394474,0.009426472583191294,-0.007795944755257862,0.11239079300283962,0.2709306929569782,STATE_SPECIFIC_KEEP
