,IWM,QQQ,SPY,XLF,XLI,XLY,VNQ,HYG,PDBC,VWO,EEM,LQD,TLT,BIL
2006-05-12,0.0,0.0,0.0,0.0,0.09291476800592306,0.0,0.0,0.15,0.0,0.21990595865304488,0.18717927334103207,0.2,0.0,0.15
2006-05-19,0.0,0.0,0.0,0.0,0.08638922710061121,0.0,0.0,0.15,0.0,0.2266297450909908,0.18698102780839795,0.2,0.0,0.15
2006-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2006-06-02,0.07927276531639871,0.0,0.0,0.0,0.18345079019246693,0.0,0.0,0.15,0.0,0.23727644449113433,0.0,0.2,0.0,0.15
2006-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2006-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2006-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2006-06-30,0.0,0.0,0.0,0.031403704098399134,0.43861419271205127,0.0,0.029982103189549643,0.15,0.0,0.0,0.0,0.2,0.0,0.15
2006-07-07,0.0,0.0,0.0,0.06080152117571485,0.27267094573225903,0.0,0.16652753309202617,0.15,0.0,0.0,0.0,0.2,0.0,0.15
2006-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2006-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2006-07-28,0.0,0.0,0.0,0.0998744312426337,0.0,0.0,0.40012556875736627,0.15,0.0,0.0,0.0,0.2,0.0,0.15
2006-08-04,0.0,0.0,0.0,0.054585785792954096,0.0,0.0,0.44541421420704586,0.15,0.0,0.0,0.0,0.2,0.0,0.15
2006-08-11,0.0,0.0,0.0,0.05575600257696394,0.0,0.0,0.44424399742303605,0.15,0.0,0.0,0.0,0.2,0.0,0.15
2006-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2006-08-25,0.0,0.0,0.0,0.11069295959686445,0.0,0.0,0.3893070404031355,0.15,0.0,0.0,0.0,0.2,0.0,0.15
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2006-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2006-09-15,0.0,0.0,0.0,0.022826175596111775,0.0,0.0,0.39746926417142275,0.15,0.0,0.0,0.07970456023246553,0.2,0.0,0.15
2006-09-22,0.0,0.0,0.014908395160622673,0.18128065295314824,0.0,0.0,0.30381095188622903,0.15,0.0,0.0,0.0,0.2,0.0,0.15
2006-09-29,0.0,0.0,0.0,0.10474684271128994,0.0,0.0,0.36913745586936825,0.15,0.0,0.0,0.0,0.2,0.0,0.15
2006-10-06,0.0,0.0,0.0,0.10415184175116796,0.0,0.0,0.35213074541206446,0.15,0.0,0.0,0.0,0.2,0.0,0.15
2006-10-13,0.0,0.0,0.0,0.13708444857741847,0.0,0.0,0.33040306835388467,0.15,0.0,0.0,0.0,0.2,0.0,0.15
2006-10-20,0.0,0.0,0.06133342473171491,0.17161227518771252,0.0,0.0,0.26705430008057257,0.15,0.0,0.0,0.0,0.2,0.0,0.15
2006-10-27,0.0,0.0,0.06857656566178333,0.1016538581210837,0.0,0.0,0.329769576217133,0.15,0.0,0.0,0.0,0.2,0.0,0.15
2006-11-03,0.0,0.0,0.0,0.10209485462409242,0.0,0.09871920445203337,0.2991859409238742,0.15,0.0,0.0,0.0,0.2,0.0,0.15
2006-11-10,0.0,0.0,0.0,0.28912636872732733,0.0,0.2892138259734273,0.4216598052992453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-17,0.0,0.0,0.0,0.3041180423522368,0.0,0.24727704132504555,0.44860491632271776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2006-12-08,0.0,0.0,0.0,0.0,0.0,0.3111259224403027,0.46505886463145285,0.0,0.0,0.22381521292824452,0.0,0.0,0.0,0.0
2006-12-15,0.0,0.0,0.0,0.0,0.0,0.15207203330428054,0.0,0.15,0.0,0.1811970666257125,0.166730900070007,0.2,0.0,0.15
2006-12-22,0.0,0.0,0.0,0.0,0.0,0.2900946039260448,0.0,0.0,0.0,0.36959937740780274,0.34030601866615245,0.0,0.0,0.0
2006-12-29,0.0,0.0,0.0,0.0,0.0,0.13373137929595572,0.0,0.15,0.0,0.18134199883564828,0.184926621868396,0.2,0.0,0.15
2007-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.15573950450784446,0.15,0.0,0.18507536535296562,0.1591851301391899,0.2,0.0,0.15
2007-01-12,0.0,0.0,0.0,0.0,0.0,0.28902625241767066,0.0,0.0,0.0,0.34494352088872304,0.3660302266936064,0.0,0.0,0.0
2007-01-19,0.0,0.0,0.0,0.0,0.0,0.14512721919380564,0.0,0.15,0.0,0.17217382061590927,0.18269896019028511,0.2,0.0,0.15
2007-01-26,0.0,0.0,0.0,0.0,0.0,0.1588329936168924,0.0,0.15,0.0,0.16559259971325901,0.17557440666984855,0.2,0.0,0.15
2007-02-02,0.0,0.0,0.0,0.0,0.0,0.29407710855931274,0.0,0.0,0.0,0.3371064880078361,0.3688164034328511,0.0,0.0,0.0
2007-02-09,0.0,0.0,0.0,0.0,0.0,0.1498600214108234,0.0,0.15,0.0,0.17036599179515657,0.17977398679402,0.2,0.0,0.15
2007-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.198119913242377,0.15,0.0,0.1368514641081657,0.16502862264945725,0.2,0.0,0.15
2007-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.2011849366507538,0.15,0.0,0.15429390262086276,0.14452116072838345,0.2,0.0,0.15
2007-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.1485451794352304,0.15,0.0,0.1643661733053243,0.1870886472594453,0.2,0.0,0.15
2007-03-09,0.0,0.0,0.0,0.0,0.0,0.16317810120298937,0.2310541393217619,0.15,0.0,0.0,0.10576775947524875,0.2,0.0,0.15
2007-03-16,0.0,0.0,0.0,0.0,0.0,0.0993692288439901,0.23741916060855828,0.15,0.0,0.0,0.16321161054745156,0.2,0.0,0.15
2007-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.2600900713784881,0.15,0.0,0.09161298895698074,0.14829693966453117,0.2,0.0,0.15
