candidate,trailing_1y_cagr,trailing_1y_sharpe,trailing_1y_drawdown,ytd_cagr,full_cagr,full_drawdown,trailing_1y_200bps_cagr,recent_return,ytd_return,recent_sharpe,recent_drawdown,full_return_gate,full_drawdown_gate,severe_cost,all_screen_gates,joint_improvement
cash_rel_8w_00_30,0.9705916127323269,2.56482446518417,-0.09863713014188613,0.9983471233644048,0.36515104221758765,-0.21241551098419442,0.8304104836884902,True,True,True,True,True,True,True,True,False
cash_rel_8w_05_40,0.966714300591117,2.630240655170987,-0.08368329747043857,1.0254310968397622,0.3523906072652252,-0.21830005376410266,0.8221620092114852,True,True,True,True,False,True,False,False,False
cash_rel_26w_00_30,0.9647807752224902,2.4884831515249477,-0.13953054026776435,0.9511839083730576,0.3745369832967165,-0.22660595611233814,0.8551000050588002,True,True,True,True,True,True,True,True,False
cash_rel_15w_00_30,0.96478077522249,2.488483151524947,-0.13953054026776446,0.9511839083730558,0.3800089135583693,-0.21634773019161535,0.8551000050588,True,True,True,True,True,True,True,True,False
cash_rel_20w_00_30,0.9647807752224891,2.488483151524947,-0.13953054026776446,0.9511839083730567,0.37128400037697484,-0.24286246656346855,0.8551000050588013,True,True,True,True,True,True,True,True,False
cash_rel_14w_00_30,0.9647807752224888,2.4884831515249464,-0.13953054026776457,0.9511839083730558,0.37789341450840297,-0.21927956972075968,0.8551000050588009,True,True,True,True,True,True,True,True,False
cash_rel_8w_10_50,0.9618810326431537,2.681205056332836,-0.07820296599017473,1.0514882330213884,0.3394748551788178,-0.22482941975853288,0.8133166468980384,True,True,True,True,False,True,False,False,False
cash_rel_13w_10_30,0.9613009066346787,2.6829334630819215,-0.10642919968600684,0.9992296178960709,0.37152917727134604,-0.22629248844456396,0.8553340850450921,True,True,True,True,True,True,True,True,False
cash_rel_20w_05_40,0.9609917923552289,2.55443732930599,-0.13171408180470467,0.9715374327960513,0.36147364141328153,-0.2512272425996763,0.8513666601109338,True,True,True,True,True,True,True,True,False
cash_rel_26w_05_40,0.9609917923552285,2.5544373293059888,-0.13171408180470434,0.9715374327960513,0.36486387696365674,-0.23241679202747578,0.851366660110932,True,True,True,True,True,True,True,True,False
cash_rel_14w_05_40,0.9609917923552267,2.5544373293059834,-0.13171408180470479,0.9715374327960471,0.36793409735726224,-0.22622971428231908,0.8513666601109315,True,True,True,True,True,True,True,True,False
cash_rel_15w_05_40,0.9609917923552267,2.5544373293059843,-0.13171408180470467,0.9715374327960453,0.37092889990504374,-0.22285345910545118,0.8513666601109329,True,True,True,True,True,True,True,True,False
