rule_name,market_state,n_weeks,allowed_share,suppressed_share,avg_actual_offense_when_allowed,avg_actual_offense_when_suppressed,future_4w_return_allowed,future_4w_return_suppressed,future_4w_drawdown_allowed,future_4w_drawdown_suppressed,whipsaw_rate_allowed,whipsaw_rate_suppressed,avg_risk_appetite_allowed,avg_deterioration_suppressed,research_only,future_return_lift_allowed_minus_suppressed
strict_all_clear,recovery_fragile,49,0.5306122448979592,0.46938775510204084,0.40795548433927364,0.4523771279351736,0.005738221536089678,0.0005631460467184768,-0.007812485126224609,-0.01020619367060647,0.6923076923076923,0.6086956521739131,0.7234510678444093,0.5119287346787453,True,0.005175075489371201
strict_all_clear,recovery_confirmed,44,0.7954545454545454,0.20454545454545456,0.4852777924076442,0.49370087840290566,0.014054522956105644,0.004763106579940071,-0.008687998670607383,-0.006428084356963931,0.5714285714285714,0.625,0.7587423305379264,0.48330484330484325,True,0.009291416376165573
strict_all_clear,stressed_panic,229,0.0,1.0,,0.1901659151801395,,0.002797462462607156,,-0.006710396328437743,,1.0,,0.6218788497430477,True,
deterioration_suppression_only,ALL,1110,0.7558558558558559,0.24414414414414415,0.4760105228769083,0.23118497969864435,0.005988570438687509,0.0038219071203776985,-0.009216502862261082,-0.0070680984281159195,0.2967818831942789,0.917910447761194,0.6828511780954842,0.6370695037916726,True,0.002166663318309811
deterioration_suppression_only,calm_trend,295,0.9966101694915255,0.003389830508474576,0.5611661939431888,0.6756615680244644,0.004135795152838042,0.015677258457651444,-0.010843511130453612,-0.0019055137225260088,0.1870748299319728,0.0,0.7405992486375416,0.6872916666666666,True,-0.011541463304813402
deterioration_suppression_only,neutral_mixed,493,0.922920892494929,0.07707910750507099,0.4255795653984139,0.4405050420258583,0.0068482948176473565,0.010030427413728516,-0.008295335573155822,-0.009169695929561156,0.3010989010989011,0.4864864864864865,0.6412676195033747,0.7229500361127035,True,-0.00318213259608116
deterioration_suppression_only,recovery_fragile,49,0.9591836734693877,0.04081632653061224,0.42258550154481966,0.5749989813617911,0.003457436701950458,-0.00017670298940747342,-0.008824921595123754,-0.01154787636748611,0.6808510638297872,0.0,0.6679571795018664,0.689823717948718,True,0.0036341396913579316
deterioration_suppression_only,recovery_confirmed,44,0.9772727272727273,0.022727272727272728,0.4858080661754346,0.5382837943500074,0.01232588735123763,,-0.008267549495976042,,0.5813953488372093,,0.7443070933035085,0.6965384615384614,True,
deterioration_suppression_only,stressed_panic,229,0.0,1.0,,0.1901659151801395,,0.002797462462607156,,-0.006710396328437743,,1.0,,0.6218788497430477,True,
recovery_asymmetric_permission,ALL,1110,0.6630630630630631,0.33693693693693694,0.48931571985461486,0.2724267068958881,0.005622038568783812,0.005151836984580491,-0.009549798577147618,-0.007010199800990898,0.2870748299319728,0.7634408602150538,0.7104882959299654,0.6188322961122585,True,0.0004702015842033211
