variant,group,definition,mod_type,intensity,sharpe,sharpe_delta,ann_return,max_drawdown,holdout_sharpe,holdout_delta,nm_dev_sharpe,nsl_dev_sharpe,to_increase_ann,g1_sharpe_001,g2_holdout_ok,g3_return_ok,g4_dd_ok,g5_cvar_ok,g6_turnover_ok,g7_nm_ok,g8_sp_ok,g9_rf_ok,gates_passed,verdict
G1_static_NM|nm_all|combined|int5pct,G1_static_NM,nm_all,combined,0.05,0.957683,0.003465,0.073598,-0.116065,2.039285,-0.00866,1.275509,0.769558,0.230522,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G1_static_NM|nm_all|defense_release|int2pct,G1_static_NM,nm_all,defense_release,0.025,0.9571,0.002882,0.072794,-0.116058,2.041224,-0.006721,1.281943,0.767135,0.121089,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G4_smoothed|E_4wk|offense_budget|int2pct,G4_smoothed,E_4wk,offense_budget,0.025,0.956949,0.002731,0.072157,-0.116057,2.050219,0.002274,1.283195,0.762318,0.081172,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
G1_static_NM|nm_all|offense_budget|int5pct,G1_static_NM,nm_all,offense_budget,0.05,0.956113,0.001895,0.07349,-0.116067,2.043665,-0.00428,1.270943,0.778208,0.274753,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G1_static_NM|nm_all|combined|int2pct,G1_static_NM,nm_all,combined,0.025,0.955789,0.001571,0.072695,-0.116052,2.043614,-0.004331,1.278292,0.766041,0.133045,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G3_quarterly_frozen|D_quarterly|defense_release|int7pct,G3_quarterly_frozen,D_quarterly,defense_release,0.075,0.955684,0.001466,0.072437,-0.116057,2.027813,-0.020132,1.27653,0.780429,0.056746,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G1_static_NM|nm_all|offense_budget|int2pct,G1_static_NM,nm_all,offense_budget,0.025,0.955169,0.000951,0.072639,-0.116048,2.045564,-0.002381,1.276731,0.767948,0.154519,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G3_quarterly_frozen|D_quarterly|defense_release|int5pct,G3_quarterly_frozen,D_quarterly,defense_release,0.05,0.955017,0.000799,0.072255,-0.116057,2.027954,-0.019991,1.278371,0.774082,0.060218,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G1_static_NM|nm_all|offense_budget|int7pct,G1_static_NM,nm_all,offense_budget,0.075,0.954832,0.000614,0.074181,-0.11609,2.037415,-0.01053,1.261896,0.785043,0.41224,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G1_static_NM|nm_all|defense_release|int1pct,G1_static_NM,nm_all,defense_release,0.01,0.954751,0.000533,0.07215,-0.116053,2.043964,-0.003981,1.281561,0.765399,0.084862,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G2_monthly_frozen|E_monthly|offense_budget|int10pct,G2_monthly_frozen,E_monthly,offense_budget,0.1,0.954651,0.000433,0.072426,-0.116057,2.00878,-0.039165,1.288642,0.726444,0.133543,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY
G2_monthly_frozen|B_monthly|offense_budget|int10pct,G2_monthly_frozen,B_monthly,offense_budget,0.1,0.954575,0.000357,0.072854,-0.116057,1.970133,-0.077812,1.296457,0.786727,0.112343,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY
G1_static_NM|nm_all|combined|int1pct,G1_static_NM,nm_all,combined,0.01,0.954298,8e-05,0.072113,-0.116052,2.04571,-0.002235,1.280146,0.764521,0.089666,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G1_static_NM|nm_all|defense_release|int0pct,G1_static_NM,nm_all,defense_release,0.005,0.953982,-0.000236,0.071934,-0.116055,2.045557,-0.002388,1.281524,0.764354,0.076777,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G1_static_NM|nm_all|offense_budget|int1pct,G1_static_NM,nm_all,offense_budget,0.01,0.953968,-0.00025,0.072085,-0.116051,2.046859,-0.001086,1.279218,0.763937,0.096525,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G3_quarterly_frozen|D_quarterly|defense_release|int2pct,G3_quarterly_frozen,D_quarterly,defense_release,0.025,0.953818,-0.0004,0.07198,-0.116057,2.031261,-0.016684,1.280243,0.770747,0.068541,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G1_static_NM|nm_all|combined|int0pct,G1_static_NM,nm_all,combined,0.005,0.953776,-0.000442,0.071915,-0.116054,2.046483,-0.001462,1.280885,0.763925,0.079269,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G1_static_NM|nm_all|offense_budget|int0pct,G1_static_NM,nm_all,offense_budget,0.005,0.953618,-0.0006,0.071902,-0.116054,2.047065,-0.00088,1.28042,0.763626,0.082217,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G2_monthly_frozen|E_monthly|offense_budget|int7pct,G2_monthly_frozen,E_monthly,offense_budget,0.075,0.953404,-0.000814,0.072195,-0.116057,2.012186,-0.035759,1.285761,0.725217,0.117822,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY
G2_monthly_frozen|B_monthly|offense_budget|int5pct,G2_monthly_frozen,B_monthly,offense_budget,0.05,0.953155,-0.001063,0.072268,-0.116057,2.002415,-0.04553,1.287588,0.761292,0.093629,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY
G2_monthly_frozen|B_monthly|offense_budget|int7pct,G2_monthly_frozen,B_monthly,offense_budget,0.075,0.953144,-0.001074,0.072517,-0.116057,1.98086,-0.067085,1.291176,0.766387,0.102271,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY
G2_monthly_frozen|E_monthly|offense_budget|int5pct,G2_monthly_frozen,E_monthly,offense_budget,0.05,0.953045,-0.001173,0.072019,-0.116057,2.02327,-0.024675,1.283745,0.732382,0.102445,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY
G5_slow_score|D_score_r8_cap5|offense_budget|int2pct,G5_slow_score,D_score_r8_cap5,offense_budget,0.025,0.953013,-0.001205,0.071758,-0.116057,2.04434,-0.003605,1.281241,0.762923,0.073001,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G5_slow_score|D_score_r12_cap5|offense_budget|int2pct,G5_slow_score,D_score_r12_cap5,offense_budget,0.025,0.953007,-0.001211,0.071779,-0.116057,2.043348,-0.004597,1.280737,0.762593,0.073017,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G3_quarterly_frozen|D_quarterly|combined|int2pct,G3_quarterly_frozen,D_quarterly,combined,0.025,0.952907,-0.001311,0.071945,-0.116057,2.026823,-0.021122,1.278459,0.76473,0.073049,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G5_slow_score|D_score_r8_cap10|offense_budget|int2pct,G5_slow_score,D_score_r8_cap10,offense_budget,0.025,0.952886,-0.001332,0.071783,-0.116057,2.041514,-0.006431,1.281212,0.76278,0.072986,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G5_slow_score|D_score_r8_cap5|offense_budget|int5pct,G5_slow_score,D_score_r8_cap5,offense_budget,0.05,0.952816,-0.001402,0.071802,-0.116057,2.041445,-0.0065,1.280893,0.762567,0.073049,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G2_monthly_frozen|B_monthly|offense_budget|int2pct,G2_monthly_frozen,B_monthly,offense_budget,0.025,0.952801,-0.001417,0.071973,-0.116057,2.022987,-0.024958,1.283522,0.758029,0.084149,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY
G5_slow_score|D_score_r12_cap5|offense_budget|int5pct,G5_slow_score,D_score_r12_cap5,offense_budget,0.05,0.952798,-0.00142,0.071844,-0.116057,2.039441,-0.008504,1.279875,0.761906,0.073147,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G5_slow_score|D_score_r12_cap10|offense_budget|int2pct,G5_slow_score,D_score_r12_cap10,offense_budget,0.025,0.95273,-0.001488,0.071794,-0.116057,2.041195,-0.00675,1.280608,0.761901,0.073096,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G2_monthly_frozen|D_monthly|offense_budget|int10pct,G2_monthly_frozen,D_monthly,offense_budget,0.1,0.952699,-0.001519,0.072505,-0.116057,1.964488,-0.083457,1.289013,0.738953,0.112451,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY
G2_monthly_frozen|E_monthly|offense_budget|int2pct,G2_monthly_frozen,E_monthly,offense_budget,0.025,0.952642,-0.001576,0.07184,-0.116057,2.033768,-0.014177,1.281394,0.742036,0.086103,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G5_slow_score|D_score_r8_cap5|offense_budget|int7pct,G5_slow_score,D_score_r8_cap5,offense_budget,0.075,0.952614,-0.001604,0.071845,-0.116057,2.038523,-0.009422,1.280542,0.762207,0.073181,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G5_slow_score|D_score_r12_cap5|offense_budget|int7pct,G5_slow_score,D_score_r12_cap5,offense_budget,0.075,0.952581,-0.001637,0.071909,-0.116057,2.035823,-0.012122,1.278943,0.761259,0.072785,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G5_slow_score|D_score_r8_cap10|offense_budget|int5pct,G5_slow_score,D_score_r8_cap10,offense_budget,0.05,0.952573,-0.001645,0.071854,-0.116057,2.035952,-0.011993,1.28083,0.762271,0.073016,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G3_quarterly_frozen|D_quarterly|offense_budget|int2pct,G3_quarterly_frozen,D_quarterly,offense_budget,0.025,0.952563,-0.001655,0.071937,-0.116057,2.025967,-0.021978,1.277688,0.764165,0.074122,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G3_quarterly_frozen|D_quarterly|offense_budget|int2pct,G3_quarterly_frozen,D_quarterly,offense_budget,0.025,0.952563,-0.001655,0.071937,-0.116057,2.025967,-0.021978,1.277688,0.764165,0.074122,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G3_quarterly_frozen|D_quarterly|combined|int5pct,G3_quarterly_frozen,D_quarterly,combined,0.05,0.952458,-0.00176,0.072151,-0.116057,2.009903,-0.038042,1.275272,0.767712,0.06814,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G3_quarterly_frozen|D_quarterly|combined|int7pct,G3_quarterly_frozen,D_quarterly,combined,0.075,0.952363,-0.001855,0.072347,-0.116057,2.000537,-0.047408,1.271618,0.775331,0.064575,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G5_slow_score|D_score_r8_cap10|offense_budget|int7pct,G5_slow_score,D_score_r8_cap10,offense_budget,0.075,0.952327,-0.001891,0.071929,-0.116057,2.031412,-0.016533,1.280393,0.761792,0.071535,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G5_slow_score|D_score_r12_cap10|offense_budget|int5pct,G5_slow_score,D_score_r12_cap10,offense_budget,0.05,0.952249,-0.001969,0.071875,-0.116057,2.035534,-0.012411,1.27955,0.760559,0.072832,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G2_monthly_frozen|D_monthly|offense_budget|int2pct,G2_monthly_frozen,D_monthly,offense_budget,0.025,0.952011,-0.002207,0.071859,-0.116057,2.01934,-0.028605,1.281524,0.745526,0.083994,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G3_quarterly_frozen|E_quarterly|offense_budget|int2pct,G3_quarterly_frozen,E_quarterly,offense_budget,0.025,0.951992,-0.002226,0.07182,-0.116057,2.025289,-0.022656,1.276471,0.764312,0.074272,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G5_slow_score|D_score_r12_cap10|offense_budget|int7pct,G5_slow_score,D_score_r12_cap10,offense_budget,0.075,0.951948,-0.00227,0.071968,-0.116057,2.031064,-0.016881,1.278705,0.760696,0.070603,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G2_monthly_frozen|D_monthly|offense_budget|int5pct,G2_monthly_frozen,D_monthly,offense_budget,0.05,0.951818,-0.0024,0.072059,-0.116057,1.997052,-0.050893,1.283678,0.736588,0.09468,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY
G3_quarterly_frozen|D_quarterly|offense_budget|int5pct,G3_quarterly_frozen,D_quarterly,offense_budget,0.05,0.951652,-0.002566,0.072107,-0.116057,2.00826,-0.039685,1.273315,0.770376,0.073236,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G3_quarterly_frozen|D_quarterly|offense_budget|int5pct,G3_quarterly_frozen,D_quarterly,offense_budget,0.05,0.951652,-0.002566,0.072107,-0.116057,2.00826,-0.039685,1.273315,0.770376,0.073236,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G2_monthly_frozen|D_monthly|offense_budget|int7pct,G2_monthly_frozen,D_monthly,offense_budget,0.075,0.951507,-0.002711,0.072236,-0.116057,1.975219,-0.072726,1.285453,0.729898,0.10305,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY
G3_quarterly_frozen|E_quarterly|offense_budget|int5pct,G3_quarterly_frozen,E_quarterly,offense_budget,0.05,0.951249,-0.002969,0.071956,-0.116057,2.007108,-0.040837,1.271941,0.770525,0.073741,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G3_quarterly_frozen|D_quarterly|offense_budget|int7pct,G3_quarterly_frozen,D_quarterly,offense_budget,0.075,0.950455,-0.003763,0.072248,-0.116057,1.989623,-0.058322,1.267974,0.771415,0.071104,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G3_quarterly_frozen|D_quarterly|offense_budget|int7pct,G3_quarterly_frozen,D_quarterly,offense_budget,0.075,0.950455,-0.003763,0.072248,-0.116057,1.989623,-0.058322,1.267974,0.771415,0.071104,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G3_quarterly_frozen|D_quarterly|offense_budget|int10pct,G3_quarterly_frozen,D_quarterly,offense_budget,0.1,0.950429,-0.003789,0.072458,-0.116057,1.983129,-0.064816,1.262966,0.777465,0.071473,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G3_quarterly_frozen|E_quarterly|offense_budget|int7pct,G3_quarterly_frozen,E_quarterly,offense_budget,0.075,0.950073,-0.004145,0.072056,-0.116057,1.988433,-0.059512,1.2666,0.771564,0.074354,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G3_quarterly_frozen|E_quarterly|offense_budget|int10pct,G3_quarterly_frozen,E_quarterly,offense_budget,0.1,0.949367,-0.004851,0.072185,-0.116057,1.973934,-0.074011,1.261593,0.777613,0.076203,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G3_quarterly_frozen|B_quarterly|offense_budget|int2pct,G3_quarterly_frozen,B_quarterly,offense_budget,0.025,0.948477,-0.005741,0.071728,-0.116057,2.025967,-0.021978,1.273946,0.764165,0.074994,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G3_quarterly_frozen|B_quarterly|offense_budget|int5pct,G3_quarterly_frozen,B_quarterly,offense_budget,0.05,0.943428,-0.01079,0.071688,-0.116057,2.00826,-0.039685,1.265808,0.770376,0.074986,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G3_quarterly_frozen|B_quarterly|offense_budget|int7pct,G3_quarterly_frozen,B_quarterly,offense_budget,0.075,0.938082,-0.016136,0.071623,-0.116057,1.989623,-0.058322,1.256764,0.771415,0.07329,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
G3_quarterly_frozen|B_quarterly|offense_budget|int10pct,G3_quarterly_frozen,B_quarterly,offense_budget,0.1,0.934649,-0.019569,0.071671,-0.116057,1.983129,-0.064816,1.248242,0.777465,0.073093,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY
