label,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,cvar_5pct,hit_rate,n_weeks,avg_weekly_turnover,ann_turnover,ann_cost_drag,sharpe_delta,return_delta,dd_delta,to_increase_ann,holdout_sharpe,holdout_delta,dev_sharpe,nm_dev_sharpe,nsl_dev_sharpe,sp_dev_sharpe,rf_dev_sharpe,group,definition,mod_type,intensity,g1_sharpe_001,g2_holdout_ok,g3_return_ok,g4_dd_ok,g5_cvar_ok,g6_turnover_ok,g7_nm_ok,g8_sp_ok,g9_rf_ok,gates_passed,verdict,variant
G1_static_NM|nm_all|combined|int1pct,0.072113,0.075567,0.954298,1.184457,0.62139,-0.116052,-0.019843,-0.025051,0.554955,1110,0.069112,3.593832,0.003594,8e-05,0.000323,-1.7e-05,0.089666,2.04571,-0.002235,0.8310170024939706,1.280146,0.764521,0.471705,0.977841,G1_static_NM,nm_all,combined,0.01,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G1_static_NM|nm_all|combined|int1pct
G1_static_NM|nm_all|combined|int2pct,0.072695,0.076057,0.955789,1.187915,0.6264,-0.116052,-0.01997,-0.025195,0.554955,1110,0.069946,3.637211,0.003637,0.001571,0.000905,-1.7e-05,0.133045,2.043614,-0.004331,0.8325879636180752,1.278292,0.766041,0.471179,0.976289,G1_static_NM,nm_all,combined,0.025,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G1_static_NM|nm_all|combined|int2pct
G1_static_NM|nm_all|combined|int5pct,0.073598,0.07685,0.957683,1.192762,0.634106,-0.116065,-0.020179,-0.025424,0.554955,1110,0.071821,3.734688,0.003735,0.003465,0.001808,-3e-05,0.230522,2.039285,-0.00866,0.8349004726367456,1.275509,0.769558,0.470023,0.972842,G1_static_NM,nm_all,combined,0.05,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G1_static_NM|nm_all|combined|int5pct
G1_static_NM|nm_all|combined|int7pct,0.074378,0.077615,0.958288,1.195304,0.640706,-0.116087,-0.020405,-0.025656,0.555856,1110,0.073794,3.83729,0.003837,0.00407,0.002588,-5.2e-05,0.333124,2.03612,-0.011825,0.8358399024388019,1.270503,0.779898,0.468633,0.968894,G1_static_NM,nm_all,combined,0.075,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G1_static_NM|nm_all|combined|int7pct
G2_monthly_frozen|D_monthly|offense_budget|int2pct,0.071859,0.075482,0.952011,1.180404,0.619172,-0.116057,-0.019811,-0.025029,0.555856,1110,0.069003,3.58816,0.003588,-0.002207,6.9e-05,-2.2e-05,0.083994,2.01934,-0.028605,0.8302735297249114,1.281524,0.745526,0.471287,0.987654,G2_monthly_frozen,D_monthly,offense_budget,0.025,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G2_monthly_frozen|D_monthly|offense_budget|int2pct
G2_monthly_frozen|D_monthly|offense_budget|int5pct,0.072059,0.075707,0.951818,1.180368,0.620894,-0.116057,-0.01986,-0.025094,0.556757,1110,0.069209,3.598846,0.003599,-0.0024,0.000269,-2.2e-05,0.09468,1.997052,-0.050893,0.8312913231977102,1.283678,0.736588,0.470673,0.997133,G2_monthly_frozen,D_monthly,offense_budget,0.05,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY,G2_monthly_frozen|D_monthly|offense_budget|int5pct
G2_monthly_frozen|D_monthly|offense_budget|int7pct,0.072236,0.075918,0.951507,1.180241,0.62242,-0.116057,-0.019907,-0.025178,0.556757,1110,0.06937,3.607216,0.003607,-0.002711,0.000446,-2.2e-05,0.10305,1.975219,-0.072726,0.8323915298509755,1.285453,0.729898,0.470471,1.006455,G2_monthly_frozen,D_monthly,offense_budget,0.075,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY,G2_monthly_frozen|D_monthly|offense_budget|int7pct
G2_monthly_frozen|D_monthly|offense_budget|int10pct,0.072505,0.076105,0.952699,1.181751,0.624736,-0.116057,-0.019945,-0.025251,0.556757,1110,0.06955,3.616617,0.003617,-0.001519,0.000715,-2.2e-05,0.112451,1.964488,-0.083457,0.8341978254266442,1.289013,0.738953,0.470552,1.011472,G2_monthly_frozen,D_monthly,offense_budget,0.1,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY,G2_monthly_frozen|D_monthly|offense_budget|int10pct
G3_quarterly_frozen|D_quarterly|offense_budget|int2pct,0.071937,0.07552,0.952563,1.18165,0.619843,-0.116057,-0.019811,-0.025034,0.554955,1110,0.068813,3.578288,0.003578,-0.001655,0.000147,-2.2e-05,0.074122,2.025967,-0.021978,0.8303436766885736,1.277688,0.764165,0.476867,0.99659,G3_quarterly_frozen,D_quarterly,offense_budget,0.025,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|D_quarterly|offense_budget|int2pct
G3_quarterly_frozen|D_quarterly|offense_budget|int5pct,0.072107,0.07577,0.951652,1.180299,0.621305,-0.116057,-0.019852,-0.025119,0.554955,1110,0.068796,3.577402,0.003577,-0.002566,0.000317,-2.2e-05,0.073236,2.00826,-0.039685,0.8301541078387262,1.273315,0.770376,0.481783,1.014766,G3_quarterly_frozen,D_quarterly,offense_budget,0.05,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|D_quarterly|offense_budget|int5pct
G3_quarterly_frozen|D_quarterly|offense_budget|int7pct,0.072248,0.076014,0.950455,1.17833,0.622517,-0.116057,-0.019891,-0.025228,0.554955,1110,0.068755,3.57527,0.003575,-0.003763,0.000458,-2.2e-05,0.071104,1.989623,-0.058322,0.8298862595091431,1.267974,0.771415,0.48706,1.032548,G3_quarterly_frozen,D_quarterly,offense_budget,0.075,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|D_quarterly|offense_budget|int7pct
G3_quarterly_frozen|D_quarterly|offense_budget|int10pct,0.072458,0.076237,0.950429,1.177784,0.624332,-0.116057,-0.01992,-0.025327,0.554054,1110,0.068762,3.575639,0.003576,-0.003789,0.000668,-2.2e-05,0.071473,1.983129,-0.064816,0.8298050172518451,1.262966,0.777465,0.492567,1.045847,G3_quarterly_frozen,D_quarterly,offense_budget,0.1,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|D_quarterly|offense_budget|int10pct
G2_monthly_frozen|E_monthly|offense_budget|int2pct,0.07184,0.075411,0.952642,1.180825,0.619005,-0.116057,-0.019799,-0.025023,0.555856,1110,0.069044,3.590269,0.00359,-0.001576,5e-05,-2.2e-05,0.086103,2.033768,-0.014177,0.8300491032854851,1.281394,0.742036,0.471599,0.987654,G2_monthly_frozen,E_monthly,offense_budget,0.025,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G2_monthly_frozen|E_monthly|offense_budget|int2pct
G2_monthly_frozen|E_monthly|offense_budget|int5pct,0.072019,0.075568,0.953045,1.181357,0.62055,-0.116057,-0.019834,-0.025083,0.555856,1110,0.069358,3.606611,0.003607,-0.001173,0.000229,-2.2e-05,0.102445,2.02327,-0.024675,0.8309865992877977,1.283745,0.732382,0.471298,0.997133,G2_monthly_frozen,E_monthly,offense_budget,0.05,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY,G2_monthly_frozen|E_monthly|offense_budget|int5pct
G2_monthly_frozen|E_monthly|offense_budget|int7pct,0.072195,0.075723,0.953404,1.181855,0.622061,-0.116057,-0.01987,-0.025139,0.555856,1110,0.069654,3.621988,0.003622,-0.000814,0.000405,-2.2e-05,0.117822,2.012186,-0.035759,0.8319902441421082,1.285761,0.725217,0.471236,1.006455,G2_monthly_frozen,E_monthly,offense_budget,0.075,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY,G2_monthly_frozen|E_monthly|offense_budget|int7pct
G2_monthly_frozen|E_monthly|offense_budget|int10pct,0.072426,0.075867,0.954651,1.183413,0.624058,-0.116057,-0.0199,-0.025184,0.555856,1110,0.069956,3.637709,0.003638,0.000433,0.000636,-2.2e-05,0.133543,2.00878,-0.039165,0.8332978901323568,1.288642,0.726444,0.471271,1.011472,G2_monthly_frozen,E_monthly,offense_budget,0.1,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY,G2_monthly_frozen|E_monthly|offense_budget|int10pct
G3_quarterly_frozen|E_quarterly|offense_budget|int2pct,0.07182,0.075442,0.951992,1.180242,0.61883,-0.116057,-0.0198,-0.025018,0.554955,1110,0.068816,3.578438,0.003578,-0.002226,3e-05,-2.2e-05,0.074272,2.025289,-0.022656,0.8301548268147506,1.276471,0.764312,0.476867,0.99659,G3_quarterly_frozen,E_quarterly,offense_budget,0.025,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|E_quarterly|offense_budget|int2pct
G3_quarterly_frozen|E_quarterly|offense_budget|int5pct,0.071956,0.075644,0.951249,1.17878,0.620007,-0.116057,-0.019834,-0.025086,0.554955,1110,0.068806,3.577907,0.003578,-0.002969,0.000166,-2.2e-05,0.073741,2.007108,-0.040837,0.8306202054239245,1.271941,0.770525,0.481783,1.014766,G3_quarterly_frozen,E_quarterly,offense_budget,0.05,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|E_quarterly|offense_budget|int5pct
G3_quarterly_frozen|E_quarterly|offense_budget|int7pct,0.072056,0.075843,0.950073,1.17652,0.620868,-0.116057,-0.019865,-0.025178,0.554955,1110,0.068818,3.57852,0.003579,-0.004145,0.000266,-2.2e-05,0.074354,1.988433,-0.059512,0.8307910772994408,1.2666,0.771564,0.48706,1.032548,G3_quarterly_frozen,E_quarterly,offense_budget,0.075,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|E_quarterly|offense_budget|int7pct
G3_quarterly_frozen|E_quarterly|offense_budget|int10pct,0.072185,0.076035,0.949367,1.174736,0.621976,-0.116057,-0.019894,-0.025271,0.554054,1110,0.068853,3.580369,0.00358,-0.004851,0.000395,-2.2e-05,0.076203,1.973934,-0.074011,0.8311173005776398,1.261593,0.777613,0.492567,1.045847,G3_quarterly_frozen,E_quarterly,offense_budget,0.1,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|E_quarterly|offense_budget|int10pct
G4_smoothed|D_4wk|offense_budget|int2pct,0.072331,0.07545,0.958658,1.189829,0.623232,-0.116057,-0.019778,-0.02499,0.555856,1110,0.069055,3.590852,0.003591,0.00444,0.000541,-2.2e-05,0.086686,2.048234,0.000289,0.8345768485250329,1.28582,0.779949,0.471287,0.985749,G4_smoothed,D_4wk,offense_budget,0.025,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY,G4_smoothed|D_4wk|offense_budget|int2pct
G4_smoothed|D_4wk|offense_budget|int5pct,0.072931,0.07566,0.963937,1.197641,0.628408,-0.116057,-0.019794,-0.025029,0.556757,1110,0.069321,3.604698,0.003605,0.009719,0.001141,-2.2e-05,0.100532,2.047608,-0.000337,0.8393682368269807,1.290504,0.802684,0.470673,0.99333,G4_smoothed,D_4wk,offense_budget,0.05,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY,G4_smoothed|D_4wk|offense_budget|int5pct
G4_smoothed|D_4wk|offense_budget|int7pct,0.073453,0.075858,0.968297,1.204504,0.632908,-0.116057,-0.019809,-0.025065,0.556757,1110,0.069541,3.616128,0.003616,0.014079,0.001663,-2.2e-05,0.111962,2.042493,-0.005452,0.8438388603612373,1.294332,0.822146,0.470471,1.000988,G4_smoothed,D_4wk,offense_budget,0.075,True,True,True,True,True,False,True,True,True,8,RESEARCH-ONLY,G4_smoothed|D_4wk|offense_budget|int7pct
G4_smoothed|D_4wk|offense_budget|int10pct,0.074027,0.076033,0.973616,1.212495,0.637849,-0.116057,-0.019814,-0.025089,0.556757,1110,0.069712,3.625007,0.003625,0.019398,0.002237,-2.2e-05,0.120841,2.044738,-0.003207,0.8488313518325437,1.299486,0.852558,0.470552,1.006013,G4_smoothed,D_4wk,offense_budget,0.1,True,True,True,True,True,False,True,True,True,8,RESEARCH-ONLY,G4_smoothed|D_4wk|offense_budget|int10pct
G4_smoothed|E_4wk|offense_budget|int2pct,0.072157,0.075403,0.956949,1.187722,0.621739,-0.116057,-0.019773,-0.024977,0.555856,1110,0.068949,3.585338,0.003585,0.002731,0.000367,-2.2e-05,0.081172,2.050219,0.002274,0.8329157094894336,1.283195,0.762318,0.471587,0.978054,G4_smoothed,E_4wk,offense_budget,0.025,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY,G4_smoothed|E_4wk|offense_budget|int2pct
G4_smoothed|E_4wk|offense_budget|int5pct,0.0726,0.075569,0.960712,1.193948,0.625556,-0.116057,-0.019786,-0.025003,0.555856,1110,0.06925,3.601017,0.003601,0.006494,0.00081,-2.2e-05,0.096851,2.05255,0.004605,0.8360845951192731,1.285336,0.768675,0.471275,0.978054,G4_smoothed,E_4wk,offense_budget,0.05,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY,G4_smoothed|E_4wk|offense_budget|int5pct
G4_smoothed|E_4wk|offense_budget|int7pct,0.073005,0.075729,0.964034,1.199772,0.629045,-0.116057,-0.019799,-0.025026,0.555856,1110,0.069569,3.617605,0.003618,0.009816,0.001215,-2.2e-05,0.113439,2.053052,0.005107,0.8390780549989346,1.287095,0.776273,0.471134,0.978054,G4_smoothed,E_4wk,offense_budget,0.075,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY,G4_smoothed|E_4wk|offense_budget|int7pct
G4_smoothed|E_4wk|offense_budget|int10pct,0.073502,0.075865,0.968853,1.207484,0.633328,-0.116057,-0.019801,-0.025036,0.555856,1110,0.069805,3.62984,0.00363,0.014635,0.001712,-2.2e-05,0.125674,2.064187,0.016242,0.8428120466982707,1.290514,0.79772,0.47118,0.978054,G4_smoothed,E_4wk,offense_budget,0.1,True,True,True,True,True,False,True,True,True,8,RESEARCH-ONLY,G4_smoothed|E_4wk|offense_budget|int10pct
G2_monthly_frozen|B_monthly|offense_budget|int2pct,0.071973,0.075539,0.952801,1.181875,0.620154,-0.116057,-0.019812,-0.025042,0.555856,1110,0.069006,3.588315,0.003588,-0.001417,0.000183,-2.2e-05,0.084149,2.022987,-0.024958,0.8307071738613423,1.283522,0.758029,0.471287,0.987654,G2_monthly_frozen,B_monthly,offense_budget,0.025,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY,G2_monthly_frozen|B_monthly|offense_budget|int2pct
G2_monthly_frozen|B_monthly|offense_budget|int5pct,0.072268,0.07582,0.953155,1.182969,0.622695,-0.116057,-0.019861,-0.02512,0.556757,1110,0.069188,3.597795,0.003598,-0.001063,0.000478,-2.2e-05,0.093629,2.002415,-0.04553,0.8321319810620247,1.287588,0.761292,0.470673,0.997133,G2_monthly_frozen,B_monthly,offense_budget,0.05,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY,G2_monthly_frozen|B_monthly|offense_budget|int5pct
G2_monthly_frozen|B_monthly|offense_budget|int7pct,0.072517,0.076082,0.953144,1.183574,0.624841,-0.116057,-0.019909,-0.025218,0.556757,1110,0.069355,3.606437,0.003606,-0.001074,0.000727,-2.2e-05,0.102271,1.98086,-0.067085,0.8336052118528916,1.291176,0.766387,0.470471,1.006455,G2_monthly_frozen,B_monthly,offense_budget,0.075,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY,G2_monthly_frozen|B_monthly|offense_budget|int7pct
G2_monthly_frozen|B_monthly|offense_budget|int10pct,0.072854,0.076321,0.954575,1.185732,0.627746,-0.116057,-0.019948,-0.025304,0.556757,1110,0.069548,3.616509,0.003617,0.000357,0.001064,-2.2e-05,0.112343,1.970133,-0.077812,0.8357559584923143,1.296457,0.786727,0.470552,1.011472,G2_monthly_frozen,B_monthly,offense_budget,0.1,False,False,True,True,True,False,True,True,True,6,RESEARCH-ONLY,G2_monthly_frozen|B_monthly|offense_budget|int10pct
G3_quarterly_frozen|B_quarterly|offense_budget|int2pct,0.071728,0.075624,0.948477,1.174151,0.618039,-0.116057,-0.019931,-0.025121,0.554955,1110,0.06883,3.57916,0.003579,-0.005741,-6.2e-05,-2.2e-05,0.074994,2.025967,-0.021978,0.825957912161361,1.273946,0.764165,0.477953,0.99659,G3_quarterly_frozen,B_quarterly,offense_budget,0.025,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|B_quarterly|offense_budget|int2pct
G3_quarterly_frozen|B_quarterly|offense_budget|int5pct,0.071688,0.075987,0.943428,1.165086,0.617697,-0.116057,-0.020129,-0.025293,0.554955,1110,0.06883,3.579152,0.003579,-0.01079,-0.000102,-2.2e-05,0.074986,2.00826,-0.039685,0.821321174878305,1.265808,0.770376,0.483878,1.014766,G3_quarterly_frozen,B_quarterly,offense_budget,0.05,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|B_quarterly|offense_budget|int5pct
G3_quarterly_frozen|B_quarterly|offense_budget|int7pct,0.071623,0.07635,0.938082,1.155104,0.617134,-0.116057,-0.020364,-0.025489,0.555856,1110,0.068797,3.577456,0.003577,-0.016136,-0.000167,-2.2e-05,0.07329,1.989623,-0.058322,0.8165879182235524,1.256764,0.771415,0.490081,1.032548,G3_quarterly_frozen,B_quarterly,offense_budget,0.075,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|B_quarterly|offense_budget|int7pct
G3_quarterly_frozen|B_quarterly|offense_budget|int10pct,0.071671,0.076682,0.934649,1.14826,0.617548,-0.116057,-0.020553,-0.02566,0.554955,1110,0.068793,3.577259,0.003577,-0.019569,-0.000119,-2.2e-05,0.073093,1.983129,-0.064816,0.8128490513189042,1.248242,0.777465,0.496477,1.045847,G3_quarterly_frozen,B_quarterly,offense_budget,0.1,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|B_quarterly|offense_budget|int10pct
G3_quarterly_frozen|D_quarterly|offense_budget|int2pct,0.071937,0.07552,0.952563,1.18165,0.619843,-0.116057,-0.019811,-0.025034,0.554955,1110,0.068813,3.578288,0.003578,-0.001655,0.000147,-2.2e-05,0.074122,2.025967,-0.021978,0.8303436766885736,1.277688,0.764165,0.476867,0.99659,G3_quarterly_frozen,D_quarterly,offense_budget,0.025,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|D_quarterly|offense_budget|int2pct
G3_quarterly_frozen|D_quarterly|offense_budget|int5pct,0.072107,0.07577,0.951652,1.180299,0.621305,-0.116057,-0.019852,-0.025119,0.554955,1110,0.068796,3.577402,0.003577,-0.002566,0.000317,-2.2e-05,0.073236,2.00826,-0.039685,0.8301541078387262,1.273315,0.770376,0.481783,1.014766,G3_quarterly_frozen,D_quarterly,offense_budget,0.05,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|D_quarterly|offense_budget|int5pct
G3_quarterly_frozen|D_quarterly|offense_budget|int7pct,0.072248,0.076014,0.950455,1.17833,0.622517,-0.116057,-0.019891,-0.025228,0.554955,1110,0.068755,3.57527,0.003575,-0.003763,0.000458,-2.2e-05,0.071104,1.989623,-0.058322,0.8298862595091431,1.267974,0.771415,0.48706,1.032548,G3_quarterly_frozen,D_quarterly,offense_budget,0.075,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|D_quarterly|offense_budget|int7pct
G3_quarterly_frozen|D_quarterly|defense_release|int2pct,0.07198,0.075466,0.953818,1.182714,0.620215,-0.116057,-0.019788,-0.025039,0.554955,1110,0.068706,3.572707,0.003573,-0.0004,0.00019,-2.2e-05,0.068541,2.031261,-0.016684,0.8306874546741951,1.280243,0.770747,0.47606,0.98912,G3_quarterly_frozen,D_quarterly,defense_release,0.025,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G3_quarterly_frozen|D_quarterly|defense_release|int2pct
G3_quarterly_frozen|D_quarterly|defense_release|int5pct,0.072255,0.075658,0.955017,1.184527,0.62258,-0.116057,-0.019804,-0.025098,0.554955,1110,0.068546,3.564384,0.003564,0.000799,0.000465,-2.2e-05,0.060218,2.027954,-0.019991,0.8312641274940001,1.278371,0.774082,0.480198,0.996394,G3_quarterly_frozen,D_quarterly,defense_release,0.05,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G3_quarterly_frozen|D_quarterly|defense_release|int5pct
G3_quarterly_frozen|D_quarterly|defense_release|int7pct,0.072437,0.075796,0.955684,1.185522,0.624148,-0.116057,-0.019814,-0.025146,0.554955,1110,0.068479,3.560912,0.003561,0.001466,0.000647,-2.2e-05,0.056746,2.027813,-0.020132,0.8315262850817493,1.27653,0.780429,0.484262,0.999259,G3_quarterly_frozen,D_quarterly,defense_release,0.075,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|D_quarterly|defense_release|int7pct
G3_quarterly_frozen|D_quarterly|combined|int2pct,0.071945,0.0755,0.952907,1.181874,0.619909,-0.116057,-0.019803,-0.025037,0.554955,1110,0.068793,3.577215,0.003577,-0.001311,0.000155,-2.2e-05,0.073049,2.026823,-0.021122,0.8304499894740001,1.278459,0.76473,0.476569,0.994572,G3_quarterly_frozen,D_quarterly,combined,0.025,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|D_quarterly|combined|int2pct
G3_quarterly_frozen|D_quarterly|combined|int5pct,0.072151,0.075753,0.952458,1.181057,0.621686,-0.116057,-0.019839,-0.025119,0.555856,1110,0.068698,3.572306,0.003572,-0.00176,0.000361,-2.2e-05,0.06814,2.009903,-0.038042,0.8306392055725494,1.275272,0.767712,0.481256,1.008224,G3_quarterly_frozen,D_quarterly,combined,0.05,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|D_quarterly|combined|int5pct
