n_active,pct_active,n_episodes,avg_ep_len,med_ep_len,min_ep_len,max_ep_len,n_transitions,signal,filter,activate_after,deactivate_after,min_hold,dev_n_active,hold_n_active,turnover_reduction_pct
31,0.0279,5,6.2,6.0,6,7,5,B_nm_slow_credit,act4_deact2_hold6,4,2,6,12,19,0.839
33,0.0297,5,6.6,7.0,5,8,5,B_nm_slow_credit,act4_deact3_hold2,4,3,2,12,21,0.839
33,0.0297,5,6.6,7.0,5,8,5,B_nm_slow_credit,act4_deact3_hold4,4,3,4,12,21,0.839
34,0.0306,5,6.8,7.0,6,8,5,B_nm_slow_credit,act4_deact3_hold6,4,3,6,13,21,0.839
104,0.0937,32,3.25,2.0,1,14,32,C_nm_slow_crnotworse,raw,1,1,0,55,49,
93,0.0838,17,5.47,3.0,2,15,17,C_nm_slow_crnotworse,act2_deact2_hold2,2,2,2,45,48,0.469
107,0.0964,16,6.69,5.0,3,15,15,C_nm_slow_crnotworse,act2_deact2_hold4,2,2,4,54,53,0.531
123,0.1108,14,8.79,8.0,3,22,13,C_nm_slow_crnotworse,act2_deact2_hold6,2,2,6,63,60,0.594
117,0.1054,13,9.0,8.0,3,26,12,C_nm_slow_crnotworse,act2_deact3_hold2,2,3,2,60,57,0.625
120,0.1081,13,9.23,8.0,4,26,12,C_nm_slow_crnotworse,act2_deact3_hold4,2,3,4,61,59,0.625
138,0.1243,12,11.5,9.0,6,27,11,C_nm_slow_crnotworse,act2_deact3_hold6,2,3,6,73,65,0.656
71,0.064,12,5.92,5.0,2,14,12,C_nm_slow_crnotworse,act3_deact2_hold2,3,2,2,33,38,0.625
85,0.0766,11,7.73,8.0,4,14,11,C_nm_slow_crnotworse,act3_deact2_hold4,3,2,4,46,39,0.656
92,0.0829,10,9.2,8.0,6,21,10,C_nm_slow_crnotworse,act3_deact2_hold6,3,2,6,50,42,0.688
94,0.0847,10,9.4,8.0,3,25,9,C_nm_slow_crnotworse,act3_deact3_hold2,3,3,2,46,48,0.719
102,0.0919,10,10.2,8.5,4,25,9,C_nm_slow_crnotworse,act3_deact3_hold4,3,3,4,54,48,0.719
109,0.0982,9,12.11,9.0,6,26,8,C_nm_slow_crnotworse,act3_deact3_hold6,3,3,6,58,51,0.75
55,0.0495,8,6.88,6.5,2,13,8,C_nm_slow_crnotworse,act4_deact2_hold2,4,2,2,21,34,0.75
65,0.0586,7,9.29,7.0,6,20,7,C_nm_slow_crnotworse,act4_deact2_hold4,4,2,4,26,39,0.781
65,0.0586,7,9.29,7.0,6,20,7,C_nm_slow_crnotworse,act4_deact2_hold6,4,2,6,26,39,0.781
78,0.0703,7,11.14,8.0,3,24,6,C_nm_slow_crnotworse,act4_deact3_hold2,4,3,2,33,45,0.812
82,0.0739,6,13.67,9.5,7,25,5,C_nm_slow_crnotworse,act4_deact3_hold4,4,3,4,33,49,0.844
82,0.0739,6,13.67,9.5,7,25,5,C_nm_slow_crnotworse,act4_deact3_hold6,4,3,6,33,49,0.844
120,0.1081,29,4.14,2.0,1,19,29,D_nm_slow_fc,raw,1,1,0,62,58,
113,0.1018,16,7.06,6.0,2,19,16,D_nm_slow_fc,act2_deact2_hold2,2,2,2,55,58,0.448
125,0.1126,15,8.33,7.0,4,19,15,D_nm_slow_fc,act2_deact2_hold4,2,2,4,63,62,0.483
141,0.127,14,10.07,9.0,6,19,14,D_nm_slow_fc,act2_deact2_hold6,2,2,6,72,69,0.517
133,0.1198,12,11.08,9.5,3,33,11,D_nm_slow_fc,act2_deact3_hold2,2,3,2,67,66,0.621
140,0.1261,12,11.67,9.5,4,33,11,D_nm_slow_fc,act2_deact3_hold4,2,3,4,72,68,0.621
151,0.136,11,13.73,10.0,6,36,10,D_nm_slow_fc,act2_deact3_hold6,2,3,6,76,75,0.655
88,0.0793,10,8.8,8.0,3,18,10,D_nm_slow_fc,act3_deact2_hold2,3,2,2,38,50,0.655
89,0.0802,10,8.9,8.0,4,18,10,D_nm_slow_fc,act3_deact2_hold4,3,2,4,39,50,0.655
98,0.0883,9,10.89,8.0,6,25,9,D_nm_slow_fc,act3_deact2_hold6,3,2,6,45,53,0.69
110,0.0991,8,13.75,9.0,4,32,7,D_nm_slow_fc,act3_deact3_hold2,3,3,2,52,58,0.759
110,0.0991,8,13.75,9.0,4,32,7,D_nm_slow_fc,act3_deact3_hold4,3,3,4,52,58,0.759
112,0.1009,8,14.0,9.0,6,32,7,D_nm_slow_fc,act3_deact3_hold6,3,3,6,54,58,0.759
78,0.0703,10,7.8,7.0,2,17,10,D_nm_slow_fc,act4_deact2_hold2,4,2,2,32,46,0.655
88,0.0793,9,9.78,7.0,4,24,9,D_nm_slow_fc,act4_deact2_hold4,4,2,4,38,50,0.69
90,0.0811,9,10.0,7.0,6,24,9,D_nm_slow_fc,act4_deact2_hold6,4,2,6,40,50,0.69
102,0.0919,8,12.75,8.0,3,31,7,D_nm_slow_fc,act4_deact3_hold2,4,3,2,46,56,0.759
103,0.0928,8,12.88,8.0,4,31,7,D_nm_slow_fc,act4_deact3_hold4,4,3,4,47,56,0.759
105,0.0946,8,13.12,8.0,6,31,7,D_nm_slow_fc,act4_deact3_hold6,4,3,6,49,56,0.759
72,0.0649,26,2.77,2.0,1,9,26,E_nm_slow_credit_fc,raw,1,1,0,38,34,
64,0.0577,14,4.57,3.0,2,12,14,E_nm_slow_credit_fc,act2_deact2_hold2,2,2,2,33,31,0.462
78,0.0703,13,6.0,6.0,3,12,12,E_nm_slow_credit_fc,act2_deact2_hold4,2,2,4,44,34,0.538
88,0.0793,13,6.77,6.0,3,12,12,E_nm_slow_credit_fc,act2_deact2_hold6,2,2,6,52,36,0.538
78,0.0703,14,5.57,4.0,3,13,13,E_nm_slow_credit_fc,act2_deact3_hold2,2,3,2,42,36,0.5
86,0.0775,13,6.62,7.0,3,13,12,E_nm_slow_credit_fc,act2_deact3_hold4,2,3,4,49,37,0.538
96,0.0865,13,7.38,7.0,3,13,12,E_nm_slow_credit_fc,act2_deact3_hold6,2,3,6,57,39,0.538
41,0.0369,8,5.12,5.5,2,8,8,E_nm_slow_credit_fc,act3_deact2_hold2,3,2,2,20,21,0.692
45,0.0405,8,5.62,5.5,4,8,8,E_nm_slow_credit_fc,act3_deact2_hold4,3,2,4,24,21,0.692
54,0.0486,8,6.75,6.5,6,8,8,E_nm_slow_credit_fc,act3_deact2_hold6,3,2,6,33,21,0.692
49,0.0441,8,6.12,6.5,3,9,8,E_nm_slow_credit_fc,act3_deact3_hold2,3,3,2,25,24,0.692
51,0.0459,8,6.38,6.5,4,9,8,E_nm_slow_credit_fc,act3_deact3_hold4,3,3,4,27,24,0.692
59,0.0532,8,7.38,7.5,6,9,8,E_nm_slow_credit_fc,act3_deact3_hold6,3,3,6,35,24,0.692
28,0.0252,5,5.6,6.0,4,7,5,E_nm_slow_credit_fc,act4_deact2_hold2,4,2,2,10,18,0.808
28,0.0252,5,5.6,6.0,4,7,5,E_nm_slow_credit_fc,act4_deact2_hold4,4,2,4,10,18,0.808
31,0.0279,5,6.2,6.0,6,7,5,E_nm_slow_credit_fc,act4_deact2_hold6,4,2,6,12,19,0.808
33,0.0297,5,6.6,7.0,5,8,5,E_nm_slow_credit_fc,act4_deact3_hold2,4,3,2,12,21,0.808
33,0.0297,5,6.6,7.0,5,8,5,E_nm_slow_credit_fc,act4_deact3_hold4,4,3,4,12,21,0.808
34,0.0306,5,6.8,7.0,6,8,5,E_nm_slow_credit_fc,act4_deact3_hold6,4,3,6,13,21,0.808
