variant,label,market_state,n_weeks,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,avg_turnover,cost_drag,avg_BIL_cash,avg_SPY,avg_offensive_exposure,avg_defensive_exposure,delta_ann_return_vs_production,delta_sharpe_vs_production,delta_max_drawdown_vs_production,delta_cvar_5_vs_production,delta_avg_turnover_vs_production
lower_penalty_75,75% lower turnover penalty,recovery_fragile,49,0.06186433672423264,0.05198684623060367,1.189999802061743,-0.03241856049539893,1.908299930005,-0.01486896354766933,0.08869408198091584,0.004612092263007624,0.2333537855750714,0.06177937259293044,0.5522817438180816,0.21436447060684705,-0.007870745134241242,-0.1268402424987476,-0.0015340387618663076,-8.682448506552864e-05,-0.006470326316168187
lower_penalty_75,75% lower turnover penalty,stressed_panic,229,0.022148634023422265,0.07028208638241246,0.3151391081777104,-0.13285097551376202,0.16671788775181323,-0.022510242519310535,0.0477819504527776,0.002484661423544435,0.5968834468138409,0.02929848626466797,0.2705321396018204,0.13258441358433873,-0.011544565809989082,-0.18158782757208825,-0.012041120765218682,-0.0018579988851433402,-0.001864330126887144
turnover_cap_2x,2x higher turnover cap if caps exist,calm_trend,295,0.02539040451492136,0.09345552679249684,0.2716843549691472,-0.1811594329694156,0.14015502311275127,-0.03233907208600041,0.06152559573337921,0.0031993309781357185,0.07080946938473588,0.09579581757662223,0.7784955837040406,0.15069494691122345,-0.01019311417055091,-0.11259025611613688,-0.016476091214005284,-0.0011389509366587468,-0.0006911401443660814
turnover_cap_2x,2x higher turnover cap if caps exist,neutral_mixed,493,0.10100672940342403,0.07577357678406862,1.3330072789260314,-0.09243039908769601,1.0927869012833211,-0.024848186227851857,0.05056927355629438,0.00262426834617492,0.28957418101664567,0.07699560189485122,0.5429149954993719,0.16751082348398236,-0.00942579790107878,-0.12918558262580104,-0.002760582918487575,-0.0009062368925565091,-0.0011258698381323984
turnover_cap_2x,2x higher turnover cap if caps exist,recovery_confirmed,44,0.018779220658598605,0.06748024952352118,0.27829210459651377,-0.05272633415181904,0.3561639731016788,-0.020636397232793154,0.055299434328746185,0.0028755705850948016,0.14243797974528058,0.058423442977938105,0.569904531654855,0.2876574885998644,-0.007368036551094637,-0.106384486700072,-0.0030668614964940444,-0.00030591083712988923,-0.002387070838444978
turnover_cap_2x,2x higher turnover cap if caps exist,recovery_fragile,49,0.06092645972901889,0.05154362652143713,1.1820367296755772,-0.032439521454168285,1.8781553178920338,-0.01479289658234067,0.08618725153815565,0.004481737079984094,0.24016519458198132,0.061407305306603197,0.5474175399898986,0.21241726542811995,-0.00880862212945499,-0.13480331488491348,-0.0015549997206356636,-1.0757519736868254e-05,-0.008977156758928378
turnover_cap_2x,2x higher turnover cap if caps exist,stressed_panic,229,0.021326216540346277,0.07115333250515399,0.299721963673332,-0.13557954610958933,0.15729670995585304,-0.02295889087620531,0.04736178181266269,0.00246281265425846,0.5918433281791847,0.029777474227463064,0.27427662546765774,0.13388004635315756,-0.01236698329306507,-0.19700497207646667,-0.014769691361046,-0.0023066472420381137,-0.002284498767002048
turnover_cap_4x,4x higher turnover cap if caps exist,calm_trend,295,0.026005632562393854,0.09341215489517667,0.2783966668103987,-0.1797080876503625,0.1447104184481115,-0.032218546160759,0.06235904879399696,0.0032426705372878423,0.06835553731500608,0.09621040159127042,0.7805569182454626,0.15108754443953132,-0.009577886123078416,-0.1058779442748854,-0.015024745894952174,-0.0010184250114173322,0.00014231291625167036
turnover_cap_4x,4x higher turnover cap if caps exist,neutral_mixed,493,0.1014172647154048,0.07574614083170393,1.3389099906850448,-0.09180856044276642,1.1046602215120065,-0.02469606045555304,0.05312120169067776,0.0027566994402724128,0.28415602253749966,0.07700953549367459,0.545609207867702,0.17023476959479825,-0.009015262589098016,-0.12328287086678769,-0.00213874427355798,-0.000754111120257691,0.001426058296250983
turnover_cap_4x,4x higher turnover cap if caps exist,recovery_confirmed,44,0.019847172805921076,0.06813929569836363,0.29127352436661164,-0.05319222477681518,0.37312169004391477,-0.020744977948146257,0.057694674152974156,0.003000123055954656,0.1259272911386297,0.05949959513242158,0.5821954101227601,0.2918772987386103,-0.006300084403772166,-0.09340306692997413,-0.003532752121490179,-0.00041449155248299285,8.1689857829928e-06
turnover_cap_4x,4x higher turnover cap if caps exist,recovery_fragile,49,0.06494735048784506,0.053179531229064624,1.2212847497299653,-0.032297659535791445,2.0108995952437994,-0.015099605318777196,0.09661576476337876,0.005024019767695696,0.2155113615208929,0.06283381489548402,0.5652117191438901,0.219276919335217,-0.004787731370628823,-0.09555529483052538,-0.0014131378022588237,-0.0003174662561733939,0.001451356466294726
turnover_cap_4x,4x higher turnover cap if caps exist,stressed_panic,229,0.025004847389755724,0.06795204325578852,0.367977858967849,-0.12542326938446358,0.19936370270422182,-0.02139288560056697,0.04960158763434089,0.0025792825569857262,0.6094909726052249,0.0280004506588398,0.2609757544533904,0.1295332729413847,-0.008688352443655623,-0.12874907678194963,-0.004613414635920243,-0.0007406419663997764,-4.469294532385287e-05
no_penalty_no_cap,No turnover penalty / no turnover cap,calm_trend,295,0.026005632562393854,0.09341215489517667,0.2783966668103987,-0.1797080876503625,0.1447104184481115,-0.032218546160759,0.06235904879399696,0.0032426705372878423,0.06835553731500608,0.09621040159127042,0.7805569182454626,0.15108754443953132,-0.009577886123078416,-0.1058779442748854,-0.015024745894952174,-0.0010184250114173322,0.00014231291625167036
no_penalty_no_cap,No turnover penalty / no turnover cap,neutral_mixed,493,0.1014172647154048,0.07574614083170393,1.3389099906850448,-0.09180856044276642,1.1046602215120065,-0.02469606045555304,0.05312120169067776,0.0027566994402724128,0.28415602253749966,0.07700953549367459,0.545609207867702,0.17023476959479825,-0.009015262589098016,-0.12328287086678769,-0.00213874427355798,-0.000754111120257691,0.001426058296250983
no_penalty_no_cap,No turnover penalty / no turnover cap,recovery_confirmed,44,0.019847172805921076,0.06813929569836363,0.29127352436661164,-0.05319222477681518,0.37312169004391477,-0.020744977948146257,0.057694674152974156,0.003000123055954656,0.1259272911386297,0.05949959513242158,0.5821954101227601,0.2918772987386103,-0.006300084403772166,-0.09340306692997413,-0.003532752121490179,-0.00041449155248299285,8.1689857829928e-06
no_penalty_no_cap,No turnover penalty / no turnover cap,recovery_fragile,49,0.06494735048784506,0.053179531229064624,1.2212847497299653,-0.032297659535791445,2.0108995952437994,-0.015099605318777196,0.09661576476337876,0.005024019767695696,0.2155113615208929,0.06283381489548402,0.5652117191438901,0.219276919335217,-0.004787731370628823,-0.09555529483052538,-0.0014131378022588237,-0.0003174662561733939,0.001451356466294726
no_penalty_no_cap,No turnover penalty / no turnover cap,stressed_panic,229,0.025004847389755724,0.06795204325578852,0.367977858967849,-0.12542326938446358,0.19936370270422182,-0.02139288560056697,0.04960158763434089,0.0025792825569857262,0.6094909726052249,0.0280004506588398,0.2609757544533904,0.1295332729413847,-0.008688352443655623,-0.12874907678194963,-0.004613414635920243,-0.0007406419663997764,-4.469294532385287e-05
no_penalty_2x_costs,No turnover penalty with 2x transaction costs,calm_trend,295,0.022686658261129145,0.09339537782248267,0.24290986117374946,-0.1845782394818155,0.12291079557817657,-0.03231590043370593,0.06235904879399696,0.0064853410745756845,0.06835553731500608,0.09621040159127042,0.7805569182454626,0.15108754443953132,-0.012896860424343126,-0.14136474991153464,-0.01989489772640518,-0.001115779284364262,0.00014231291625167036
no_penalty_2x_costs,No turnover penalty with 2x transaction costs,neutral_mixed,493,0.098391845696012,0.07572984976927107,1.2992478658783304,-0.093184614362126,1.0558808057481477,-0.024744610911760185,0.05312120169067776,0.0055133988805448255,0.28415602253749966,0.07700953549367459,0.545609207867702,0.17023476959479825,-0.01204068160849081,-0.16294499567350207,-0.0035147981929175565,-0.0008026615764648373,0.001426058296250983
no_penalty_2x_costs,No turnover penalty with 2x transaction costs,recovery_confirmed,44,0.016792066242267367,0.0681520774360486,0.2463911134334008,-0.05464566269339988,0.3072900101236309,-0.020800249390482282,0.057694674152974156,0.006000246111909312,0.1259272911386297,0.05949959513242158,0.5821954101227601,0.2918772987386103,-0.009355190967425875,-0.13828547786318496,-0.004986190038074878,-0.0004697629948190174,8.1689857829928e-06
no_penalty_2x_costs,No turnover penalty with 2x transaction costs,recovery_fragile,49,0.05962578366778826,0.05300775876227187,1.1248501174176553,-0.033854362512834024,1.7612437287863392,-0.015259165443765673,0.09661576476337876,0.010048039535391393,0.2155113615208929,0.06283381489548402,0.5652117191438901,0.219276919335217,-0.010109298190685623,-0.19198992714283536,-0.0029698407793014026,-0.00047702638116187135,0.001451356466294726
no_penalty_2x_costs,No turnover penalty with 2x transaction costs,stressed_panic,229,0.022362792406968257,0.06799338357553675,0.3288965959772318,-0.12643585832833337,0.17687064969255573,-0.021444066327646352,0.04960158763434089,0.0051585651139714524,0.6094909726052249,0.0280004506588398,0.2609757544533904,0.1295332729413847,-0.01133040742644309,-0.16783033977256684,-0.00562600357979004,-0.0007918226934791571,-4.469294532385287e-05
no_penalty_3x_costs,No turnover penalty with 3x transaction costs,calm_trend,295,0.01937775522672247,0.09338344476974214,0.20750739356962766,-0.1894203607296575,0.10230027623259878,-0.03241325470665286,0.06235904879399696,0.009728011611863529,0.06835553731500608,0.09621040159127042,0.7805569182454626,0.15108754443953132,-0.0162057634587498,-0.17676721751565644,-0.024737018974247182,-0.001213133557311192,0.00014231291625167036
no_penalty_3x_costs,No turnover penalty with 3x transaction costs,neutral_mixed,493,0.09537407712605273,0.07571962239587149,1.259568842372527,-0.0945589770137758,1.0086200182998826,-0.024793161367967324,0.05312120169067776,0.008270098320817239,0.28415602253749966,0.07700953549367459,0.545609207867702,0.17023476959479825,-0.015058450178450089,-0.2026240191793054,-0.004889160844567364,-0.0008512120326719767,0.001426058296250983
no_penalty_3x_costs,No turnover penalty with 3x transaction costs,recovery_confirmed,44,0.013745612802547047,0.06816964806018953,0.2016383125582595,-0.05609709680113606,0.245032516589498,-0.020855520832818306,0.057694674152974156,0.00900036916786397,0.1259272911386297,0.05949959513242158,0.5821954101227601,0.2918772987386103,-0.012401644407146195,-0.18303827873832626,-0.006437624145811061,-0.0005250344371550419,8.1689857829928e-06
no_penalty_3x_costs,No turnover penalty with 3x transaction costs,recovery_fragile,49,0.0543291471952867,0.052856854748438264,1.027854333252622,-0.035408992711762344,1.5343319036929102,-0.015418725568754147,0.09661576476337876,0.015072059303087087,0.2155113615208929,0.06283381489548402,0.5652117191438901,0.219276919335217,-0.015405934663187182,-0.28898571130786865,-0.004524470978229722,-0.0006365865061503453,0.001451356466294726
no_penalty_3x_costs,No turnover penalty with 3x transaction costs,stressed_panic,229,0.019726682852206023,0.06804529636582836,0.2899051647324819,-0.12797305468236186,0.15414715934670029,-0.02152213037059399,0.04960158763434089,0.0077378476709571795,0.6094909726052249,0.0280004506588398,0.2609757544533904,0.1295332729413847,-0.013966516981205324,-0.20682177101731675,-0.0071631999338185315,-0.0008698867364267948,-4.469294532385287e-05
