scope,market_state,component_1,component_2,spearman_corr,n_observations
full_period,ALL,deployment_quality_composite,state_persistence_score,0.2257280162224448,1109
full_period,ALL,deployment_quality_composite,credit_confirmation,0.4956164435120792,987
full_period,ALL,deployment_quality_composite,leadership_quality_score,0.7156869273560861,1096
full_period,ALL,deployment_quality_composite,deployment_quality_composite,1.0,1110
calm_trend,calm_trend,breadth_quality_score,breadth_quality_score,1.0,295
calm_trend,calm_trend,breadth_quality_score,path_clarity_r2,0.3885495074381067,295
calm_trend,calm_trend,breadth_quality_score,state_persistence_score,-0.11429337292293056,295
calm_trend,calm_trend,breadth_quality_score,credit_confirmation,0.20627437356501252,273
calm_trend,calm_trend,breadth_quality_score,leadership_quality_score,0.41281410462167234,295
calm_trend,calm_trend,breadth_quality_score,deployment_quality_composite,0.5404656194529455,295
calm_trend,calm_trend,path_clarity_r2,breadth_quality_score,0.3885495074381067,295
calm_trend,calm_trend,path_clarity_r2,path_clarity_r2,1.0,295
calm_trend,calm_trend,path_clarity_r2,state_persistence_score,0.08955098734333576,295
calm_trend,calm_trend,path_clarity_r2,credit_confirmation,0.04533487289791168,273
calm_trend,calm_trend,path_clarity_r2,leadership_quality_score,0.3985380754962145,295
calm_trend,calm_trend,path_clarity_r2,deployment_quality_composite,0.6622193267227082,295
calm_trend,calm_trend,state_persistence_score,breadth_quality_score,-0.11429337292293056,295
calm_trend,calm_trend,state_persistence_score,path_clarity_r2,0.08955098734333576,295
calm_trend,calm_trend,state_persistence_score,state_persistence_score,1.0,295
calm_trend,calm_trend,state_persistence_score,credit_confirmation,-0.06190258013444201,273
calm_trend,calm_trend,state_persistence_score,leadership_quality_score,-0.027762992900658794,295
calm_trend,calm_trend,state_persistence_score,deployment_quality_composite,0.34079447889175585,295
calm_trend,calm_trend,credit_confirmation,breadth_quality_score,0.20627437356501252,273
calm_trend,calm_trend,credit_confirmation,path_clarity_r2,0.04533487289791168,273
calm_trend,calm_trend,credit_confirmation,state_persistence_score,-0.06190258013444201,273
calm_trend,calm_trend,credit_confirmation,credit_confirmation,1.0,273
calm_trend,calm_trend,credit_confirmation,leadership_quality_score,0.16098194926841627,273
calm_trend,calm_trend,credit_confirmation,deployment_quality_composite,0.5156492963747153,273
calm_trend,calm_trend,leadership_quality_score,breadth_quality_score,0.41281410462167234,295
calm_trend,calm_trend,leadership_quality_score,path_clarity_r2,0.3985380754962145,295
calm_trend,calm_trend,leadership_quality_score,state_persistence_score,-0.027762992900658794,295
calm_trend,calm_trend,leadership_quality_score,credit_confirmation,0.16098194926841627,273
calm_trend,calm_trend,leadership_quality_score,leadership_quality_score,1.0,295
calm_trend,calm_trend,leadership_quality_score,deployment_quality_composite,0.6012356151623701,295
calm_trend,calm_trend,deployment_quality_composite,breadth_quality_score,0.5404656194529455,295
calm_trend,calm_trend,deployment_quality_composite,path_clarity_r2,0.6622193267227082,295
calm_trend,calm_trend,deployment_quality_composite,state_persistence_score,0.34079447889175585,295
calm_trend,calm_trend,deployment_quality_composite,credit_confirmation,0.5156492963747153,273
calm_trend,calm_trend,deployment_quality_composite,leadership_quality_score,0.6012356151623701,295
calm_trend,calm_trend,deployment_quality_composite,deployment_quality_composite,1.0,295
neutral_mixed,neutral_mixed,breadth_quality_score,breadth_quality_score,1.0,492
neutral_mixed,neutral_mixed,breadth_quality_score,path_clarity_r2,0.3178675249228281,480
neutral_mixed,neutral_mixed,breadth_quality_score,state_persistence_score,-0.021921951506331593,492
neutral_mixed,neutral_mixed,breadth_quality_score,credit_confirmation,0.3115060069144801,401
neutral_mixed,neutral_mixed,breadth_quality_score,leadership_quality_score,0.5665249638983455,479
neutral_mixed,neutral_mixed,breadth_quality_score,deployment_quality_composite,0.670230644502378,492
neutral_mixed,neutral_mixed,path_clarity_r2,breadth_quality_score,0.3178675249228281,480
neutral_mixed,neutral_mixed,path_clarity_r2,path_clarity_r2,1.0,480
neutral_mixed,neutral_mixed,path_clarity_r2,state_persistence_score,-0.09766380734015784,480
neutral_mixed,neutral_mixed,path_clarity_r2,credit_confirmation,0.14613272388709675,401
neutral_mixed,neutral_mixed,path_clarity_r2,leadership_quality_score,0.45224484092016765,479
neutral_mixed,neutral_mixed,path_clarity_r2,deployment_quality_composite,0.5874358898273897,480
neutral_mixed,neutral_mixed,state_persistence_score,breadth_quality_score,-0.021921951506331593,492
neutral_mixed,neutral_mixed,state_persistence_score,path_clarity_r2,-0.09766380734015784,480
neutral_mixed,neutral_mixed,state_persistence_score,state_persistence_score,1.0,492
neutral_mixed,neutral_mixed,state_persistence_score,credit_confirmation,-0.007379240729610415,401
neutral_mixed,neutral_mixed,state_persistence_score,leadership_quality_score,-0.05983723949633127,479
neutral_mixed,neutral_mixed,state_persistence_score,deployment_quality_composite,0.2719390181435117,492
neutral_mixed,neutral_mixed,credit_confirmation,breadth_quality_score,0.3115060069144801,401
neutral_mixed,neutral_mixed,credit_confirmation,path_clarity_r2,0.14613272388709675,401
neutral_mixed,neutral_mixed,credit_confirmation,state_persistence_score,-0.007379240729610415,401
neutral_mixed,neutral_mixed,credit_confirmation,credit_confirmation,1.0,401
neutral_mixed,neutral_mixed,credit_confirmation,leadership_quality_score,0.19893283416993507,401
neutral_mixed,neutral_mixed,credit_confirmation,deployment_quality_composite,0.5108869687622257,401
neutral_mixed,neutral_mixed,leadership_quality_score,breadth_quality_score,0.5665249638983455,479
neutral_mixed,neutral_mixed,leadership_quality_score,path_clarity_r2,0.45224484092016765,479
neutral_mixed,neutral_mixed,leadership_quality_score,state_persistence_score,-0.05983723949633127,479
neutral_mixed,neutral_mixed,leadership_quality_score,credit_confirmation,0.19893283416993507,401
neutral_mixed,neutral_mixed,leadership_quality_score,leadership_quality_score,1.0,479
neutral_mixed,neutral_mixed,leadership_quality_score,deployment_quality_composite,0.6697498544253153,479
neutral_mixed,neutral_mixed,deployment_quality_composite,breadth_quality_score,0.670230644502378,492
neutral_mixed,neutral_mixed,deployment_quality_composite,path_clarity_r2,0.5874358898273897,480
neutral_mixed,neutral_mixed,deployment_quality_composite,state_persistence_score,0.2719390181435117,492
neutral_mixed,neutral_mixed,deployment_quality_composite,credit_confirmation,0.5108869687622257,401
neutral_mixed,neutral_mixed,deployment_quality_composite,leadership_quality_score,0.6697498544253153,479
neutral_mixed,neutral_mixed,deployment_quality_composite,deployment_quality_composite,1.0,493
recovery_confirmed,recovery_confirmed,breadth_quality_score,breadth_quality_score,1.0,44
recovery_confirmed,recovery_confirmed,breadth_quality_score,path_clarity_r2,0.3888048897910662,44
recovery_confirmed,recovery_confirmed,breadth_quality_score,state_persistence_score,0.12064277123531877,44
recovery_confirmed,recovery_confirmed,breadth_quality_score,credit_confirmation,-0.14356449922559622,41
recovery_confirmed,recovery_confirmed,breadth_quality_score,leadership_quality_score,0.5458544630645497,44
recovery_confirmed,recovery_confirmed,breadth_quality_score,deployment_quality_composite,0.5522483379817659,44
recovery_confirmed,recovery_confirmed,path_clarity_r2,breadth_quality_score,0.3888048897910662,44
recovery_confirmed,recovery_confirmed,path_clarity_r2,path_clarity_r2,1.0,44
recovery_confirmed,recovery_confirmed,path_clarity_r2,state_persistence_score,-0.05759523210853319,44
recovery_confirmed,recovery_confirmed,path_clarity_r2,credit_confirmation,-0.1437307781422123,41
recovery_confirmed,recovery_confirmed,path_clarity_r2,leadership_quality_score,0.6002391009508078,44
recovery_confirmed,recovery_confirmed,path_clarity_r2,deployment_quality_composite,0.7883016208597604,44
recovery_confirmed,recovery_confirmed,state_persistence_score,breadth_quality_score,0.12064277123531877,44
recovery_confirmed,recovery_confirmed,state_persistence_score,path_clarity_r2,-0.05759523210853319,44
recovery_confirmed,recovery_confirmed,state_persistence_score,state_persistence_score,1.0,44
recovery_confirmed,recovery_confirmed,state_persistence_score,credit_confirmation,-0.08777668542573236,41
recovery_confirmed,recovery_confirmed,state_persistence_score,leadership_quality_score,-0.002467633147105706,44
recovery_confirmed,recovery_confirmed,state_persistence_score,deployment_quality_composite,0.12224294161811126,44
recovery_confirmed,recovery_confirmed,credit_confirmation,breadth_quality_score,-0.14356449922559622,41
recovery_confirmed,recovery_confirmed,credit_confirmation,path_clarity_r2,-0.1437307781422123,41
recovery_confirmed,recovery_confirmed,credit_confirmation,state_persistence_score,-0.08777668542573236,41
recovery_confirmed,recovery_confirmed,credit_confirmation,credit_confirmation,1.0,41
recovery_confirmed,recovery_confirmed,credit_confirmation,leadership_quality_score,-0.17820070414022599,41
recovery_confirmed,recovery_confirmed,credit_confirmation,deployment_quality_composite,0.18759666497782254,41
recovery_confirmed,recovery_confirmed,leadership_quality_score,breadth_quality_score,0.5458544630645497,44
recovery_confirmed,recovery_confirmed,leadership_quality_score,path_clarity_r2,0.6002391009508078,44
recovery_confirmed,recovery_confirmed,leadership_quality_score,state_persistence_score,-0.002467633147105706,44
recovery_confirmed,recovery_confirmed,leadership_quality_score,credit_confirmation,-0.17820070414022599,41
recovery_confirmed,recovery_confirmed,leadership_quality_score,leadership_quality_score,1.0,44
recovery_confirmed,recovery_confirmed,leadership_quality_score,deployment_quality_composite,0.7352036749177836,44
recovery_confirmed,recovery_confirmed,deployment_quality_composite,breadth_quality_score,0.5522483379817659,44
recovery_confirmed,recovery_confirmed,deployment_quality_composite,path_clarity_r2,0.7883016208597604,44
recovery_confirmed,recovery_confirmed,deployment_quality_composite,state_persistence_score,0.12224294161811126,44
recovery_confirmed,recovery_confirmed,deployment_quality_composite,credit_confirmation,0.18759666497782254,41
recovery_confirmed,recovery_confirmed,deployment_quality_composite,leadership_quality_score,0.7352036749177836,44
recovery_confirmed,recovery_confirmed,deployment_quality_composite,deployment_quality_composite,1.0,44
recovery_fragile,recovery_fragile,breadth_quality_score,breadth_quality_score,1.0,49
recovery_fragile,recovery_fragile,breadth_quality_score,path_clarity_r2,0.4329924942203975,49
recovery_fragile,recovery_fragile,breadth_quality_score,state_persistence_score,0.15115835339113307,49
recovery_fragile,recovery_fragile,breadth_quality_score,credit_confirmation,0.17011361616571605,46
recovery_fragile,recovery_fragile,breadth_quality_score,leadership_quality_score,0.5892868666849082,49
recovery_fragile,recovery_fragile,breadth_quality_score,deployment_quality_composite,0.7884813565176378,49
recovery_fragile,recovery_fragile,path_clarity_r2,breadth_quality_score,0.4329924942203975,49
recovery_fragile,recovery_fragile,path_clarity_r2,path_clarity_r2,1.0,49
recovery_fragile,recovery_fragile,path_clarity_r2,state_persistence_score,0.023208970092084,49
recovery_fragile,recovery_fragile,path_clarity_r2,credit_confirmation,-0.15293184040604313,46
recovery_fragile,recovery_fragile,path_clarity_r2,leadership_quality_score,0.4381240388057531,49
recovery_fragile,recovery_fragile,path_clarity_r2,deployment_quality_composite,0.7151020408163266,49
recovery_fragile,recovery_fragile,state_persistence_score,breadth_quality_score,0.15115835339113307,49
recovery_fragile,recovery_fragile,state_persistence_score,path_clarity_r2,0.023208970092084,49
recovery_fragile,recovery_fragile,state_persistence_score,state_persistence_score,1.0,49
recovery_fragile,recovery_fragile,state_persistence_score,credit_confirmation,-0.09614012802027971,46
recovery_fragile,recovery_fragile,state_persistence_score,leadership_quality_score,0.16375706800919315,49
recovery_fragile,recovery_fragile,state_persistence_score,deployment_quality_composite,0.28549700910975057,49
recovery_fragile,recovery_fragile,credit_confirmation,breadth_quality_score,0.17011361616571605,46
recovery_fragile,recovery_fragile,credit_confirmation,path_clarity_r2,-0.15293184040604313,46
recovery_fragile,recovery_fragile,credit_confirmation,state_persistence_score,-0.09614012802027971,46
recovery_fragile,recovery_fragile,credit_confirmation,credit_confirmation,1.0,46
recovery_fragile,recovery_fragile,credit_confirmation,leadership_quality_score,-0.05767531894427828,46
recovery_fragile,recovery_fragile,credit_confirmation,deployment_quality_composite,0.21811244548944633,46
recovery_fragile,recovery_fragile,leadership_quality_score,breadth_quality_score,0.5892868666849082,49
recovery_fragile,recovery_fragile,leadership_quality_score,path_clarity_r2,0.4381240388057531,49
recovery_fragile,recovery_fragile,leadership_quality_score,state_persistence_score,0.16375706800919315,49
recovery_fragile,recovery_fragile,leadership_quality_score,credit_confirmation,-0.05767531894427828,46
recovery_fragile,recovery_fragile,leadership_quality_score,leadership_quality_score,1.0,49
recovery_fragile,recovery_fragile,leadership_quality_score,deployment_quality_composite,0.7366733159279637,49
recovery_fragile,recovery_fragile,deployment_quality_composite,breadth_quality_score,0.7884813565176378,49
recovery_fragile,recovery_fragile,deployment_quality_composite,path_clarity_r2,0.7151020408163266,49
recovery_fragile,recovery_fragile,deployment_quality_composite,state_persistence_score,0.28549700910975057,49
recovery_fragile,recovery_fragile,deployment_quality_composite,credit_confirmation,0.21811244548944633,46
recovery_fragile,recovery_fragile,deployment_quality_composite,leadership_quality_score,0.7366733159279637,49
recovery_fragile,recovery_fragile,deployment_quality_composite,deployment_quality_composite,1.0,49
stressed_panic,stressed_panic,breadth_quality_score,breadth_quality_score,1.0,229
stressed_panic,stressed_panic,breadth_quality_score,path_clarity_r2,-0.2204075604490847,229
stressed_panic,stressed_panic,breadth_quality_score,state_persistence_score,-0.015947976349802703,229
stressed_panic,stressed_panic,breadth_quality_score,credit_confirmation,0.1856594244234898,226
stressed_panic,stressed_panic,breadth_quality_score,leadership_quality_score,0.44883739964857144,229
stressed_panic,stressed_panic,breadth_quality_score,deployment_quality_composite,0.36890249453469465,229
stressed_panic,stressed_panic,path_clarity_r2,breadth_quality_score,-0.2204075604490847,229
stressed_panic,stressed_panic,path_clarity_r2,path_clarity_r2,1.0,229
stressed_panic,stressed_panic,path_clarity_r2,state_persistence_score,0.007850735480013377,229
stressed_panic,stressed_panic,path_clarity_r2,credit_confirmation,-0.06895993568590213,226
stressed_panic,stressed_panic,path_clarity_r2,leadership_quality_score,-0.265895966231263,229
stressed_panic,stressed_panic,path_clarity_r2,deployment_quality_composite,0.2390594865748004,229
stressed_panic,stressed_panic,state_persistence_score,breadth_quality_score,-0.015947976349802703,229
stressed_panic,stressed_panic,state_persistence_score,path_clarity_r2,0.007850735480013377,229
stressed_panic,stressed_panic,state_persistence_score,state_persistence_score,1.0,229
stressed_panic,stressed_panic,state_persistence_score,credit_confirmation,0.23814875970811095,226
stressed_panic,stressed_panic,state_persistence_score,leadership_quality_score,0.058514029301672876,229
stressed_panic,stressed_panic,state_persistence_score,deployment_quality_composite,0.5967853490136007,229
stressed_panic,stressed_panic,credit_confirmation,breadth_quality_score,0.1856594244234898,226
stressed_panic,stressed_panic,credit_confirmation,path_clarity_r2,-0.06895993568590213,226
stressed_panic,stressed_panic,credit_confirmation,state_persistence_score,0.23814875970811095,226
stressed_panic,stressed_panic,credit_confirmation,credit_confirmation,1.0,226
stressed_panic,stressed_panic,credit_confirmation,leadership_quality_score,0.18446077974259936,226
stressed_panic,stressed_panic,credit_confirmation,deployment_quality_composite,0.5407826953078628,226
stressed_panic,stressed_panic,leadership_quality_score,breadth_quality_score,0.44883739964857144,229
stressed_panic,stressed_panic,leadership_quality_score,path_clarity_r2,-0.265895966231263,229
stressed_panic,stressed_panic,leadership_quality_score,state_persistence_score,0.058514029301672876,229
stressed_panic,stressed_panic,leadership_quality_score,credit_confirmation,0.18446077974259936,226
stressed_panic,stressed_panic,leadership_quality_score,leadership_quality_score,1.0,229
stressed_panic,stressed_panic,leadership_quality_score,deployment_quality_composite,0.46971464086784387,229
stressed_panic,stressed_panic,deployment_quality_composite,breadth_quality_score,0.36890249453469465,229
stressed_panic,stressed_panic,deployment_quality_composite,path_clarity_r2,0.2390594865748004,229
stressed_panic,stressed_panic,deployment_quality_composite,state_persistence_score,0.5967853490136007,229
stressed_panic,stressed_panic,deployment_quality_composite,credit_confirmation,0.5407826953078628,226
stressed_panic,stressed_panic,deployment_quality_composite,leadership_quality_score,0.46971464086784387,229
stressed_panic,stressed_panic,deployment_quality_composite,deployment_quality_composite,1.0,229
