name,state,n_weeks,current_risky_budget,current_cash_budget,post_overlay_risky_budget,post_overlay_cash_budget,final_etf_risky_budget,final_etf_cash_budget,overlay_absorption,lookthrough_absorption,total_absorption,bucket_offense,bucket_defense,bucket_composite,bucket_cash
improved_phasett_recovery_two_stage_bucket,recovery_fragile,49,1.0,0.0,0.8725090056403846,0.12749099435961536,0.784155332474972,0.21584466752502793,0.12749099435961542,0.08835367316541254,0.21584466752502796,0.4400706321343868,0.19559568240010883,0.2368426911058889,0.12749099435961536
improved_phasett_recovery_two_stage_bucket,stressed_panic,229,0.9912663755458515,0.008733624454148475,0.49017233159177553,0.5098276684082245,0.3922326071366332,0.6077673928633668,0.501094043954076,0.09793972445514232,0.5990337684092183,0.2392090114778897,0.07826913508380574,0.17269418503007983,0.5098276684082245
improved_phasett_recovery_neutral_two_stage_bucket,calm_trend,295,0.9728813559322034,0.027118644067796616,0.9663690119283539,0.03363098807164612,0.9331023149400495,0.06689768505995052,0.0065123440038494795,0.03326669698830442,0.0397790409921539,0.49265326099450163,0.17001800216606977,0.3036977487677824,0.03363098807164612
improved_phasett_recovery_neutral_two_stage_bucket,neutral_healthy_proxy,293,0.8907849829351536,0.10921501706484642,0.851450138737832,0.148549861262168,0.8013271933834999,0.19867280661650014,0.03933484419732158,0.05012294535433215,0.08945778955165373,0.4565905746091972,0.17130848933319115,0.22355107479544334,0.148549861262168
improved_phasett_recovery_neutral_two_stage_bucket,neutral_mixed,200,0.825,0.175,0.6681329778335148,0.3318670221664853,0.6168603616812416,0.38313963831875847,0.15686702216648518,0.05127261615227319,0.20813963831875837,0.348108951540709,0.12033448615392596,0.19968954013887966,0.3318670221664853
improved_phasett_recovery_neutral_two_stage_bucket,recovery_confirmed,44,1.0,0.0,0.9382190947710688,0.061780905228931225,0.898042380272569,0.10195761972743106,0.061780905228931204,0.0401767144984998,0.101957619727431,0.5176284386745974,0.19906405863136714,0.22152659746510428,0.061780905228931225
improved_phasett_recovery_neutral_two_stage_bucket,recovery_fragile,49,1.0,0.0,0.8734815299850307,0.12651847001496927,0.7865885902410071,0.21341140975899284,0.1265184700149693,0.08689293974402357,0.21341140975899286,0.4387309636702334,0.20052182711390146,0.2342287392008957,0.12651847001496927
improved_phasett_recovery_neutral_two_stage_bucket,stressed_panic,229,0.9912663755458515,0.008733624454148473,0.49069494552945414,0.5093050544705459,0.39485086045269835,0.6051491395473017,0.5005714300163974,0.09584408507675579,0.5964155150931532,0.24125299722778404,0.08011864384083063,0.16932330446083918,0.5093050544705459
improved_phasett_ss1_overlay_coordinated,calm_trend,295,0.9728813559322034,0.027118644067796616,0.9648514795326034,0.03514852046739657,0.9306334009692929,0.06936659903070704,0.008029876399599956,0.034218078563310494,0.04224795496291045,0.48911372296027567,0.16705874329929107,0.3086790132730366,0.03514852046739657
improved_phasett_ss1_overlay_coordinated,neutral_healthy_proxy,293,0.8907849829351536,0.10921501706484642,0.8430004640901585,0.15699953590984148,0.7853006472618542,0.21469935273814583,0.04778451884499513,0.05769981682830427,0.1054843356732994,0.43433097066733317,0.15730046042003995,0.2513690330027852,0.15699953590984148
improved_phasett_ss1_overlay_coordinated,neutral_mixed,200,0.825,0.175,0.6671336512518775,0.3328663487481225,0.6137105224619479,0.3862894775380521,0.15786634874812244,0.05342312878992961,0.21128947753805205,0.3463388784377291,0.11336394207411299,0.2074308307400352,0.3328663487481225
improved_phasett_ss1_overlay_coordinated,recovery_confirmed,44,1.0,0.0,0.9345156638864996,0.06548433611350031,0.888796215012656,0.1112037849873439,0.06548433611350035,0.045719448873843604,0.11120378498734396,0.4942381848738297,0.1952981616959477,0.24497931731672215,0.06548433611350031
improved_phasett_ss1_overlay_coordinated,recovery_fragile,49,1.0,0.0,0.8732571494909012,0.12674285050909886,0.7811474795310444,0.21885252046895567,0.12674285050909884,0.09210966995985681,0.21885252046895565,0.45595208232639833,0.16668147679072728,0.2506235903737754,0.12674285050909886
improved_phasett_ss1_overlay_coordinated,stressed_panic,229,0.9912663755458515,0.008733624454148475,0.49017044089855044,0.5098295591014496,0.39188757892291615,0.6081124210770839,0.5010959346473011,0.0982828619756343,0.5993787966229354,0.24035749809745813,0.07620082928515771,0.17361211351593425,0.5098295591014496
