Date,source_return,desired_exposure,exposure,outer_turnover,financing_cost,outer_cost,net_return,wealth,drawdown
2023-06-09,0.0368814633677738,1.5,1.5,0.18138601026154433,0.0005769230769230769,0.0004534650256538608,0.05429180694908376,1.2733370168512232,0.0
2023-06-16,-0.0272432703726697,1.5,1.5,0.0,0.0005769230769230769,0.0,-0.04144182863592763,1.2205676024030916,-0.0414418286359276
2023-06-23,0.0298677996430154,1.333118229732011,1.333118229732011,0.166881770267989,0.00038436718815232037,0.00041720442566997254,0.03901573657226478,1.2681889464470915,-0.00404297553279509
2023-06-30,-0.0115357144270472,1.4023174938234566,1.4023174938234566,0.06919926409144561,0.00046421249287321916,0.00017299816022861404,-0.016813944797901756,1.246865687508221,-0.020788941963269192
2023-07-07,0.0316602837427493,1.4365001395625152,1.4365001395625152,0.034182645739058604,0.0005036540071875176,8.545661434764652e-05,0.04489089139351303,1.3028385996684504,0.0
2023-07-14,-0.0114331627129928,1.3710923128119314,1.3710923128119314,0.06540782675058376,0.0004281834378599209,0.00016351956687645942,-0.016267624511648815,1.2816445105297616,-0.01626762451164887
2023-07-21,0.0222748421969958,1.3437631466745492,1.3437631466745492,0.027329166137382233,0.0003966497846244798,6.832291534345559e-05,0.029467139342346172,1.3194109079088951,0.0
2023-07-28,-0.0303438308888208,1.3248193801857702,1.3248193801857702,0.018943766488779046,0.0003747915925220425,4.735941622194761e-05,-0.040622246239333394,1.2658134731169575,-0.040622246239333526
2023-08-04,-0.0213873420169554,1.1674814465879182,1.1674814465879182,0.15733793359785198,0.00019324782298605944,0.00039334483399462993,-0.025555917653606344,1.2334644482331552,-0.06514002511314276
2023-08-11,-0.023653511217461,1.1112333979351836,1.1112333979351836,0.056248048652734584,0.00012834622838675032,0.00014062012163183646,-0.026553537993295757,1.2007116031436165,-0.08996386497471254
2023-08-18,0.015480455470042,1.0962636378717534,1.0962636378717534,0.014969760063430204,0.00011107342831356162,3.742440015857551e-05,0.01682216260102779,1.2209101689686392,-0.07465508913850616
2023-08-25,0.0375189323771569,1.1355583717165583,1.1355583717165583,0.03929473384480486,0.000156413505826798,9.823683461201216e-05,0.04235028741830914,1.2726160655363974,-0.03546646620245231
2023-09-01,-0.0208282267913091,1.060748086647141,1.060748086647141,0.07481028506941723,7.009394613131658e-05,0.00018702571267354307,-0.02235062137593871,1.2441723056986567,-0.05702439002075743
2023-09-08,-0.0152037811704661,1.0289599346283338,1.0289599346283338,0.03178815201880725,3.341530918653899e-05,7.947038004701812e-05,-0.01575696736849985,1.2245679232769717,-0.07188282593649153
2023-09-15,-0.027958183029607,1.102139815314894,1.102139815314894,0.07317988068656023,0.00011785363305564695,0.00018294970171640058,-0.03111463001556311,1.1864659454152822,-0.1007608484185677
2023-09-22,-0.0028307473479677,1.0994884372807423,1.0994884372807423,0.002651378034151719,0.0001147943507085488,6.628445085379298e-06,-0.00323379677374754,1.1826291556688369,-0.10366880508577925
2023-09-29,0.0135379974085718,1.1879437501334782,1.1879437501334782,0.08845531285273589,0.00021685817323093638,0.00022113828213183974,0.015644382955473313,1.2011306590744282,-0.08964625661760417
2023-10-06,0.0117402343297883,1.167894779698887,1.167894779698887,0.020048970434591196,0.00019372474580640808,5.012242608647799e-05,0.01346751121430853,1.2173068996953629,-0.07738605736961401
2023-10-13,-0.0215916898422178,1.2647360149060807,1.2647360149060807,0.09684123520719368,0.00030546463258393925,0.0002421030880179842,-0.027855355486736566,1.1833983832678914,-0.10308579671860296
2023-10-20,-0.0181190284667971,1.2387578372331816,1.2387578372331816,0.025978177672899117,0.0002754898121921325,6.49454441822478e-05,-0.022785523772670405,1.1564340312734012,-0.123522456619517
2023-10-27,0.0619057257234529,1.3161225364227678,1.3161225364227678,0.07736469918958622,0.00036475677279550125,0.00019341174797396553,0.08091735223747354,1.2500096111213526,-0.05260021451356289
2023-11-03,0.0358498933335902,1.0095577345960984,1.0661225364227678,0.25,7.629523433396282e-05,0.000625,0.03751908397695889,1.2969088266930202,-0.017054642402144493
