candidate,family,lookbacks,lookback_count,vote_threshold,allocation_mode,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,delay1_recent_cagr,delay2_recent_cagr,worst_current_delay_recent_cagr,peak_total_stock_weight,annual_one_way_turnover,active_share,selection_gates
long4__votes1__confidence_blend,long4,11|13|16|20,4,1,confidence_blend,1.0736296127683045,2.7147773168596303,-0.10030462543046192,0.38533864865705136,0.9509763554756614,1.0065973931381569,1.037390519258893,1.0065973931381569,0.07378789503220702,3.505851063829787,0.3829787234042553,False
wide3__votes1__binary,wide3,8|13|20,3,1,binary,1.0154659386149052,2.5797147571953514,-0.0984768763606122,0.34323808170210257,0.8515727609395405,1.0330852432249618,1.0039071863676443,1.0039071863676443,0.07378789503220702,4.536170212765957,0.42021276595744683,False
short3__votes1__binary,short3,8|11|13,3,1,binary,1.015465938614906,2.5797147571953514,-0.09847687636061198,0.3649445903871269,0.8515727609395407,1.03308524322496,1.003907186367643,1.003907186367643,0.07378789503220702,5.08936170212766,0.4095744680851064,False
balanced5__votes1__binary,balanced5,8|11|13|16|20,5,1,binary,1.0154659386149039,2.579714757195347,-0.09847687636061231,0.33580488675290465,0.8515727609395394,1.0330852432249604,1.003907186367643,1.003907186367643,0.07378789503220702,5.365957446808511,0.4521276595744681,False
balanced5__votes2__confidence_blend,balanced5,8|11|13|16|20,5,2,confidence_blend,1.0742559410336208,2.715281828138657,-0.1006602674447099,0.41281588398109914,0.9472047627569273,1.0026244030695994,1.04296710554117,1.0026244030695994,0.07378789503220702,2.384255319148936,0.30319148936170215,False
long4__votes2__binary,long4,11|13|16|20,4,2,binary,1.0157224126704936,2.5455065095389906,-0.14069213695343263,0.4025487315157159,0.8931321086987627,1.0913590251045466,0.9999580750580452,0.9999580750580452,0.07378789503220702,1.9361702127659575,0.2712765957446808,False
balanced5__votes1__confidence_blend,balanced5,8|11|13|16|20,5,1,confidence_blend,1.00718062114799,2.584492224298107,-0.10492731079904272,0.3615506676486948,0.8595154125707418,1.0141163991425137,0.9916289961740141,0.9916289961740141,0.07378789503220702,4.176595744680851,0.4521276595744681,False
balanced5__votes2__proportional,balanced5,8|11|13|16|20,5,2,proportional,1.0188476514061255,2.607575396754432,-0.12059998565652241,0.4040379467874404,0.8920828120931876,0.9890708359929343,0.994985724328094,0.9890708359929343,0.07378789503220702,2.3897872340425534,0.30319148936170215,False
long4__votes1__proportional,long4,11|13|16|20,4,1,proportional,1.0175420898896945,2.6036803920579987,-0.11979029849273182,0.3948877292875468,0.8998578346914259,0.996815850876287,0.9838792290754341,0.9838792290754341,0.07378789503220702,2.641489361702128,0.3829787234042553,False
wide3__votes1__confidence_blend,wide3,8|13|20,3,1,confidence_blend,0.9845880752802216,2.5413864549671397,-0.10987896756296223,0.3570002201719853,0.8339974152202683,1.0154681496132318,0.9822182328496583,0.9822182328496583,0.07378789503220702,3.826241134751773,0.42021276595744683,False
long4__votes2__confidence_blend,long4,11|13|16|20,4,2,confidence_blend,1.0028128808768035,2.542299917075129,-0.13161068826795497,0.4021332160596407,0.8835304176470435,1.0530656599960033,0.9806077795802766,0.9806077795802766,0.07378789503220702,1.9845744680851065,0.2712765957446808,False
balanced5__votes1__proportional,balanced5,8|11|13|16|20,5,1,proportional,0.9969160727216577,2.5660210473918577,-0.1219927390767005,0.3869137347681979,0.8633588648225377,0.9932168180212808,0.978249458973774,0.978249458973774,0.07378789503220702,2.987234042553192,0.4521276595744681,False
long4__votes2__proportional,long4,11|13|16|20,4,2,proportional,0.9893569166120246,2.5316958389606863,-0.13232165750815328,0.4015032082234695,0.8728518651134216,1.0150832313356344,0.9613486470166972,0.9613486470166972,0.07378789503220702,2.0329787234042556,0.2712765957446808,False
wide3__votes1__proportional,wide3,8|13|20,3,1,proportional,0.9520687946585893,2.478541855445912,-0.13176511894954712,0.37014154705210545,0.8124401448102119,0.9966684231639009,0.9596290048846421,0.9520687946585893,0.07378789503220702,3.1163120567375886,0.42021276595744683,False
balanced5__votes3__proportional,balanced5,8|11|13|16|20,5,3,proportional,0.9324361587924481,2.404081238821784,-0.15754569198750268,0.39146233009501086,0.7929155487159378,0.994580053730892,0.9389683286827735,0.9324361587924481,0.07378789503220702,2.500425531914894,0.25,False
balanced5__votes4__binary,balanced5,8|11|13|16|20,5,4,binary,0.9999580750580443,2.5364279760351383,-0.1344188867847903,0.40320011164320113,0.8783586163726946,0.9574349902798984,0.923104194130433,0.923104194130433,0.07378789503220702,2.4893617021276597,0.19148936170212766,False
long4__votes3__confidence_blend,long4,11|13|16|20,4,3,confidence_blend,0.9902715370787776,2.52502530654141,-0.1344188867847902,0.4052864178397293,0.871313127434935,0.9531626704711318,0.9231041941304321,0.9231041941304321,0.07378789503220702,1.9845744680851065,0.2074468085106383,False
long4__votes3__proportional,long4,11|13|16|20,4,3,proportional,0.9806077795802748,2.5131904784679704,-0.13441888678478997,0.4034948306173385,0.8642774404626414,0.9488849157676302,0.9231041941304321,0.9231041941304321,0.07378789503220702,2.0329787234042556,0.2074468085106383,False
balanced5__votes5__binary,balanced5,8|11|13|16|20,5,5,binary,0.9231041941304328,2.4331384584154536,-0.1344188867847902,0.38147873250988984,0.8222769358977455,0.923104194130433,0.9231041941304321,0.9231041941304321,0.07378789503220702,2.046808510638298,0.09042553191489362,False
balanced5__votes5__proportional,balanced5,8|11|13|16|20,5,5,proportional,0.9231041941304328,2.4331384584154536,-0.1344188867847902,0.38147873250988984,0.8222769358977455,0.923104194130433,0.9231041941304321,0.9231041941304321,0.07378789503220702,2.046808510638298,0.09042553191489362,False
balanced5__votes5__confidence_blend,balanced5,8|11|13|16|20,5,5,confidence_blend,0.9231041941304328,2.4331384584154536,-0.1344188867847902,0.38147873250988984,0.8222769358977455,0.923104194130433,0.9231041941304321,0.9231041941304321,0.07378789503220702,2.046808510638298,0.09042553191489362,False
balanced5__votes4__confidence_blend,balanced5,8|11|13|16|20,5,4,confidence_blend,0.992207022566127,2.527340397646814,-0.13441888678479008,0.4010906529443936,0.8727214455939443,0.9540175691901498,0.9231041941304319,0.9231041941304319,0.07378789503220702,2.4451063829787234,0.19148936170212766,False
balanced5__votes4__proportional,balanced5,8|11|13|16|20,5,4,proportional,0.9844705482630898,2.517976292340375,-0.13441888678478997,0.39893692637728884,0.8670905299772567,0.9505966699050998,0.9231041941304319,0.9231041941304319,0.07378789503220702,2.400851063829787,0.19148936170212766,False
long4__votes3__binary,long4,11|13|16|20,4,3,binary,0.999958075058047,2.5364279760351427,-0.13441888678479008,0.40704612077643954,0.8783586163726951,0.9574349902798978,0.9231041941304314,0.9231041941304314,0.07378789503220702,1.9361702127659575,0.2074468085106383,False
long4__votes4__binary,long4,11|13|16|20,4,4,binary,0.9231041941304321,2.433138458415453,-0.13441888678479008,0.3925838631487537,0.8222769358977453,0.9231041941304319,0.9231041941304314,0.9231041941304314,0.07378789503220702,2.323404255319149,0.14361702127659576,False
long4__votes4__proportional,long4,11|13|16|20,4,4,proportional,0.9231041941304321,2.433138458415453,-0.13441888678479008,0.3925838631487537,0.8222769358977453,0.9231041941304319,0.9231041941304314,0.9231041941304314,0.07378789503220702,2.323404255319149,0.14361702127659576,False
long4__votes4__confidence_blend,long4,11|13|16|20,4,4,confidence_blend,0.9231041941304321,2.433138458415453,-0.13441888678479008,0.3925838631487537,0.8222769358977453,0.9231041941304319,0.9231041941304314,0.9231041941304314,0.07378789503220702,2.323404255319149,0.14361702127659576,False
wide3__votes3__binary,wide3,8|13|20,3,3,binary,0.9231041941304317,2.4331384584154523,-0.13441888678479008,0.37818492267365067,0.8222769358977446,0.9231041941304312,0.9231041941304319,0.9231041941304312,0.07378789503220702,1.8808510638297875,0.10106382978723404,False
wide3__votes3__proportional,wide3,8|13|20,3,3,proportional,0.9231041941304317,2.4331384584154523,-0.13441888678479008,0.37818492267365067,0.8222769358977446,0.9231041941304312,0.9231041941304319,0.9231041941304312,0.07378789503220702,1.8808510638297875,0.10106382978723404,False
wide3__votes3__confidence_blend,wide3,8|13|20,3,3,confidence_blend,0.9231041941304317,2.4331384584154523,-0.13441888678479008,0.37818492267365067,0.8222769358977446,0.9231041941304312,0.9231041941304319,0.9231041941304312,0.07378789503220702,1.8808510638297875,0.10106382978723404,False
balanced5__votes3__confidence_blend,balanced5,8|11|13|16|20,5,3,confidence_blend,0.9226022424491902,2.3726257484923208,-0.1652321203343775,0.3910617012862143,0.7737548130924616,1.0127087470461986,0.9442340167953756,0.9226022424491902,0.07378789503220702,2.577872340425532,0.25,False
wide3__votes2__proportional,wide3,8|13|20,3,2,proportional,0.9166741703026486,2.377536295101809,-0.16010908514316624,0.3843627867209738,0.777570713260231,0.9947705276963186,0.9407247997866084,0.9166741703026486,0.07378789503220702,2.581560283687943,0.24468085106382978,False
wide3__votes2__confidence_blend,wide3,8|13|20,3,2,confidence_blend,0.9147383113382792,2.3593685662497386,-0.1665120976488228,0.3858032721457667,0.7661233776353062,1.0127929182443816,0.9451105450313511,0.9147383113382792,0.07378789503220702,2.756737588652482,0.24468085106382978,False
balanced5__votes3__binary,balanced5,8|11|13|16|20,5,3,binary,0.9126698820577548,2.3397138369046986,-0.1729072953209042,0.3905544482452905,0.754568340028765,1.0308569634459324,0.9494885306852872,0.9126698820577548,0.07378789503220702,2.65531914893617,0.25,False
short3__votes3__binary,short3,8|11|13,3,3,binary,0.9126698820577539,2.339713836904698,-0.1729072953209042,0.3723553649663929,0.754568340028765,1.030856963445932,0.9494885306852867,0.9126698820577539,0.07378789503220702,3.540425531914894,0.14893617021276595,False
short3__votes3__proportional,short3,8|11|13,3,3,proportional,0.9126698820577539,2.339713836904698,-0.1729072953209042,0.3723553649663929,0.754568340028765,1.030856963445932,0.9494885306852867,0.9126698820577539,0.07378789503220702,3.540425531914894,0.14893617021276595,False
short3__votes3__confidence_blend,short3,8|11|13,3,3,confidence_blend,0.9126698820577539,2.339713836904698,-0.1729072953209042,0.3723553649663929,0.754568340028765,1.030856963445932,0.9494885306852867,0.9126698820577539,0.07378789503220702,3.540425531914894,0.14893617021276595,False
wide3__votes2__binary,wide3,8|13|20,3,2,binary,0.9126698820577532,2.3397138369046973,-0.17290729532090432,0.38714149717361446,0.7545683400287646,1.0308569634459332,0.9494885306852865,0.9126698820577532,0.07378789503220702,2.931914893617021,0.24468085106382978,False
