signal_name,category,short_hypothesis,data_needed,data_source,data_access,point_in_time_risk,survivorship_bias_risk,lookahead_risk,expected_horizon,expected_best_regime,expected_bad_regime,expected_redundancy_with_current_signals,implementation_difficulty,overfitting_risk,already_tested_in_project,similar_signal_exists_in_current_repo,realistic_for_weekly_etf_allocation,priority_score,recommended_next_action,repo_mapping,validation_notes,source_refs
Sahm rule / labor deterioration,C. Macro / Cycle,Rising unemployment momentum identifies recession onset and should reduce risky ETF scores.,"SAHMREALTIME, UNRATE",FRED,free/API,medium due revisions/vintages,low,medium if revised series used,4-26 weeks,stressed_panic detection,calm_trend false positives,low,medium,low-medium,no,market_state uses stress proxies but not Sahm,yes,5,test with free external data/API,macro weekly ingestion + Layer 1 macro panel,Use FRED real-time Sahm where possible; monthly-to-weekly as-of lag.,FRED_SAHM
Yield curve 10y-3m recession probability,C. Macro / Cycle,Term spread inversion/disinversion captures late-cycle recession risk better than 2s10s alone.,"DGS10, TB3MS/TB3MS or T10Y3M",FRED,free/API,medium,low,medium if monthly model not lagged,13-52 weeks,early stress detection,calm_trend false positives,low-medium,medium,medium,partial R2 2s10s,signal_r2_yield_curve,yes,4,test with free external data/API,improve macro builder,"Use 3m10y and recession probability, not just T10Y2Y.",FABER_TAA; FRED_SAHM
Real rates / TIPS yield trend,C. Macro / Cycle,Rising real yields pressure duration/growth assets and favor cash/dollar/value.,"DFII10, TIP/IEF ratios",FRED + existing ETFs,free/API,medium,low,medium,4-26 weeks,"neutral_mixed, stressed_panic",calm_trend growth melt-up,low,medium,medium,no,TIP exists; no direct real-rate signal,yes,5,test with free external data/API,macro Layer 1 signal,Likely orthogonal to price momentum and useful for stress/calm discrimination.,FRED_SAHM; BRIDGEWATER_REGIME
Fed funds trend / policy pressure,C. Macro / Cycle,Rising policy rates and restrictive policy may alter equity/bond/commodity leadership.,"FEDFUNDS, SOFR, 3m bill",FRED,free/API,medium,low,medium,13-52 weeks,late-cycle/stress detection,early recovery,low,medium,medium,no,macro_weekly empty,yes,4,test with free external data/API,macro ingestion,Lag monthly/daily series carefully.,BRIDGEWATER_REGIME
Inflation surprise proxy,C. Macro / Cycle,Inflation acceleration favors commodities/TIPS/dollar and hurts duration/growth.,"CPI, breakevens, TIP/IEF, PDBC",FRED + ETFs,free/API,medium-high for release dates,low,high if using revised CPI improperly,13-52 weeks,inflationary calm/reflation,disinflationary recovery,low,medium-high,medium,partial commodity R2,signal_r2_commodity_regime adjacent,yes,4,test with free external data/API,macro release calendar-aware signal,Need release-date lag or use market proxies first.,BRIDGEWATER_REGIME
Financial conditions index state gate,C. Macro / Cycle,Tightening financial conditions should reduce risk-on signal trust.,"NFCI, ANFCI, STLFSI",FRED,free/API,medium,low,medium,4-26 weeks,early stress detection,calm_trend if too cautious,low-medium,low-medium,medium,yes R2 rejected unconditional,signal_r2_financial_conditions,yes,3,test later,state-gated macro candidate,R2 had calm benefit but stressed damage; test as gate not standalone score.,NBER_VOL
PMI/ISM growth proxy,C. Macro / Cycle,Manufacturing/services momentum may improve cyclical sector/commodity leadership.,ISM PMI or proxies,ISM paid; FRED partial/proxies,paid/partial free,high,low,high if release dates ignored,13-26 weeks,"recovery_confirmed, calm_trend",stressed_panic,low,medium-high,medium,no,none,yes with care,3,needs paid data,macro module,Use paid/official release data or avoid strong claims.,BRIDGEWATER_REGIME
Industrial production / housing starts cycle,C. Macro / Cycle,Physical economy deterioration may flag cyclical risk and sector rotation.,"INDPRO, HOUST, PERMIT",FRED,free/API,medium revisions,low,medium-high,13-52 weeks,cycle transitions,fast shocks,low,medium,medium,no,none,yes,3,test with free external data/API,macro module,Monthly data with revisions; treat as slow regime input.,FRED_SAHM
Direct HY OAS level/change,D. Credit / Liquidity,High/widening HY spreads should penalize risky assets and improve stress detection.,BAMLH0A0HYM2,FRED,free/API,medium,low,medium,4-26 weeks,stressed_panic detection,calm_trend false alarms,medium,low-medium,medium,partial R2 proxy,signal_r2_credit_spread,yes,5,test with free external data/API,repair R2 credit ingestion,R2 proxy had calm utility but stress damage; direct OAS worth a clean retry.,PIMCO_CREDIT
IG OAS level/change,D. Credit / Liquidity,Investment-grade spread widening may detect broad funding stress earlier than HY ETFs.,"BAMLC0A0CM, LQD",FRED + ETF,free/API,medium,low,medium,4-26 weeks,early stress,calm_trend,low,low-medium,medium,no,LQD exists,yes,5,test with free external data/API,credit macro signal,Likely less noisy than HYG/LQD relative price.,PIMCO_CREDIT
HYG/LQD credit momentum,D. Credit / Liquidity,Credit risk appetite improves when HYG outperforms LQD.,"HYG,LQD weekly prices",existing repo,free/current,low,low,low,2-13 weeks,"calm_trend, recovery_confirmed",stressed_panic,medium,low,medium,partial R2/R4,r2_credit_spread proxy; HYG/LQD pair,yes,3,test later,refine existing proxy,Already tested adjacent; only revisit as state gate.,PIMCO_CREDIT
Credit-equity divergence,D. Credit / Liquidity,"If equities rise while credit weakens, risk rally may be fragile.","SPY,HYG,LQD,TLT weekly prices",existing repo,free/current,low,low,low,1-8 weeks,neutral_mixed warning,calm_trend strong breadth,low-medium,low,medium,yes R2 rejected,r2_cross_asset_divergence,yes,2,research-only,R2 diagnostics,Rejected standalone; maybe diagnostic only.,PIMCO_CREDIT
Funding stress proxy,D. Credit / Liquidity,Stress in funding/liquidity proxies should trigger defensive signal environment.,"TED/OIS, SOFR spreads, commercial paper spreads",FRED,free/API,medium,low,medium,1-13 weeks,stressed_panic,normal calm,low,medium,medium,no,none,yes,4,test with free external data/API,macro/liquidity module,Some classic TED series discontinued; use available replacements.,PIMCO_CREDIT
Treasury liquidity / MOVE proxy,D. Credit / Liquidity,Bond vol/liquidity stress can hurt duration and risk assets simultaneously.,"MOVE index, Treasury vol ETF/proxy",ICE/paid or Yahoo proxies,paid/partial free,medium,low,medium,1-13 weeks,stressed_panic,calm_trend,low,medium,medium,no,none,yes if data available,3,needs paid data,risk module,Paid data likely; use ETF proxies if needed.,PIMCO_CREDIT
VVIX vol-of-vol,E. Volatility / Risk,VIX-of-VIX spikes may detect unstable stress before VIX level fully reacts.,VVIX daily history,Cboe/Yahoo,free/current,low-medium,low,low if lagged,1-8 weeks,stressed_panic detection,calm_trend false positives,low,low-medium,medium,no,vix_term_structure adjacent,yes,5,test with free external data/API,extend vix_term_structure inputs,High priority because current VIX slope hurt stress; vol-of-vol may be better as warning.,CBOE_VIX
VIX9D/VIX ratio,E. Volatility / Risk,Short-end vol pressure relative to 1m VIX may flag acute panic.,"VIX9D,VIX",Cboe,free/current,low-medium,low,low,1-4 weeks,stressed_panic,normal calm,low,low-medium,medium,no,vix_term_structure adjacent,yes,4,test with free external data/API,VIX term structure module,"Use as defensive warning, not risk-on score.",CBOE_VIX
Realized volatility trend,E. Volatility / Risk,Rising realized vol lowers signal reliability and should penalize risky assets.,weekly/daily returns,existing repo,free/current,low,low,low,1-13 weeks,stressed_panic detection,calm_trend,medium,low,low,partial quality,signal_quality,yes,4,test now,Layer 1 risk signal,Test as meta-signal environment and as cross-sectional score.,NBER_VOL
Volatility compression breakout,E. Volatility / Risk,Low realized vol followed by expansion can precede trend continuation or risk break.,daily/weekly returns,existing repo,free/current,low,low,low,1-8 weeks,calm_trend breakout,stressed_panic whipsaw,medium,medium,high,no,none,yes,3,test now,Layer 1 risk/path feature,High overfit risk; predefine windows.,NBER_VOL
Downside semivolatility,E. Volatility / Risk,Downside-only volatility better captures bad path risk than total volatility.,weekly_returns,existing repo,free/current,low,low,low,4-13 weeks,stressed_panic protection,calm_trend underparticipation,medium,low,low,yes quality,signal_quality,yes,2,test later,quality signal extension,Already exists; monitor state decay.,NBER_VOL
Correlation spike / diversification failure,E. Volatility / Risk,Cross-asset correlations rising toward one signal liquidity stress and lower diversification.,weekly_returns correlation matrix,existing repo,free/current,low,low,low,1-8 weeks,stressed_panic,calm_trend,low-medium,low,medium,partial regime,market_state avg_corr_risk_off_z,yes,4,test now,Layer 1 meta/risk signal,"Use as signal quality/meta environment, not standalone return predictor.",NBER_VOL
Volatility-managed momentum,E. Volatility / Risk,Scale momentum signal by inverse realized vol to avoid noisy high-vol states.,existing momentum + realized vol,existing repo,free/current,low,low,low,4-13 weeks,calm_trend,stressed_panic if lagging,high,low,medium,partial,tsmom_vol_scaled,yes,2,test later,existing variant,Mostly exhausted; avoid parameter sweeps.,NBER_VOL; AQR_TSMOM
Drawdown acceleration,E. Volatility / Risk,Acceleration of market drawdown may be more informative than drawdown level.,SPY/market proxy drawdown path,existing repo,free/current,low,low,low,1-8 weeks,early stress,recovery whipsaw,low,low,low-medium,partial regime,market_drawdown,yes,5,test now,risk regime feature / Layer 1 meta,"Simple, interpretable, likely stress-protective.",MAN_TREND
% ETFs above 13/26/52w MA,F. Breadth / Participation,ETF universe participation confirms whether risk-on is broad or narrow.,weekly_prices across ETF universe,existing repo,free/current,low,low for ETF universe,low,2-13 weeks,calm_trend,narrow mega-cap rallies,medium,low,low,partial,breadth_confirmed_momentum and regime breadth,yes,4,test now,ETF breadth proxy Layer 1/meta,Immediate no-PIT breadth proxy.,BREADTH
Equal-weight vs cap-weight SPY proxy,F. Breadth / Participation,RSP/SPY leadership signals broader participation than cap-weight index.,"RSP,SPY prices",free yfinance; RSP not in current universe,free external,low,low,low,4-13 weeks,"calm_trend, recovery_confirmed",mega-cap narrow rallies,low,low,low,no,none,yes,5,test with free external data/API,add free external ETF input to data hub research,Very practical breadth proxy before paid stock breadth.,BREADTH
Sector breadth using sector ETFs,F. Breadth / Participation,More sectors in uptrend means healthier risk regime.,XLB/XLE/XLF/XLI/XLK/XLP/XLU/XLV/XLY prices,existing repo,free/current,low,low,low,4-13 weeks,calm_trend,sector concentration,medium,low,low,partial sector phases,sector ETFs present,yes,5,test now,Layer 1 sector breadth signal,High priority and no external data needed.,BREADTH; ROBECO_FACTORS
Risk-on breadth basket,F. Breadth / Participation,Risk-on ETFs confirming together should improve participation and avoid false breakouts.,"SPY,QQQ,IWM,EEM,HYG,XLK,XLY,XLF",existing repo,free/current,low,low,low,2-8 weeks,calm_trend,stressed_panic,medium,low,low,partial,market_state canary/breadth fields,yes,5,test now,Layer 1 breadth/risk participation,Good before R5 because it is orthogonal-ish to single asset momentum.,BREADTH
New highs/new lows stock breadth,F. Breadth / Participation,Expansion in new highs vs lows often confirms durable trend.,PIT constituents and daily highs/lows,Norgate/Sharadar/WRDS or vendor,paid,high,high if current constituents,medium,2-13 weeks,calm_trend,false breadth rebounds,low,high,medium,prototype only,stock_breadth scaffold exists,yes with paid PIT,4,needs paid data,stock_breadth module,Requires PIT membership to avoid survivorship.,BREADTH
Advance/decline line,F. Breadth / Participation,More advancers than decliners improves forward market/sector return odds.,PIT stock returns or exchange A/D data,paid/free partial,paid/partial free,high,high,medium,1-8 weeks,"calm_trend, recovery_confirmed",stressed_panic,low,high,medium,no,none,yes with paid PIT,4,needs paid data,stock_breadth module,Avoid current S&P membership for production evidence.,BREADTH
Industry participation breadth,F. Breadth / Participation,Industry-level breadth may reveal healthier rotation than sector-level aggregates.,PIT stock industry membership/prices,Norgate/WRDS/Sharadar,paid,high,high,medium,4-13 weeks,calm_trend,narrow rallies,low,high,medium,no,none,yes with paid PIT,3,needs paid data,stock_breadth module,Good but not before cheaper ETF/sector breadth.,BREADTH
QQQ/SPY leadership,G. Cross-Asset Leadership,Growth leadership often marks calm risk-on participation but can become crowded.,"QQQ,SPY prices",existing repo,free/current,low,low,low,2-13 weeks,calm_trend,rate shock/stressed_panic,medium,low,medium,partial pairs,existing ETFs,yes,3,test now,Layer 1 leadership feature,Validate state-conditional; watch redundancy with momentum.,ROBECO_FACTORS
IWM/SPY small-cap leadership,G. Cross-Asset Leadership,Small-cap strength can signal broad risk appetite and recovery breadth.,"IWM,SPY prices",existing repo,free/current,low,low,low,4-13 weeks,"recovery_confirmed, calm_trend",credit stress,medium,low,low-medium,partial R4,IWM/SPY pair rejected as stat-arb,yes,4,test now,cross-asset leadership signal,Do not use as pair mean-reversion; use leadership/trend.,BREADTH
Cyclicals vs defensives,G. Cross-Asset Leadership,Cyclical sector leadership indicates growth/risk-on; defensives warn stress.,"XLY/XLP, XLI/XLU, XLF/XLU",existing repo,free/current,low,low,low,4-13 weeks,"calm_trend, recovery_confirmed",stressed_panic,low-medium,low,low,no,sector ETFs present,yes,5,test now,Layer 1 cross-sector leadership,Very realistic and interpretable.,ROBECO_FACTORS
Semiconductors/tech leadership,G. Cross-Asset Leadership,"Semis leading tech can be early growth-cycle signal, but data needs SOXX/SMH.","SOXX/SMH, XLK, QQQ",free yfinance; not current universe,free external,low,low,low,4-13 weeks,calm_trend,rate shock,medium,low-medium,medium,no,none,yes,3,test with free external data/API,optional external ETF input,Useful but narrower than current ETF universe.,GITHUB_AA
TLT stress leadership,G. Cross-Asset Leadership,TLT rising while SPY/HYG weaken can identify flight-to-safety regimes.,"TLT,SPY,HYG,LQD",existing repo,free/current,low,low,low,1-8 weeks,stressed_panic,inflation shock,low,low,medium,partial R2/R4,cross_asset_divergence/pairs,yes,4,test now,risk leadership signal,Important caveat: TLT failed in inflation stress.,BRIDGEWATER_REGIME
GLD/TLT safe-haven rotation,G. Cross-Asset Leadership,Gold vs Treasuries separates inflationary stress from deflationary stress.,"GLD,TLT,TIP,UUP",existing repo,free/current,low,low,low,4-26 weeks,"stressed_panic, inflation stress",calm growth,low,low,medium,partial R4 pair rejected,GLD/TLT pair rejected as stat-arb,yes,4,test now,safe-haven rotation Layer 1,"Use direction/leadership, not cointegration.",BRIDGEWATER_REGIME
USD leads EM/commodities,G. Cross-Asset Leadership,UUP strength may predict EM and commodity weakness.,"UUP,EEM,VWO,PDBC,USO,DBA",existing repo,free/current,low,low,low,4-13 weeks,stress/disinflation,commodity bull,low,low,low-medium,yes R2 dollar,r2_dollar_strength,yes,3,test later,extend r2_dollar_strength diagnostics,"Passed; next is robustness, not new implementation.",AQR_VME
ETF distribution yield carry,H. Carry / Yield,"Higher trailing ETF yield may proxy carry, especially bonds/credit/dividends.","etf_distribution_history, metadata yields",existing repo,free/current,medium ex-date timing,low,medium if using revised metadata,13-52 weeks,"calm_trend, income regimes",stress if yield traps,medium,low-medium,medium,yes weak,signal_carry,yes,2,test later,existing carry diagnostics,Existing carry weak; only improve with better PIT distributions.,AQR_LIBRARY; QUANTPEDIA
Credit carry after spread risk adjustment,H. Carry / Yield,Credit yield is useful only when spread widening risk is controlled.,"HYG/LQD yields, OAS, duration",FRED + distributions,free/API + existing,medium,low,medium,13-52 weeks,calm_trend,stressed_panic,low-medium,medium,medium,no,"carry_proxy, credit spread",yes,4,test with free external data/API,carry + credit composite Layer 1,Potentially more realistic than raw carry.,PIMCO_CREDIT; AQR_LIBRARY
Duration carry / curve rolldown proxy,H. Carry / Yield,Steep curve and falling-rate regimes may reward intermediate/long Treasury exposure.,"Treasury yields by maturity, IEF/TLT",FRED,free/API,medium,low,medium,13-52 weeks,disinflation/recession,inflation stress,low,medium,medium,no,none,yes,3,test with free external data/API,bond carry macro signal,Need duration mapping but can start simple.,AQR_LIBRARY
Cash yield vs risk yield spread,H. Carry / Yield,"When cash yield is high versus risky carry, hurdle for risk assets rises.","3m bill, ETF yields, HY OAS",FRED + distributions,free/API + existing,medium,low,medium,13-52 weeks,late cycle/stress,early bull,low,medium,low-medium,no,BIL weights in portfolio,yes,4,test with free external data/API,macro/carry opportunity cost signal,Highly relevant because strategy uses BIL/cash heavily.,PIMCO_CREDIT
Commodity roll proxy via ETF futures funds,H. Carry / Yield,Commodity ETF term/roll behavior may indicate carry/backwardation regimes.,"PDBC/USO/DBA returns, futures term structure if available",ETF proxy free; futures paid,free/paid,medium,low,medium,13-52 weeks,inflation/commodity bull,contango bleed,low,medium,medium-high,partial commodity R2,r2_commodity_regime,yes with proxy,2,research-only,commodity signal module,Without futures curves it is a weak proxy.,QUANTPEDIA; AQR_LIBRARY
Currency carry proxy,H. Carry / Yield,USD/rate differential carry may affect UUP and international ETF leadership.,"short rates US vs foreign, UUP/DXY",FRED/OECD/ETF proxy,free/partial,medium,low,medium,13-52 weeks,calm carry,global crisis unwind,low,medium-high,medium,no,r2_dollar_strength adjacent,yes with proxy,2,test later,FX carry proxy module,May be too coarse with UUP alone.,AQR_LIBRARY
CAPE / equity valuation regime,I. Value / Relative Valuation,High equity valuation lowers long-horizon forward returns and raises crash sensitivity.,"CAPE, earnings yield, SPY valuation","Shiller/free, paid APIs",free/paid,medium,low,medium,52+ weeks,long-horizon allocation,short-horizon momentum,low,medium,medium,no,value_proxy price-only,limited weekly,3,test with free external data/API,slow macro/value signal,"Useful as slow regime context, not short weekly rank.",AQR_VME
Sector valuation spreads,I. Value / Relative Valuation,Cheap sectors may outperform when trend/quality confirm.,"sector P/E, P/B, dividend yield",ETF/fundamentals APIs,paid/partial free,high,medium,high,13-52 weeks,"recovery_confirmed, value rotation",growth mania,low,high,medium,no,sector ETFs only,yes with paid data,3,needs paid data,sector valuation module,Avoid non-PIT fundamentals.,ROBECO_FACTORS; AQR_VME
Value vs growth spread,I. Value / Relative Valuation,VTV/VUG or RPV/RPG spread captures style cycle and rate sensitivity.,"VTV,VUG, maybe RPV/RPG prices/yields",existing + yfinance,free/current,low,low,low,4-26 weeks,rate rise/value cycle,growth melt-up,medium,low,medium,no,VTV/VUG in universe,yes,4,test now,style leadership Layer 1,Good existing-data leadership/value proxy.,ROBECO_FACTORS
Bond real-yield valuation,I. Value / Relative Valuation,High real yields may make Treasuries more attractive and pressure equities.,"DFII10, TLT/IEF, TIP",FRED + existing,free/API,medium,low,medium,13-52 weeks,late tightening/recession,inflation shock,low,medium,medium,no,none,yes,4,test with free external data/API,bond valuation macro signal,Overlap with real-rate trend but valuation level matters.,BRIDGEWATER_REGIME
ETF price-to-own-history value,I. Value / Relative Valuation,"Assets far below long-term trend may be cheap, but can be value traps.",weekly_prices,existing repo,free/current,low,low,low,13-52 weeks,recovery_confirmed,stressed_panic,high,low,medium-high,yes weak,signal_value,yes,1,avoid,existing value signal,Existing price-only value weak; avoid more variants now.,AQR_VME
Low-volatility leadership,J. Quality / Defensive,Low-vol/defensive ETFs outperforming may warn risk deterioration.,USMV/SPLV/QUAL vs SPY; sector defensives,free yfinance + existing,free external,low,low,low,4-13 weeks,"stressed_panic, neutral_mixed",speculative calm,medium,low,low,partial quality/BAB,"quality_proxy, bab_proxy",yes,4,test with free external data/API,external factor ETF leadership,ETF factor proxies are realistic and inspectable.,ROBECO_FACTORS; AQR_BAB
Defensive sector leadership,J. Quality / Defensive,Utilities/staples/healthcare leadership can protect when risk appetite fades.,"XLU,XLP,XLV vs SPY/XLY/XLK",existing repo,free/current,low,low,low,2-13 weeks,stressed_panic,calm_trend,low-medium,low,low,no,sector ETFs present,yes,5,test now,sector leadership/risk signal,Top immediate stress-protection candidate.,ROBECO_FACTORS
Quality ETF leadership,J. Quality / Defensive,QUAL/SPY or similar may capture profitable balance-sheet preference.,"QUAL,SPY,sector ETFs",free yfinance + existing,free external,low,low,low,4-26 weeks,late cycle/stress,high-beta melt-up,low,low-medium,medium,no,quality_proxy price-risk,yes,3,test with free external data/API,factor ETF leadership module,Needs external ETF history and careful missingness.,ROBECO_FACTORS
BAB extension with funding stress,J. Quality / Defensive,Low-beta leadership may matter most when funding stress rises.,"beta estimates, funding stress proxies",existing + FRED,free/API,medium,low,medium,4-26 weeks,stressed_panic,calm_trend,medium,medium,medium,partial weak,bab_proxy weak,yes,2,test later,state-gated BAB,Existing BAB weak; only as stress interaction.,AQR_BAB
Balance-sheet safe-haven proxy,J. Quality / Defensive,ETF factor proxies for quality/low debt may reduce drawdowns.,"QUAL,USMV,SPLV,VLUE,MTUM",yfinance ETF prices,free external,low,low,low,4-26 weeks,stressed_panic,momentum-led calm,low,medium,medium,no,none,yes,3,test with free external data/API,factor ETF proxy panel,Good external proxy before paid constituent fundamentals.,ROBECO_FACTORS
Google Trends fear expansion,K. Sentiment / Attention,Retail fear search spikes may flag stress or contrarian rebound windows.,google_trends fear terms,existing repo,free/current,medium Google revisions,low,medium,1-8 weeks,stressed_panic/recovery,calm_trend noise,low,low,medium,partial manifest no IC rows,"google_trends.csv, google_fear_regime",yes,4,test now,complete IC validation for existing Google feature,Manifest exists but no IC-by-horizon rows; finish validation.,AAII
AAII bull-bear spread,K. Sentiment / Attention,Extreme bearishness may be contrarian; extreme bullishness may warn complacency.,AAII weekly sentiment history,AAII download,free/manual,low-medium,low,low if publication lagged,4-13 weeks,recovery_fragile contrarian,stressed_panic continuation,low,low-medium,medium,no,none,yes,4,test with free external data/API,sentiment module,Use publication date lag; no claims before backtest.,AAII
Cboe equity put/call ratio,K. Sentiment / Attention,High put demand may mark fear; low put/call may mark complacency.,Cboe daily put/call ratios,Cboe/YCharts/paid history,partial free/paid,medium,low,medium,1-8 weeks,recovery_fragile/stress warning,calm_trend,low,medium,medium-high,no,none,yes if data available,3,needs paid data,sentiment/vol module,Historical access may be messy; mark paid/partial.,CBOE_PUTCALL
ETF flows proxy,K. Sentiment / Attention,Large flows into/out of ETFs may indicate crowding or capitulation.,ETF fund flows/AUM,ETF.com/FactSet/Bloomberg,paid/partial free,high,low,high,4-13 weeks,crowding/stress,normal regimes,low,high,high,no,none,yes with paid data,2,needs paid data,flows module,Do not use unless point-in-time flows are available.,PIMCO_CREDIT
News sentiment / LLM macro sentiment,K. Sentiment / Attention,"News tone may capture macro stress, but source stability and lookahead are hard.","news archives, timestamps",GDELT/free; paid news better,free/paid,high,medium,high,1-8 weeks,stress transitions,normal chop,low,high,high,no,none,research-only,1,research-only,separate research sandbox,Too much complexity before simpler signals.,PURGED_CV
