decision_at,family,breadth,cik10,company_name,sector,score,market_cap,intended_weight
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0000817720,SYNAPTICS INC,technology,1.0,3787.368145751953,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001770561,CORONADO GLOBAL RESOURCES INC.,energy,1.0,236379970.33423197,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001044777,ONESPAN INC.,technology,0.9937304075235109,444500.35333156586,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001596961,"RUMBLEON, INC.",technology,0.9874608150470219,103651311.75880814,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0000319201,KLA CORP,technology,0.9811912225705328,5343205957.458897,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001730168,BROADCOM INC.,technology,0.974921630094044,23365266993.400497,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001475115,"EVENTBRITE, INC.",technology,0.9686520376175549,578261219.5400001,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0000808326,EMCORE CORP,technology,0.9623824451410659,36193206.0875,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001314727,SONOS INC,technology,0.9561128526645768,2140985662.1732998,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,energy,0.9545454545454546,116552250.0,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001719489,"KALEYRA, INC.",technology,0.9498432601880877,34003325.6703,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001810019,"RACKSPACE TECHNOLOGY, INC.",technology,0.9435736677115987,622774144.2665033,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001582982,"CARECLOUD, INC.",technology,0.9373040752351096,42768783.60909271,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001494259,"CARGURUS, INC.",technology,0.9310344827586208,1662757851.5845299,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001373715,"SERVICENOW, INC.",technology,0.9247648902821317,15717169464.111328,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001288469,MAXLINEAR INC,technology,0.9184952978056427,2667312976.0410385,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001045810,NVIDIA CORP,technology,0.9122257053291536,35950440788.26904,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0000928022,CALLON PETROLEUM CO,energy,0.9090909090909092,2285060043.8900003,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0000816761,TERADATA CORP /DE/,technology,0.9059561128526645,3426587984.4665527,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001803696,ADEIA INC.,technology,0.8996865203761755,995960020.8277702,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0000810136,PHOTRONICS INC,technology,0.8934169278996866,1039055803.0797405,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001609711,GODADDY INC.,technology,0.8871473354231976,6264903034.446716,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0000056978,KULICKE & SOFFA INDUSTRIES INC,technology,0.8808777429467085,2523660313.175522,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0000023111,COMPUTER TASK GROUP INC,technology,0.8746081504702194,118786129.55999999,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001124804,"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.",technology,0.8683385579937304,1927342381.953125,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001171486,NATURAL RESOURCE PARTNERS LP,energy,0.8636363636363635,679450785.5791626,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0000004127,SKYWORKS SOLUTIONS INC,technology,0.8620689655172413,14595477322.424498,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001526520,"TRIPADVISOR, INC.",technology,0.8557993730407523,2296886920.062168,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0001559865,"EVERTEC, INC.",technology,0.8495297805642634,2111247176.1234589,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,30,0000006951,APPLIED MATERIALS INC /DE,technology,0.8432601880877744,82202323809.861,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,10,0000789460,WORLD FUEL SERVICES CORP,energy,1.0,1692248342.3559494,0.1
2023-01-01 00:00:00+00:00,sales_yield,10,0001517228,"COMMSCOPE HOLDING COMPANY, INC.",technology,1.0,1530.2699801445006,0.1
2023-01-01 00:00:00+00:00,sales_yield,10,0001275014,"ULTRA CLEAN HOLDINGS, INC.",technology,0.9943019943019944,1505.0100692749022,0.1
2023-01-01 00:00:00+00:00,sales_yield,10,0000817720,SYNAPTICS INC,technology,0.9886039886039886,3787.368145751953,0.1
2023-01-01 00:00:00+00:00,sales_yield,10,0001313275,BRIGHTCOVE INC,technology,0.982905982905983,219513.56000000003,0.1
2023-01-01 00:00:00+00:00,sales_yield,10,0001640428,"EVERQUOTE, INC.",technology,0.9772079772079771,471797.9126739502,0.1
2023-01-01 00:00:00+00:00,sales_yield,10,0001044777,ONESPAN INC.,technology,0.9715099715099715,444500.35333156586,0.1
2023-01-01 00:00:00+00:00,sales_yield,10,0001323468,GLOBAL PARTNERS LP,energy,0.9714285714285715,1182025741.0719337,0.1
2023-01-01 00:00:00+00:00,sales_yield,10,0000921582,IMAX CORP,technology,0.9658119658119657,821531.7314491272,0.1
2023-01-01 00:00:00+00:00,sales_yield,10,0001596961,"RUMBLEON, INC.",technology,0.9601139601139601,103651311.75880814,0.1
2023-01-01 00:00:00+00:00,sales_yield,20,0000789460,WORLD FUEL SERVICES CORP,energy,1.0,1692248342.3559494,0.05
2023-01-01 00:00:00+00:00,sales_yield,20,0001517228,"COMMSCOPE HOLDING COMPANY, INC.",technology,1.0,1530.2699801445006,0.05
