portfolio,window,upside_capture_spy,downside_capture_spy,beta_spy,corr_spy,beta_qqq,corr_qqq,active_return_vs_spy,active_return_vs_ggg1,active_return_vs_phase2_best
improved_phase3_qqq_us_growth_leadership,holdout_2020,0.0668,-0.1281,-0.0663,-0.1442,-0.0433,-0.1108,-0.0704,-0.0029,-0.0047
improved_phase3_qqq_us_growth_leadership,holdout_2021,0.0985,-0.1256,-0.0273,-0.0624,-0.0191,-0.0567,-0.0512,-0.0021,-0.0051
improved_phase3_qqq_us_growth_leadership,bear_2022,0.0524,0.0449,0.0152,0.0555,0.0147,0.0665,0.1549,0.0077,0.006
improved_phase3_qqq_us_growth_leadership,recovery_2023,0.1447,-0.2043,-0.0543,-0.1095,-0.0428,-0.1142,-0.0789,-0.0046,-0.0091
improved_phase3_breadth_credit_risk_on_offense,full,0.0434,-0.1239,-0.0313,-0.0718,-0.0238,-0.0621,-0.0532,-0.0018,-0.0045
improved_phase3_breadth_credit_risk_on_offense,holdout_2016,0.0571,-0.1357,-0.0585,-0.1235,-0.0387,-0.0977,-0.0803,-0.0038,-0.0059
improved_phase3_breadth_credit_risk_on_offense,holdout_2020,0.0611,-0.1304,-0.0657,-0.1405,-0.044,-0.1106,-0.0731,-0.0055,-0.0073
improved_phase3_breadth_credit_risk_on_offense,holdout_2021,0.0905,-0.1392,-0.0334,-0.0731,-0.0241,-0.0687,-0.0503,-0.001,-0.004
improved_phase3_breadth_credit_risk_on_offense,bear_2022,0.0359,0.042,0.0109,0.0412,0.0113,0.0525,0.1475,0.0002,-0.0015
improved_phase3_breadth_credit_risk_on_offense,recovery_2023,0.1385,-0.2277,-0.066,-0.124,-0.0523,-0.1301,-0.0748,-0.0001,-0.0046
improved_phase3_balanced_breadth_aggressive,full,0.0462,-0.1245,-0.0318,-0.0712,-0.0235,-0.0597,-0.0516,0.0,-0.0027
improved_phase3_balanced_breadth_aggressive,holdout_2016,0.0571,-0.1346,-0.0613,-0.126,-0.0394,-0.0966,-0.0809,-0.0042,-0.0064
improved_phase3_balanced_breadth_aggressive,holdout_2020,0.0617,-0.1328,-0.0694,-0.1423,-0.0446,-0.1078,-0.072,-0.004,-0.0058
improved_phase3_balanced_breadth_aggressive,holdout_2021,0.0935,-0.1341,-0.0304,-0.0663,-0.0204,-0.0578,-0.0507,-0.0014,-0.0044
improved_phase3_balanced_breadth_aggressive,bear_2022,0.054,0.0466,0.0153,0.054,0.0152,0.066,0.1544,0.0074,0.0057
improved_phase3_balanced_breadth_aggressive,recovery_2023,0.1449,-0.2135,-0.0578,-0.111,-0.0452,-0.1148,-0.0759,-0.0013,-0.0059
improved_phase3_stretch_breadth_aggressive,full,0.0489,-0.1251,-0.0315,-0.0697,-0.0233,-0.0586,-0.0499,0.0017,-0.001
improved_phase3_stretch_breadth_aggressive,holdout_2016,0.0621,-0.131,-0.0595,-0.121,-0.0382,-0.0927,-0.0797,-0.0029,-0.005
improved_phase3_stretch_breadth_aggressive,holdout_2020,0.0681,-0.1279,-0.0672,-0.1363,-0.0431,-0.1028,-0.0703,-0.0022,-0.004
improved_phase3_stretch_breadth_aggressive,holdout_2021,0.1027,-0.13,-0.0278,-0.0603,-0.0191,-0.0539,-0.0472,0.0022,-0.0008
improved_phase3_stretch_breadth_aggressive,bear_2022,0.0645,0.0458,0.0178,0.0603,0.0173,0.0728,0.161,0.0143,0.0125
improved_phase3_stretch_breadth_aggressive,recovery_2023,0.1461,-0.2149,-0.0579,-0.1099,-0.0454,-0.1138,-0.0748,-0.0001,-0.0046
ggg1,full,0.0451,-0.1262,-0.0308,-0.071,-0.024,-0.0627,-0.0514,0.0,-0.0027
ggg1,holdout_2016,0.0605,-0.1406,-0.0575,-0.1224,-0.0391,-0.0993,-0.0765,0.0,-0.0021
ggg1,holdout_2020,0.0655,-0.1362,-0.0653,-0.1429,-0.0449,-0.1156,-0.0674,0.0,-0.0019
ggg1,holdout_2021,0.0914,-0.1404,-0.0343,-0.0726,-0.0257,-0.0706,-0.0495,0.0,-0.003
ggg1,bear_2022,0.0362,0.0425,0.012,0.0452,0.0121,0.0563,0.1472,0.0,-0.0017
ggg1,recovery_2023,0.136,-0.2322,-0.0703,-0.1257,-0.0553,-0.1307,-0.075,0.0,-0.0045
phase2_best,full,0.0464,-0.1308,-0.0321,-0.0716,-0.025,-0.0635,-0.0489,0.0027,0.0
phase2_best,holdout_2016,0.0612,-0.1451,-0.0595,-0.1225,-0.0406,-0.0998,-0.0746,0.0021,0.0
phase2_best,holdout_2020,0.0658,-0.1397,-0.0674,-0.1422,-0.0464,-0.1153,-0.0659,0.0019,0.0
phase2_best,holdout_2021,0.0932,-0.1452,-0.0363,-0.0743,-0.027,-0.072,-0.0467,0.003,0.0
phase2_best,bear_2022,0.0421,0.0449,0.0135,0.0482,0.0137,0.0607,0.1488,0.0017,0.0
phase2_best,recovery_2023,0.1369,-0.2437,-0.0755,-0.13,-0.0592,-0.1349,-0.0708,0.0045,0.0
prod_pin,full,0.0433,-0.1227,-0.0249,-0.0561,-0.0201,-0.0514,-0.0539,-0.0023,-0.005
prod_pin,holdout_2016,0.0621,-0.1187,-0.0419,-0.0908,-0.0277,-0.0716,-0.084,-0.0077,-0.0098
prod_pin,holdout_2020,0.0617,-0.1086,-0.0464,-0.104,-0.0313,-0.0824,-0.0822,-0.0151,-0.0169
prod_pin,holdout_2021,0.0854,-0.1303,-0.0304,-0.0639,-0.0222,-0.0608,-0.0571,-0.0076,-0.0106
prod_pin,bear_2022,0.067,0.043,0.0179,0.0705,0.015,0.0733,0.1653,0.0179,0.0162
prod_pin,recovery_2023,0.1197,-0.1992,-0.0653,-0.1233,-0.0502,-0.1253,-0.0951,-0.0204,-0.025
shadow,full,0.0427,-0.1225,-0.0249,-0.0563,-0.0201,-0.0517,-0.0542,-0.0027,-0.0054
shadow,holdout_2016,0.062,-0.1187,-0.0416,-0.0903,-0.0275,-0.0715,-0.084,-0.0077,-0.0098
shadow,holdout_2020,0.0614,-0.1082,-0.0459,-0.1039,-0.031,-0.0825,-0.0825,-0.0154,-0.0173
shadow,holdout_2021,0.0843,-0.1297,-0.0302,-0.0639,-0.0221,-0.0609,-0.0579,-0.0085,-0.0115
shadow,bear_2022,0.0632,0.0429,0.0167,0.0674,0.0138,0.0687,0.1631,0.0157,0.014
shadow,recovery_2023,0.1191,-0.198,-0.0642,-0.1221,-0.0494,-0.124,-0.0958,-0.0212,-0.0257
equal_weight,full,0.0266,-0.0979,-0.0211,-0.0556,-0.0151,-0.0452,-0.0721,-0.0215,-0.0242
equal_weight,holdout_2016,0.0516,-0.0947,-0.03,-0.0744,-0.0164,-0.0484,-0.0982,-0.0226,-0.0248
equal_weight,holdout_2020,0.0555,-0.0936,-0.0339,-0.0853,-0.0208,-0.0615,-0.0921,-0.0258,-0.0276
equal_weight,holdout_2021,0.0805,-0.1216,-0.0204,-0.0496,-0.0127,-0.04,-0.0627,-0.0139,-0.0169
equal_weight,bear_2022,0.0638,0.0365,0.022,0.0981,0.019,0.1048,0.1688,0.021,0.0193
equal_weight,recovery_2023,0.1106,-0.1749,-0.05,-0.1115,-0.0345,-0.1018,-0.1073,-0.0337,-0.0382
spy,full,1.0,1.0,1.0,1.0,0.8059,0.9148,-0.0174,0.0482,0.0455
spy,holdout_2016,1.0,1.0,1.0,1.0,0.7766,0.9273,-0.0167,0.073,0.0709
spy,holdout_2020,1.0,1.0,1.0,1.0,0.7895,0.9292,-0.0215,0.0632,0.0613
spy,holdout_2021,1.0,1.0,1.0,1.0,0.7236,0.9422,-0.0146,0.0463,0.0433
spy,bear_2022,1.0,1.0,1.0,1.0,0.7797,0.9647,-0.0216,-0.149,-0.1508
spy,recovery_2023,1.0,1.0,1.0,1.0,0.7104,0.9391,-0.0123,0.0714,0.0669
qqq,full,1.1215,1.1088,1.0385,0.9148,1.0,1.0,-0.0037,0.0671,0.0644
qqq,holdout_2016,1.1957,1.2191,1.1071,0.9273,1.0,1.0,-0.0004,0.0967,0.0945
qqq,holdout_2020,1.1993,1.2328,1.0937,0.9292,1.0,1.0,-0.0113,0.0819,0.08
qqq,holdout_2021,1.2298,1.3442,1.2267,0.9422,1.0,1.0,-0.0365,0.0342,0.0312
qqq,bear_2022,1.1475,1.4137,1.1937,0.9647,1.0,1.0,-0.1997,-0.3226,-0.3243
qqq,recovery_2023,1.2892,1.283,1.2414,0.9391,1.0,1.0,0.0513,0.1454,0.1408
bench_60_40,full,0.5835,0.5435,0.569,0.9697,0.4595,0.8888,-0.0418,0.0122,0.0094
bench_60_40,holdout_2016,0.6029,0.5887,0.5933,0.9696,0.4664,0.9101,-0.0657,0.0133,0.0112
bench_60_40,holdout_2020,0.6185,0.6228,0.6048,0.9719,0.4826,0.9128,-0.0749,-0.0038,-0.0057
bench_60_40,holdout_2021,0.6253,0.6501,0.6234,0.9618,0.4524,0.9089,-0.0753,-0.0231,-0.0261
bench_60_40,bear_2022,0.6029,0.6854,0.6401,0.9705,0.4985,0.9352,-0.0046,-0.1441,-0.1458
bench_60_40,recovery_2023,0.6478,0.6328,0.6145,0.9527,0.4343,0.8901,-0.0816,-0.0054,-0.0099
