column,role,source,non_null_count,total_rows,non_null_pct,first_valid_date,last_valid_date
realized_vol_4w,feature,computed_from_mlx_weekly_prices_returns,106261,133375,0.7967085285848172,2000-01-21,2026-05-08
recent_stress_26w,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,107670,133375,0.8072727272727273,2005-01-07,2026-04-10
relative_strength_vs_BIL_13w,feature,computed_from_mlx_weekly_prices_returns,88550,133375,0.6639175257731958,2007-08-31,2026-05-08
relative_strength_vs_BIL_4w,feature,computed_from_mlx_weekly_prices_returns,89423,133375,0.6704629803186504,2007-06-29,2026-05-08
relative_strength_vs_SPY_13w,feature,computed_from_mlx_weekly_prices_returns,105194,133375,0.7887085285848172,2000-04-07,2026-05-08
relative_strength_vs_SPY_4w,feature,computed_from_mlx_weekly_prices_returns,106067,133375,0.7952539831302717,2000-02-04,2026-05-08
risk_regime_score,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,105148,133375,0.7883636363636364,2005-07-08,2026-04-10
rolling_max_drawdown_26w,feature,computed_from_mlx_weekly_prices_returns,105291,133375,0.78943580131209,2000-03-31,2026-05-08
rolling_sharpe_13w,feature,computed_from_mlx_weekly_prices_returns,105776,133375,0.7930721649484536,2000-02-25,2026-05-08
rolling_sharpe_26w,feature,computed_from_mlx_weekly_prices_returns,105194,133375,0.7887085285848172,2000-04-07,2026-05-08
stock_count_available,feature,data/research/stock_breadth/stock_breadth_weekly.csv,107670,133375,0.8072727272727273,2005-01-07,2026-04-10
target_vol_multiplier,feature,data/04_layer2b_risk_regime_engine/regime_states.csv,107670,133375,0.8072727272727273,2005-01-07,2026-04-10
trailing_return_13w,feature,computed_from_mlx_weekly_prices_returns,105194,133375,0.7887085285848172,2000-04-07,2026-05-08
trailing_return_1w,feature,computed_from_mlx_weekly_prices_returns,106358,133375,0.79743580131209,2000-01-14,2026-05-08
trailing_return_26w,feature,computed_from_mlx_weekly_prices_returns,103933,133375,0.7792539831302718,2000-07-07,2026-05-08
trailing_return_4w,feature,computed_from_mlx_weekly_prices_returns,106067,133375,0.7952539831302717,2000-02-04,2026-05-08
trailing_return_52w,feature,computed_from_mlx_weekly_prices_returns,101411,133375,0.7603448922211808,2001-01-05,2026-05-08
transition_good_state_prob,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,102820,133375,0.7709090909090909,2005-03-18,2026-04-10
transition_non_stress_prob,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,102820,133375,0.7709090909090909,2005-03-18,2026-04-10
transition_persistence_prob,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,102820,133375,0.7709090909090909,2005-03-18,2026-04-10
vix_level_z_tradable,feature,data/04_layer2b_risk_regime_engine/regime_score.csv,102626,133375,0.7694545454545455,2006-01-06,2026-04-10
vix_slope_risk_off_z_tradable,feature,data/04_layer2b_risk_regime_engine/regime_score.csv,94866,133375,0.7112727272727273,2007-07-20,2026-04-10
z_breadth_decay,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,100104,133375,0.7505454545454545,2006-07-07,2026-04-10
z_corr,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,96321,133375,0.7221818181818181,2007-04-06,2026-04-10
z_dd_neg,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,100104,133375,0.7505454545454545,2006-07-07,2026-04-10
z_inv_trans,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,95254,133375,0.7141818181818181,2007-01-26,2026-04-10
z_stress,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,100104,133375,0.7505454545454545,2006-07-07,2026-04-10
beats_BIL_4w,target,computed_forward_from_mlx_weekly_prices,89423,133375,0.6704629803186504,2007-06-01,2026-04-10
beats_SPY_4w,target,computed_forward_from_mlx_weekly_prices,106067,133375,0.7952539831302717,2000-01-07,2026-04-10
forward_rank_13w,target,computed_forward_from_mlx_weekly_prices,105194,133375,0.7887085285848172,2000-01-07,2026-02-06
forward_rank_4w,target,computed_forward_from_mlx_weekly_prices,106067,133375,0.7952539831302717,2000-01-07,2026-04-10
forward_return_13w,target,computed_forward_from_mlx_weekly_prices,105194,133375,0.7887085285848172,2000-01-07,2026-02-06
forward_return_4w,target,computed_forward_from_mlx_weekly_prices,106067,133375,0.7952539831302717,2000-01-07,2026-04-10
positive_forward_4w,target,computed_forward_from_mlx_weekly_prices,106067,133375,0.7952539831302717,2000-01-07,2026-04-10
top_quintile_forward_4w,target,computed_forward_from_mlx_weekly_prices,106067,133375,0.7952539831302717,2000-01-07,2026-04-10
