strategy,anomaly,months,correlation
past_only_consensus_selector,ShortInterest,240,-0.4837057688469558
past_only_consensus_selector,BidAskSpread,240,0.4861713332391303
past_only_consensus_selector,IdioVolAHT,240,-0.5000563519002766
past_only_consensus_selector,IdioVol3F,240,-0.5050141252425636
past_only_consensus_selector,std_turn,240,-0.5246381756466858
past_only_consensus_selector,RealizedVol,240,-0.5524412971101514
past_only_consensus_selector,BetaTailRisk,240,0.5798607746162067
past_only_consensus_selector,VolSD,240,-0.5814380563035692
past_only_consensus_selector,MaxRet,240,-0.5830323592354953
past_only_consensus_selector,zerotrade1M,240,-0.5859998981010176
past_only_consensus_selector,zerotrade12M,240,-0.5882808389919658
past_only_consensus_selector,zerotrade6M,240,-0.5890955680408679
past_only_consensus_selector,BetaFP,240,0.6089929053181827
past_only_consensus_selector,VolMkt,240,-0.6318964041777563
past_only_consensus_selector,Beta,240,0.6414173813352925
cash_conversion_sleeve_b20,MomSeason,24,-0.0007823970847957116
cash_conversion_sleeve_b20,Illiquidity,24,-0.0029775702643143934
cash_conversion_sleeve_b20,AM,24,0.008211253876922071
cash_conversion_sleeve_b20,IndRetBig,24,-0.008998473432342037
cash_conversion_sleeve_b20,ConsRecomm,24,-0.012067180794311632
cash_conversion_sleeve_b20,IntanCFP,24,0.014016422609236422
cash_conversion_sleeve_b20,AssetGrowth,24,-0.016906810091807292
cash_conversion_sleeve_b20,EBM,24,0.018557603729887392
cash_conversion_sleeve_b20,AbnormalAccruals,24,-0.022439466206252374
cash_conversion_sleeve_b20,IntanBM,24,0.023528358126440697
cash_conversion_sleeve_b20,MeanRankRevGrowth,24,-0.023791814132078603
cash_conversion_sleeve_b20,MomSeason06YrPlus,24,-0.02435541389019977
cash_conversion_sleeve_b20,IndIPO,24,0.024835382077600537
cash_conversion_sleeve_b20,ChInv,24,-0.028867787500698787
cash_conversion_sleeve_b20,EarningsStreak,24,-0.03313558957960428
cash_conversion_sleeve_b20,RIO_Disp,24,-0.03647965563205978
cash_conversion_sleeve_b20,DownRecomm,24,-0.04469442548181198
cash_conversion_sleeve_b20,DelCOL,24,0.053287568833695585
cash_conversion_sleeve_b20,EP,24,0.057927498128589404
cash_conversion_sleeve_b20,CredRatDG,24,-0.0683488403849515
cash_conversion_sleeve_b20,ReturnSkew3F,24,0.0710149274482232
cash_conversion_sleeve_b20,RIO_Turnover,24,-0.07149335305811497
cash_conversion_sleeve_b20,SurpriseRD,24,0.07158723462939577
cash_conversion_sleeve_b20,SP,24,-0.07172056183363561
cash_conversion_sleeve_b20,MomOffSeason06YrPlus,24,-0.07757301257383885
cash_conversion_sleeve_b20,DivYieldST,24,0.08133068822422844
cash_conversion_sleeve_b20,DelEqu,24,-0.0860786574606791
cash_conversion_sleeve_b20,Accruals,24,-0.09004649755751314
cash_conversion_sleeve_b20,DivOmit,24,0.09015866698067741
cash_conversion_sleeve_b20,ChEQ,24,-0.09029158268565529
cash_conversion_sleeve_b20,DivSeason,24,0.09294816764884208
cash_conversion_sleeve_b20,PredictedFE,24,-0.09547483332710728
cash_conversion_sleeve_b20,tang,24,0.10114032076335547
cash_conversion_sleeve_b20,DelCOA,24,-0.10218758490552787
cash_conversion_sleeve_b20,MomSeason16YrPlus,24,-0.11182404630327675
cash_conversion_sleeve_b20,IndMom,24,-0.11524340678468689
cash_conversion_sleeve_b20,NetDebtPrice,24,0.11593258404057996
cash_conversion_sleeve_b20,Leverage,24,-0.11775316914245178
cash_conversion_sleeve_b20,RIO_Volatility,24,-0.11893613629438987
cash_conversion_sleeve_b20,PctAcc,24,0.1192396988283227
cash_conversion_sleeve_b20,BPEBM,24,0.12468246882503763
cash_conversion_sleeve_b20,sinAlgo,24,0.1256687256491117
cash_conversion_sleeve_b20,ChAssetTurnover,24,-0.12902128143602995
cash_conversion_sleeve_b20,CitationsRD,24,-0.12932560882586608
cash_conversion_sleeve_b20,ShareVol,24,-0.13231468176112895
cash_conversion_sleeve_b20,PriceDelayRsq,20,0.13291376660951673
cash_conversion_sleeve_b20,GP,24,-0.13535246731371076
