rule_name,rule_formula,target,event_count,event_frequency,precision,baseline_precision,precision_lift,avg_forward_return,baseline_avg_forward_return,return_lift,state_path_interpretation,rule_family,stability,min_subperiod_events,redundancy_warning,next_recommended_phase
refined_neutral_deteriorating,refined_state_lag1 == neutral_deteriorating,stress_transition_8w,167,0.1515426497277677,0.2754491017964072,0.18330308529945555,0.09214601649695164,0.008383806390550835,0.01098717111398922,-0.0026033647234383842,Layer 2B neutral deterioration refinement,refined_state,0.6666666666666666,33,partly duplicates existing refined Layer 2B state,SSS2 sequence signal validation
high_transition_instability,state_changes_last_8w >= 3,recovery_quality_8w,227,0.28410513141426785,0.5726872246696035,0.49937421777221525,0.07331300689738829,0.017731545749270564,0.013101542185322456,0.0046300035639481076,high recent transition instability,instability,0.6666666666666666,57,,retain as diagnostic only
stress_new_state,state_lag1 == stressed_panic and state_age_lag1 <= 2,ggg1_tail_risk_4w,47,0.042495479204339964,0.3191489361702128,0.2468354430379747,0.07231349313223809,0.0017086881364150631,0.005468970801374362,-0.0037602826649592988,new stressed_panic state,stress_dwell,1.0,8,,retain as diagnostic only
high_transition_instability,state_changes_last_8w >= 3,recovery_quality_4w,227,0.2830423940149626,0.5638766519823789,0.5,0.06387665198237891,0.010418839888295492,0.006656320352115172,0.0037625195361803195,high recent transition instability,instability,1.0,57,,retain as diagnostic only
neutral_after_stress_short_dwell,state_lag1 == neutral_mixed and state_lag2 == stressed_panic and state_age_lag1 <= 6,ggg1_underperformance_4w,23,0.020795660036166366,0.7391304347826086,0.6772151898734177,0.06191524490919098,0.0023933443264152524,0.005468970801374362,-0.0030756264749591095,neutral_mixed immediately after stress with young dwell,stress_memory,0.5,3,,retain as diagnostic only
refined_neutral_deteriorating,refined_state_lag1 == neutral_deteriorating,ggg1_tail_risk_4w,169,0.15280289330922242,0.3076923076923077,0.2468354430379747,0.060856864654333015,0.005615142051870663,0.005468970801374362,0.00014617125049630128,Layer 2B neutral deterioration refinement,refined_state,0.6666666666666666,35,partly duplicates existing refined Layer 2B state,retain as diagnostic only
stress_new_state,state_lag1 == stressed_panic and state_age_lag1 <= 2,ggg1_underperformance_4w,47,0.042495479204339964,0.723404255319149,0.6772151898734177,0.046189065445731314,0.0017086881364150631,0.005468970801374362,-0.0037602826649592988,new stressed_panic state,stress_dwell,0.6666666666666666,8,,retain as diagnostic only
high_transition_instability,state_changes_last_8w >= 3,ggg1_underperformance_4w,255,0.23056057866184448,0.7019607843137254,0.6772151898734177,0.024745594440307772,0.009393346016064274,0.005468970801374362,0.003924375214689912,high recent transition instability,instability,0.6666666666666666,62,,retain as diagnostic only
stress_memory_neutral,state_lag1 == neutral_mixed and stress_count_last_13w > 0,recovery_quality_8w,100,0.1251564455569462,0.52,0.49937421777221525,0.020625782227784772,0.009863212223328737,0.013101542185322456,-0.003238329961993719,neutral_mixed with recent stress memory,stress_memory,0.6666666666666666,17,,retain as diagnostic only
neutral_after_stress_short_dwell,state_lag1 == neutral_mixed and state_lag2 == stressed_panic and state_age_lag1 <= 6,ggg1_tail_risk_4w,23,0.020795660036166366,0.2608695652173913,0.2468354430379747,0.014034122179416603,0.0023933443264152524,0.005468970801374362,-0.0030756264749591095,neutral_mixed immediately after stress with young dwell,stress_memory,0.5,3,,retain as diagnostic only
stress_old_state,state_lag1 == stressed_panic and state_age_lag1 >= 7,stress_transition_8w,127,0.11524500907441017,0.1968503937007874,0.18330308529945555,0.013547308401331865,0.007126503078199454,0.01098717111398922,-0.0038606680357897655,mature stressed_panic state,stress_dwell,0.6666666666666666,28,,retain as diagnostic only
