target,model,n_oos,positive_rate,brier,auc,log_loss,high_risk_decile_precision,high_risk_decile_recall,top_decile_avg_forward_return,overall_avg_forward_return,top_decile_return_lift
recovery_quality_4w,qqq_rule_only_baseline,670,0.4880597014925373,0.3167887251280603,0.47413093677838114,1.1136989713850005,0.43283582089552236,0.08868501529051988,0.0011012007057385434,0.0062151788167554255,-0.005113978111016882
recovery_quality_4w,state_path_markov_rate,670,0.4880597014925373,0.26592415806293973,0.49579622150301794,0.8623385220678077,0.4925373134328358,0.10091743119266056,0.008420785508558756,0.0062151788167554255,0.0022056066918033305
recovery_quality_4w,transition_matrix_markov_score,670,0.4880597014925373,0.26592415806293973,0.49579622150301794,0.8623385220678077,0.4925373134328358,0.10091743119266056,0.008420785508558756,0.0062151788167554255,0.0022056066918033305
recovery_quality_8w,current_state_lag1_rate,667,0.4992503748125937,0.25752445064867613,0.45450090809372246,0.7644858854610911,0.5970149253731343,0.12012012012012012,0.02002642154549101,0.012348044269825921,0.007678377275665088
recovery_quality_8w,current_state_plus_dwell_rate,667,0.4992503748125937,0.26775791447453173,0.501825178471885,0.8678876540626304,0.4626865671641791,0.09309309309309309,0.010792829564438533,0.012348044269825921,-0.0015552147053873883
recovery_quality_8w,existing_layer2b_probability_baseline,667,0.4992503748125937,0.33922594601019523,0.47832712952473433,1.3637933563877578,0.4925373134328358,0.0990990990990991,0.012295366335247354,0.012348044269825921,-5.267793457856655e-05
recovery_quality_8w,historical_class_rate,667,0.4992503748125937,0.2520903209667358,0.42779306252360144,0.6973401170852278,0.3283582089552239,0.06606606606606606,0.0038591004800354435,0.012348044269825921,-0.008488943789790478
recovery_quality_8w,previous_state_lag2_rate,667,0.4992503748125937,0.2576064394145182,0.47685709661757564,0.7673022379662652,0.6567164179104478,0.13213213213213212,0.022651765499103926,0.012348044269825921,0.010303721229278005
recovery_quality_8w,qqq_rule_only_baseline,667,0.4992503748125937,0.2932617887055206,0.5378791965618313,1.0164383978902256,0.5223880597014925,0.10510510510510511,0.008821397821893041,0.012348044269825921,-0.0035266464479328796
recovery_quality_8w,state_path_markov_rate,667,0.4992503748125937,0.2592090310079584,0.49151696606786427,0.8483480050720105,0.6716417910447762,0.13513513513513514,0.01963366265791519,0.012348044269825921,0.00728561838808927
recovery_quality_8w,transition_matrix_markov_score,667,0.4992503748125937,0.2592090310079584,0.49151696606786427,0.8483480050720105,0.6716417910447762,0.13513513513513514,0.01963366265791519,0.012348044269825921,0.00728561838808927
stress_transition_4w,current_state_lag1_rate,846,0.09810874704491726,0.08870503786666167,0.5800581092390531,0.35195062866933824,0.1411764705882353,0.14457831325301204,0.0033040522671591247,0.00561528074388973,-0.002311228476730605
stress_transition_4w,current_state_plus_dwell_rate,846,0.09810874704491726,0.09310592014098597,0.5282808823761626,0.4253094105898808,0.07058823529411765,0.07228915662650602,0.005181640866763441,0.00561528074388973,-0.0004336398771262887
stress_transition_4w,existing_layer2b_probability_baseline,846,0.09810874704491726,0.2538564754951793,0.5118034391826809,0.8556182034549528,0.12941176470588237,0.13253012048192772,0.0024245036098006004,0.00561528074388973,-0.0031907771340891292
stress_transition_4w,historical_class_rate,846,0.09810874704491726,0.09011056782146404,0.38656065941353884,0.32854207314356265,0.023529411764705882,0.024096385542168676,0.004421141095430841,0.00561528074388973,-0.0011941396484588885
stress_transition_4w,previous_state_lag2_rate,846,0.09810874704491726,0.08952745770138586,0.566880891850495,0.38520323956827707,0.17647058823529413,0.18072289156626506,0.0016306517063445142,0.00561528074388973,-0.003984629037545215
stress_transition_4w,qqq_rule_only_baseline,846,0.09810874704491726,0.25376225093658933,0.41732065878191665,0.9635505412295905,0.07058823529411765,0.07228915662650602,0.0018591995884412633,0.00561528074388973,-0.0037560811554484663
stress_transition_4w,state_path_markov_rate,846,0.09810874704491726,0.08892674232015882,0.6324985393737467,0.3952915004289491,0.16470588235294117,0.1686746987951807,0.0022011539378520035,0.00561528074388973,-0.003414126806037726
stress_transition_4w,transition_matrix_markov_score,846,0.09810874704491726,0.25028542419447875,0.5460926273902951,1.0835904238018028,0.16470588235294117,0.1686746987951807,0.00281835299322944,0.00561528074388973,-0.0027969277506602894
stress_transition_8w,current_state_lag1_rate,842,0.16389548693586697,0.14010853867521988,0.5622838438735178,0.4704313450060549,0.3176470588235294,0.1956521739130435,0.0068557870699765665,0.011367991301358899,-0.004512204231382332
stress_transition_8w,current_state_plus_dwell_rate,842,0.16389548693586697,0.1441287880559182,0.5467772150856391,0.5968827768597436,0.29411764705882354,0.18115942028985507,0.005394718259448141,0.011367991301358899,-0.005973273041910758
stress_transition_8w,existing_layer2b_probability_baseline,842,0.16389548693586697,0.2621955024348517,0.5217082509881423,0.9002433723538231,0.2823529411764706,0.17391304347826086,0.0060309311519447266,0.011367991301358899,-0.005337060149414172
stress_transition_8w,historical_class_rate,842,0.16389548693586697,0.14167392429026526,0.40260622529644263,0.46014423772998925,0.023529411764705882,0.014492753623188406,0.010068550436589557,0.011367991301358899,-0.0012994408647693419
stress_transition_8w,previous_state_lag2_rate,842,0.16389548693586697,0.14094342984708672,0.5544507575757576,0.4756721118570985,0.2823529411764706,0.17391304347826086,0.006579270972943648,0.011367991301358899,-0.0047887203284152505
stress_transition_8w,qqq_rule_only_baseline,842,0.16389548693586697,0.2770476972809639,0.3900485836627141,1.1201260963960933,0.07058823529411765,0.043478260869565216,0.009644619207406398,0.011367991301358899,-0.001723372093952501
stress_transition_8w,state_path_markov_rate,842,0.16389548693586697,0.14055105107745966,0.5940021821475626,0.5389511171760756,0.3176470588235294,0.1956521739130435,0.005287193514145925,0.011367991301358899,-0.006080797787212973
stress_transition_8w,transition_matrix_markov_score,842,0.16389548693586697,0.3987361825862366,0.5405858860342556,1.6718774209871876,0.29411764705882354,0.18115942028985507,0.005156198770257768,0.011367991301358899,-0.006211792531101131
