Date,net_return,wealth,target_growth_allocation,pretrade_growth_allocation,allocation_turnover,outer_cost,high_confidence,growth_momentum_13w_prior,incumbent_momentum_13w_prior,growth_momentum_long_prior,incumbent_momentum_long_prior,drawdown
2023-05-12,0.029377488019360465,1.1492592719725203,0.1,0.10336095782448608,0.0033609578244860744,1.680478912243037e-05,False,-0.09148569886740643,0.04459972406489032,-0.09148569886740643,0.04459972406489032,0.0
2023-05-19,0.02866042082970144,1.182197526349689,0.1,0.0985758129169635,0.0014241870830365017,7.120935415182509e-06,False,-0.05285440579572942,0.07745142185740805,-0.05285440579572942,0.07745142185740805,0.0
2023-05-26,0.01582269053144114,1.2009030719561555,0.1,0.09802034977828836,0.0019796502217116485,9.898251108558244e-06,False,-0.045031346885955226,0.14178625017183655,-0.045031346885955226,0.14178625017183655,0.0
2023-06-02,-0.00368639484112232,1.1964760690670084,0.1,0.10282765364896067,0.0028276536489606624,1.4138268244803312e-05,False,-0.017824372461690552,0.12416283937561157,-0.017824372461690552,0.12416283937561157,-0.00368639484112232
2023-06-09,0.03688146336777365,1.240603857378721,0.1,0.09916784779613347,0.0008321522038665374,4.160761019332687e-06,False,0.06064093045118635,0.15728687721923884,0.06064093045118635,0.15728687721923884,0.0
2023-06-16,-0.027243270372669492,1.2068057510667758,0.1,0.09788167777494478,0.0021183222250552303,1.0591611125276151e-05,False,0.10130446025539253,0.17298294089373178,0.10130446025539253,0.17298294089373178,-0.027243270372669492
2023-06-23,0.029867799643015225,1.2428503834476767,0.1,0.096848372416961,0.00315162758303901,1.575813791519505e-05,False,0.019496018435449125,0.12085960540754526,0.019496018435449125,0.12085960540754526,0.0
2023-06-30,-0.011535714427047372,1.228513216348678,0.1,0.10134776156723231,0.0013477615672323057,6.738807836161528e-06,False,0.00527842258234168,0.1120889720106526,0.00527842258234168,0.1120889720106526,-0.011535714427047372
2023-07-07,0.03165704974856931,1.267404320355403,0.1,0.10213443910476841,0.002134439104768404,1.0672195523842021e-05,False,0.049840228122605135,0.10972998629893072,0.049840228122605135,0.10972998629893072,0.0
2023-07-14,-0.006492445623469623,1.2591757667225452,0.1,0.1001749665598455,0.00017496655984548803,8.748327992274401e-07,False,0.037217264498544456,0.14764076693781059,0.037217264498544456,0.14764076693781059,-0.006492445623469623
2023-07-21,0.015213067415486448,1.2783316925496422,0.1,0.09798509425979679,0.0020149057402032156,1.007452870101608e-05,False,0.01092663366975799,0.1502438161322015,0.01092663366975799,0.1502438161322015,0.0
2023-07-28,-0.032728426483904394,1.2364939077279862,0.1,0.0996821698279803,0.0003178301720197091,1.5891508600985457e-06,False,0.10046898993597897,0.14638795964452544,0.10046898993597897,0.14638795964452544,-0.032728426483904394
2023-08-04,-0.020013054344783177,1.2117478879556327,0.1,0.10100552052368787,0.0010055205236878667,5.027602618439334e-06,False,0.08956160859386819,0.1044052350431488,0.08956160859386819,0.1044052350431488,-0.0520864850508459
2023-08-11,-0.020900954246950487,1.1864212007906332,0.1,0.09977389478777968,0.00022610521222032887,1.1305260611016444e-06,False,0.03481916399604956,0.0909747120298463,0.03481916399604956,0.0909747120298463,-0.07189878205686417
2023-08-18,0.01801833512868911,1.2077985355902605,0.1,0.09634977778420184,0.0036502222157981656,1.825111107899083e-05,False,-0.03796700621429583,0.040233870926188464,-0.03796700621429583,0.040233870926188464,-0.0551759432786203
2023-08-25,0.037518932377156755,1.2531138471723005,0.1,0.0986720698572705,0.0013279301427294998,6.6396507136475e-06,False,-0.04157891128656732,0.02873966237776604,-0.04157891128656732,0.02873966237776604,-0.01972715338617992
2023-09-01,-0.019500092086416787,1.2286780117576765,0.1,0.09913489786037456,0.0008651021396254427,4.325510698127213e-06,False,-0.05626577712401992,0.05503307394507795,-0.05626577712401992,0.05503307394507795,-0.038842564164963345
2023-09-08,-0.014593566191456131,1.2107472178651042,0.1,0.09889201528509638,0.0011079847149036287,5.539923574518143e-06,False,-0.07383731727323217,0.038595098372225634,-0.07383731727323217,0.038595098372225634,-0.05286927882523218
2023-09-15,-0.025523494326573193,1.17984471811901,0.1,0.1013928668577994,0.0013928668577993936,6.964334288996967e-06,False,-0.08824079189871481,-0.016805345424375395,-0.08824079189871481,-0.016805345424375395,-0.07704336441365955
2023-09-22,-0.0028307473479679546,1.1765048758121806,0.1,0.09884485412262882,0.001155145877371186,5.7757293868559294e-06,False,-0.06780353896809888,-0.01724794556158238,-0.06780353896809888,-0.01724794556158238,-0.07965602146213502
2023-09-29,0.013537997408571867,1.192432395772098,0.1,0.10200335350693396,0.0020033535069339525,1.0016767534669763e-05,False,-0.0915713913423617,-0.04915423027401533,-0.0915713913423617,-0.04915423027401533,-0.06719640706569474
2023-10-06,0.011722262728231403,1.2064104016009929,0.1,0.09959635063020873,0.00040364936979127297,2.0182468489563647e-06,False,-0.09167243006204362,-0.02227552316200565,-0.09167243006204362,-0.02227552316200565,-0.05626183827548059
2023-10-13,-0.02158942587386825,1.1803646936621646,0.1,0.10268461559843277,0.002684615598432763,1.3423077992163817e-05,False,-0.08691571167001377,-0.04385066299205864,-0.08691571167001377,-0.04385066299205864,-0.07663660336237277
2023-10-20,-0.01811902846679736,1.1589776321764973,0.1,0.10118672196554684,0.0011867219655468386,5.9336098277341925e-06,False,-0.07139761345073004,-0.061710390297376794,-0.07139761345073004,-0.061710390297376794,-0.09336705103124865
2023-10-27,0.06190572572345299,1.2307249835936325,0.1,0.10024535143195264,0.0002453514319526312,1.2267571597631561e-06,False,-0.09681565490655131,-0.09308830743810803,-0.09681565490655131,-0.09308830743810803,-0.03724128036054386
2023-11-03,0.035849893333590455,1.2748463429784491,0.1,0.09702181923017941,0.002978180769820593,1.4890903849102964e-05,False,-0.047558995682153604,5.206965780524264e-05,-0.047558995682153604,5.206965780524264e-05,-0.0027264829554851655
