rule_name,target,subperiod,n_events,event_frequency,precision,baseline_precision,precision_lift,avg_forward_return,baseline_avg_forward_return,return_lift
rule_int_mom13_x_drawdown_repair__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2016_2020,932,0.10202517788724685,0.16523605150214593,0.2571428571428571,-0.09190680564071119,0.007318912082672834,0.013835204278374246,-0.006516292195701412
rule_int_mom13_x_drawdown_repair__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2021_2026,630,0.06716417910447761,0.20952380952380953,0.2571428571428571,-0.04761904761904759,-0.0040208834111546896,0.01297451572413913,-0.01699539913529382
rule_int_mom13_x_drawdown_repair__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2010_2015,1204,0.1125759700794764,0.3330564784053156,0.26339410939691443,0.06966236900840117,0.0037682939707961586,0.0035440503000185226,0.00022424367077763597
rule_int_mom13_x_drawdown_repair__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2016_2020,932,0.10202517788724685,0.30257510729613735,0.2571428571428571,0.04543225015328023,0.002496161986885843,0.006819623226853916,-0.004323461239968074
rule_int_mom13_x_drawdown_repair__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2021_2026,631,0.06628151260504202,0.24881141045958796,0.2571428571428571,-0.008331446683269156,-0.00151554632496817,0.006374794816463079,-0.007890341141431249
rule_int_mom13_x_drawdown_repair__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2010_2015,1204,0.1125759700794764,0.33056478405315615,0.26339410939691443,0.06717067465624171,0.009093159214787736,0.007314297407118801,0.0017788618076689348
rule_int_mom13_x_drawdown_repair__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2016_2020,932,0.10202517788724685,0.26931330472103004,0.2571428571428571,0.012170447578172927,0.007318912082672834,0.013835204278374246,-0.006516292195701412
rule_int_mom13_x_drawdown_repair__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2021_2026,630,0.06716417910447761,0.25555555555555554,0.2571428571428571,-0.0015873015873015817,-0.0040208834111546896,0.01297451572413913,-0.01699539913529382
rule_int_mom26_x_ma_distance26__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2010_2015,2557,0.23892730330779294,0.28901055924912006,0.2632218276957578,0.025788731553362254,0.00392023423832106,0.003483188124790297,0.0004370461135307629
rule_int_mom26_x_ma_distance26__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2016_2020,2132,0.2333880678708265,0.26360225140712945,0.2571428571428571,0.006459394264272333,0.005362720259558327,0.006819623226853916,-0.0014569029672955895
rule_int_mom26_x_ma_distance26__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2021_2026,1851,0.1944327731092437,0.29497568881685576,0.2571428571428571,0.037832831673998646,0.005452843225869859,0.006374794816463079,-0.00092195159059322
