target,feature,mean_importance,mean_abs_importance,sign_stability,n_models,n_refits,interaction_source
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__ooo3_leadlag_EFA_minus_SPY_13w_signal__zscore,152.0,152.0,,,28,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__z_l1_multi_horizon_mom_multi_mom_invvol_score_tradable,152.0,152.0,,,25,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__int_trend_consistency_x_lowdownsidevol,151.0,151.0,,,20,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__z_l1_multi_horizon_mom_multi_mom_invvol_score_tradable,147.0,147.0,,,24,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__z_l1_quality_quality_score_tradable,147.0,147.0,,,26,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_drawdown_26w__PAIR__z_l1_quality_quality_score_tradable,145.0,145.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__int_credit_strength_x_trend,143.0,143.0,,,25,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__z_l1_carry_carry_yield_trailing_52w_tradable,142.0,142.0,,,26,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_quality_quality_score_tradable__PAIR__z_l1_bab_bab_score_tradable,142.0,142.0,,,26,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_rel_strength_SPY_13w,142.0,142.0,,,21,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__ooo3_market_trend_positive_signal__zscore,142.0,142.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__ooo3_market_trend_positive_signal__zscore,140.0,140.0,,,19,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__ooo2_breadth_ret13_positive_x_neutral_mixed_signal,140.0,140.0,,,16,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_drawdown_26w__PAIR__z_vol_13w,139.0,139.0,,,26,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_drawdown_26w__PAIR__int_mom26_x_ma_distance26,136.0,136.0,,,27,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__ooo3_breadth_ret13_positive_x_recovery_confirmed_signal__direction_strength,134.0,134.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__ooo3_ggg1_trailing_vol_26w,134.0,134.0,,,27,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_downside_vol_26w__PAIR__z_drawdown_26w,133.0,133.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_quality_quality_score_tradable__PAIR__z_downside_vol_13w,131.0,131.0,,,14,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,int_trend_consistency_x_lowdownsidevol__PAIR__z_vol_13w,130.0,130.0,,,19,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_quality_quality_score_tradable__PAIR__int_bab_x_highvol,129.0,129.0,,,15,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__int_quality_x_highvol,129.0,129.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__ooo3_leadlag_DBA_minus_SPY_13w_signal__percentile,127.0,127.0,,,24,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__ooo3_ggg1_trailing_vol_13w,127.0,127.0,,,26,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_carry_carry_yield_trailing_52w_tradable__PAIR__z_l1_quality_quality_score_asset_class_neutral_tradable,124.0,124.0,,,20,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_rel_strength_SPY_13w__PAIR__int_trend_consistency_x_lowdownsidevol,124.0,124.0,,,16,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__z_drawdown_26w,123.0,123.0,,,28,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__z_mom_26w,123.0,123.0,,,19,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_drawdown_26w__PAIR__ooo3_ggg1_trailing_vol_26w,121.0,121.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_quality_quality_score_tradable__PAIR__int_quality_x_highvol,121.0,121.0,,,20,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_carry_carry_yield_trailing_52w_tradable__PAIR__z_downside_vol_26w,120.0,120.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_carry_carry_yield_trailing_52w_tradable__PAIR__z_vol_13w,119.0,119.0,,,28,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,int_real_asset_strength_x_stress__PAIR__z_downside_vol_13w,118.0,118.0,,,22,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_downside_vol_26w__PAIR__z_l1_quality_quality_score_tradable,118.0,118.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_drawdown_26w__PAIR__int_carry_x_lowvol,118.0,118.0,,,25,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_carry_carry_yield_trailing_52w_tradable__PAIR__z_l1_quality_quality_score_tradable,117.0,117.0,,,22,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__z_l1_xsmom_xsmom_score_tradable,117.0,117.0,,,18,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_drawdown_26w__PAIR__ooo3_breadth_ret13_positive_x_recovery_confirmed_signal__direction_strength,116.0,116.0,,,24,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__int_breadth_x_mom13,114.0,114.0,,,20,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,int_carry_x_lowvol__PAIR__z_l1_carry_carry_yield_trailing_52w_tradable,113.0,113.0,,,25,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,int_carry_x_lowvol__PAIR__z_l1_quality_quality_score_tradable,112.0,112.0,,,28,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_mom_26w,112.0,112.0,,,22,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_downside_vol_26w__PAIR__z_mom_52w,111.0,111.0,,,17,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_downside_vol_26w__PAIR__z_l1_bab_bab_score_tradable,110.0,110.0,,,9,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__ooo3_market_trend_positive_signal__percentile,110.0,110.0,,,17,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_carry_carry_score_asset_class_neutral_tradable__PAIR__z_l1_carry_carry_yield_trailing_52w_tradable,109.0,109.0,,,17,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_quality_quality_score_tradable__PAIR__z_l1_carry_carry_score_tradable,109.0,109.0,,,26,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__z_downside_vol_26w,109.0,109.0,,,16,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,int_mom13_x_lowvol13__PAIR__z_l1_carry_carry_yield_trailing_52w_tradable,108.0,108.0,,,15,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_drawdown_26w__PAIR__z_l1_bab_bab_score_tradable,108.0,108.0,,,21,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_carry_carry_yield_trailing_52w_tradable__PAIR__z_l1_breadth_confirmation_breadth_confirmed_momentum_score_tradable,108.0,108.0,,,15,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_quality_quality_score_tradable__PAIR__z_ma_distance_26w,108.0,108.0,,,19,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_quality_quality_score_tradable__PAIR__z_vol_26w,108.0,108.0,,,20,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_drawdown_26w__PAIR__z_mom_52w,107.0,107.0,,,27,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_mom_52w__PAIR__z_vol_13w,107.0,107.0,,,22,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_rel_strength_HYG_13w__PAIR__int_carry_x_lowvol,106.0,106.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__ooo3_market_trend_positive_signal__direction_strength,105.0,105.0,,,26,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_rel_strength_GLD_13w,105.0,105.0,,,28,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__int_quality_x_highvol,105.0,105.0,,,22,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_rel_strength_SPY_13w__PAIR__z_mom_26w,104.0,104.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_rel_strength_SPY_13w__PAIR__z_vol_13w,104.0,104.0,,,21,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__int_bab_x_highvol,103.0,103.0,,,21,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,ooo3_leadlag_EFA_minus_SPY_13w_signal__percentile__PAIR__z_downside_vol_13w,102.0,102.0,,,15,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__int_mom26_x_ma_distance26,102.0,102.0,,,26,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_downside_vol_26w__PAIR__regime_breadth_13w_mom,101.0,101.0,,,21,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_quality_quality_score_tradable__PAIR__ooo3_breadth_ret13_positive_x_recovery_confirmed_signal__direction_strength,101.0,101.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__ooo2_leadlag_HYG_minus_LQD_13w_signal,101.0,101.0,,,17,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_downside_vol_26w__PAIR__z_vol_13w,100.0,100.0,,,21,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__z_downside_vol_26w,100.0,100.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__ooo3_breadth_ret13_positive_x_recovery_confirmed_signal__percentile,100.0,100.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_l1_xsmom_xsmom_score_tradable,100.0,100.0,,,15,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__ooo3_leadlag_EFA_minus_SPY_13w_signal__percentile,99.0,99.0,,,17,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_l1_xsmom_xsmom_asset_class_neutral_tradable,98.0,98.0,,,15,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__z_mom_13w,98.0,98.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__int_market_trend_x_mom13,97.0,97.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_quality_quality_score_tradable__PAIR__z_rel_strength_GLD_13w,96.0,96.0,,,15,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_rel_strength_HYG_13w,96.0,96.0,,,19,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_downside_vol_26w__PAIR__ooo3_leadlag_GLD_minus_SPY_13w_signal__zscore,95.0,95.0,,,15,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_multi_horizon_mom_multi_mom_equal_score_tradable__PAIR__int_trend_consistency_x_lowdownsidevol,94.0,94.0,,,14,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__int_carry_x_lowvol,94.0,94.0,,,24,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__ooo2_leadlag_HYG_minus_LQD_13w_signal,94.0,94.0,,,17,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_downside_vol_13w__PAIR__z_l1_carry_carry_yield_trailing_52w_tradable,93.0,93.0,,,24,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_drawdown_26w__PAIR__ooo3_market_trend_positive_signal__zscore,93.0,93.0,,,21,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_drawdown_26w__PAIR__z_l1_carry_carry_yield_trailing_52w_tradable,93.0,93.0,,,20,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_mom_52w__PAIR__z_l1_carry_carry_yield_trailing_52w_tradable,93.0,93.0,,,22,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__ooo2_breadth_ret13_positive_signal,93.0,93.0,,,22,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_quality_quality_score_asset_class_neutral_tradable__PAIR__int_mom26_x_lowvol26,92.0,92.0,,,21,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_quality_quality_score_tradable__PAIR__z_vol_13w,92.0,92.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_rel_strength_HYG_13w__PAIR__int_mom13_x_drawdown_repair,92.0,92.0,,,24,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__ooo3_leadlag_EFA_minus_SPY_13w_signal__direction_strength,92.0,92.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_drawdown_26w__PAIR__ooo3_leadlag_EFA_minus_SPY_13w_signal__raw,91.0,91.0,,,19,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_asset_class_neutral_tradable__PAIR__z_downside_vol_13w,91.0,91.0,,,21,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_quality_quality_score_tradable__PAIR__z_trend_consistency_13w,91.0,91.0,,,21,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_trend_consistency_13w__PAIR__z_downside_vol_26w,91.0,91.0,,,13,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__ooo3_breadth_ret13_positive_x_recovery_confirmed_signal__zscore,90.0,90.0,,,18,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_carry_carry_yield_trailing_52w_tradable__PAIR__regime_breadth_13w_mom,90.0,90.0,,,21,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__ooo3_leadlag_EFA_minus_SPY_13w_signal__raw,90.0,90.0,,,19,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,int_real_asset_strength_x_stress__PAIR__z_vol_13w,89.0,89.0,,,17,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_downside_vol_26w__PAIR__z_mom_26w,89.0,89.0,,,23,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_carry_carry_yield_trailing_52w_tradable__PAIR__ooo3_leadlag_EFA_minus_SPY_13w_signal__zscore,89.0,89.0,,,30,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,int_carry_x_lowvol__PAIR__z_vol_26w,88.0,88.0,,,18,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,int_trend_consistency_x_lowdownsidevol__PAIR__int_mom13_x_drawdown_repair,88.0,88.0,,,20,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_downside_vol_13w__PAIR__z_mom_26w,88.0,88.0,,,17,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_downside_vol_26w__PAIR__int_carry_x_lowvol,88.0,88.0,,,21,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_quality_quality_score_asset_class_neutral_tradable__PAIR__z_vol_26w,88.0,88.0,,,22,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_quality_quality_score_tradable__PAIR__ooo3_breadth_ret13_positive_x_recovery_confirmed_signal__percentile,88.0,88.0,,,27,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__ooo3_leadlag_EFA_minus_SPY_13w_signal__raw,88.0,88.0,,,22,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_drawdown_26w__PAIR__z_l1_carry_carry_score_tradable,87.0,87.0,,,20,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_carry_carry_yield_trailing_52w_tradable__PAIR__ooo3_breadth_ret13_positive_x_recovery_confirmed_signal__percentile,87.0,87.0,,,20,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_mom_52w__PAIR__ooo3_leadlag_EFA_minus_SPY_13w_signal__strength_scaled_score,87.0,87.0,,,25,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,int_trend_consistency_x_lowdownsidevol__PAIR__z_drawdown_26w,86.0,86.0,,,20,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_asset_class_neutral_tradable__PAIR__ooo3_breadth_ret13_positive_x_recovery_confirmed_signal__percentile,86.0,86.0,,,14,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_rel_strength_LQD_13w,86.0,86.0,,,18,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__int_credit_strength_x_trend,86.0,86.0,,,18,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_26w__PAIR__int_mom26_x_ma_distance26,85.0,85.0,,,25,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_downside_vol_13w__PAIR__ooo3_breadth_ret13_positive_x_recovery_confirmed_signal__percentile,84.0,84.0,,,18,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__z_l1_quality_quality_score_tradable,84.0,84.0,,,27,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_rel_strength_SPY_13w__PAIR__int_mom13_x_drawdown_repair,84.0,84.0,,,10,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__ooo2_breadth_ret26_positive_signal,84.0,84.0,,,22,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__ooo2_leadlag_DBA_minus_SPY_13w_signal,84.0,84.0,,,19,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_vol_13w__PAIR__z_l1_breadth_confirmation_breadth_confirmed_momentum_tradable,84.0,84.0,,,19,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_downside_vol_13w__PAIR__z_drawdown_26w,82.0,82.0,,,16,tree_path_pair
target_etf_forward_risk_adjusted_top_quantile_4w,z_l1_bab_bab_score_tradable__PAIR__ooo3_leadlag_DBA_minus_SPY_13w_signal__raw,82.0,82.0,,,10,tree_path_pair
