effective_date,cik10,sleeve_target_weight
2023-10-06,0000769397,0.04
2023-10-06,0000858470,0.04
2023-10-06,0000874499,0.04
2023-10-06,0000945983,0.04
2023-10-06,0001031308,0.04
2023-10-06,0001070235,0.04
2023-10-06,0001124610,0.04
2023-10-06,0001124804,0.04
2023-10-06,0001280263,0.04
2023-10-06,0001314727,0.04
2023-10-06,0001327567,0.04
2023-10-06,0001349436,0.04
2023-10-06,0001353283,0.04
2023-10-06,0001361113,0.04
2023-10-06,0001475115,0.04
2023-10-06,0001493761,0.04
2023-10-06,0001640147,0.04
2023-10-06,0001650372,0.04
2023-10-06,0001701732,0.04
2023-10-06,0001803696,0.04
2023-10-06,0001807794,0.04
2024-01-05,0000004127,0.04
2024-01-05,0000023194,0.04
2024-01-05,0000033213,0.04
2024-01-05,0000056978,0.04
2024-01-05,0000315852,0.04
2024-01-05,0000769397,0.04
2024-01-05,0000858470,0.04
2024-01-05,0000945983,0.04
2024-01-05,0001013462,0.04
2024-01-05,0001031308,0.04
2024-01-05,0001070235,0.04
2024-01-05,0001104485,0.04
2024-01-05,0001280263,0.04
2024-01-05,0001314727,0.04
2024-01-05,0001327567,0.04
2024-01-05,0001353283,0.04
2024-01-05,0001361113,0.04
2024-01-05,0001475115,0.04
2024-01-05,0001493761,0.04
2024-01-05,0001621434,0.04
2024-01-05,0001640147,0.04
2024-01-05,0001701732,0.04
2024-01-05,0001713683,0.04
2024-01-05,0001803696,0.04
2024-01-05,0001807794,0.04
2024-04-05,0000004127,0.04
2024-04-05,0000007332,0.04
2024-04-05,0000023194,0.04
2024-04-05,0000033213,0.04
2024-04-05,0000315852,0.04
2024-04-05,0000769397,0.04
2024-04-05,0000858470,0.04
2024-04-05,0000945983,0.04
2024-04-05,0001013462,0.04
2024-04-05,0001031308,0.04
2024-04-05,0001070235,0.04
2024-04-05,0001104485,0.04
2024-04-05,0001262039,0.04
2024-04-05,0001280263,0.04
2024-04-05,0001314727,0.04
2024-04-05,0001349436,0.04
2024-04-05,0001361113,0.04
2024-04-05,0001451809,0.04
2024-04-05,0001475115,0.04
2024-04-05,0001621434,0.04
2024-04-05,0001640147,0.04
2024-04-05,0001701732,0.04
2024-04-05,0001713683,0.04
2024-04-05,0001807794,0.04
2024-04-05,0001834494,0.04
2024-07-05,0000004127,0.04
2024-07-05,0000033213,0.04
2024-07-05,0000351817,0.04
2024-07-05,0001013462,0.04
2024-07-05,0001013857,0.04
2024-07-05,0001031308,0.04
2024-07-05,0001104485,0.04
2024-07-05,0001108524,0.04
2024-07-05,0001114995,0.04
2024-07-05,0001262039,0.04
2024-07-05,0001314727,0.04
2024-07-05,0001327567,0.04
2024-07-05,0001361113,0.04
2024-07-05,0001393052,0.04
2024-07-05,0001475115,0.04
2024-07-05,0001493761,0.04
2024-07-05,0001506293,0.04
2024-07-05,0001580808,0.04
2024-07-05,0001615165,0.04
2024-07-05,0001640147,0.04
2024-07-05,0001650372,0.04
2024-07-05,0001657788,0.04
2024-07-05,0001679268,0.04
2024-07-05,0001897982,0.04
2024-07-05,0001928446,0.04
2024-10-04,0000004127,0.04
2024-10-04,0000033213,0.04
2024-10-04,0000874499,0.04
2024-10-04,0000895126,0.04
2024-10-04,0001013857,0.04
2024-10-04,0001031308,0.04
2024-10-04,0001114995,0.04
2024-10-04,0001171486,0.04
2024-10-04,0001314727,0.04
2024-10-04,0001327567,0.04
2024-10-04,0001361113,0.04
2024-10-04,0001373715,0.04
2024-10-04,0001393052,0.04
2024-10-04,0001459417,0.04
2024-10-04,0001475115,0.04
2024-10-04,0001580808,0.04
2024-10-04,0001615165,0.04
2024-10-04,0001640147,0.04
2024-10-04,0001650372,0.04
2024-10-04,0001657788,0.04
2024-10-04,0001679268,0.04
2024-10-04,0001701732,0.04
2024-10-04,0001713683,0.04
2024-10-04,0001773383,0.04
2024-10-04,0001897982,0.04
2025-01-03,0000004127,0.04
2025-01-03,0000033213,0.04
2025-01-03,0000874499,0.04
2025-01-03,0001013857,0.04
2025-01-03,0001031308,0.04
2025-01-03,0001044777,0.04
2025-01-03,0001114995,0.04
2025-01-03,0001171486,0.04
2025-01-03,0001314727,0.04
2025-01-03,0001327567,0.04
2025-01-03,0001361113,0.04
2025-01-03,0001373715,0.04
2025-01-03,0001393052,0.04
2025-01-03,0001459417,0.04
2025-01-03,0001475115,0.04
2025-01-03,0001580808,0.04
2025-01-03,0001585521,0.04
2025-01-03,0001615165,0.04
2025-01-03,0001640147,0.04
2025-01-03,0001657788,0.04
2025-01-03,0001679268,0.04
2025-01-03,0001701732,0.04
2025-01-03,0001713683,0.04
2025-01-03,0001773383,0.04
2025-01-03,0001928446,0.04
2025-04-04,0000033213,0.04
2025-04-04,0000785786,0.04
2025-04-04,0000874499,0.04
2025-04-04,0001013857,0.04
2025-04-04,0001031308,0.04
2025-04-04,0001044777,0.04
2025-04-04,0001107843,0.04
2025-04-04,0001114995,0.04
2025-04-04,0001124804,0.04
2025-04-04,0001171486,0.04
2025-04-04,0001327567,0.04
2025-04-04,0001361113,0.04
2025-04-04,0001373715,0.04
2025-04-04,0001393052,0.04
2025-04-04,0001459417,0.04
2025-04-04,0001475115,0.04
2025-04-04,0001562088,0.04
2025-04-04,0001580808,0.04
2025-04-04,0001585521,0.04
2025-04-04,0001615165,0.04
2025-04-04,0001640147,0.04
2025-04-04,0001657788,0.04
2025-04-04,0001679268,0.04
2025-04-04,0001713683,0.04
2025-04-04,0001928446,0.04
2025-07-04,0000033213,0.04
2025-07-04,0000785786,0.04
2025-07-04,0000851310,0.04
2025-07-04,0000874499,0.04
2025-07-04,0000917273,0.04
2025-07-04,0001013462,0.04
2025-07-04,0001070412,0.04
2025-07-04,0001107843,0.04
2025-07-04,0001108524,0.04
2025-07-04,0001124804,0.04
2025-07-04,0001314727,0.04
2025-07-04,0001327567,0.04
2025-07-04,0001361113,0.04
2025-07-04,0001393052,0.04
2025-07-04,0001459417,0.04
2025-07-04,0001475115,0.04
2025-07-04,0001493761,0.04
2025-07-04,0001528129,0.04
2025-07-04,0001621434,0.04
2025-07-04,0001650372,0.04
2025-07-04,0001653482,0.04
2025-07-04,0001713683,0.04
2025-07-04,0001819974,0.04
2025-07-04,0001834494,0.04
2025-07-04,0001855747,0.04
2025-10-03,0000785786,0.04
2025-10-03,0000851310,0.04
2025-10-03,0000917273,0.04
2025-10-03,0001013857,0.04
2025-10-03,0001031308,0.04
2025-10-03,0001107843,0.04
2025-10-03,0001124804,0.04
2025-10-03,0001327567,0.04
2025-10-03,0001361113,0.04
2025-10-03,0001393052,0.04
2025-10-03,0001459417,0.04
2025-10-03,0001475115,0.04
2025-10-03,0001493761,0.04
2025-10-03,0001520006,0.04
2025-10-03,0001528129,0.04
2025-10-03,0001650372,0.04
2025-10-03,0001653482,0.04
2025-10-03,0001658566,0.04
2025-10-03,0001713683,0.04
2025-10-03,0001724965,0.04
2025-10-03,0001773383,0.04
2025-10-03,0001792849,0.04
2025-10-03,0001819974,0.04
2025-10-03,0001834494,0.04
2025-10-03,0001855747,0.04
2026-01-02,0000033213,0.04
2026-01-02,0000785786,0.04
2026-01-02,0000851310,0.04
2026-01-02,0000917273,0.04
2026-01-02,0001013857,0.04
2026-01-02,0001031308,0.04
2026-01-02,0001044777,0.04
2026-01-02,0001104485,0.04
2026-01-02,0001107843,0.04
2026-01-02,0001124804,0.04
2026-01-02,0001314727,0.04
2026-01-02,0001327567,0.04
2026-01-02,0001361113,0.04
2026-01-02,0001373715,0.04
2026-01-02,0001393052,0.04
2026-01-02,0001475115,0.04
2026-01-02,0001493761,0.04
2026-01-02,0001520006,0.04
2026-01-02,0001653482,0.04
2026-01-02,0001658566,0.04
2026-01-02,0001713683,0.04
2026-01-02,0001773383,0.04
2026-01-02,0001792849,0.04
2026-01-02,0001855747,0.04
2026-01-02,0001861795,0.04
2026-04-03,0000033213,0.04
2026-04-03,0000704532,0.04
2026-04-03,0000851310,0.04
2026-04-03,0000917273,0.04
2026-04-03,0001013857,0.04
2026-04-03,0001031308,0.04
2026-04-03,0001044777,0.04
2026-04-03,0001104485,0.04
2026-04-03,0001107843,0.04
2026-04-03,0001124804,0.04
2026-04-03,0001327567,0.04
2026-04-03,0001361113,0.04
2026-04-03,0001373715,0.04
2026-04-03,0001393052,0.04
2026-04-03,0001442145,0.04
2026-04-03,0001493761,0.04
2026-04-03,0001520006,0.04
2026-04-03,0001569345,0.04
2026-04-03,0001653482,0.04
2026-04-03,0001658566,0.04
2026-04-03,0001713683,0.04
2026-04-03,0001773383,0.04
2026-04-03,0001792849,0.04
2026-04-03,0001855747,0.04
2026-04-03,0001861795,0.04
