candidate,cik10,company_name,recent_cagr,recent_sharpe,recent_drawdown,full_cagr
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001500435,"GOPRO, INC.",1.0568888093742443,3.0136792906807592,-0.0873518690103593,0.4175262822737831
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001509991,KOSMOS ENERGY LTD.,1.017619500416199,2.872280059791253,-0.08892325418577418,0.41231377638427213
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001528129,"VITAL ENERGY, INC.",1.0709103416883958,2.988511941850237,-0.08892325418577407,0.4234395759612424
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001534504,PBF ENERGY INC.,1.0378518956680902,2.9027776636142884,-0.09425574252769764,0.4176085005542747
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001538849,CROSSAMERICA PARTNERS LP,1.0719437518148878,2.9835834615167536,-0.08885511838111748,0.4216803209379312
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001596961,"RIDENOW GROUP, INC.",1.0351301590125415,2.9059772349243036,-0.08892325418577418,0.42047740081951845
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001597033,SABRE CORP,1.0631881714237106,3.003537767447659,-0.08761342784894421,0.42123419927804284
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001688568,DXC TECHNOLOGY CO,1.0791465212194855,3.0055506814695194,-0.08984196778862918,0.4266883152931529
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001694426,"DELEK US HOLDINGS, INC.",1.0389989346577075,2.8953531554669905,-0.09380271683558361,0.41600964963612386
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001705873,BERRY CORP (BRY),1.0673203172556658,2.978915590011436,-0.08892325418577418,0.4226045709878532
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001738827,"KLX ENERGY SERVICES HOLDINGS, INC.",1.083515889972884,3.0007514685977497,-0.08836606101811784,0.4318358581746997
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001774675,SKILLSOFT CORP.,1.1008492209393292,3.0494157562194872,-0.08892325418577407,0.42325893327347064
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001810019,"RACKSPACE TECHNOLOGY, INC.",1.007169476713417,3.241422929391901,-0.07450563593149895,0.41311649802911155
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001867072,"KYNDRYL HOLDINGS, INC.",1.0761447464415532,2.992249930184448,-0.08960121139440236,0.42146206518116247
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001881487,PROFRAC HOLDING CORP.,1.0779297159233714,3.0139821006817105,-0.08892325418577429,0.4240896640662395
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001897762,INGRAM MICRO HOLDING CORP,1.0741694180062265,2.99153404766059,-0.089491699219722,0.423362672901227
sales_only__top20__floor50m__sector50__cohort2__w0.30__50bps,0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,1.0146758836694008,2.925263694954191,-0.08446800237136098,0.4086758633971912
sales_only__top20__floor50m__sector50__cohort2__w0.30__50bps,0000065270,METHODE ELECTRONICS INC,1.0179628173938697,2.930509517510326,-0.08766453899560245,0.40313128269335774
sales_only__top20__floor50m__sector50__cohort2__w0.30__50bps,0000101984,UNIVERSAL ELECTRONICS INC,1.0532560949936207,3.001917009234232,-0.08555163576544633,0.4108217560060117
sales_only__top20__floor50m__sector50__cohort2__w0.30__50bps,0000746838,UNISYS CORP,1.05759093618639,3.101049754260417,-0.08270500284156923,0.4137967509438414
sales_only__top20__floor50m__sector50__cohort2__w0.30__50bps,0000789460,WORLD KINECT CORP,1.039428696786759,2.960532158139466,-0.08797277120515201,0.40984590666887377
sales_only__top20__floor50m__sector50__cohort2__w0.30__50bps,0000813762,ICAHN ENTERPRISES L.P.,1.0497926819406813,2.986243051736413,-0.08504954624095729,0.4114763912615864
sales_only__top20__floor50m__sector50__cohort2__w0.30__50bps,0000821483,"PAR PACIFIC HOLDINGS, INC.",1.0170799157381571,2.895561613602521,-0.08864298226967016,0.4017176962697675
sales_only__top20__floor50m__sector50__cohort2__w0.30__50bps,0001163739,NABORS INDUSTRIES LTD,1.0218739590089476,2.9384848937326344,-0.0840229487383114,0.40884472366521285
sales_only__top20__floor50m__sector50__cohort2__w0.30__50bps,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,1.0590303352416832,3.0076177219560543,-0.08457447905759541,0.413272099973941
sales_only__top20__floor50m__sector50__cohort2__w0.30__50bps,0001177394,TD SYNNEX CORP,1.0443087220003981,2.9804712219245406,-0.08446800237136098,0.4088867838162562
sales_only__top20__floor50m__sector50__cohort2__w0.30__50bps,0001376139,CVR ENERGY INC,1.041061856159323,2.959153881980057,-0.08639276555765651,0.4065049634932867
sales_only__top20__floor50m__sector50__cohort2__w0.30__50bps,0001454938,TEADS HOLDING CO.,1.0703369966093743,3.0892516326375987,-0.07738604549317063,0.4134341177813923
sales_only__top20__floor50m__sector50__cohort2__w0.30__50bps,0001500435,"GOPRO, INC.",1.0358387891259286,3.0280235217551508,-0.08284748525319041,0.4063802905341447
