underlying,open_date,expiry_date,open_spot,expiry_spot,long_strike,short_strike,sigma,dte_days,entry_cost_per_share,premium_fraction,final_intrinsic,trade_return,etf_buy_hold_return,incremental_return_vs_etf
SPY,2014-08-29,2014-11-28,164.53475952148438,170.64894104003906,172.7614974975586,189.214973449707,0.09837065636401353,91,0.8757607189987874,0.02,0.0,-1.0,0.037160424559141925,-0.02074320849118284
TLT,2016-06-10,2016-09-09,102.7570343017578,103.888916015625,107.89488601684569,118.17058944702146,0.10698404144710091,91,0.6718889556219091,0.02,0.0,-1.0,0.011015126327442504,-0.020220302526548852
SPY,2016-09-09,2016-12-09,182.14279174804688,194.4184112548828,191.24993133544922,209.46421051025388,0.08882101636075047,91,0.7362708983570921,0.02,3.1684799194335938,3.303415939029655,0.0673955822738046,0.06472040713511701
SPY,2016-12-16,2017-03-17,194.295166015625,205.53746032714844,204.00992431640626,223.43944091796874,0.11337932613539314,91,1.4499312271222902,0.02,1.5275360107421818,0.0535230790041783,0.057861935230129946,-8.677712451903297e-05
SPY,2017-03-31,2017-06-30,204.41879272460935,210.69613647460935,214.63973236083982,235.08161163330072,0.09546468286396532,91,1.0065223489099697,0.02,0.0,-1.0,0.030708251752845195,-0.020614165035056906
SPY,2017-06-30,2017-09-29,210.69613647460935,219.99957275390625,221.2309432983398,242.30055694580074,0.062275549282866556,91,0.25289568539300233,0.02,0.0,-1.0,0.04415570420494186,-0.020883114084098837
SPY,2017-09-29,2017-12-29,219.99957275390625,234.8810272216797,230.99955139160159,252.99950866699217,0.06148958185335407,91,0.25053386723863236,0.02,3.8814758300781023,14.49281888656201,0.06764310621830161,0.28850351560687415
TLT,2019-04-26,2019-07-26,101.4617156982422,108.39899444580078,106.53480148315431,116.68097305297853,0.1048193525801911,91,0.6320235683577993,0.02,1.8641929626464702,1.9495624150381667,0.06837336329094579,0.03762378103494442
SPY,2019-09-20,2019-12-20,271.25482177734375,293.10479736328125,284.81756286621095,311.9430450439453,0.13193103680476553,91,2.755094211242683,0.02,8.287234497070301,2.0079677360043346,0.0805514734918622,0.03854832525024945
SPY,2019-12-20,2020-03-20,293.10479736328125,210.32240295410156,307.7600372314453,337.0705169677734,0.09843456652317537,91,1.5626871552274875,0.02,0.0,-1.0,-0.2824327515410031,-0.014351344969179938
SPY,2020-09-04,2020-12-04,316.290283203125,342.84454345703125,332.10479736328125,363.73382568359375,0.4055052079594009,91,9.722651355506114,0.02,10.73974609375,0.10461084132857312,0.08395534628818435,0.0004131099008077754
SPY,2020-12-25,2021-03-26,343.5145568847656,369.8385314941406,360.6902847290039,395.0417404174804,0.1931678667472368,91,6.173977217309412,0.02,9.148246765136719,0.48174287710175223,0.07663132196812716,0.008102231102672502
SPY,2021-03-26,2021-06-25,369.8385314941406,399.7499694824219,388.3304580688477,425.3143112182617,0.19486435186028553,91,6.714785235811735,0.02,11.419511413574185,0.7006517725497601,0.0808770191343764,0.012395495068307673
SPY,2021-06-25,2021-09-24,399.7499694824219,417.29345703125,419.737467956543,459.7124649047851,0.13359332115038514,91,4.155524581593812,0.02,0.0,-1.0,0.04388615106473348,-0.02087772302129467
SPY,2021-09-24,2021-12-24,417.29345703125,443.937255859375,438.15812988281255,479.88747558593747,0.09431836206156358,91,1.9898707944544014,0.02,5.7791259765624545,1.9042719721644144,0.06384906923218248,0.03680845805864464
SPY,2023-05-26,2023-08-25,404.1877746582031,424.95843505859375,424.3971633911133,464.81594085693354,0.14444044331738057,91,4.82011882588361,0.02,0.5612716674804688,-0.8835564666027548,0.0513886408809745,-0.018698902149674585
SPY,2023-08-25,2023-11-24,424.95843505859375,441.3165893554687,446.20635681152345,488.7022003173828,0.14092023073268353,91,4.8591399614042565,0.02,0.0,-1.0,0.03849353947903045,-0.02076987078958061
SPY,2023-11-24,2024-02-23,441.3165893554687,494.2485046386719,463.3824188232421,507.51407775878897,0.1536230024388584,91,5.815076383206544,0.02,30.866085815429756,4.307941595499663,0.11994091443629817,0.08376001362126731
SPY,2024-02-23,2024-05-24,494.2485046386719,516.8611450195312,518.9609298706055,568.3857803344727,0.13775752008151654,91,5.43103461497583,0.02,0.0,-1.0,0.045751560538136005,-0.02091503121076272
SPY,2024-05-24,2024-08-23,516.8611450195312,550.544921875,542.7042022705078,594.3903167724609,0.10111905102725212,91,2.949105594204484,0.02,7.840719604492165,1.658677132450113,0.06516987624247883,0.031870145124152684
GLD,2024-12-13,2025-03-14,244.2899932861328,275.239990234375,256.50449295043944,280.9334922790527,0.15259639715778514,91,3.185312663905524,0.02,18.73549728393556,4.8818393234163375,0.12669367472613158,0.09510291297380413
SPY,2025-09-12,2025-12-12,651.8805541992188,677.9000244140625,684.4745819091797,749.6626373291015,0.22616230033671192,91,13.827717696690137,0.02,0.0,-1.0,0.03991447520137559,-0.020798289504027512
