window_start,window_end,cand_sharpe,base_sharpe,beats
2012-09-28,2014-09-19,1.0075372213501836,1.001562154660535,1.0
2012-12-28,2014-12-19,1.4700666779798184,1.460060662926917,1.0
2013-03-29,2015-03-20,1.1872154977418095,1.1845120920633316,1.0
2013-06-28,2015-06-19,1.0817827572361944,1.093417873808822,0.0
2013-09-27,2015-09-18,0.5409456684509893,0.5359844657473811,1.0
2013-12-27,2015-12-18,0.34877297348828235,0.35484008494519137,0.0
2014-03-28,2016-03-18,0.2456033941337664,0.253845205718047,0.0
2014-06-27,2016-06-17,0.3749055074204576,0.38949850299086874,0.0
2014-09-26,2016-09-16,0.6866298938040805,0.6992123160202879,0.0
2014-12-26,2016-12-16,-0.23477722894475994,-0.22787592494699518,0.0
2015-03-27,2017-03-17,-0.1578102578091044,-0.14950474842089084,0.0
2015-06-26,2017-06-16,0.33227449062646086,0.34104464744094626,0.0
2015-09-25,2017-09-15,0.8448900308757418,0.851985684332929,0.0
2015-12-25,2017-12-15,1.045409792941255,1.0465102592397886,0.0
2016-03-25,2018-03-16,0.9335380071512775,0.9318200774738755,1.0
2016-06-24,2018-06-15,0.6856334989649253,0.6791704865648561,1.0
2016-09-23,2018-09-14,0.503003776123581,0.49815914825917573,1.0
2016-12-23,2018-12-14,0.807926841876194,0.7867204048382138,1.0
2017-03-24,2019-03-15,0.8699355664372427,0.8455967206248852,1.0
2017-06-23,2019-06-14,0.892093690845832,0.870573830290143,1.0
2017-09-22,2019-09-13,1.0137038335000748,0.9941943455610275,1.0
2017-12-22,2019-12-13,0.7315796605765421,0.7118539812969494,1.0
2018-03-23,2020-03-13,0.05494946638928349,0.029308513340432794,1.0
2018-06-22,2020-06-12,0.49410229125574107,0.4737410954153609,1.0
2018-09-21,2020-09-11,0.5000644380511707,0.4817720102793155,1.0
2018-12-21,2020-12-11,0.9508779591555793,0.9382999025958452,1.0
2019-03-22,2021-03-12,0.8245600534101257,0.811707396967621,1.0
2019-06-21,2021-06-11,0.7833970779572931,0.7713234600420256,1.0
2019-09-20,2021-09-10,0.6468264397991274,0.6354108654664542,1.0
2019-12-20,2021-12-10,0.745546005231688,0.7430622816347706,1.0
2020-03-20,2022-03-11,1.4259310116365138,1.4287099091694713,0.0
2020-06-19,2022-06-10,0.8616580841364581,0.8648893505320934,0.0
2020-09-18,2022-09-09,0.6958612620931458,0.6945017147094148,1.0
2020-12-18,2022-12-09,0.5195369325893334,0.5212339385016939,0.0
2021-03-19,2023-03-10,0.5384274431982341,0.5533704228194696,0.0
2021-06-18,2023-06-09,0.6340995230892194,0.6560328677115529,0.0
2021-09-17,2023-09-08,0.37732246456141466,0.4055696403578595,0.0
2021-12-17,2023-12-08,0.5250333775296852,0.5464706928850939,0.0
2022-03-18,2024-03-08,0.7837736074439662,0.8085034561028835,0.0
2022-06-17,2024-06-07,1.1557695648258473,1.1802612239562984,0.0
2022-09-16,2024-09-06,1.7226995898393596,1.742480521699938,0.0
2022-12-16,2024-12-06,1.6202927825006588,1.641428632888522,0.0
2023-03-17,2025-03-07,1.5855378025924327,1.6066398348577036,0.0
2023-06-16,2025-06-06,1.566012441480909,1.5798285473910756,0.0
2023-09-15,2025-09-05,2.1207330279945165,2.1285208706092047,0.0
2023-12-15,2025-12-05,2.267229863385746,2.288175329409135,0.0
2024-03-15,2026-03-06,2.104648945631327,2.124940092480997,0.0
