signal_name,source_phase,category,orthogonality,full_ic,holdout_ic,calm_trend_usefulness,stressed_panic_danger,implementation_difficulty,data_quality_risk,pit_dependence,overfitting_risk,recommendation,priority_score,verdict,verdict_reason
r2_vix_term_structure__calm_trend_only,state_gated_macro,state-gated macro,0.82710462540427,0.0721457495339961,0.0705357978276694,0.0738079924293053,,medium,medium,none,medium,candidate-pass,3.1970630275937144,candidate-pass,Positive full/holdout IC and no large stressed_panic damage under this gate.
r2_credit_spread__vix_below_past_median,state_gated_macro,state-gated macro,0.7764451148765624,0.077307660525631,0.0662492774066421,0.0642146425607441,-0.0251991702934007,medium,medium,none,medium,promising-if-gated,3.056978021718457,promising-if-gated,Gate improved stressed_panic behavior while retaining positive holdout/calm evidence.
r2_financial_conditions__calm_or_breadth_no_stress,state_gated_macro,state-gated macro,0.7939802078657109,0.0790660801660604,0.0526688982674386,0.0702711698659308,-0.0253656729087402,medium,medium,none,medium,promising-if-gated,2.9368438424653402,promising-if-gated,Gate improved stressed_panic behavior while retaining positive holdout/calm evidence.
r2_financial_conditions__no_stressed_panic,state_gated_macro,state-gated macro,0.7939802078657109,0.0790660801660604,0.0526688982674386,0.0702711698659308,-0.0253656729087402,medium,medium,none,medium,promising-if-gated,2.9368438424653402,promising-if-gated,Gate improved stressed_panic behavior while retaining positive holdout/calm evidence.
r2_vix_term_structure__calm_or_breadth_no_stress,state_gated_macro,state-gated macro,0.8691724880988568,0.0536174045115893,0.05463352621255,0.0857275968462327,-0.0880136954471608,medium,medium,none,medium,promising-if-gated,2.910670201172861,promising-if-gated,Gate improved stressed_panic behavior while retaining positive holdout/calm evidence.
r2_vix_term_structure__no_stressed_panic,state_gated_macro,state-gated macro,0.8691724880988568,0.0536174045115893,0.05463352621255,0.0857275968462327,-0.0880136954471608,medium,medium,none,medium,promising-if-gated,2.910670201172861,promising-if-gated,Gate improved stressed_panic behavior while retaining positive holdout/calm evidence.
r2_vix_term_structure__vix_below_past_median,state_gated_macro,state-gated macro,0.815758212313134,0.0634738372235362,0.0492025467108696,0.081917013505057,0.0239609895158578,medium,medium,none,medium,promising-if-gated,2.6042609980934177,promising-if-gated,Gate improved stressed_panic behavior while retaining positive holdout/calm evidence.
r2_financial_conditions__breadth_confirms,state_gated_macro,state-gated macro,0.7829894715409476,0.0602286206992479,0.0427659036472192,0.0702711698659308,0.0285953578382672,medium,medium,none,medium,promising-if-gated,2.302980013786489,promising-if-gated,stressed_panic damage remains
r2_credit_spread__no_stressed_panic,state_gated_macro,state-gated macro,0.7600006138320198,0.0449206654246598,0.0371407927457237,0.0619440031455483,-0.0200149596258975,medium,medium,none,medium,promising-if-gated,2.2618711844288595,promising-if-gated,Gate improved stressed_panic behavior while retaining positive holdout/calm evidence.
r2_credit_spread__calm_or_breadth_no_stress,state_gated_macro,state-gated macro,0.7600006138320198,0.0449206654246598,0.0371407927457237,0.0619440031455483,-0.0200149596258975,medium,medium,none,medium,promising-if-gated,2.2618711844288595,promising-if-gated,Gate improved stressed_panic behavior while retaining positive holdout/calm evidence.
r2_financial_conditions__calm_trend_only,state_gated_macro,state-gated macro,0.8173749065514185,0.0765951218592951,0.0079808660193274,0.0655771494256051,,medium,medium,none,medium,candidate-pass,2.227656310839121,candidate-pass,Positive full/holdout IC and no large stressed_panic damage under this gate.
r2_financial_conditions__vix_below_past_median,state_gated_macro,state-gated macro,0.7847168348569864,0.079379585219776,0.0051978892401368,0.0686234876553187,-0.096405522354131,medium,medium,none,medium,promising-if-gated,2.205468926899348,promising-if-gated,Gate improved stressed_panic behavior while retaining positive holdout/calm evidence.
r2_dollar_strength__breadth_confirms,state_gated_macro,state-gated macro,0.890448201945861,0.0333610596566246,0.0447187202197065,0.0293011935516842,-0.0257445618636851,medium,medium,none,medium,candidate-pass,2.1292491502211783,candidate-pass,Positive full/holdout IC and no large stressed_panic damage under this gate.
r2_financial_conditions__unconditional,state_gated_macro,state-gated macro,0.7832624587126439,0.0580090867669919,0.0359901212413822,0.0702711698659308,0.0359912678204529,medium,medium,none,medium,reject,2.105461825726213,promising-if-gated,stressed_panic damage remains
r2_dollar_strength__calm_trend_only,state_gated_macro,state-gated macro,0.9741482316273271,0.0324032692593087,0.0387713525307599,0.0245895020468559,,medium,medium,none,medium,candidate-pass,2.07646722855666,candidate-pass,Positive full/holdout IC and no large stressed_panic damage under this gate.
r2_dollar_strength__unconditional,state_gated_macro,state-gated macro,0.8878394900061873,0.0313584925057157,0.0387769156826045,0.0293011935516842,-0.0160793072307818,medium,medium,none,medium,candidate-pass,2.0174876987158856,candidate-pass,Positive full/holdout IC and no large stressed_panic damage under this gate.
r2_dollar_strength__no_stressed_panic,state_gated_macro,state-gated macro,0.9153924838028505,0.0314390759896859,0.0363483952314553,0.0293011935516842,-0.0375395111200033,medium,medium,none,medium,promising-if-gated,2.0094187205850127,promising-if-gated,Gate improved stressed_panic behavior while retaining positive holdout/calm evidence.
r2_dollar_strength__calm_or_breadth_no_stress,state_gated_macro,state-gated macro,0.9153924838028505,0.0314390759896859,0.0363483952314553,0.0293011935516842,-0.0375395111200033,medium,medium,none,medium,promising-if-gated,2.0094187205850127,promising-if-gated,Gate improved stressed_panic behavior while retaining positive holdout/calm evidence.
bm_quality_signal_agreement,signal_quality,signal quality,0.11448202654180317,0.0590214370061963,0.0455775614181879,0.0737177492546062,0.0187035481682748,low,low,none,low,promising-if-gated,1.7910663302306862,promising-if-gated,very high redundancy with existing strong signals
r2_dollar_strength__vix_below_past_median,state_gated_macro,state-gated macro,0.942765134294882,0.0400377196846654,0.0151289925865779,0.0274468988987826,-0.1643777743376643,medium,medium,none,medium,promising-if-gated,1.7896524111304652,promising-if-gated,Gate improved stressed_panic behavior while retaining positive holdout/calm evidence.
bm_quality_signal_dispersion,signal_quality,signal quality,0.9854431570245935,0.0179909368863447,0.027133887614492,0.0190435658979092,0.0053329064254176,low,low,none,low,candidate-pass,1.671380303034518,candidate-pass,Positive full/holdout IC and no large stressed_panic damage.
bm_dollar_strength_4w,dollar_strength,dollar strength,0.9834523403765159,0.0144608195731987,0.0221063471161241,0.0146474297277561,-0.0160555145087256,low,low,none,low,candidate-pass,1.576835180672413,candidate-pass,Positive full/holdout IC and no large stressed_panic damage.
bm_dollar_strength_blended,dollar_strength,dollar strength,0.9224774378172456,0.0188629237879697,0.0196886882709444,0.0130632522255947,-0.0273396600155495,low,low,none,low,candidate-pass,1.5109430175658662,candidate-pass,Positive full/holdout IC and no large stressed_panic damage.
bm_dollar_strength_8w,dollar_strength,dollar strength,0.9797153686221362,0.024142813930434,0.000465751703231,0.0150216706530604,-0.0642142928119999,low,low,none,low,candidate-pass,1.3483031486994244,candidate-pass,Positive full/holdout IC and no large stressed_panic damage.
bm_quality_risk_on_confirmation,signal_quality,signal environment,0.8148049775602773,0.0080921122987712,0.0254408052802539,0.0506166217590222,0.0407273481693959,low,low,none,low,reject,1.2749976721300165,promising-if-gated,stressed_panic damage
bm_risk_on_minus_defensive_participation,breadth,risk-on breadth,0.8148049775602773,0.0080921122987712,0.0254408052802539,0.0506166217590222,0.0407273481693959,low,low,none,low,reject,1.2749976721300165,promising-if-gated,stressed_panic damage
bm_dollar_strength_13w,dollar_strength,dollar strength,0.9386901126272476,0.0064645314658073,0.0081335511440256,0.0154994421536012,-0.0214029055265732,low,low,none,low,candidate-pass,1.2493342316745142,candidate-pass,Positive full/holdout IC and no large stressed_panic damage.
bm_breadth_change_4w,breadth,breadth thrust,0.9182359885601341,0.0235967737417801,-0.0091643475832271,0.0186623775583908,-0.014774003692102,low,low,none,low,reject,1.166037532696655,research-only,holdout IC not positive
r2_yield_curve__breadth_confirms,state_gated_macro,state-gated macro,0.954025739227088,-0.0280179897841326,0.081796386661092,-0.0940485811183961,0.0168043202825095,medium,medium,none,medium,reject,0.9803597895298781,research-only,full IC not positive
r2_commodity_regime__no_stressed_panic,state_gated_macro,state-gated macro,0.8621365839819508,0.0133002677318336,0.0100851821951103,-0.0240666469809709,-0.05744784849808,medium,medium,none,medium,candidate-pass,0.9538838183791741,candidate-pass,Positive full/holdout IC and no large stressed_panic damage under this gate.
r2_commodity_regime__calm_or_breadth_no_stress,state_gated_macro,state-gated macro,0.8621365839819508,0.0133002677318336,0.0100851821951103,-0.0240666469809709,-0.05744784849808,medium,medium,none,medium,candidate-pass,0.9538838183791741,candidate-pass,Positive full/holdout IC and no large stressed_panic damage under this gate.
r2_credit_spread__unconditional,state_gated_macro,state-gated macro,0.741125792410992,0.0185863649338492,0.0165761286858933,0.0619440031455483,0.0780877130475176,medium,medium,none,medium,reject,0.8903062667270938,promising-if-gated,stressed_panic damage remains
bm_dollar_strength_26w,dollar_strength,dollar strength,0.8805320811563297,0.0089756596160692,-0.0014276504418806,0.0095517373997092,0.0143032753589004,low,low,none,low,reject,0.8822550662974823,reject,holdout IC not positive
bm_participation_acceleration,breadth,breadth thrust,0.9655354938260318,-0.0151784342187369,0.0041664198016591,-0.0032987199407506,-0.0353266492426443,low,low,none,low,reject,0.8498576891375444,research-only,full IC not positive
bm_offensive_vs_defensive_sector_breadth,breadth,sector breadth,0.9430051591302524,-0.0167983936417815,0.0070079096589469,-0.0078539744357306,-0.0275611867243712,low,low,none,low,reject,0.8173080721107961,research-only,full IC not positive
r2_yield_curve__unconditional,state_gated_macro,state-gated macro,0.9525787335316173,-0.0293398364138503,0.0757069390914248,-0.0940485811183961,0.0230984124837017,medium,medium,none,medium,reject,0.8114116819803003,research-only,full IC not positive; stressed_panic damage remains
r2_credit_spread__breadth_confirms,state_gated_macro,state-gated macro,0.7384284573487907,0.0166676563611492,0.0109729507689427,0.0619440031455483,0.0915383275008463,medium,medium,none,medium,reject,0.6498680326503466,promising-if-gated,stressed_panic damage remains
r2_vix_term_structure__unconditional,state_gated_macro,state-gated macro,0.8800735126295078,0.0131786519812954,0.0051072166825856,0.0857275968462327,0.1394772675646238,medium,medium,none,medium,reject,0.37951638180486924,promising-if-gated,stressed_panic damage remains
r2_cross_asset_divergence__calm_trend_only,state_gated_macro,state-gated macro,0.9637966005077278,0.021347148139709,-0.0710925166142043,0.0335320319262861,,medium,medium,none,medium,reject,0.379136588102042,research-only,holdout IC not positive
r2_vix_term_structure__breadth_confirms,state_gated_macro,state-gated macro,0.8796209832648323,0.0133587270169361,0.0054578383242673,0.0857275968462327,0.145182988902193,medium,medium,none,medium,reject,0.3290667140461345,promising-if-gated,stressed_panic damage remains
r2_yield_curve__recovery_only,state_gated_macro,state-gated macro,0.970926198442443,0.0491580100626946,0.1911673389048545,-0.0764752355383314,0.3431356898787871,medium,medium,none,medium,reject,0.28685759954768353,research-only,insufficient observations; stressed_panic damage remains
bm_quality_trend_efficiency,signal_quality,trend quality,0.3723180487905515,0.0117808246855119,-0.0022827282742635,0.0405003490909703,0.0496152237167063,low,low,none,low,reject,0.2837359270924174,research-only,holdout IC not positive; stressed_panic damage
r2_cross_asset_divergence__no_stressed_panic,state_gated_macro,state-gated macro,0.9673347260308369,0.0127791583831821,-0.0044245064291383,0.0185457966553117,0.1161054376328313,medium,medium,none,medium,reject,0.01607071033976404,research-only,holdout IC not positive; stressed_panic damage remains
r2_cross_asset_divergence__calm_or_breadth_no_stress,state_gated_macro,state-gated macro,0.9673347260308369,0.0127791583831821,-0.0044245064291383,0.0185457966553117,0.1161054376328313,medium,medium,none,medium,reject,0.01607071033976404,research-only,holdout IC not positive; stressed_panic damage remains
r2_commodity_regime__breadth_confirms,state_gated_macro,state-gated macro,0.7962052595187429,0.003549266864686,-0.0198876841430759,-0.0240666469809709,0.0361017011478736,medium,medium,none,medium,reject,-0.020167521307038805,research-only,holdout IC not positive; stressed_panic damage remains
r2_cross_asset_divergence__recovery_only,state_gated_macro,state-gated macro,0.9805396873369558,0.0828507295594574,0.1361247893496649,-0.016232780768062,0.3744239410157338,medium,medium,none,medium,reject,-0.023182833125330538,research-only,insufficient observations; stressed_panic damage remains
r2_commodity_regime__unconditional,state_gated_macro,state-gated macro,0.7948772275572814,0.0025243317333497,-0.0224327937501128,-0.0240666469809709,0.0393571780012559,medium,medium,none,medium,reject,-0.10247631722123973,research-only,holdout IC not positive; stressed_panic damage remains
bm_breadth_momentum_13w,breadth,breadth thrust,0.9368300708687856,0.0064371173241313,-0.0470025614144747,0.0262666102092991,0.0841789354589005,low,low,none,low,reject,-0.3354936500216341,promising-if-gated,holdout IC not positive; stressed_panic damage
r2_cross_asset_divergence__breadth_confirms,state_gated_macro,state-gated macro,0.9140521554273079,-0.0065653687471526,-0.0355353751977449,0.0185457966553117,0.1016487882043166,medium,medium,none,medium,reject,-0.552753668811064,reject,full IC not positive; holdout IC not positive; stressed_panic damage remains
r2_commodity_regime__calm_trend_only,state_gated_macro,state-gated macro,0.9301373216156696,-0.023699076100022,-0.0706473934319025,-0.0318066868677444,,medium,medium,none,medium,reject,-0.6210178358050431,reject,full IC not positive; holdout IC not positive
r2_cross_asset_divergence__unconditional,state_gated_macro,state-gated macro,0.9128511265134308,-0.007730968037258,-0.0382299872690333,0.0185457966553117,0.1038229776478368,medium,medium,none,medium,reject,-0.627771766130523,reject,full IC not positive; holdout IC not positive; stressed_panic damage remains
r2_yield_curve__calm_trend_only,state_gated_macro,state-gated macro,0.9745764952058901,-0.0884810613147778,-0.0057306188020081,-0.0791606740705564,,medium,medium,none,medium,reject,-0.6294787925364606,reject,full IC not positive; holdout IC not positive
r2_commodity_regime__vix_below_past_median,state_gated_macro,state-gated macro,0.8986790947125786,0.0056722701910124,-0.036452236287056,-0.0307659141204223,0.0885871419436085,medium,medium,none,medium,reject,-0.723380480082601,research-only,holdout IC not positive; stressed_panic damage remains
r2_yield_curve__no_stressed_panic,state_gated_macro,state-gated macro,0.9242425178402219,-0.0347154602645379,0.0521616984257464,-0.0940485811183961,0.1545325782369998,medium,medium,none,medium,reject,-0.9382010397361279,research-only,full IC not positive; stressed_panic damage remains
r2_yield_curve__calm_or_breadth_no_stress,state_gated_macro,state-gated macro,0.9242425178402219,-0.0347154602645379,0.0521616984257464,-0.0940485811183961,0.1545325782369998,medium,medium,none,medium,reject,-0.9382010397361279,research-only,full IC not positive; stressed_panic damage remains
r2_vix_term_structure__recovery_only,state_gated_macro,state-gated macro,0.966424443719595,0.0411157048379278,0.0806771194801559,0.016232780768062,0.3744239410157338,medium,medium,none,medium,reject,-1.0266388797116301,research-only,insufficient observations; stressed_panic damage remains
r2_yield_curve__vix_below_past_median,state_gated_macro,state-gated macro,0.944663323201279,-0.0518076056994979,-0.0287682421508004,-0.1279625540633518,-0.0134904178654104,medium,medium,none,medium,reject,-1.0286367985625202,reject,full IC not positive; holdout IC not positive
r2_credit_spread__recovery_only,state_gated_macro,state-gated macro,0.9644368977260247,-0.0179010848674928,-0.0201865742761903,0.016232780768062,0.2260909967545687,medium,medium,none,medium,reject,-1.6484202864929487,reject,insufficient observations; full IC not positive; holdout IC not positive; stressed_panic damage remains
r2_cross_asset_divergence__vix_below_past_median,state_gated_macro,state-gated macro,0.9738627105114062,0.0056272570128736,-0.0888458245765097,0.0152477191082279,0.1893293461059235,medium,medium,none,medium,reject,-2.073863796200915,research-only,holdout IC not positive; stressed_panic damage remains
bm_quality_deterioration_warning,signal_quality,signal environment,0.8064207112908901,-0.118118384610989,-0.1257632318578575,-0.1236134511029019,0.0832538860362901,low,low,none,low,reject,-4.082658081872978,reject,full IC not positive; holdout IC not positive; stressed_panic damage
